scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observation,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Dendrobeania lichenoides,"(Robertson, 1900)",,leaf crust bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Dendrobeania,lichenoides,NA,,NA,native,unlisted,NA,confirmed,observed,1985-07-29,Andy Lamb,PMLS,,NA,2008-11-09,Neil McDaniel,iNat:97677174,,339213,LOP,accepted,339213,Dendrobeania lichenoides,Dendrobeania lichenoides
Dendrobeania murrayana,"(Bean in Johnston, 1847)",,fan bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Dendrobeania,murrayana,NA,,NA,native,unlisted,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,,205170,LOP,accepted,205170,Dendrobeania murrayana,Dendrobeania murrayana
Dendronotus albopunctatus,"Robilliard, 1972",,white-spotted dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,albopunctatus,NA,,NA,native,unlisted,NA,new 2015,observed,,,,,NA,2015-04-22,Karolle Wall,iNat:3705779,,50328,MOL,accepted,50328,Dendronotus albopunctatus,Dendronotus albopunctatus
Dendronotus albus,"MacFarland, 1966",,white dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,albus,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751256,,47773,MOL,accepted,47773,Dendronotus albus,Dendronotus albus
Dendronotus iris,"J.G. Cooper, 1863",,giant nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,iris,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2011-09-12,Karolle Wall,iNat:3706371,,47706,MOL,accepted,47706,Dendronotus iris,Dendronotus iris
Dendronotus kamchaticus,"Ekimova, Korshunova, Schepetov, Neretina, Sanamyan & Martynov, 2015",,white-tipped dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,kamchaticus,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-09,Karin Fletcher,iNat:68793267,,601888,MOL,accepted,601888,Dendronotus kamchaticus,Dendronotus kamchaticus
Dendronotus robilliardi,"Korshunova, Sanamyan, Zimina, Fletcher & Martynov, 2016",,Robilliard's dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,robilliardi,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751956,,882206,MOL,accepted,882206,Dendronotus robilliardi,Dendronotus robilliardi
Dendronotus rufus,"O'Donoghue, 1921",,red dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,rufus,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2009-07-19,Karolle Wall,iNat:97178764,,50393,MOL,accepted,50393,Dendronotus rufus,Dendronotus rufus
Dendronotus subramosus,"MacFarland, 1966",,stubby-frond dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,subramosus,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751945,,47771,MOL,accepted,47771,Dendronotus subramosus,Dendronotus subramosus
Dendronotus venustus,"MacFarland, 1966",,branched dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,venustus,NA,,NA,native,unlisted,NA,new 2009,observed,,,,,NA,2009-07-09,Karolle Wall,iNat:97205564,,129995,MOL,accepted,129995,Dendronotus venustus,Dendronotus venustus
Dermasterias imbricata,"(Grube, 1857)",,leather star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,,Dermasterias,imbricata,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2975990,,63382,ECH,accepted,63382,Dermasterias imbricata,Dermasterias imbricata
Desdimelita californica,"(Alderman, 1936)",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,californica,NA,,NA,native,unlisted,NA,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2006-0611,NA,,,,,1128629,ART,accepted,1128629,Desdimelita californica,Desdimelita californica
Desdimelita microdentata,"Jarrett & Bousfield, 1996",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,microdentata,NA,,NA,native,unlisted,NA,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2007-0102,NA,,,,,1128632,ART,accepted,1128632,Desdimelita microdentata,Desdimelita microdentata
Desmacella austini,"Lehnert, Conway, Barrie & Krautter, 2005",,thin encrusting Desmacella,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Desmacellida,,,Desmacellidae,,,Desmacella,austini,NA,,NA,native,unlisted,NA,new 2007,observed,,,,,NA,2007-10-23,Jackson W.F. Chu,iNat:59908535,,459736,POR,accepted,459736,Desmacella austini,Desmacella austini
Diadumene lineata,"(Verrill, 1869)",,striped green sea anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Diadumenidae,,,Diadumene,lineata,NA,,NA,non-native,unlisted,NA,confirmed,observed,1859,Alexander Agassiz,"McMurrich,1921",,NA,2018-08-05,Kristian Sigvardsen,iNat:15156184,,81783,CNI,accepted,81783,Diadumene lineata,Diadumene lineata
Diaperoforma californica,"(d'Orbigny, 1853)",,southern staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,,,,,,Diaperoforma,californica,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2023-06-27,"Dave ""Zeuss"" Cochrane",iNat:169897164,,345872,LOP,accepted,345872,Diaperoforma californica,Diaperoforma californica
Diaphoreolis viridis,"(Forbes, 1840)",,green aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Trinchesiidae,,,Diaphoreolis,viridis,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-09,Karin Fletcher,iNat:68793497,,632114,MOL,accepted,632114,Diaphoreolis viridis,Diaphoreolis viridis
Diaphorodoris lirulatocauda,"Millen, 1985",,porcupine dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Calycidorididae,,,Diaphorodoris,lirulatocauda,NA,,NA,native,unlisted,NA,confirmed,observed,2008-05-30,Andy Lamb,PMLS,,NA,2016-05-15,Karolle Wall,iNat:3707594,,48630,MOL,accepted,48630,Diaphorodoris lirulatocauda,Diaphorodoris lirulatocauda
Diaulula odonoghuei,"(Steinberg, 1963)",,spotted leopard dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Diaulula,odonoghuei,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751812,,508237,MOL,accepted,508237,Diaulula odonoghuei,Diaulula odonoghuei
Didemnum carnulentum,"Ritter & Forsyth, 1917",,Pacific white crust,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,carnulentum,NA,,NA,native,unlisted,NA,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,NA,,,,,344918,TUN,accepted,344918,Didemnum carnulentum,Didemnum carnulentum
Didemnum vexillum,"Kott, 2002",,carpet sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,vexillum,NA,,NA,non-native,unlisted,NA,reported,unobserved,2013-10-23,Andy Lamb,PMLS,,NA,,,,,126506,TUN,accepted,126506,Didemnum vexillum,Didemnum vexillum
Diodora aspera,"(Rathke, 1833)",,rough keyhole limpet,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,Diodorinae,,Diodora,aspera,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2019-05-04,Norah Brown,iNat:24519360,,64148,MOL,accepted,64148,Diodora aspera,Diodora aspera
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,,Diopatra,ornata,NA,,NA,native,unlisted,NA,confirmed,observed,1999-10-02,Andy Lamb,PMLS,,NA,2020-06-07,Jennifer Grant,iNat:49172988,,339286,WOR,accepted,339286,Diopatra ornata,Diopatra ornata
Diplosoma listerianum,"(Milne-Edwards, 1841)",,gray encrusting compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Diplosoma,listerianum,NA,,NA,cryoptogenic,unlisted,NA,confirmed,observed,1999-07-31,Charlie Gibbs,PMLS,,NA,2023-04-04,"Dave ""Zeuss"" Cochrane",iNat:153527836,,81778,TUN,accepted,81778,Diplosoma listerianum,Diplosoma listerianum
Dirona albolineata,"MacFarland in Cockerell & Elliot, 1905",,frosted nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,albolineata,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2009-08-30,Karolle Wall,iNat:97178779,,47477,MOL,accepted,47477,Dirona albolineata,Dirona albolineata
Dirona pellucida,"Volodchenko, 1941",,golden dirona,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,pellucida,NA,,NA,native,unlisted,NA,confirmed,observed,1973-09-21,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751130,,50447,MOL,accepted,50447,Dirona pellucida,Dirona pellucida
Discophyton rudyi,"(Verseveldt & van Ofwegen, 1992)",,white soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,Discophytidae,,,Discophyton,rudyi,NA,,NA,native,unlisted,NA,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,NA,,,,,460061,CNI,accepted,460061,Discophyton rudyi,Discophyton rudyi
Discorsopagurus schmitti,"(Stevens, 1925)",,tubeworm hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Discorsopagurus,schmitti,NA,,NA,native,unlisted,NA,reported,unobserved,1986-09-30,,RBCM,986-00197-025,NA,,,,,459564,ART,accepted,459564,Discorsopagurus schmitti,Discorsopagurus schmitti
Disporella separata,"Osburn, 1953",,purple encrusting bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,Disporella,separata,NA,,NA,native,unlisted,NA,reported,unobserved,1997-04-15,Donna Gibbs,PMLS,,NA,,,,,465160,LOP,accepted,465160,Disporella separata,Disporella separata
Distaplia occidentalis,"Bancroft, 1899",,mushroom compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,,Distaplia,occidentalis,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2019-05-04,Larry Taylor,iNat:30012080,,347339,TUN,accepted,347339,Distaplia occidentalis,Distaplia occidentalis
Dodecaceria concharum,"Örsted, 1843",,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,Dodecaceria,concharum,NA,,NA,non-native,unlisted,NA,confirmed,observed,1999-07-31,Charlie Gibbs,PMLS,,NA,2023-06-24,"Dave ""Zeuss"" Cochrane",iNat:169325571,,464813,WOR,accepted,464813,Dodecaceria concharum,Dodecaceria concharum
Dodecaceria pacifica,"(Fewkes, 1889)",,fringed filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,Dodecaceria,pacifica,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763488,reported as Dodecaceria fewkesi,1500739,WOR,accepted,1500739,Dodecaceria pacifica,Dodecaceria pacifica
Doris montereyensis,"J.G. Cooper, 1863",,Monterey sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,montereyensis,NA,,NA,native,unlisted,NA,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751948,,47469,MOL,accepted,47469,Doris montereyensis,Doris montereyensis
Doris odhneri,"(MacFarland, 1966)",,white nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,odhneri,NA,,NA,native,unlisted,NA,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751131,,124210,MOL,accepted,124210,Doris odhneri,Doris odhneri
Doryteuthis opalescens,"(Berry, 1911)",,California market squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Myopsida,,,Loliginidae,,,Doryteuthis,opalescens,NA,,NA,native,unlisted,NA,new 2008,observed,,,,,NA,2008-02-06,Karolle Wall,iNat:69186574,,153981,MOL,accepted,153981,Doryteuthis opalescens,Doryteuthis opalescens
Doto amyra,"Er. Marcus, 1961",,hammerhead doto,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dotidae,,,Doto,amyra,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751813,,47655,MOL,accepted,47655,Doto amyra,Doto amyra
Doto columbiana,"O'Donoghue, 1921",,British Columbia doto,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dotidae,,,Doto,columbiana,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-09,Karin Fletcher,iNat:68793273,,47774,MOL,accepted,47774,Doto columbiana,Doto columbiana
Echidnocerus cibarius,"White, 1842",,Puget Sound king crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Echidnocerus,cibarius,NA,,NA,native,unlisted,NA,confirmed,observed,1994-02-27,Charlie Gibbs,PMLS,,NA,2015-01-01,Peter Luckham,iNat:2797301,reported as Lopholithodes mandtii,1439280,ART,accepted,1439280,Echidnocerus cibarius,Echidnocerus cibarius
Echidnocerus foraminatus,"(Stimpson, 1859)",,brown box crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Echidnocerus,foraminatus,NA,,NA,native,unlisted,NA,confirmed,observed,2008-05-22,Jackson W.F. Chu,Chu (2010),,NA,2008-05-24,Jackson W.F. Chu,iNat:60467710,reported as Lopholithodes foraminatus,1439282,ART,accepted,1439282,Echidnocerus foraminatus,Echidnocerus foraminatus
Ectopleura crocea,"(Agassiz, 1862)",,bushy pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Ectopleura,crocea,NA,,NA,native,unlisted,NA,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,NA,,,,reported as Pinauay crocea,324497,CNI,accepted,324497,Ectopleura crocea,Ectopleura crocea
Ectopleura marina,"(Torrey, 1902)",,solitary pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Ectopleura,marina,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2019-05-04,Isabelle M. Côté,iNat:129284358,reported as Pinauay marina,492142,CNI,accepted,492142,Ectopleura marina,Ectopleura marina
Elassochirus gilli,"(Benedict, 1892)",,orange hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,gilli,NA,,NA,native,unlisted,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,,459568,ART,accepted,459568,Elassochirus gilli,Elassochirus gilli
Elassochirus tenuimanus,"(Dana, 1851)",,widehand hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,tenuimanus,NA,,NA,native,unlisted,NA,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,NA,,,,,459569,ART,accepted,459569,Elassochirus tenuimanus,Elassochirus tenuimanus
Embiotoca lateralis,"Agassiz, 1854",,striped seaperch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,Embiotocidae,,,Embiotoca,lateralis,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-08,Claudia E. Kasserra,CMN,CMNFI 1985-0086.1,NA,2020-05-07,Penelope Bridge,iNat:45278748,,117555,FIS,accepted,117555,Embiotoca lateralis,Embiotoca lateralis
Emplectonema gracile,"(Johnston, 1837)",,green ribbon worm,Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,Emplectonematidae,,,Emplectonema,gracile,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2021-03-17,Andrew Simon,iNat:72321492,,337279,WOR,accepted,337279,Emplectonema gracile,Emplectonema gracile
Engraulis mordax,"Girard, 1854",,northern anchovy,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,Clupeoidei,,Engraulidae,Engraulinae,,Engraulis,mordax,NA,,NA,native,SNR,NA,confirmed,observed,2006-12-02,Charlie Gibbs,PMLS,,NA,2021-06-09,Elsa Hunter,iNat:82359831,,63770,FIS,accepted,63770,Engraulis mordax,Engraulis mordax
Ennucula tenuis,"(Montagu, 1808)",,smooth nutclam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,,Ennucula,tenuis,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03318,1898321136,,,,,202045,MOL,accepted,202045,Ennucula tenuis,Ennucula tenuis
Enophrys bison,"(Girard, 1854)",,buffalo sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Myoxocephalinae,,Enophrys,bison,NA,,NA,native,SNR,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2976525,,117536,FIS,accepted,117536,Enophrys bison,Enophrys bison
Enteroctopus dofleini,"(Wülker, 1910)",,giant pacific octopus,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,Octopodoidea,Enteroctopodidae,,,Enteroctopus,dofleini,NA,,NA,native,unlisted,NA,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,NA,2007-10-23,Jackson W.F. Chu,iNat:8459014,,48863,MOL,accepted,48863,Enteroctopus dofleini,Enteroctopus dofleini
Entodesma navicula,"(Adams & Reeve, 1850)",,rock entodesma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,,Entodesma,navicula,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2019-05-04,Isabelle M. Côté,iNat:129284392,,339164,MOL,accepted,339164,Entodesma navicula,Entodesma navicula
Epiactis lisbethae,"Fautin & Chia, 1986",,brooding anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Epiactis,lisbethae,NA,,NA,native,unlisted,NA,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,NA,,,,,429853,CNI,accepted,429853,Epiactis lisbethae,Epiactis lisbethae
Epiactis prolifera,"Verrill, 1869",,proliferating anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Epiactis,prolifera,NA,,NA,native,unlisted,NA,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,NA,,,,,49060,CNI,accepted,49060,Epiactis prolifera,Epiactis prolifera
Epigamia cf. alexandri,,,noble necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,,Epigamia,alexandri,NA,,NA,non-native,unlisted,NA,reported,unobserved,1986-09-30,,RBCM,986-00197-018,1898293180,,,,,1136117,WOR,unknown,,,Epigamia alexandri
Epigamia magna,"(Berkeley, 1923)",,necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,Autolytini,Epigamia,magna,NA,,NA,,,NA,new 2022,observed,,,,,NA,2022-02-22,Catiemac,iNat:107323091,,628178,WOR,accepted,628178,Epigamia magna,Epigamia magna
Epitonium hindsii,"(Carpenter, 1856)",,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,Epitonium,hindsii,NA,,NA,native,unlisted,NA,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-019,1898294275,,,,,893102,MOL,accepted,893102,Epitonium hindsii,Epitonium hindsii
Epitonium indianorum,"(Carpenter, 1865)",,money wentletrap,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,Epitonium,indianorum,NA,,NA,native,unlisted,NA,reported,unobserved,2008-07-19,Andy Lamb,PMLS,,NA,,,,,129921,MOL,accepted,129921,Epitonium indianorum,Epitonium indianorum
Epizoanthus scotinus,"Wood, 1957",,orange zoanthid,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,Epizoanthus,scotinus,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2021-03-02,"Dave ""Zeuss"" Cochrane",iNat:70487014,,429859,CNI,accepted,429859,Epizoanthus scotinus,Epizoanthus scotinus
Eschrichtius robustus,"(Lilljeborg, 1861)",,grey whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Eschrichtiidae,,,Eschrichtius,robustus,NA,,NA,native,S3 (2006),NA,reported,unobserved,2001-04-15,Amy Rowley,BCCSN,,NA,,,,,41478,MAM,accepted,41478,Eschrichtius robustus,Eschrichtius robustus
Eualus butleri,"Jensen, 2004",,sponge eualid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Eualus,butleri,NA,,NA,native,unlisted,NA,reported,unobserved,2016-01-23,Andy Lamb,PMLS,,NA,,,,,459508,ART,accepted,459508,Eualus butleri,Eualus butleri
Eubranchus rupium,"(Møller, 1842)",,olive aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,rupium,NA,,NA,native,unlisted,NA,reported,unobserved,2012-10-06,Andy Lamb,PMLS,,NA,,,,,533047,MOL,accepted,533047,Eubranchus rupium,Eubranchus rupium
Eubranchus rustyus,"(Er. Marcus, 1961)",,homely aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,rustyus,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68793032,,50471,MOL,accepted,50471,Eubranchus rustyus,Eubranchus rustyus
Eubranchus sanjuanensis,"Roller, 1972",,San Juan aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,sanjuanensis,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751951,,544965,MOL,accepted,544965,Eubranchus sanjuanensis,Eubranchus sanjuanensis
Eudistoma molle,"(Ritter, 1900)",,red-dotted compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,Eudistoma,molle,NA,,NA,native,unlisted,NA,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,NA,,,,,448127,TUN,accepted,448127,Eudistoma molle,Eudistoma molle
Eudistoma purpuropunctatum,"Lambert, 1989",,mauve lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,Eudistoma,purpuropunctatum,NA,,NA,native,unlisted,NA,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,NA,,,,,492675,TUN,accepted,492675,Eudistoma purpuropunctatum,Eudistoma purpuropunctatum
Eudistylia vancouveri,"(Kinberg, 1866)",,Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Eudistylia,vancouveri,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2015-01-01,Peter Luckham,iNat:2797277,,84864,WOR,accepted,84864,Eudistylia vancouveri,Eudistylia vancouveri
Eulalia sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Phyllodociformia,,Phyllodocidae,Eteoninae,,Eulalia,,NA,,NA,native,unlisted,NA,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-024,1898322763,,,,,345515,WOR,accepted,347275,Eulalia,Eumida
