Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Potamogeton pusillus ssp. pusillus,L.,,small pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton pusillus,Potamogeton pusillus pusillus,,pusillus,,native,S4 (2001),,reported,unobserved,1977-08-11,Patrick D. Warrington,RBCM,V171965,,,,,"RBCM:  Brohm Lake, Cheekye",78714,VAS
Zannichellia palustris,L.,,horned pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Zannichellia,Zannichellia palustris,,,,native,S4 (2015),,reported,unobserved,1981-07-29,G.E. Bradfield,UBC,V175131,,,,,,79546,VAS
Ruppia maritima,L.,,widgeongrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Ruppiaceae,,,Ruppia,Ruppia maritima,,,,native,S5 (2001),,confirmed,observed,1980-01-01,,RBCM,V199577,,2015-07-14,Judith Holm,https://www.inaturalist.org/observations/9974569,,61090,VAS
Triantha glutinosa,Michx.,,sticky false asphodel,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Tofieldiaceae,,,Triantha,Triantha glutinosa,,,,native,S5 (2000),,confirmed,observed,1989-08-06,T. C. Wells,WTU,V-029170,,2017-07-30,Judith Holm,https://www.inaturalist.org/observations/7362020,,169913,VAS
Triantha occidentalis ssp. brevistyla,(S. Watson) R.R. Gates,(C.L.Hitchc.) Packer,short-style sticky tofieldia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Tofieldiaceae,,,Triantha,Triantha occidentalis,,brevistyla,,native,S5 (2000),,reported,unobserved,2016-08-13,Qianshi Lin,UBC,V245038,,,,,UBC:  Cypress Mt. near Yew Lake,238899,VAS
Zostera marina,L.,,eelgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Zosteraceae,,,Zostera,Zostera marina,,,,native,S5 (2019),,new 2017,observed,,,,,,2017-07-26,caitlinforeman,https://www.inaturalist.org/observations/7298464,,52614,VAS
Allium amplectens,Torr.,,narrowleaf onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allium,Allium amplectens,,,,native,S3 (2019),,new 2015,observed,,,,,,2015-05-17,steveansell,https://www.inaturalist.org/observations/66765477,,60267,VAS
Allium cernuum,Roth,,nodding onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allium,Allium cernuum,,,,native,S5 (2015),,confirmed,observed,1899-07-01,J. A. Bury[?],CPNWH,2475755,,2006-06-22,Gwen L'Hirondelle,https://www.inaturalist.org/observations/20816015,,116364,VAS
Allium schoenoprasum,L.,,chives,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,,Allium,Allium schoenoprasum,,,,native,S5 (2019),,new 2020,observed,,,,,,2020-06-07,Ben Keen,https://www.inaturalist.org/observations/48879007,,59254,VAS
Galanthus nivalis,L.,,common snowdrop,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,,Galanthus,Galanthus nivalis,,,,exotic,SNA (2019),,new 2021,observed,,,,,,2021-03-19,sacharoland,https://www.inaturalist.org/observations/71560752,,51606,VAS
Asparagus officinalis,L.,,wild asparagus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Asparagoideae,,Asparagus,Asparagus officinalis,,,,exotic,SNA (2001),,new 2015,observed,,,,,,2015-07-14,Judith Holm,https://www.inaturalist.org/observations/9971627,,60265,VAS
Brodiaea coronaria,(Salisb.) Engl,,crown brodiaea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Brodiaea,Brodiaea coronaria,,,,native,S3S4 (2015),,confirmed,observed,1975-07-06,Golden Stanley,RBCM,V083598,,2018-06-18,taylor_justason,https://www.inaturalist.org/observations/42974970,RBCM:  Gibsons,57126,VAS
Camassia leichtlinii ssp. suksdorfii,(Baker) S. Wats.,(Greenm.) Gould,great camas,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,Camassia leichtlinii,,suksdorfii,,native,S4 (2019),,confirmed,observed,1993-05-24,,RBCM,V182029,,2015-05-17,steveansell,https://www.inaturalist.org/observations/66863985,,79659,VAS
Camassia quamash,(Pursh) Greene,,small camas,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,Camassia quamash,,,,native,S4 (2020,,new 2021,observed,,,,,,2021-04-25,michaelkarlrichards,https://www.inaturalist.org/observations/75210075,,62220,VAS
Convallaria majalis,L.,,European lily of the valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallaria,Convallaria majalis,,,,unlisted,unlisted,,new 2019,observed,,,,,,2019-05-16,samthuja,https://www.inaturalist.org/observations/25225093,,48206,VAS
Hyacinthoides hispanica,(Mill.) Chouard ex Rothm.,,spanish bluebell,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Hyacinthoides,Hyacinthoides hispanica,,,,exotic,SNA (2019),,new 2020,observed,,,,,,2020-05-06,Ben Keen,https://www.inaturalist.org/observations/45130121,iNat: needs i.d.,57635,VAS
Hyacinthoides non-scripta,(L.) Chouard ex Rothm.,,bluebell,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Hyacinthoides,Hyacinthoides non-scripta,,,,exotic,SNA (2019),,new 2021,observed,,,,,,2021-05-04,Ben Keen,https://www.inaturalist.org/observations/81660727,,56132,VAS
Maianthemum dilatatum,(Alph. Wood) A. Nelson & J.F. Macbr.,,western lily of the valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,Maianthemum dilatatum,,,,native,S5 (2000),,confirmed,observed,1997-05-18,Gerald B. Straley,UBC,V226289,,2017-04-16,sea2skynaturebc,http://inaturalist.ca/observations/5762841,,63939,VAS
Maianthemum racemosum ssp. amplexicaule,(L.) Link,(Nutt.) LaFrankie,solomon's plume,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,Maianthemum racemosum,,amplexicaule,,native,S5 (2015),,confirmed,observed,1961-05-25,F. Vrugtman,UBC,V101047,,2014-06-21,Judith Holm,https://www.inaturalist.org/observations/8894052,,53012,VAS
Maianthemum stellatum,(L.) Link.,,starry false solomon's-seal,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,Maianthemum stellatum,,,,native,S5 (2015),,confirmed,observed,1960-06-09,L. Orloci,UBC,V90716,,2017-07-02,Judith Holm,https://www.inaturalist.org/observations/7270508,,53268,VAS
Muscari armeniacum,Leichtlin,,garden grape-hyacinth,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,Muscari armeniacum,,,,exotic,SNA,,new 2020,observed,,,,,,2020-04-10,Ben Keen,https://www.inaturalist.org/observations/41839372,,57847,VAS
Muscari botryoides,(L.) Mill.,,common grape hyacinth,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,Muscari botryoides,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-03-27,raduscurtescu,https://www.inaturalist.org/observations/72234262,,56134,VAS
Muscari neglectum,Guss. ex Ten.,,grape hyacinths,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,Muscari neglectum,,,,exotic,SNA (2012),,reported,unobserved,2014-04-12,Frank Lomer,UBC,V241862,,,,,UBC:  Lions Bay 220m north of Lions Bay Ave RR crossing,68846,VAS
Scilla sp.,,,squills,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Scilla,Scilla ,,,,exotic,,,new 2021,observed,,,,,,2021-03-19,ahusdon,https://www.inaturalist.org/observations/71567384,iNat: needs i.d.,49149,VAS
Triteleia grandiflora,Lindl.,,large-flower triplet lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Triteleia,Triteleia grandiflora,,,,native,S4 (2015),,reported,unobserved,1916-07-15,W. Taylor,UBC,V219822,,,,,UBC:  West Vancouver Caulfield,79452,VAS
Triteleia hyacinthina,(Lindl.) Greene,,white brodiaea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Triteleia,Triteleia hyacinthina,,,,native,S4 (2015),,confirmed,observed,2001-06-15,Helen Kennedy,UBC,V217115,,2018-06-16,the_rainbow_bee,https://www.inaturalist.org/observations/13509117,UBC:  W Vancouver Caulfield Park W facing at oceanside,57132,VAS
Yucca sp.,,,yucca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Yucca,Yucca ,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-04-04,raduscurtescu,https://www.inaturalist.org/observations/72976540,iNat: needs i.d.,47787,VAS
Crocosmia × crocosmiiflora,(Lemoine) N.E. Br.,,montbretia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Crocoideae,,Crocosmia,Crocosmia ,Crocosmia × crocosmiiflora,,,exotic,SNA (2001),,new 2019,observed,,,,,,2019-08-21,Ben Keen,https://www.inaturalist.org/observations/31271406,,181465,VAS
Iris pseudacorus,L.,,yellow iris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Iris,Iris pseudacorus,,,,exotic,SNA (2001),,new 2018,observed,,,,,,2018-09-20,keeganjd,https://www.inaturalist.org/observations/16718236,,47779,VAS
Iris sibirica,L.,,Siberian iris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Iris,Iris sibirica,,,,exotic,SNA (2019),,reported,unobserved,2020-05-17,,GBIF 2022,q-10169610850,,,,,,59943,VAS
Calypso bulbosa var. occidentalis,(L.) Oakes,(Holz.) Cockerell,western fairy slipper,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Calypso,Calypso bulbosa,,,occidentalis,native,S5 (2000),,confirmed,observed,1914-04-27,W. Taylor,UBC,V218590,,2003-05-03,Steve Ansell,https://www.inaturalist.org/observations/108399353,,57724,VAS
Corallorhiza maculata,(Raf.) Raf.,,spotted coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,Corallorhiza maculata,,,,native,S5 (2000),,confirmed,observed,1913-06-15,Fred Perry,UBC,V52040,,2017-06-25,Judith Holm,http://inaturalist.ca/observations/6792845,,49475,VAS
Corallorhiza mertensiana,Bong,,Pacific coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,Corallorhiza mertensiana,,,,native,S5 (2015),,confirmed,observed,1974-07-05,C.E. Biel,UBC,V176127,,2016-05-31,Judith Holm,https://www.inaturalist.org/observations/6032811,,49444,VAS
Corallorhiza striata,Lindl.,,striped coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,Corallorhiza striata,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-07-16,garethwheatley,https://www.inaturalist.org/observations/87316044,,50708,VAS
Cypripedium montanum,Douglas ex Lindl.,,mountain lady's-slipper,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Cypripedioideae,,Cypripedium,Cypripedium montanum,,,,native,S4S5 (2019),,new 2019,observed,,,,,,2019-06-07,northvandad,https://www.inaturalist.org/observations/26944078,,50712,VAS
Epipactis helleborine,(L.) Crantz,,broad-leafed helleborine,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Epipactis,Epipactis helleborine,,,,exotic,SNA (2019),,new 2019,observed,,,,,,2019-07-12,andy415,https://www.inaturalist.org/observations/28818497,,50717,VAS
Goodyera oblongifolia,Raf.,,western rattlesnake plantain,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Goodyera,Goodyera oblongifolia,,,,native,S5 (2015),,new 2014,observed,,,,,,2014-06-03,Judith Holm,https://www.inaturalist.org/observations/6160897,,50719,VAS
Neottia banksiana,(Lind.) Rchb. f.,,northwestern twayblade,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Neottia,Neottia banksiana,,,,native,S4 (2015),,confirmed,observed,1975-07-29,Ken Carey,UBC,V157729,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9237020,Reported as: Listera caurina,131227,VAS
Neottia cordata,(L) Rchb.,,heartleaf twayblade,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Neottia,Neottia cordata,,,,native,S4S5 (2015),,confirmed,observed,2012-07-25,Erin R. Manton,UBC,V239571,,2017-07-02,Judith Holm,https://www.inaturalist.org/observations/7270701,,204364,VAS
Platanthera aquilonis,Sheviak,,northern green rein orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera aquilonis,,,,native,S5 (2019),,reported,unobserved,,N. A. Harriman,F,,,,,,Straley’s USCH record annotated as Platanthera hyperborea; likely refers to Platanthera aquilonis,131230,VAS
Platanthera dilatata var. dilatata,(Pursh) Lindl. ex L.C. Beck,,white bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera dilatata,,,dilatata,native,S5,,confirmed,observed,1951-07-27,W. Cottle,UBC,V27330,,2015-06-07,Judith Holm,http://www.inaturalist.org/observations/4403034,,78623,VAS
Platanthera dilatata var. leucostachys,(Pursh) Lindl. ex L.C.Beck,(Lindl.) Hultén,Sierra bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera dilatata,,,leucostachys,native,S5 (2000),,reported,unobserved,1926-07-04,W. Ashlee,UBC,V141569,,,,,UBC:  Hollyburn Ridge,81271,VAS
Platanthera elegans,Lindl.,,elegant rein orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera elegans,,,,native,S4,,new 2015,observed,,,,,,2015-06-09,Steve Ansell,https://www.inaturalist.org/observations/66759681,,840641,VAS
Platanthera orbiculata,(Pursh) Lindl.,,round-leaved bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera orbiculata,,,,native,S4 (2015),,confirmed,observed,1916-07-25,W. Taylor,UBC,V219082,,2016-07-03,hillanddale,https://www.inaturalist.org/observations/8500276,,131218,VAS
Platanthera stricta,Lindl.,,slender bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera stricta,,,,native,S5 (2015),,confirmed,observed,1974-10-15,Peggy C. Martin,UBC,V148168,,2017-07-02,Judith Holm,https://www.inaturalist.org/observations/7270946,,50739,VAS
Platanthera unalascensis,,,Alaska piperia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera unalascensis,,,,native,S5 (2019),,new 2015,observed,,,,,,2015-06-13,steveansell,https://www.inaturalist.org/observations/68140498,,840638,VAS
Spiranthes romanzoffiana,Cham.,,hooded ladies' tresses,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Spiranthes,Spiranthes romanzoffiana,,,,native,S4? (2015),,confirmed,observed,1965-07-09,Jake P. Luitjens,UBC,V219079,,2007-07-28,hillanddale,https://www.inaturalist.org/observations/9630323,,50743,VAS
Clintonia uniflora,(Menzies ex Schult. & Schult. f.) Kunth,,bride's bonnet,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Clintonia,Clintonia uniflora,,,,native,S5 (2015),,confirmed,observed,2010-07-01,Erin R. Manton,UBC,V236238,,2017-07-16,sea2skynaturebc,http://inaturalist.ca/observations/7076582,,76401,VAS
Erythronium grandiflorum,Pursh,,yellow glacier lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Erythronium,Erythronium grandiflorum,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,60496,VAS
Erythronium oregonum,Applegate,,giant white fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Erythronium,Erythronium oregonum,,,,native,S4 (2019),,new 2016,observed,,,,,,2016-03-24,mtncatt,http://www.inaturalist.org/observations/4242613,,59520,VAS
Erythronium revolutum,Sm.,,coast fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Erythronium,Erythronium revolutum,,,,native,S5? (2019),,new 2018,observed,,,,,,2018-04-10,hillanddale,https://www.inaturalist.org/observations/12689396,,77081,VAS
Fritillaria affinis,(Shult. & Shult.f.) Sealy,,checker lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Fritillaria,Fritillaria affinis,,,,native,S5 (2000),,confirmed,observed,1948-05-11,Thomas M.C. Taylor,UBC,V25109,,2018-04-17,derekkillby,https://www.inaturalist.org/observations/13785692,,50618,VAS
Fritillaria camschatcensis,(L.) Ker Gawl.,,rice root,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Fritillaria,Fritillaria camschatcensis,,,,native,S5 (2000),,confirmed,observed,2015-06-26,Bob Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9228859,,128770,VAS
Lilium columbianum,Leichtlin,,columbia lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Lilium,Lilium columbianum,,,,native,S5 (2015),,confirmed,observed,1924-05-31,T.R. Ashlee,UBC,V223468,,2018-05-29,Judith Holm,https://www.inaturalist.org/observations/13099371,,77744,VAS
Prosartes hookeri,Torr.,,Hooker's fairybells,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Prosartes,Prosartes hookeri,,,,native,S5 (2000),,confirmed,observed,2010-07-15,Erin R. Manton,UBC,V236243,,2016-05-03,Judith Holm,http://www.inaturalist.org/observations/4469245,,51071,VAS
Streptopus amplexifolius,(L.) DC.,,white twisted-stalk,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Streptopus,Streptopus amplexifolius,,,,native,S5,,confirmed,observed,2010-07-01,Erin R. Manton,UBC,V236237,,2017-07-02,Judith Holm,https://www.inaturalist.org/observations/7271078,,79273,VAS
Streptopus lanceolatus var. curvipes,(Aiton) Reveal,(Vail) Reveal,rose twisted-stalk,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Streptopus,Streptopus lanceolatus,,,curvipes,native,S4 (2015),,confirmed,observed,1913-08-01,W. Taylor,UBC,V25387,,2014-06-28,Judith Holm,http://www.inaturalist.org/observations/4503937,,243120,VAS
Streptopus streptopoides,(Ledeb.) Frye & Rigg,,small twisted-stalk,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Streptopoideae,,Streptopus,Streptopus streptopoides,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-08-01,steveansell,https://www.inaturalist.org/observations/89992283,previous ssp of S. streptopoides are no longer recognized by CDC or I.T.I.S.,169409,VAS
Toxicoscordion venenosum var. venenosum,(S. Watson) Rydb.,,death camas,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,,Toxicoscordion,Toxicoscordion venenosum,,,venenosum,native,S5 (2000),,confirmed,observed,2012-05-02,Erin R. Manton,UBC,V238420,,2019-05-11,dave328,https://www.inaturalist.org/observations/24965715,UBC:  West Vancouver Lighthouse Park; just the one ssp of T. venenosum recorded in BC,81432,VAS
Trillium ovatum var. ovatum,Pursh,,Pacific trillium,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,,Trillium,Trillium ovatum,,,ovatum,native,S5 (2019),,new 2020,observed,,,,,,2020-04-25,sooty,https://www.inaturalist.org/observations/44625907,only this one variety recorded in BC,63972,VAS
Veratrum viride var. eschscholzianum,Aiton,(Schult. & Schult.f.) Breitung,western green false hellebore,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,,Veratrum,Veratrum viride,,,eschscholzianum,native,S5 (2015),,confirmed,observed,1969-06-24,P. Warrington,LEA,,,2014-06-21,Judith Holm,https://www.inaturalist.org/observations/8894020,only this one variety recorded in BC,79484,VAS
Bolboschoenus fluviatilis,(Torr.) Soják,,river bulrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Bolboschoenus,Bolboschoenus fluviatilis,,,,native,S2S3 (2019),,reported,unobserved,,,,,,,,,,64228,VAS
Bolboschoenus maritimus ssp. paludosus,(L.) Palla,(A.Nelson) T.Koyama,seacoast bulrush alkali marsh,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Bolboschoenus,Bolboschoenus maritimus,,paludosus,,native,S1 (2015),,confirmed,observed,2007-08-19,F. Lomer,UBC,V233607,,2015-06-17,Judith Holm,https://www.inaturalist.org/observations/8737843,Reported as: Scirpus paludosus,79646,VAS
Carex albonigra,Mack.,,black-and-white sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,Carex albonigra,,,,native,S5 (2015),,reported,unobserved,1917-08-10,John Davidson,UBC,V234059,,,,,UBC: Garibaldi PP Polemonium Ridge,76009,VAS
Carex aquatilis var. dives,Wahlenb.,(Holm) Kük.,Sitka sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,Carex aquatilis,,,dives,native,unlisted,,confirmed,observed,1960-05-04,L. Orloci,UBC,V90695,,2017-06-25,Judith Holm,https://www.inaturalist.org/observations/6803746,UBC: Oxbow L Squamish R; aka C.sitchensis & C. aquatilis,80511,VAS
Carex arcta,Boott,,northern clustered sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,Carex arcta,,,,native,S5 (2019),,reported,unobserved,,,,,,,,,,76014,VAS
