"Taxon","Matched.Taxon","Critical.Note"
"Chondracanthus spp.","",""
"Bossiella spp., Calliarthron spp.","",""
"Bossiella, Calliarthron, Corallina, Serraticardia","",""
"Callophyllis spp.","",""
"Cryptopleura spp.","",""
"filamentous red algae","",""
"undetermined bladed red algae","",""
"Corallina officinalis var. chilensis","",""
"Gracilaria / Gracilariopsis","",""
"Mastocarpus spp.","",""
