Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Collemopsidium halodytes s.lat.,(Nyl.) Grube & B.D. Ryan,,barnacle lichen,Fungi,Ascomycota,Pezizomycotina,,Incertae sedis,,,Incertae sedis,,,Xanthopyreniaceae,,,Collemopsidium,native,unlisted,reported,unobserved,1976-07-23,Willa J. Noble,UBC,L14859,,,,,Reported as Arthopyrenia halodytes,462769,LIC
Sarcogyne hypophaea,(Nyl.) Arnold,,grain-spored lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Acarosporomycetidae,,Acarosporales,,,Acarosporaceae,,,Sarcogyne,native,unlisted,reported,unobserved,1974-04-21,Willa J. Noble,UBC,L35645,,,,,Reported as Sarcogyne privigna var. calcicola,532278,LIC
Acolium inquinans,(Sm.) A. Massal.,,cupped soot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Acolium,native,unlisted,new 2017,observed,,,,,,2017-06-16,Andrew Simon,https://www.inaturalist.org/observations/7503518,,636286,LIC
Amandinea punctata,(Hoffm.) Coppins & Scheid.,,tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Amandinea,native,unlisted,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35871,,2016-10-16,Andrew Simon,http://www.inaturalist.org/observations/4381611,Reported as Buellia punctata,155082,LIC
Buellia fecunda ined.,,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Buellia,native,unlisted,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L35905,,,,,,,LIC
Buellia fosteri,(Imshaug & Sheard) Perlmutter & Rivas Plata,,whitewash lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Buellia,native,unlisted,new 2017,observed,,,,,,2017-12-22,Andrew Simon,https://www.inaturalist.org/observations/9239094,,1027862,LIC
Calicium viride,Pers.,,green stubble lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Calicium,native,unlisted,confirmed,observed,1977-07-24,Willa J. Noble,UBC,L14869,,2018-05-12,Andrew Simon,https://www.inaturalist.org/observations/12406796,,207863,LIC
Diplotomma penichra,(Tuck.) Szat.,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Diplotomma,native,unlisted,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L37603,,,,,Reported as Buellia penichra,218550,LIC
Thelomma mammosum,(Hepp) A.Massal.,,rock nipple lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Thelomma,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L12450,,2015-08-05,Andrew Simon,http://www.inaturalist.org/observations/2599843,,146938,LIC
Phaeophyscia orbicularis,(Necker) Moberg.,,powder-headed shadow,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Phaeophyscia,native,S4 (2010),confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35917,,2019-04-29,Andrew Simon,https://www.inaturalist.org/observations/24768208,,60718,LIC
Physcia adscendens,H. Olivier.,,hooded rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,native,S5 (2010),confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3948542,,124439,LIC
Physcia alnophila,"(Vainio) Loht., Moberg, L. Myllys & Tehler.",,grey-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,native,S5 (2018),confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36181,,2017-02-16,Andrew Simon,https://www.inaturalist.org/observations/5121968,,463769,LIC
Physcia caesia,(Hoffm.) Hampe ex Fürnr.,,blue-grey rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,native,S4 (2010),confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36192,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2632612,,194681,LIC
Physcia phaea,(Tuck.) J.W. Thomson,,black-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,native,S4 (2019),new 2020,observed,,,,,,2020-11-10,Randal Mindell & Andrew Simon,https://www.inaturalist.org/observations/64809762,,154099,LIC
Physcia tenella,(Scop.) DC.,,hoodless rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,native,S5 (2018),new 2016,observed,,,,,,2016-10-04,Andrew Simon,http://www.inaturalist.org/observations/4282590,,228059,LIC
Physconia enteroxantha,(Nyl.) Poelt.,,gilded frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physconia,native,S3S4 (2010),confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35888,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5526013,,228066,LIC
Physconia perisidiosa,(Erichsen) Moberg.,,crescent frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physconia,native,S4 (2010),confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35902,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5526016,,203896,LIC
Rinodina bolanderi,H. Magn.,,creamy pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L48880,,2017-05-18,Andrew Simon,https://www.inaturalist.org/observations/22597101,,230206,LIC
Rinodina gennarii,Bagl.,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,native,unlisted,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L36905,,,,,,230233,LIC
Rinodina hallii,Tuck.,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,native,unlisted,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,230239,LIC
Rinodina laevigata,(Ach.) Malme,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,native,unlisted,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L36904,,,,,,123456,LIC
Rinodina terricola,Sheard & K. Knudsen,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L36906,,,,,,532252,LIC
Candelaria pacifica,Westberg,,Pacific candleflame,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Candelariomycetidae,,Candelariales,,,Candelariaceae,,,Candelaria,native,unlisted,reported,unobserved,2011-05-14,Kent Brothers,VMS,,,,,,,203098,LIC
Candelariella vitellina,(Hoffm.) Müll. Arg.,,common goldspeck,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Candelariomycetidae,,Candelariales,,,Candelariaceae,,,Candelariella,native,unlisted,new 2017,observed,,,,,,2017-12-31,Andrew Simon,https://www.inaturalist.org/observations/9328883,,182455,LIC
Ionaspis lacustris,(With.) Lutzoni,,rusty brook lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Hymeneliales,,,Hymeneliaceae,,,Ionaspis,native,unlisted,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36219,,,,,,222258,LIC
Cladonia albonigra,Brodo & Ahti,,blackfoot pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S4 (2010),new 2015,observed,,,,,,2015-08-28,Andrew Simon,https://www.inaturalist.org/observations/5288435,,194699,LIC
Cladonia bacilliformis,(Nyl.) Sarnth.,,yellowhorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S3S4 (2019),new 2017,observed,,,,,,2017-12-31,Andrew Simon,https://www.inaturalist.org/observations/9329152,,217074,LIC
Cladonia carneola,(Fr.) Fr.,,crowned pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),new 2017,observed,,,,,,2017-10-29,Kevin Toomer,https://www.inaturalist.org/observations/8604599,,194513,LIC
Cladonia cenotea,(Ach.) Schaer.,,powdered funnel lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),new 2016,observed,,,,,,2016-12-22,Andrew Simon,https://www.inaturalist.org/observations/4834210,,180456,LIC
Cladonia cf asahinae,J.W. Thomson,,Asahina's pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S4 (2010),new 2017,observed,,,,,,2017-02-25,Andrew Simon,https://www.inaturalist.org/observations/5197373,,210582,LIC
Cladonia chlorophaea,(Flörke ex Sommerf.) Sprengel,,mealy pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),new 2015,observed,,,,,,2015-08-28,Andrew Simon,https://www.inaturalist.org/observations/5288560,,1080564,LIC
Cladonia coniocraea,(Flörke) Sprengel,,common powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2010),new 2015,observed,,,,,,2015-10-08,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2647302,,155093,LIC
Cladonia cornuta,(L.) Hoffm.,,bighorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),new 2017,observed,,,,,,2017-05-13,Andrew Simon,https://www.inaturalist.org/observations/39122904,,179035,LIC
Cladonia crispata var. crispata,(Ach.) Flot.,,greater organpipe pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),new 2015,observed,,,,,,2015-10-31,Andrew Simon,https://www.inaturalist.org/observations/39123247,,240032,LIC
Cladonia fimbriata,(L.) Fr.,,trumpet pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2010),confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2016-01-24,Andrew Simon,https://www.inaturalist.org/observations/39125193,,179037,LIC
Cladonia furcata,(Hudson) Schrader,,many-forked Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),confirmed,observed,1964-05-27,Wilfred B. Schofield,UBC,L3008,,2016-01-28,Andrew Simon,https://www.inaturalist.org/observations/39125622,,54607,LIC
Cladonia macilenta,Hoffm.,,lipstick powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S4 (2010),confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36212,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566592,,117950,LIC
Cladonia portentosa ssp. pacifica,(Ahti) Ahti,,maritime reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2010),confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-02-12,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565137,,119666,LIC
Cladonia pyxidata,(L.) Hoffm.,,pebbled pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36208,,2015-03-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569437,,123894,LIC
Cladonia rangiferina,(L.) F. H. Wigg.,,grey reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),confirmed,observed,1974-04-21,Willa J. Noble,UBC,L35639,,2016-08-26,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3971238,,119778,LIC
Cladonia scabriuscula,(Delise) Leight.,,card-carrying Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),new 2015,observed,,,,,,2015-03-26,Andrew Simon,http://www.inaturalist.org/observations/2588105,,217148,LIC
Cladonia squamosa,Hoffm.,,dragon pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2010),confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36175,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566605,,117963,LIC
Cladonia transcendens,(Vain.) Vain.,,graduated pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S4 (2010),new 2017,observed,,,,,,2017-06-18,Andrew Simon,http://inaturalist.ca/observations/6714894,,179038,LIC
Cladonia umbricola,Tønsberg & Ahti,,shadow pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S5 (2018),confirmed,observed,1977-07-24,Teuvo Ahti & Willa J. Noble,UBC,L37526,,2015-08-28,Andrew Simon,https://www.inaturalist.org/observations/5288444,,194721,LIC
Cladonia uncialis,(L.) F. H. Wigg.,,thorn lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,SNR,new 2017,observed,,,,,,2017-04-01,Andrew Simon,https://www.inaturalist.org/observations/5537636,,121208,LIC
Cladonia verruculosa,(Vainio) Ahti.,,nittygritty pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,S4 (2010),confirmed,observed,1963-08-31,Wilfred B. Schofield,UBC,L3352,,2021-05-01,Andrew Simon,https://www.inaturalist.org/observations/83017058,,155194,LIC
Cladonia wainioi,Savicz.,,reindeer pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,native,SU (2018),new 2018,observed,,,,,,2018-02-16,Andrew Simon,https://www.inaturalist.org/observations/39121650,,182567,LIC
Pilophorus acicularis,(Ach.) Th. Fr.,,devil’s matchsticks,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Pilophorus,native,S5 (2018),confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36172,,2015-03-09,Andrew Simon,http://www.inaturalist.org/observations/2572192,,128919,LIC
Lecanora bicincta,Ramond,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,new 2017,observed,,,,,,2017-05-18,Andrew Simon,https://www.inaturalist.org/observations/22641977,,222826,LIC
Lecanora campestris,(Schaer.) Hue,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35939,,,,,,222833,LIC
Lecanora confusa,Almb.,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L2377,,2016-10-07,Andrew Simon,http://www.inaturalist.org/observations/4296044,,222844,LIC
Lecanora hybocarpa,(Tuck.) Brodo,,bumpy rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2018-12-25,Andrew Simon,https://www.inaturalist.org/observations/19876215,,155095,LIC
Lecanora pacifica,Tuck.,,multicolored rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-10-16,Andrew Simon,http://www.inaturalist.org/observations/4390097,,117970,LIC
Lecanora polytropa,(Hoffm.) Rabenh.,,granite-speck rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36216,,,,,,182558,LIC
Lecanora sulphurea,(Hoffm.) Ach.,,brimstone tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L20699,,,,,,222956,LIC
Lecanora symmicta,(Ach.) Ach.,,fused rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36195,,,,,,222957,LIC
Lecanora xylophila,Hue,,driftwood rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L12448,,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/9199365,syn. Lecanora grantii,117966,LIC
Lecidella asema,(Nyl.) Knoph & Hertel,,disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecidella,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L36167,,2016-11-04,Andrew Simon,http://www.inaturalist.org/observations/4497768,,205694,LIC
Lecidella stigmatea,(Ach.) Hertel & Leuckert,,rock disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecidella,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35919,,2016-10-16,Andrew Simon,https://www.inaturalist.org/observations/9263649,,179366,LIC
Myriolecis dispersa,"(Pers.) Śliwa, Zhao Xin & Lumbsch",,mortar rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Myriolecis,native,unlisted,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35914,,2017-12-22,Andrew Simon,https://www.inaturalist.org/observations/9237202,Reported as Lecanora dispersa,532146,LIC
Myriolecis hagenii,(Ach.) Ach.,,Hagen’s rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Myriolecis,native,unlisted,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,532149,LIC
Myriolecis schofieldii,"Brodo) Śliwa, Zhao Xin & Lumbsch",,Schofield’s rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Myriolecis,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L26791,,,,,,532156,LIC
