Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Leucolepis acanthoneura,(Schwägr.) Lindb.,,Menzies' tree moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Leucolepis,native,S5? (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608775,,120870,BRY
Mnium spinulosum,Bruch & Schimp.,,red-mouthed leafy-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Mnium,native,S5 (2015),new 2018,observed,,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",https://www.inaturalist.org/observations/10564762,,124391,BRY
Plagiomnium insigne,(Mitt.) T.J. Kop.,,badge moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Plagiomnium,native,S4S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2014-09-27,Andrew Simon,http://www.inaturalist.org/observations/2632416,,122705,BRY
Plagiomnium venustum,(Mitt.) T.J. Kop.,,magnificent moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Plagiomnium,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2663660,,126179,BRY
Rhizomnium glabrescens,(Kindb.) T.J. Kop.,,fan moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Rhizomnium,native,S4S5,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-03-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2568990,,85421,BRY
Cynodontium jenneri,(Schimper) Stirton,,Jenner's dog-tooth moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Cynodontium,native,S4S5 (2011),new 2017,observed,,,,,,2017-03-04,Andrew Simon,https://www.inaturalist.org/observations/22644351,,161409,BRY
Dichodontium pellucidum,(Hedw.) Schimp.,,transparent fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dichodontium,native,S5 (2015),new 2019,observed,,,,,,2019-03-17,Andrew Simon,https://www.inaturalist.org/observations/21350313,,161820,BRY
Dicranum fuscescens,Turner,,dusky forkmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,native,S5 (2015) *listed subtaxa in BC,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-09-27,Andrew Simon,http://www.inaturalist.org/observations/2632495,,123177,BRY
Dicranum howellii,Renauld & Cardot,,Howell’s forkmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,native,S4S5 (2011),new 2016,observed,,,,,,2016-10-23,Andrew Simon,https://www.inaturalist.org/observations/4850005,,161860,BRY
Dicranum polysetum,Sw.,,wavy-leaved moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,native,S5? (2015),reported,unobserved,2000-06-12,Hans Roemer,ER 128 Inventory,,,,,,,161868,BRY
Dicranum scoparium,Hedw.,,broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,native,S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608937,,123134,BRY
Dicranum tauricum,Sapjegin,,fragile forkmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,native,S5 (2015),confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2016-04-01,Andrew Simon,https://www.inaturalist.org/observations/4849361,,161872,BRY
Ceratodon purpureus,(Hedw.) Brid.,,fire moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Ceratodon,native,S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2013-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142296,,123117,BRY
Pleuridium acuminatum,Lindb.,,awl-leaved earthmoss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Pleuridium,native,SU (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",https://www.inaturalist.org/observations/10564444,,127427,BRY
Hymenoloma crispulum,(Hedw.) Ochyra,,mountain pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Hymenolomataceae,,,Hymenoloma,native,S4S5 (2015),confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-04-04,Andrew Simon,http://www.inaturalist.org/observations/2567328,,154135,BRY
Dicranoweisia cirrata,(Hedw.) Lindb.,,common pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,,Dicranoweisia,native,S3S4 (2015),confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-02-22,Andrew Simon,http://www.inaturalist.org/observations/2566285,,67949,BRY
Fissidens bryoides,Hedw.,,lesser pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,,Fissidens,native,S4S5 (2011),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-25,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2573883,,124421,BRY
Fissidens crispus,Sull.,,Herzog’s pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,,Fissidens,native,S3S4 (2015),confirmed,observed,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B38500,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",https://www.inaturalist.org/observations/10671934,Reported as syn. Fissidens limbatus,67883,BRY
Entosthodon muhlenbergii,(Turner) Fife,,Muhlenberg’s cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Entosthodon,native,S3? (2011),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2013-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142562,,917753,BRY
Funaria hygrometrica,Hedw.,,common cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Funaria,native,S4S5 (2015),new 2018,observed,,,,,,2018-03-09,Andrew Simon,https://www.inaturalist.org/observations/10169600,,120000,BRY
Tetraplodon mnioides,(Sw. ex Hedw.) Bruch & Schimp,,slender cruet-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Splachnaceae,,,Tetraplodon,native,S4 (2015),new 2013,observed,,,,,,2013-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142637,,133496,BRY
Bucklandiella affinis,(F. Weber & D. Mohr) Bednarek-Ochyra & Ochyra in R. Ochyra et al.,,lesser fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Bucklandiella,native,S2S3 (2015),reported,unobserved,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-036060,,,,,,,BRY
Bucklandiella heterosticha,(Hedw.) Bednarek-Ochyra & Ochyra,,yellow-green rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Bucklandiella,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-05-14,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3181042,,,BRY
Bucklandiella occidentalis,(Renauld & Cardot) Bednarek-Ochyra & Ochyra,,western rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Bucklandiella,native,S4S5 (2015),reported,unobserved,1974-04-21,Wilfred B. Schofield,UBC,B45921,,,,,check this specimen,,BRY
Bucklandiella pacifica,(Ireland & J. R. Spence) Bednarek-Ochyra & Ochyra in R. Ochyra et al.,,Pacific rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Bucklandiella,native,S3 (2015),reported,unobserved,,,,,,,,,,,BRY
Codriophorus acicularis,(Hedwig) P. Beauvois,,yellow fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Codriophorus,native,S4S5 (2015),new 2018,observed,,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",https://www.inaturalist.org/observations/13879692,,,BRY
Codriophorus varius,(Mitten) Bednarek-Ochyra & Ochyra in R. Ochyra et al.,,rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Codriophorus,native,S4S5 (2015),new 2016,observed,,,,,,2016-12-22,Andrew Simon,https://www.inaturalist.org/observations/4841453,,,BRY
Grimmia cf montana,Bruch & Schimp.,,montane dry rock moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,native,S3S4 (2011),reported,unobserved,2010-04-17,Kent Brothers,VMS,,,,,,,154180,BRY
Grimmia leibergii,Paris,,Leiberg’s Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,native,S2S3 (2015),confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-21,Lauren Magner & Andrew Simon,http://inaturalist.ca/observations/2605709,,163390,BRY
Grimmia lisae,De Not.,,rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,native,SU (2015),new 2015,observed,,,,,,2015-08-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3734915,,163391,BRY
Grimmia pulvinata,(Hedw.) Sm.,,grey-cushioned Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,native,S4S5 (2015),confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B113701,,2016-12-22,Andrew Simon,https://www.inaturalist.org/observations/4837303,,56117,BRY
Grimmia ramondii,(Lam. & DC.) Margad.,,spreading-leaved Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,native,S4S5 (2011),new 2021,observed,,,,,,2021-06-12,Dan Tucker & Andrew Simon,https://www.inaturalist.org/observations/82929629,,338191,BRY
Grimmia trichophylla,Grev.,,hair-pointed Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-04-02,Andrew Simon,https://www.inaturalist.org/observations/5551251,,163406,BRY
Niphotrichum elongatum,(Ehrh. ex Frisvoll) Bednarek-Ochyra & Ochyra,,long fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Niphotrichum,native,S4S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608522,,,BRY
Racomitrium lanuginosum,(Hedw.) Brid.,,woolly fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,native,S3S5 (2015),confirmed,observed,2014,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2663632,,167684,BRY
Schistidium maritimum,(Turner ex Robt. Scott) Bruch & Schimp,,seaside Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Schistidium,native,S4S5 (2015),confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608657,,168578,BRY
Schistidium pulchrum,H.H. Blom,,showy bloom moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Schistidium,native,S3 (2015),reported,unobserved,2012-06-09,Terry McIntosh,UBC,B229138,,,,,,168582,BRY
Ptychomitrium gardneri,Lesq.,,Gardner’s Ptychomitrium moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Ptychomitriaceae,,,Ptychomitrium,native,S3S4 (2015),reported,unobserved,1974-04-21,Wilfred B. Schofield,UBC,B149847,,,,,north of Cook Rd.,167566,BRY
Calliergonella cuspidata,(Hedw.) Loeske,,pointed spear-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,,Calliergonella,native,S4S5 (2015),new 2016,observed,,,,,,2016-03-03,Andrew Simon,http://www.inaturalist.org/observations/2763242,,159669,BRY
Brachytheciastrum velutinum,(Hedw.) Ignatov & Huttunen,,velvet feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,native,S4S5 (2011),new 2018,observed,,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",https://www.inaturalist.org/observations/10999575,,917745,BRY
Brachythecium albicans,(Hedw.) Schimp.,,whitish feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-19,Sarah Tweedale & Andrew Simon,https://www.inaturalist.org/observations/5411692,,123771,BRY
Brachythecium asperrimum,(Mitt. ex Müll. Hal.) Sull.,,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,native,S5? (2015),new 2020,observed,,,,,,2020-04-30,Andrew Simon,https://www.inaturalist.org/observations/44569709,,67849,BRY
Brachythecium frigidum,(Müll. Hal.) Besch.,,cold brachythecium moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,native,S5? (2015),new 2017,observed,,,,,,2017-04-27,Andrew Simon,https://www.inaturalist.org/observations/6189981,,123270,BRY
Brachythecium sp.,,,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,,,new 2018,observed,,,,,,2018-02-14,Andrew Simon,https://www.inaturalist.org/observations/14547001,temporarily reported as Brachythecium erythrorrhizon var. erythrorrhizon,239648,BRY
Eurhynchiastrum pulchellum,(Hedw.) Ignatov & Huttunen,,elegant beaked moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Eurhynchiastrum,native,S4S5 (2011),new 2020,observed,,,,,,2020-11-10,Randal Mindell,https://www.inaturalist.org/observations/64809837,,447837,BRY
Homalothecium aeneum,(Mitt.) E. Lawton,,golden curl-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Homalothecium,native,unlisted,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-05-13,Andrew Simon,https://www.inaturalist.org/observations/6217932,,163824,BRY
Homalothecium arenarium,(Lesq.) E. Lawton,,sandwort Homalothecium,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Homalothecium,native,S3S4,new 2017,observed,,,,,,2017-04-14,Andrew Simon,https://www.inaturalist.org/observations/5715309,,163825,BRY
Homalothecium aureum,(Spruce) H. Rob.,,golden curl-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Homalothecium,native,S4? (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-04-03,Andrew Simon,http://www.inaturalist.org/observations/2890007,,451921,BRY
Homalothecium fulgescens,(Mitt. ex Müll. Hal.) A. Jaeger,,yellow curl-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Homalothecium,native,S4S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-10-02,Andrew Simon,http://www.inaturalist.org/observations/4266710,,123819,BRY
Homalothecium megaptilum,(Sull.) H. Rob.,,great-feathered moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Homalothecium,native,S4? (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-03-22,Andrew Simon,http://www.inaturalist.org/observations/2819490,,236885,BRY
Homalothecium nuttallii,(Wilson) A. Jaeger,,Nuttall’s Homalothecium,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Homalothecium,native,S4S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-10-20,Andrew Simon,http://www.inaturalist.org/observations/4414492,,67892,BRY
Kindbergia oregana,(Sull.) Ochyra,,Oregon beaked moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Kindbergia,native,S5,confirmed,observed,2010-01-26,"Terry McIntosh, O. Scholz & K. Millard",UBC,B229525,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635223,,120909,BRY
Kindbergia praelonga,(Hedw.) Ochyra,,common feather moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Kindbergia,native,S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566358,,1122172,BRY
Pseudisothecium cristatum,"(Hampe) Ignatova, Fedosov & Ignatov",,isothecium moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Pseudisothecium,native,S4,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-26,Andrew Simon,http://www.inaturalist.org/observations/2588114,,1262637,BRY
Pseudisothecium stoloniferum,(Brid.) Grout,,cat's tail moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Pseudisothecium,native,S4S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-09-27,Andrew Simon,http://www.inaturalist.org/observations/2632499,,1262643,BRY
Pseudoscleropodium purum,(Hedw.) M. Fleisch.,,neat feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Pseudoscleropodium,exotic,unlisted,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,B151546,,2016-03-10,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2767783,,123645,BRY
Scleropodium cespitans,L.F. Koch,,tufted feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Scleropodium,native,S4S5 (2015),new 2020,observed,,,,,,2020-04-10,Andrew Simon,https://www.inaturalist.org/observations/41881707,,67909,BRY
Scleropodium obtusifolium,(Mitt.) Kindb.,,blunt-leaved Scleropodium,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Scleropodium,native,S4S5 (2015),confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566343,,123794,BRY
Scleropodium touretii,(Brid.) L.F. Koch,,glasswort feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Scleropodium,native,S4? (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-10-23,Andrew Simon,http://www.inaturalist.org/observations/4425675,,67907,BRY
Calliergon cf giganteum,,,giant spearmoss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Calliergonaceae,,,Calliergon,native,S4 (2015),reported,unobserved,2000-06-12,Hans Roemer,ER 128 Inventory,,,,,,,159661,BRY
