Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Tribe,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Neotrypaea californiensis,"(Dana, 1854)",,bay ghost shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,,Callianassidae,,,Neotrypaea,native,unlisted,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,,,2019-04-20,Natalie Kennedy,https://www.inaturalist.org/observations/22842052,,56659,ART
Cancer productus,"Randall, 1840",,red rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Cancer,native,unlisted,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976310,,47826,ART
Glebocarcinus oregonensis,"(Dana, 1852)",,pygmy rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Glebocarcinus,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-003,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976002,,429951,ART
Metacarcinus gracilis,"(Dana, 1852)",,graceful crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Metacarcinus,native,unlisted,confirmed,observed,1973-06-14,Philip Lambert,RBCM,973-00137-019,1898314378,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910088,,116721,ART
Metacarcinus magister,"(Dana, 1852)",,dungeness crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Metacarcinus,native,unlisted,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,,2018-05-29,Karolle Wall,https://www.inaturalist.org/observations/12970642,,63697,ART
Telmessus cheiragonus,"(Tilesius, 1815)",,helmet crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cheiragonidae,,,Telmessus,native,unlisted,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7659462,,180391,ART
Crangon nigricauda,"Stimpson, 1856",,blacktail bay shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,Crangon,,,new 2018,observed,,,,,,2018-05-31,Karolle Wall,https://www.inaturalist.org/observations/13026269,,48812,ART
Metacrangon munita,"(Dana, 1852)",,coastal spinyhead,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,Metacrangon,native,unlisted,reported,unobserved,1928-07-18,,RBCM,015-00224-001,1898292947,,,,,459610,ART
Chorilia longipes,"Dana, 1851",,longhorn decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,Chorilia,native,unlisted,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/8624646,,459559,ART
Pugettia gracilis,"Dana, 1851",,graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,Epialtinae,Pugettia,native,unlisted,confirmed,observed,,,RBCM,986-00191-004,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976672,,130344,ART
Pugettia producta,"(Randall, 1840)",,northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,Epialtinae,Pugettia,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763431,,49723,ART
Scyra acutifrons,"Dana, 1851",,sharpnose crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,Pisinae,Scyra,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-009,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2854858,,47712,ART
Acantholithodes hispidus,"(Stimpson, 1860)",,hairy-spined crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Acantholithodes,native,unlisted,confirmed,observed,1994-09-10,Andy Lamb,PMLS,,,2007-10-23,Jackson Chu,https://www.inaturalist.org/observations/59908564,,450310,ART
