Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Phrurotimpus cf borealis,"(Emerton, 1911)",,greater darklegged dwarf antmimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Phrurolithidae,,,Phrurotimpus,native,S5 (2018),new 2019,observed,,,,,,2019-04-26,Andrew Simon,https://www.inaturalist.org/observations/24351468,,153793,ART
Attinella dorsata,"(Banks, 1895)",,elongate patterned jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,,,Attinella,native,SU (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,1070896,ART
Eris militaris,"(Hentz, 1845)",,bronze jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Eris,native,S4S5 (2018),confirmed,observed,2016-09-04,RBCM BC Spider Database,RBCM,,,2016-07-23,Sarah Tweedale,http://inaturalist.ca/observations/3737473,,121445,ART
Evarcha proszynskii,"Marusik & Logunov, 1998",,Proszynski knobbed jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Evarcha,native,S5 (2018),new 2016,observed,,,,,,2016-07-19,Andrew Simon,http://www.inaturalist.org/observations/3707139,,61759,ART
Habronattus hirsutus,"(Peckham & Peckham, 1888)",,common western ornamented jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Plexippini,Habronattus,native,S4 (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,220812,ART
Habronattus ophrys,"Griswold, 1987",,eyebrowed ornamented jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Plexippini,Habronattus,native,S4 (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,220814,ART
Habronattus oregonensis,,,Oregon paradise spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Plexippini,Habronattus,native,SU (2018),new 2021,observed,,,,,,2021-05-05,Andrew Simon,https://www.inaturalist.org/observations/77854422,,61880,ART
Metaphidippus manni,"(Peckham & Peckham, 1901)",,western oak jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Metaphidippus,native,S4S5 (2018),new 2018,observed,,,,,,2018-05-19,Andrew Simon,https://www.inaturalist.org/observations/12635472,,158632,ART
Neon reticulatus,"(Blackwall, 1853)",,holarctic tiny jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Neonini,Neon,native,S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017153,,,,,,225672,ART
Pelegrina aeneola,"(Curtis, 1892)",,darkheaded whitecheeked jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Pelegrina,native,S4S5 (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,117457,ART
Phanias albeolus,"(Chamberlin & Ivie, 1941)",,whitefaced Phanias jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Phanias,native,S4 (2018),new 2019,observed,,,,,,2019-05-05,Lori Weidenhammer,https://www.inaturalist.org/observations/24709313,,202314,ART
Phidippus johnsoni,"(Peckham & Peckham, 1883)",,Johnson jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Phidippus,native,S5 (2018),new 2016,observed,,,,,,2016-10-20,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/4403124,,58421,ART
Platycryptus californicus,"(Peckham & Peckham, 1888)",,western flattened jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Platycryptus,native,S4S5 (2018),new 2014,observed,,,,,,2014-06-13,Andrew Simon,http://www.inaturalist.org/observations/735770,,228315,ART
Salticus scenicus,"(Clerck, 1757)",,zebra jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Salticini,Salticus,exotic,unlisted,new 2017,observed,,,,,,2017-09-28,Andrew Simon,https://www.inaturalist.org/observations/8159241,,68901,ART
Sitticus dorsatus,"(Banks, 1895)",,elongate patterned jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Sitticinae,,,native,SU (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,231092,ART
Usofila pacifica,"(Banks, 1894)",,northwestern long-legged cave spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Leptonetoidea,Telemidae,,,Usofila,native,S5 (2018),reported,unobserved,2006-01-05,Robb Bennett,RBCM,ENT014-021388,,,,,,233352,ART
Metellina curtisi,"(McCook, 1894)",,Curtis armored orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,Metellina,native,S5 (2018),new 2016,observed,,,,,,2016-08-15,Andrew Simon,http://www.inaturalist.org/observations/3903550,,196577,ART
Tetragnatha sp.,,,long-jawed orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,Tetragnatha,,,confirmed,observed,1982-05-08,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0276,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3328654,,47550,ART
Enoplognatha ovata,"(Clerck, 1757)",,common candy-striped spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Enoplognatha,exotic,unlisted,new 2016,observed,,,,,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512997,,219195,ART
Latrodectus hesperus,"Chamberlin & Ivie, 1935",,western black widow,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Latrodectus,native,S5 (2018),new 2016,observed,,,,,,2016-09-27,Andrew Simon,http://www.inaturalist.org/observations/4343237,,47382,ART
