catalogNumber,scientificName,QualifiedS,CommonName,family,genus,speciesEpithet,scientificNameAuthorship,subspecies,Subspeci_1,variety,VarietyAut,form,FormaAutho,identifiedBy,IDDate,identificationRemarks,CDC,MuseumColl,Collection,recordedBy,Collectors,eventDate,Collecto_1,stateProvince,District,locality,locationRemarks,decimalLatitude,decimalLongitude,Approximat,UTMZone,UTMNorthin,UTMEasting,verbatimElevation,Park_ER_IR,habitat,occurrenceRemarks,SpeciesAbu,georeferenceRemarks,LU
V097795,Juncus bufonius L.,Juncus bufonius L.,rush; toad rush,Juncaceae,Juncus,bufonius,L.,,,,,,,,,,Not Listed,,BE012071,Harvey Janszen,,1979-06-28,BS010411,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,TRUE,,,,,,,,,locality information vague; coordinates generalized to mid Galiano Island,
V097810,Spergularia canadensis (Pers.) G. Don var. occidentalis Rossbach.,Spergularia canadensis (Pers.) G. Don var. occidentalis Rossbach.,Canadian sand-spurry,Caryophyllaceae,Spergularia,canadensis,,,,occidentalis,Rossbach.,,,Kendrick Marr,2015-03-10,Reviewed for VFBC,Not Listed,,BE063555,Harvey Janszen,1519,1979-08-15,BS059449,British Columbia,,Galiano Island,,48.898126000000000,-123.407767000000000,TRUE,,,,,,salt marsh,,,"corrected; coordinates generalized based on habitat information; Montague most likely salt marsh site on Galiano, where this species is known to occur",
V097812,Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper & Beattie,Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper & Beattie,boreal starwort; starwort,Caryophyllaceae,Stellaria,borealis,,sitchana,(Steud.) Piper & Beattie,,,,,Richard Rabeler,2008-01-01,IDD:  20080000; Rabeler from the University of Michigan Herbarium,Not Listed,Janszen 1979,BE012147,Harvey Janszen,1283,1979-06-28,BS010472,British Columbia,Gulf Islands,Galiano Island,sec L-66,48.948421000000000,-123.502226000000000,FALSE,,,,,,sedge fen,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano; uncertain; area too large and historically changed to rely on on locality and habitat information,
V097813,Sisymbrium officinale (L.) Scop.,Sisymbrium officinale (L.) Scop.,hedge mustard; tumble-mustard,Brassicaceae,Sisymbrium,officinale,(L.) Scop.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012133,Harvey Janszen,1272,1979-06-28,BS010458,British Columbia,Gulf Islands,Galiano Island,gravel pit; sec-L-66,48.948152000000000,-123.501022000000000,FALSE,,,,,,waste ground; gravel pit,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097814,Arenaria serpyllifolia L. var. serpyllifolia,Arenaria serpyllifolia L. var. serpyllifolia,,Caryophyllaceae,Arenaria,serpyllifolia,,,,serpyllifolia,,,,Kendrick Marr,2014-11-12,Reviewed for VFBC,,,BE012147,Harvey Janszen,1266,1979-06-28,BS010472,British Columbia,Gulf Islands,Galiano Island,sec L-66,48.948147000000000,-123.501075000000000,FALSE,,,,,,waste ground; gravel pit; sec-L-66,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097816,Linnaea borealis L. ssp. longiflora (Torr.) Piper & Beattie,Linnaea borealis L. ssp. longiflora (Torr.) Piper & Beattie,,Caprifoliaceae,Linnaea,borealis,,longiflora,(Torr.) Hult.,,,,,Peter Zika,2017-01-01,,,Janszen 1979,BE012156,Harvey Janszen,1155,1979-06-08,BS010481,British Columbia,,Galiano Island,section L-25,48.880892000000000,-123.381633000000000,FALSE,,,,,,dry fir forest,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097817,Raphanus raphanistrum L.,Raphanus raphanistrum L.,radish; wild radish,Brassicaceae,Raphanus,raphanistrum,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012148,Harvey Janszen,1157,1979-06-08,BS010473,British Columbia,Gulf Islands,Galiano Island,sec. L 19,48.881885000000000,-123.375479000000000,FALSE,,,,,,dry roadside,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097818,Botrychium silaifolium K.B. Presl,Botrychium silaifolium K.B. Presl,celery moonwort; fern,Ophioglossaceae,Botrychium,silaifolium,K.B. Presl,,,,,,,Adolf Ceska,2002-02-14,"Ceska, a member of the British Columbia Conservation Data Centre at this time (20020214)",Not Listed,Janszen 1979,BE012150,Harvey Janszen,1164A,1979-06-08,BS010475,British Columbia,Gulf Islands,Galiano Island,Sec-L-19,48.881885000000000,-123.375479000000000,FALSE,,,,,,disturbed roadside and ditch,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097819,Aquilegia formosa Fisch. ex DC.,Aquilegia formosa Fisch. ex DC.,columbine; Sitka columbine,Ranunculaceae,Aquilegia,formosa,Fisch. ex DC.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012043,Harvey Janszen,1163,1979-06-08,BS010402,British Columbia,,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,,,,locality information vague; coordinates generalized to mid Galiano Island,
V097820,Monotropa uniflora L.,Monotropa uniflora L.,indian-pipe,Monotropaceae,Monotropa,uniflora,L.,,,,,,,Gary Wallace,1999-01-01,IDD:  19990000; examined for study of the Flora of North America at Rancho Santa Ana Botanic Garden (RSA) by Wallace,Not Listed,Janszen 1979,BE012152,Harvey Janszen,1282,1979-06-28,BS010477,British Columbia,Gulf Islands,Galiano Island,Sec-L-66,48.948115000000000,-123.504186000000000,FALSE,,,,,,dry fir - salal forest,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097823,Ulex europaeus L.,Ulex europaeus L.,gorse,Fabaceae,Ulex,europaeus,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,,BE070779,Harvey Janszen,1365,1979-07-09,BS058618,British Columbia,Vancouver Island,Sturdies Bay,"Roadside, Galiano Island",48.879170000000000,-123.319000000000000,TRUE,,,,,,waste ground,,,corrected; coordinates generalized based on locality information,
V097827,Potentilla egedii Wormskj.,Potentilla egedii Wormskj.,cinquefoil; coast silverweed,Rosaceae,Potentilla,egedii,Wormskj.,,,,,,,Kendrick Marr,2006-02-07,,Not Listed,Janszen 1979,BE012146,Harvey Janszen,1293,1979-06-28,BS010471,British Columbia,Gulf Islands,Galiano Island,Sec L-57,48.930556000000000,-123.473595000000000,FALSE,,,,,,farm field,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097831,Juncus articulatus L.,Juncus articulatus L.,jointed rush; rush,Juncaceae,Juncus,articulatus,L.,,,,,,,,,,Not Listed,,BE012157,Harvey Janszen,,1979-06-28,BS010482,British Columbia,Gulf Islands,Galiano Island,Section-L-1,48.863397000000000,-123.315947000000000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097832,Juncus tenuis Willd.,Juncus tenuis Willd.,rush; slender rush,Juncaceae,Juncus,tenuis,Willd.,,,,,,,,,,Not Listed,,BE012175,Harvey Janszen,,1979-07-09,BS010499,British Columbia,Gulf Islands,Galiano Island; Sturdies Bay,,48.883333333333300,-123.316666666667000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality information,
V097833,Juncus effusus L.,Juncus effusus L.,common rush; rush,Juncaceae,Juncus,effusus,L.,,,,,,,,,,Not Listed,,BE012056,Harvey Janszen,,1979-06-28,BS010404,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,,,,locality information vague; coordinates generalized to mid Galiano Island,
V097834,Juncus effusus L.,Juncus effusus L.,common rush; rush,Juncaceae,Juncus,effusus,L.,,,,,,,,,,Not Listed,,BE012142,Harvey Janszen,,1979-07-07,BS010467,British Columbia,Gulf Islands,Galiano Island,North Galiano Island,49.006051000000000,-123.573241000000000,FALSE,,,,,,,,,corrected; coordinates based on locality and habitat information; vague; highly uncertain,
V097835,Juncus ensifolius Wikstr.,Juncus ensifolius Wikstr.,dagger-leaf rush; rush,Juncaceae,Juncus,ensifolius,Wikstr.,,,,,,,,,,Not Listed,,BE012139,Harvey Janszen,,1979-07-07,BS010464,British Columbia,Gulf Islands,Galiano Island,North end of Galiano Island,49.006051000000000,-123.573241000000000,FALSE,,,,,,,,,corrected; coordinates based on locality and habitat information; vague; highly uncertain,
V097836,Juncus articulatus L.,Juncus articulatus L.,jointed rush; rush,Juncaceae,Juncus,articulatus,L.,,,,,,,,,,Not Listed,,BE012153,Harvey Janszen,,1979-07-09,BS010478,British Columbia,Gulf Islands,Galiano Island,section I-20,48.877209000000000,-123.366928000000000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097837,Thlaspi arvense L.,Thlaspi arvense L.,field pennycress; pennycress,Brassicaceae,Thlaspi,arvense,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012130,Harvey Janszen,1302A,1979-06-28,BS010455,British Columbia,Gulf Islands,Galiano Island,farm on section L-51,48.930541000000000,-123.450818000000000,FALSE,,,,,,dry roadside; farm,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097859,Myriophyllum spicatum L.,Myriophyllum spicatum L.,Eurasian water-milfoil; water-milfoil,Haloragaceae,Myriophyllum,spicatum,L.,,,,,,,Adolf Ceska,2007-01-01,,Not Listed,Janszen 1979,BE063555,Harvey Janszen,1517,1979-08-15,BS052463,British Columbia,Gulf Islands,Sturdies Bay; Galiano Island,,48.877890000000000,-123.321000000000000,FALSE,,,,,,farm lake,,,corrected; coordinates generalized based on locality and habitat information,
V097860,Puccinellia pumila (Vasey) A.S. Hitchc.,Puccinellia pumila (Vasey) A.S. Hitchc.,dwarf alkaligrass; grass,Poaceae,Puccinellia,pumila,(Vasey) A.S. Hitchc.,,,,,,,Harvey Janszen,1979-08-15,,Not Listed,Janszen 1979,BE012168,Harvey Janszen,1520,1979-08-15,BS010492,British Columbia,Gulf Islands,Galiano Island; Montague Harbour,,48.898126000000000,-123.407767000000000,FALSE,,,,,,Salt marsh.,,,corrected; coordinates generalized based on locality information and habitat information,
V097861,Poa pratensis L.,Poa pratensis L.,grass; Kentucky bluegrass,Poaceae,Poa,pratensis,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE012138,Harvey Janszen,1316,1979-07-07,BS010463,British Columbia,Gulf Islands,Galiano Island,N. Galiano,48.879166666666700,-123.316666666667000,FALSE,,,,,,sphagnum bog,,,corrected; coordinates generalized based on locality and habitat information,
