"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode","firstReportedSource","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","recordCount","iNatObservationStatus"
"Callophyllis schneideri","Clarkston & G.W.Saunders",,"red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Gigartinales","",,"Kallymeniaceae","","","Callophyllis","schneideri",,"","",,"unlisted","unlisted","reported",,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston",,"GWS027442",,,,,"barcoded",1337372,"ALG","BOLD","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027442",1,"unobserved"
"Callophyllis variforma","Filloramo, Selivanova & G.W.Saunders",,"red sea fan","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Gigartinales","",,"Kallymeniaceae","","","Callophyllis","variforma",,"","",,"unlisted","unlisted","confirmed",,"2011-05-04","G.W. Saunders, K. Hind & B. Clarkston",,"GWS027443",,,,,"barcoded",1337854,"ALG","BOLD","2023-05-27","Zach Montieth","SCL","17893",2,"unobserved"
"Caloneis sp.","",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Naviculales","Naviculineae",,"Naviculaceae","","","Caloneis","",,"","",,"unlisted","unlisted","new 2020",,"2020-11-15","Mark Webber, Siobhan Schenck & Arjan van Asselt",,"WEBBERETAL2020:19",,,,,"",345794,"ALG","Webber et al. 2020","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:16",3,"unobserved"
"Campylodiscus bicostatus","W.Smith ex Roper",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae",,"Surirellales","",,"Surirellaceae","","","Campylodiscus","bicostatus",,"","",,"unlisted","unlisted","new 2021",,"2021-03-07","",,"",,,,,"",970266,"ALG","iNaturalist","2021-03-07","","iNaturalist","",1,"observed"
"Ceramium gardneri","Kylin",,"banded weed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Ceramiaceae","","","Ceramium","gardneri",,"","",,"unlisted","unlisted","new 2019",,"2019-05-04","",,"",,,,,"",345256,"ALG","iNaturalist","2023-05-27","Zach Montieth","SCL","17897",2,"observed"
"Ceramium pacificum","(Collins) Kylin",,"hairy pottery seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",,"Ceramiales","",,"Ceramiaceae","","","Ceramium","pacificum",,"","",,"unlisted","unlisted","confirmed",,"2006-11-11","Andy Lamb",,"PMLS2021:1220",,,,,"",429948,"ALG","PMLS","2023-05-26","Zach Montieth","SCL","17856",11,"observed"
"Cerataulina pelagica","(Cleve) Hendey",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae",,"Hemiaulales","",,"Hemiaulaceae","","","Cerataulina","pelagica",,"","",,"unlisted","unlisted","confirmed",,"2008-07-11","",,"",,,,,"",448296,"ALG","iNaturalist","2023-05-26","Mark Webber, Arjan van Asselt, Elaine Humphrey, Sandra Lindstrom, Laura Parfrey","Galiano BioBlitz 2023","GALIANOBIOBLITZDIATOMS2023:17",4,"observed"
"Ceratium fusus","(Ehrenberg) Dujardin",,"dinoflagellate","Chromista","Miozoa","Myzozoa","Dinoflagellata","Dinophyceae","",,"Gonyaulacales","",,"Ceratiaceae","","","Ceratium","fusus",,"","",,"unlisted","unlisted","confirmed",,"2005-07-14","",,"",,,,,"",203749,"ALG","iNaturalist","2012-12-27","","iNaturalist","",5,"observed"
"Ceratium lineatum","(Ehrenberg) Cleve",,"dinoflagellate","Chromista","Miozoa","Myzozoa","Dinoflagellata","Dinophyceae","",,"Gonyaulacales","",,"Ceratiaceae","","","Ceratium","lineatum",,"","",,"unlisted","unlisted","reported",,"2006-01-21","",,"",,,,,"",345251,"ALG","iNaturalist","2006-01-21","","iNaturalist","",1,"observed"
"Chaetoceros affinis","Lauder",,"diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae",,"Chaetocerotales","",,"Chaetocerotaceae","","","Chaetoceros","affinis",,"","",,"unlisted","unlisted","reported",,"2004-07-28","",,"",,,,,"",423795,"ALG","iNaturalist","2004-07-28","","iNaturalist","",1,"observed"
