"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"11","Ectocarpus sp.","","","kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Ectocarpales","",NA,"Ectocarpaceae","","","Ectocarpus","",NA,NA,"",NA,"unlisted","unlisted","2021-03-07","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2021","Zostera2021:180",NA,"2021-03-07","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2021","Zostera2021:180",NA,1,"new 2021","unobserved","",182843,"ALG"
"12","Egregia menziesii","(Turner) Areschoug, 1876","","feather boa kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Lessoniaceae","","","Egregia","Egregia menziesii",NA,NA,"",NA,"unlisted","unlisted","1991-01-29","Oliver Kaddatz","UBC","A80351",NA,"1991-01-29","Oliver Kaddatz","UBC","A80351",NA,1,"reported","unobserved","",67419,"ALG"
"13","Fucus distichus","L.","","rockweed","Chromista","Ochrophyta","","","Phaeophyceae","",NA,"Fucales","",NA,"Fucaceae","","","Fucus","Fucus distichus",NA,NA,"",NA,"unlisted","unlisted","1994-09-10","Andy Lamb","PMLS","PMLS2021:196",NA,"2024-07-12","Nerissa Kassis","iNaturalist","iNat:228899260",NA,213,"confirmed","observed","syn. Fucus distichus ssp. evanescens",69155,"ALG"
"14","Hedophyllum nigripes","(J.Agardh) Starko, S.C.Lindstrom & Martone","","kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Lessoniaceae","","","Hedophyllum","Hedophyllum nigripes",NA,NA,"",NA,"unlisted","unlisted","2008-04-27","Andy Lamb","PMLS","PMLS2021:461",NA,"2009-10-10","Andy Lamb","PMLS","PMLS2021:738",NA,3,"confirmed","unobserved","reported as Hedophyllum bongardianum (“a NW Pacific species. This species has gone by numerous other names in the local flora: Laminaria groenlandica, Saccharina groenlandica, Saccharina nigripes, Saccharina subsimplex--they are all the same thing!” Sandra Lindstrom pers. comm. 2023)",1267794,"ALG"
"15","Leathesia marina","(Lyngbye) Decaisne","","sea cauliflower","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Ectocarpales","",NA,"Chordariaceae","","","Leathesia","Leathesia marina",NA,NA,"",NA,"unlisted","unlisted","2015-08-28","Lauren Magner","iNaturalist","iNat:3734987",NA,"2024-07-05","anamoo","iNaturalist","iNat:227568206",NA,60,"confirmed","observed","",502380,"ALG"
"16","Melanosiphon intestinalis","(De A.Saunders) M.J.Wynne","","twisted sea tubes","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Ectocarpales","",NA,"Chordariaceae","","","Melanosiphon","Melanosiphon intestinalis",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25859913",NA,"2020-04-10","Andrew Simon","iNaturalist","iNat:41881737",NA,3,"new 2019","observed","",345332,"ALG"
"17","Neoagarum fimbriatum","(Harvey) H.Kawai & T.Hanyuda","","fringed sea colander kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Agaraceae","","","Neoagarum","Neoagarum fimbriatum",NA,NA,"",NA,"unlisted","unlisted","1994-10-07","Andy Lamb","PMLS","PMLS2021:205",NA,"2023-05-27","Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey","Galiano BioBlitz 2023","GBB2023:1817",NA,124,"confirmed","observed","",895193,"ALG"
"18","Nereocystis luetkeana","(K.Mertens) Postels & Ruprecht","","bull kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Lessoniaceae","","","Nereocystis","Nereocystis luetkeana",NA,NA,"",NA,"unlisted","unlisted","1985-07-29","Andy Lamb","PMLS","PMLS2021:182",NA,"2024-07-04","anamoo","iNaturalist","iNat:227240206",NA,221,"confirmed","observed","",120499,"ALG"
"19","Petalonia fascia","(O.F.Müller) Kuntze","","false kelp","Chromista","Ochrophyta","","","Phaeophyceae","",NA,"Scytosiphonales","",NA,"Scytosiphonaceae","","","Petalonia","Petalonia fascia",NA,NA,"",NA,"unlisted","unlisted","2019-05-05","Bridgette Clarkston","iNaturalist","iNat:25861435",NA,"2019-05-05","Bridgette Clarkston","iNaturalist","iNat:25861435",NA,1,"new 2019","observed","",117816,"ALG"
"20","Phaeostroma sp.","","","kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Ectocarpales","",NA,"Chordariaceae","","","Phaeostroma","",NA,NA,"",NA,"unlisted","unlisted","2023-05-26","Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey","Galiano BioBlitz 2023","GBB2023:2289",NA,"2023-05-27","Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey","Galiano BioBlitz 2023","GBB2023:2298",NA,13,"new 2023","unobserved","",1589289,"ALG"
"21","Pleurophycus gardneri","Setchell & Saunders ex Tilden","","broad-rib kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Alariaceae","","","Pleurophycus","Pleurophycus gardneri",NA,NA,"",NA,"unlisted","unlisted","2006-09-29","Andy Lamb","PMLS","PMLS2021:325",NA,"2008-08-29","Andy Lamb","PMLS","PMLS2021:525",NA,5,"confirmed","unobserved","",429872,"ALG"
"22","Pterygophora californica","Ruprecht","","old growth kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Alariaceae","","","Pterygophora","Pterygophora californica",NA,NA,"",NA,"unlisted","unlisted","1994-02-26","Charlie Gibbs","PMLS","PMLS2021:191",NA,"2024-05-14","Dave Zeuss Cochrane","iNaturalist","iNat:215932161",NA,77,"confirmed","observed","",124146,"ALG"
"23","Pylaiella sp.","","","mung","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Ectocarpales","",NA,"Acinetosporaceae","","","Pylaiella","",NA,NA,"",NA,"unlisted","unlisted","2021-03-07","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2021","Zostera2021:306",NA,"2021-03-07","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2021","Zostera2021:306",NA,1,"new 2021","unobserved","",202294,"ALG"
"24","Saccharina latissima","(L.) C.E. Lane, C. Mayes, Druehl & G.W. Saunders","","sugar wrack kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Laminariales","",NA,"Laminariaceae","","","Saccharina","Saccharina latissima",NA,NA,"",NA,"unlisted","unlisted","1985-07-29","Andy Lamb","PMLS","PMLS2021:181",NA,"2024-07-01","Nerissa Kassis","iNaturalist","iNat:226605219",NA,139,"confirmed","observed","",130231,"ALG"
"25","Sargassum muticum","(Yendo) Fensholt","","wireweed","Chromista","Ochrophyta","","","Phaeophyceae","",NA,"Fucales","",NA,"Sargassaceae","","","Sargassum","Sargassum muticum",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57506",NA,"2024-07-18","Simone L","iNaturalist","iNat:230146568",NA,211,"confirmed","observed","",130177,"ALG"
"26","Scytosiphon lomentaria","(Lyngbye) Link","","beanweed","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae",NA,"Ectocarpales","",NA,"Scytosiphonaceae","","","Scytosiphon","Scytosiphon lomentaria",NA,NA,"",NA,"unlisted","unlisted","2017-04-08","tyrelfroese","iNaturalist","iNat:5620546",NA,"2024-04-26","Liam Ragan","iNaturalist","iNat:209972231",NA,10,"new 2017","observed","",182932,"ALG"
"27","Stephanocystis geminata","(C.Agardh) Draisma, Ballesteros, F.Rousseau & T.Thibaut","","northern bladder chain","Chromista","Ochrophyta","","","Phaeophyceae","",NA,"Fucales","",NA,"Sargassaceae","","","Stephanocystis","Stephanocystis geminata",NA,NA,"",NA,"unlisted","unlisted","2006-09-28","Andy Lamb","PMLS","PMLS2021:317",NA,"2009-03-20","Andy Lamb","PMLS","PMLS2021:654",NA,2,"confirmed","unobserved","",866748,"ALG"
