"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Fuscocephaloziopsis connivens","(Dicks.) Váňa & L.Söderstr.","Forcipated Pincerwort","Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Cephaloziineae",NA,NA,"Cephaloziaceae",NA,NA,"Fuscocephaloziopsis","connivens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grimmia nivalis","(Hedw.) Lindb.",NA,"Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Grimmiales",NA,NA,NA,"Grimmiaceae",NA,NA,"Grimmia","nivalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heterocladium procurrens","(Mitt.) Jaeg.",NA,"Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Hypnales",NA,NA,NA,"Lembophyllaceae",NA,NA,"Heterocladium","procurrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homalothecium lutescens","(Hedw.) H.Rob.","Yellow Feather-moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Hypnales",NA,NA,NA,"Brachytheciaceae",NA,NA,"Homalothecium","lutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jungermannia schusteriana","Amakawa",NA,"Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Jungermanniineae",NA,NA,"Jungermanniaceae",NA,NA,"Jungermannia","schusteriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrodiplophyllum plicatum","(Lindb.) Perss.",NA,"Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Cephaloziineae",NA,NA,"Scapaniaceae",NA,NA,"Macrodiplophyllum","plicatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsupella aquatica","(Lindenb.) Schiffn.",NA,"Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Jungermanniineae",NA,NA,"Gymnomitriaceae",NA,NA,"Marsupella","aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsupella tubulosa","Steph.",NA,"Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Jungermanniineae",NA,NA,"Gymnomitriaceae",NA,NA,"Marsupella","tubulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metzgeria consanguinea","Schiffn.","Whiskered Veilwort","Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Metzgeriidae",NA,"Metzgeriales",NA,NA,NA,"Metzgeriaceae",NA,NA,"Metzgeria","consanguinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paraleucobryum sauteri","(Bruch & Schimp.) Loeske",NA,"Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Dicranales",NA,NA,NA,"Dicranaceae",NA,NA,"Paraleucobryum","sauteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plagiochila satoi","Hatt.",NA,"Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Lophocoleineae",NA,NA,"Plagiochilaceae",NA,NA,"Plagiochila","satoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plagiomnium affine","(Blandow ex Funck) T.J.Kop.","Many-fruited Thyme-moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Bryales",NA,NA,NA,"Mniaceae",NA,NA,"Plagiomnium","affine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plagiothecium latebricola","Bruch & Schimp.","Lurking Leskea","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Hypnales",NA,NA,NA,"Plagiotheciaceae",NA,NA,"Plagiothecium","latebricola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pohlia tundrae","A.J.Shaw","Tundra Thread Moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Bryales",NA,NA,NA,"Mniaceae",NA,NA,"Pohlia","tundrae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Racomitrium fasciculare","(Hedw.) Brid.","Clustered Rock Moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Grimmiales",NA,NA,NA,"Grimmiaceae",NA,NA,"Racomitrium","fasciculare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scapania diplophylloides","Amak & Hatt.",NA,"Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Cephaloziineae",NA,NA,"Scapaniaceae",NA,NA,"Scapania","diplophylloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schistochilopsis opacifolia","(Culm. ex Meyl.) Konstant.","Alpine Jagged Notchwort","Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Cephaloziineae",NA,NA,"Scapaniaceae",NA,NA,"Schistochilopsis","opacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sciuro-hypnum starkei","(Brid.) Schimp.","Starke's Ragged Moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Hypnales",NA,NA,NA,"Brachytheciaceae",NA,NA,"Sciuro-hypnum","starkei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphagnum fallax","(H. Klinggräff) H. Klinggräff","Flat-top Bogmoss","Plantae","Bryophyta",NA,NA,"Sphagnopsida",NA,NA,"Sphagnales",NA,NA,NA,"Sphagnaceae",NA,NA,"Sphagnum","fallax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphagnum pulchrum","(Lindb.) Warnst.","Beautiful Peatmoss","Plantae","Bryophyta",NA,NA,"Sphagnopsida",NA,NA,"Sphagnales",NA,NA,NA,"Sphagnaceae",NA,NA,"Sphagnum","pulchrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphagnum recurvum","P.Beauv.","Recurved Peatmoss","Plantae","Bryophyta",NA,NA,"Sphagnopsida",NA,NA,"Sphagnales",NA,NA,NA,"Sphagnaceae",NA,NA,"Sphagnum","recurvum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syntrichia montana","Nees","Intermediate Screw-moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Pottiales",NA,NA,NA,"Pottiaceae",NA,NA,"Syntrichia","montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ulota reptans","Mitt.",NA,"Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Orthotrichales",NA,NA,NA,"Orthotrichaceae",NA,NA,"Ulota","reptans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
