"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date","residencyStatus"
"Ardea herodias fannini","Chapman","Northwest Coast Great Blue Heron","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Pelecaniformes",NA,NA,NA,"Ardeidae","Ardeinae",NA,"Ardea","herodias",NA,"Ardea herodias fannini",NA,"S3B,S4N","Mar 2022","Blue","Special Concern","Mar 2008","1","Special Concern","Feb 2010","permanent"
"Ardea ibis",NA,"Western Cattle-Egret","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Pelecaniformes",NA,NA,NA,"Ardeidae","Ardeinae",NA,"Ardea","ibis",NA,NA,NA,"SNRN","Mar 2015","Not Reviewed",NA,NA,NA,NA,NA,"accidental"
"Ardenna grisea",NA,"Sooty Shearwater","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Procellariiformes",NA,NA,NA,"Procellariidae",NA,NA,"Ardenna","grisea",NA,NA,NA,"SNRM","Mar 2015","Not Reviewed",NA,NA,NA,NA,NA,"passage migrant"
"Arenaria interpres","L.","Ruddy Turnstone","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Arenaria","interpres",NA,NA,NA,"S4M","Mar 2015","Yellow",NA,NA,NA,NA,NA,"accidental"
"Arenaria melanocephala","Vigors","Black Turnstone","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Arenaria","melanocephala",NA,NA,NA,"S4N,S5M","Apr 2023","Yellow",NA,NA,NA,NA,NA,"winter"
"Asio flammeus","Pontoppidan","Short-eared Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Asio","flammeus",NA,NA,NA,"S3B,S1N","Mar 2022","Blue","Threatened","May 2021","1","Special Concern","Jul 2012","breeding?, winter"
"Asio otus","L.","Long-eared Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Asio","otus",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding?, winter"
"Astur atricapillus",NA,"Eurasian Goshawk","Animalia","Chordata",NA,NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,NA,NA,NA,NA,NA,"S4B,S4N","2015",NA,NA,NA,NA,NA,NA,"permanent"
"Astur atricapillus laingi",NA,"Haida Gwaii Goshawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Accipitrinae",NA,"Astur","atricapillus",NA,"Astur atricapillus laingi",NA,"S2","May 2010","Red","Threatened","Apr 2013","1","Threatened","Jun 2003","permanent"
"Astur cooperii",NA,"Cooper's Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Accipitrinae",NA,"Astur","cooperii",NA,NA,NA,"S5","Mar 2015","Yellow","Not at Risk","May 1996",NA,NA,NA,"permanent"
"Athene cunicularia",NA,"Burrowing Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Athene","cunicularia",NA,NA,NA,"S1B","Nov 2020","Red","Endangered","Apr 2017","1","Endangered","Jun 2003","accidental"
"Aythya affinis","Eyton","Lesser Scaup","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aythya","affinis",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Aythya americana","Eyton","Redhead","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aythya","americana",NA,NA,NA,"S4B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter (rare)"
"Aythya collaris","Donovan","Ring-necked Duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aythya","collaris",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Aythya fuligula","L.","Tufted Duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aythya","fuligula",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
"Aythya marila","L.","Greater Scaup","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aythya","marila",NA,NA,NA,"S4N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Aythya valisineria","Wilson","Canvasback","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aythya","valisineria",NA,NA,NA,"S4B,SNRN","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Bartramia longicauda","Bechstein","Upland Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Bartramia","longicauda",NA,NA,NA,"S2B","Mar 2022","Red",NA,NA,NA,NA,NA,"accidental"
"Basilinna xantusii",NA,"Xantus's Hummingbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Apodiformes",NA,NA,NA,"Trochilidae","Trochilinae","Trochilini","Basilinna","xantusii",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
"Bombycilla cedrorum","Viellot","Cedar Waxwing","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Bombycillidae",NA,NA,"Bombycilla","cedrorum",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding, winter (rare)"
"Bombycilla garrulus","L.","Bohemian Waxwing","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Bombycillidae",NA,NA,"Bombycilla","garrulus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Bonasa umbellus","Stephens","Ruffed Grouse","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Bonasa","umbellus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Botaurus lentiginosus",NA,"American Bittern","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Pelecaniformes",NA,NA,NA,"Ardeidae","Botaurinae",NA,"Botaurus","lentiginosus",NA,NA,NA,"S3B,SNRN","Mar 2015","Blue",NA,NA,NA,NA,NA,"breeding?, winter (rare)"
"Brachyramphus marmoratus","Gmelin","Marbled Murrelet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Alcidae",NA,NA,"Brachyramphus","marmoratus",NA,NA,NA,"S3","Mar 2022","Blue","Threatened","May 2012","1","Threatened","Jun 2003","permanent"
"Branta bernicla","L.","Brant","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Branta","bernicla",NA,NA,NA,"S3M","Mar 2015","Blue",NA,NA,NA,NA,NA,"passage migrant"
"Branta canadensis",NA,"Canada Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Branta","canadensis",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Branta canadensis occidentalis","L.; Baird","Dusky Canada Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Branta","canadensis",NA,"Branta canadensis occidentalis",NA,"S2M","Jan 2009","Red",NA,NA,NA,NA,NA,"winter"
"Branta hutchinsii","Richardson","Cackling Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Branta","hutchinsii",NA,NA,NA,"S4S5M","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Bubo scandiacus","L.","Snowy Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Bubo","scandiacus",NA,NA,NA,"SUN","Mar 2022","Unknown","Threatened","May 2025",NA,NA,NA,"winter"
"Bubo virginianus","Gmelin","Great Horned Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Bubo","virginianus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Bucephala albeola","L.","Bufflehead","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Bucephala","albeola",NA,NA,NA,"S5B,SNRN","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Bucephala clangula","L.","Common Goldeneye","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Bucephala","clangula",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Bucephala islandica","Gmelin","Barrow's Goldeneye","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Bucephala","islandica",NA,NA,NA,"S4S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Buteo jamaicensis","Gmelin","Red-tailed Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Buteoninae",NA,"Buteo","jamaicensis",NA,NA,NA,"S5","Mar 2015","Yellow","Not at Risk","May 1995",NA,NA,NA,"permanent"
"Buteo lagopus","Pontoppidan","Rough-legged Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Buteoninae",NA,"Buteo","lagopus",NA,NA,NA,"S3N","Mar 2015","Blue","Not at Risk","May 1995",NA,NA,NA,"winter"
"Buteo platypterus",NA,"Broad-winged Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Buteoninae",NA,"Buteo","platypterus",NA,NA,NA,"S4?B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"passage migrant (rare)"
"Buteo regalis","Gray","Ferruginous Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Buteoninae",NA,"Buteo","regalis",NA,NA,NA,"SU","Mar 2022","Unknown","Special Concern","May 2021","1","Threatened","Feb 2010","accidental"
"Buteo swainsoni","Bonaparte","Swainson's Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Buteoninae",NA,"Buteo","swainsoni",NA,NA,NA,"S2B","Mar 2022","Red",NA,NA,NA,NA,NA,"accidental"
"Butorides virescens","L.","Green Heron","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Pelecaniformes",NA,NA,NA,"Ardeidae","Ardeinae",NA,"Butorides","virescens",NA,NA,NA,"S3S4B","Mar 2015","Blue",NA,NA,NA,NA,NA,"breeding"
"Calcarius lapponicus","L.","Lapland Longspur","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Calcariidae",NA,NA,"Calcarius","lapponicus",NA,NA,NA,"SUN,S5M","Apr 2025","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Calcarius pictus","Swainson","Smith's Longspur","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Calcariidae",NA,NA,"Calcarius","pictus",NA,NA,NA,"S2S3B","Apr 2025","Blue",NA,NA,NA,NA,NA,"accidental"
"Calidris alba","Pallas","Sanderling","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","alba",NA,NA,NA,"S4S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Calidris alpina","L.","Dunlin","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","alpina",NA,NA,NA,"S4N","Apr 2023","Yellow",NA,NA,NA,NA,NA,"winter"
"Calidris bairdii","Coues","Baird's Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","bairdii",NA,NA,NA,"S2B,S4M","Apr 2024","Red",NA,NA,NA,NA,NA,"passage migrant"
"Calidris canutus","L.","Red Knot","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","canutus",NA,NA,NA,"S3?M","Mar 2022","Blue","Threatened","Nov 2020","1","Threatened","Feb 2010","passage migrant (rare)"
"Calidris himantopus",NA,"Stilt Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","himantopus",NA,NA,NA,"S3S4M","Apr 2024","Blue",NA,NA,NA,NA,NA,"passage migrant (rare)"
"Calidris mauri","Cabanis","Western Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","mauri",NA,NA,NA,"S4?M,S4N","Apr 2025","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Calidris melanotos","Vieillot","Pectoral Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","melanotos",NA,NA,NA,"S4M","Apr 2024","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Calidris minutilla","Vieillot","Least Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","minutilla",NA,NA,NA,"S4B,S5M","Feb 2025","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Calidris ptilocnemis","Coues","Rock Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","ptilocnemis",NA,NA,NA,"S3?N","Aug 2024","Blue",NA,NA,NA,NA,NA,"winter"
"Calidris pusilla","L.","Semipalmated Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","pusilla",NA,NA,NA,"SUM","Mar 2015","Unknown",NA,NA,NA,NA,NA,"passage migrant"
"Calidris virgata","Gmelin","Surfbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Calidris","virgata",NA,NA,NA,"S4M","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Callipepla californica","Shaw","California Quail","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Odontophoridae",NA,NA,"Callipepla","californica",NA,NA,NA,"SNA","Mar 2015","Exotic",NA,NA,NA,NA,NA,"introduced"
"Calypte anna","Lesson","Anna's Hummingbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Apodiformes",NA,NA,NA,"Trochilidae","Trochilinae","Mellisugini","Calypte","anna",NA,NA,NA,"S5","Mar 2022","Yellow",NA,NA,NA,NA,NA,"permanent"
"Calypte costae","Bourcier","Costa's Hummingbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Apodiformes",NA,NA,NA,"Trochilidae","Trochilinae","Mellisugini","Calypte","costae",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
"Canachites canadensis",NA,"Spruce Grouse","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Canachites","canadensis",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Cardellina canadensis","L.","Canada Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Cardellina","canadensis",NA,NA,NA,"S3B","Mar 2022","Blue","Special Concern","Nov 2020","1","Threatened","Feb 2010","accidental"
"Cardellina pusilla","Wilson","Wilson's Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Cardellina","pusilla",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding"
"Cathartes aura","L.","Turkey Vulture","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Cathartiformes",NA,NA,NA,"Cathartidae",NA,NA,"Cathartes","aura",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding"
"Catharus fuscescens","Stephens","Veery","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Turdidae",NA,NA,"Catharus","fuscescens",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding (rare)?"
"Catharus guttatus","Pallas","Hermit Thrush","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Turdidae",NA,NA,"Catharus","guttatus",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Catharus ustulatus","Nuttall","Swainson's Thrush","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Turdidae",NA,NA,"Catharus","ustulatus",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding"
"Cepphus columba","Pallas","Pigeon Guillemot","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Alcidae",NA,NA,"Cepphus","columba",NA,NA,NA,"S4","Apr 2023","Yellow",NA,NA,NA,NA,NA,"permanent"
"Cerorhinca monocerata","Pallas","Rhinoceros Auklet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Alcidae",NA,NA,"Cerorhinca","monocerata",NA,NA,NA,"S4","Apr 2025","Yellow",NA,NA,NA,NA,NA,"winter"
"Certhia americana","Bonaparte","Brown Creeper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Certhiidae",NA,NA,"Certhia","americana",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Chaetura vauxi","Townsend","Vaux's Swift","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Apodiformes",NA,NA,NA,"Apodidae",NA,NA,"Chaetura","vauxi",NA,NA,NA,"S4S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding"
"Charadrius semipalmatus","Bonaparte","Semipalmated Plover","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Charadriidae",NA,NA,"Charadrius","semipalmatus",NA,NA,NA,"S4B","Feb 2025","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Charadrius vociferus","L.","Killdeer","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Charadriidae",NA,NA,"Charadrius","vociferus",NA,NA,NA,"S3S5B","Mar 2022","Blue",NA,NA,NA,NA,NA,"permanent"
