"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Lotus pedunculatus","Cav.","marsh lotus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Fabales",NA,NA,NA,"Fabaceae","Faboideae","Loteae","Lotus","pedunculatus",NA,NA,NA,"SNA","Apr 2019","Exotic",NA,NA,NA,NA,NA
"Luzula glabrata","(Hoppe) Desv.","Smooth Woodrush","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Juncaceae",NA,NA,"Luzula","glabrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzula wahlenbergii","Rupr.","Wahlenberg's Woodrush","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Juncaceae",NA,NA,"Luzula","wahlenbergii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micranthes punctata","(L.) Losinsk.","Dotted Saxifrage","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Saxifragales",NA,NA,NA,"Saxifragaceae",NA,"Micrantheae","Micranthes","punctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miscanthus sinensis","Andersson","Chinese silver grass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Panicoideae","Andropogoneae","Miscanthus","sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari botryoides","(L.) Mill.","common grape hyacinth","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Asparagales",NA,NA,NA,"Asparagaceae","Scilloideae","Hyacintheae","Muscari","botryoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nemophila menziesii","Hook. & Arn.","Menzies' baby blue eyes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Boraginales",NA,NA,NA,"Boraginaceae","Hydrophylloideae",NA,"Nemophila","menziesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nymphaea sp.","L.","Waterlilies","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Nymphaeales",NA,NA,NA,"Nymphaeaceae",NA,NA,"Nymphaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oreomecon nudicaulis","(L.) Greene","Iceland Poppy","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ranunculales",NA,NA,NA,"Papaveraceae","Papaveroideae","Papavereae","Oreomecon","nudicaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phyllodoce × intermedia","(Hook.) Rydb.","hybrid mountain-heath","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ericales",NA,NA,NA,"Ericaceae","Ericoideae","Phyllodoceae","Phyllodoce",NA,NA,NA,"Phyllodoce × intermedia",NA,NA,NA,NA,NA,NA,NA,NA
"Phyllostachys aurea","Rivière & C. Rivière","fishpole bamboo","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Bambusoideae","Arundinarieae","Phyllostachys","aurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus resinosa","Sol. ex Alton","red pine","Plantae","Tracheophyta",NA,NA,"Pinopsida",NA,NA,"Pinales",NA,NA,NA,"Pinaceae","Pinoideae",NA,"Pinus","resinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Platanthera hyperborea var. huronensis","(L.) Lindl.","Leafy Northern Green Orchid","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Asparagales",NA,NA,NA,"Orchidaceae","Orchidoideae","Orchideae","Platanthera","hyperborea","huronensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podagrostis thurberiana","(Hitchc.) Hultén","Thurber’s bentgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooidiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polypodium vulgare","L.","common polypody","Plantae","Tracheophyta",NA,NA,"Polypodiopsida","Polypodiidae",NA,"Polypodiales","Polypodiineae",NA,NA,"Polypodiaceae","Polypodioideae",NA,"Polypodium","vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polystichum braunii × munitum","(Spenner) Fée","hybrid sword fern","Plantae","Tracheophyta",NA,NA,"Polypodiopsida","Polypodiidae",NA,"Polypodiales","Polypodiineae",NA,NA,"Dryopteridaceae","Dryopteridoideae",NA,"Polystichum",NA,NA,NA,"Polystichum braunii × munitum",NA,NA,NA,NA,NA,NA,NA,NA
"Potentilla uniflora","Ledeb.","One-flower Cinquefoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Potentilleae","Potentilla","uniflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudofumaria lutea","(L.) Borkh.","Yellow Fumitory","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ranunculales",NA,NA,NA,"Papaveraceae","Fumarioideae","Fumarieae","Pseudofumaria","lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudosasa humilis","(Mitford) T.Q.Nguyen","dwarf bamboo","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Bambusoideae","Arundinarieae","Pseudosasa","humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulmonaria affinis","Jordan","allied lungwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Boraginales",NA,NA,NA,"Boraginaceae","Boraginoideae","Boragineae","Pulmonaria","affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulmonaria officinalis","L.","Lungwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Boraginales",NA,NA,NA,"Boraginaceae","Boraginoideae","Boragineae","Pulmonaria","officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pyracantha crenulata","(Roxb. ex D.Don) M.Roem.","Himalayan firethorn","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Amygdaloideae","Maleae","Pyracantha","crenulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus rubra","L.","northern red oak","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Fagales",NA,NA,NA,"Fagaceae",NA,NA,"Quercus","rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranunculus aquatilis complex","L.","common water-crowfoot","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ranunculales",NA,NA,NA,"Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus","aquatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynoutria × bohemica","Chrtek & Chrtková","Bohemian Knotweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Caryophyllales",NA,NA,NA,"Polygonaceae","Polygonoideae","Polygoneae","Reynoutria",NA,NA,NA,"Reynoutria × bohemica",NA,NA,NA,NA,NA,NA,NA,NA
"Rubus fruticosus complex","L.","pilated-leaved blackberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Rubeae","Rubus","fruticosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus plicatus","Weihe & Nees","Plicate-Leaved Bramble","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Rubeae","Rubus","plicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus procerus","P.J.Müll.","Himalayan blackberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Rubeae","Rubus","procerus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus ulmifolius","Schott","elmleaf blackberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Rubeae","Rubus","ulmifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
