"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","firstObserved","Observer","iNatObsID","notes","ID","statsCode","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","recordCount"
"Aldisa cooperi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1978-03-19","","iNaturalist","",,,,,,,,"2016-02-07","Andy Lamb","PMLS","",13
"Aldisa sanguinea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2013-10-10","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",5
"Aldisa tara",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1978-03-19","","iNaturalist","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",4
"Alia carinata",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-05-26","","iNaturalist","",,,,,,,,"2017-05-26","","iNaturalist","",1
"Alitta williami",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-04-17","","iNaturalist","",,,,,,,,"2023-05-27","","iNaturalist","",5
"Amathia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2006-06-23","Andy Lamb","PMLS","",,,,,,,,"2006-11-18","Andy Lamb","PMLS","",2
"Ammodytes personatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2023-08-06","","iNaturalist","",20
"Ampelisca hancocki",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","","RBCM","976-01146-018",,,,,,,,"1961-06-22","","RBCM","976-01146-018",1
"Ampelisca lobata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","","RBCM","976-01146-017",,,,,,,,"1961-06-22","","RBCM","976-01146-017",1
"Ampelisca unsocalae",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","","RBCM","976-01146-019",,,,,,,,"1961-06-22","","RBCM","976-01146-019",1
"Amphilectus digitatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2008-11-12","Andy Lamb","PMLS","",6
"Amphiodia periercta",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1975-06-17","Philip Lambert","RBCM","975-00224-007",,,,,,,,"1975-06-17","Philip Lambert","RBCM","975-00224-007",1
"Amphisbetia greenei",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2008-11-13","Andy Lamb","PMLS","",6
"Amphissa columbiana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-05-22","","iNaturalist","",45
"Amphissa versicolor",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-11-12","Andy Lamb","PMLS","",,,,,,,,"2011-04-23","Andy Lamb","PMLS","",3
"Ampithoe lacertosa",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-02-14","Andy Lamb","PMLS","",,,,,,,,"2009-02-14","Andy Lamb","PMLS","",1
"Anarrhichthys ocellatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1994-02-26","Charlie Gibbs","PMLS","",,,,,,,,"2008-07-19","Andy Lamb","PMLS","",5
"Anoplarchus purpurescens",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",16
"Antho (Plocamia) karykina",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2012-08-09","Andy Lamb","PMLS","",3
"Anthopleura artemisia",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-09-29","Charlie Gibbs","PMLS","",,,,,,,,"2023-07-13","","iNaturalist","",52
"Anthopleura elegantissima",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-08-17","","iNaturalist","",89
"Antiopella fusca",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2022-09-28","","iNaturalist","",17
"Apata pricei",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2013-05-17","Andy Lamb","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",11
"Aphrocallistes vastus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-23","","iNaturalist","",,,,,,,,"2017-06-24","","iNaturalist","",176
"Aphrodita negligens",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1914-06-26","","RBCM","974-00265-001",,,,,,,,"1914-06-26","","RBCM","974-00265-001",1
"Aplidium californicum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-06-17","","iNaturalist","",6
"Aplidium kottae",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2017-08-22","Andy Lamb","PMLS","",54
"Aplysilla polyraphis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-11-12","Andy Lamb","PMLS","",,,,,,,,"2009-10-10","Andy Lamb","PMLS","",3
"Aplysilla sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",19
"Apodichthys flavidus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-08-06","","iNaturalist","",20
"Apomatus geniculatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2007-10-14","Andy Lamb","PMLS","",,,,,,,,"2008-06-21","Andy Lamb","PMLS","",3
"Apostichopus californicus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-08-23","","iNaturalist","",274
"Arctonoe fragilis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1975-06-18","T. Kessler","RBCM","975-00227-001",,,,,,,,"2022-03-01","","iNaturalist","",15
"Arctonoe pulchra",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1975-06-18","T. Kessler","RBCM","975-00227-003",,,,,,,,"2019-05-04","","iNaturalist","",16
"Arctonoe vittata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1975-06-18","T. Kessler","RBCM","975-00227-002",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",2
"Argulus pugettensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2007-09-29","Andy Lamb","PMLS","",,,,,,,,"2012-08-09","Andy Lamb","PMLS","",2
"Armina californica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1975-06-17","Philip Lambert","RBCM","975-00224-003",,,,,,,,"2023-09-09","","iNaturalist","",19
"Artedius fenestralis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2022-07-31","","iNaturalist","",9
"Artedius harringtoni",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-07-16","","iNaturalist","",157
"Artedius lateralis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",4
"Ascidia columbiana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-04-27","Andy Lamb","PMLS","",,,,,,,,"2011-11-18","Andy Lamb","PMLS","",2
"Ascidia paratropa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-07-09","","iNaturalist","",44
"Asemichthys taylori",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2022-07-18","","iNaturalist","",17
"Atalodoris jannae",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-11-15","","iNaturalist","",,,,,,,,"2018-06-24","Karin Fletcher","PMLS","",4
"Aulorhynchus flavidus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-02-27","Charlie Gibbs","PMLS","",,,,,,,,"2023-07-16","","iNaturalist","",26
"Aurelia labiata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-09-28","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",47
"Axinopsida serricata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-014",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03315",2
"Balaenoptera acutorostrata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2004-04-09","","BCCSN","31161",,,,,,,,"2016-11-06","","BCCSN","109549",2
"Balaenoptera physalus",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","unobserved","2017-07-04","","BCCSN","123168",,,,,,,,"2017-07-04","","BCCSN","123168",1
"Balanophyllia (Balanophyllia) elegans",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",233
"Balanus crenatus",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-01-25","","iNaturalist","",,,,,,,,"2023-06-02","","iNaturalist","",3
"Balanus glandula",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-08-17","","iNaturalist","",135
"Balanus nubilus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",215
"Balanus rostratus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1986-09-30","","RBCM","986-00197-026",,,,,,,,"2023-09-10","","iNaturalist","",3
"Balticina willemoesi",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2007-12-09","Andy Lamb","PMLS","",,,,,,,,"2007-12-09","Andy Lamb","PMLS","",1
"Bankia setacea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-10-02","Andy Lamb","PMLS","",,,,,,,,"2009-01-03","Andy Lamb","PMLS","",3
"Barentsia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"1985-12-07","Andy Lamb","PMLS","",1
"Bathydrilus litoreus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1979-07-05","Randy Baker","RBCM","991-00598-001",,,,,,,,"1979-07-05","Randy Baker","RBCM","991-00598-001",1
"Bathypera feminalba",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-04-04","Andy Lamb","PMLS","",,,,,,,,"2009-04-04","Andy Lamb","PMLS","",1
"Batillaria attramentaria",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-05-05","","iNaturalist","",,,,,,,,"2020-08-11","","iNaturalist","",2
"Beringraja binoculata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"1995-02-23","Charlie Gibbs","PMLS","",1
"Beringraja rhina",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2010-11-12","Andy Lamb","PMLS","",,,,,,,,"2010-11-12","Andy Lamb","PMLS","",1
"Beroe abyssicola",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2023-07-09","","iNaturalist","",16
"Berryteuthis magister",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1956-01-29","W. Barraclough","RBCM","978-00057-002",,,,,,,,"1965-01-29","W. Barraclough","RBCM","978-00056-001",3
"Berthella chacei",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2005-12-10","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",10
"Bispira pacifica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",24
"Bolinopsis infundibulum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1996-05-29","Charlie Gibbs","PMLS","",,,,,,,,"2019-05-04","Stefania Gorgopa","PMLS","",22
"Bolinopsis microptera",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","","iNaturalist","",,,,,,,,"2023-06-17","","iNaturalist","",9
"Boltenia villosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",100
"Bopyroides hippolytes",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2010-07-17","Andy Lamb","PMLS","",,,,,,,,"2010-07-17","Andy Lamb","PMLS","",1
"Botrylloides violaceus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-14","Andy Lamb","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",12
"Bougainvillia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-10-05","Andy Lamb","PMLS","",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",5
"Brachyistius frenatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",123
"Brosmophycis marginata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2010-05-30","Andy Lamb","PMLS","",,,,,,,,"2010-05-30","Andy Lamb","PMLS","",1
"Bugulina californica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",40
"Cadlina klasmalmbergi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2013-10-13","","iNaturalist","",,,,,,,,"2018-06-19","","iNaturalist","",2
"Cadlina luteomarginata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",200
"Cadlina modesta",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-04-08","","iNaturalist","",,,,,,,,"2018-06-18","","iNaturalist","",3
"Cadlina sylviaearleae",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-05-04","","iNaturalist","",,,,,,,,"2023-10-08","","iNaturalist","",6
"Calliostoma annulatum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1986-09-30","","RBCM","986-00197-040",,,,,,,,"2009-05-30","Andy Lamb","PMLS","",5
"Calliostoma canaliculatum",,,,,,,,,,,,,,,,,,,,,,,,,"new 2021","observed","2021-04-20","","iNaturalist","",,,,,,,,"2023-09-09","","iNaturalist","",9
"Calliostoma ligatum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2023-06-17","","iNaturalist","",132
"Calliostoma variegatum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","","iNaturalist","",,,,,,,,"2008-05-24","","iNaturalist","",2
"Cancer productus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-08-30","","iNaturalist","",172
"Caprella alaskana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-06-21","Andy Lamb","PMLS","",,,,,,,,"2019-05-04","Emily Adamczyk","PMLS","",2
"Caprella mutica",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-05-04","","iNaturalist","",,,,,,,,"2023-06-16","","iNaturalist","",5
"Caryophyllia (Caryophyllia) alaskensis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-02-14","Andy Lamb","PMLS","",,,,,,,,"2019-05-04","Stefania Gorgopa","PMLS","",3
"Catablema vesicarium nodulosum",,,,,,,,,,,,,,,,,,,,,,,,,"new 2021","observed","2021-04-11","","iNaturalist","",,,,,,,,"2021-04-18","","iNaturalist","",8
"Catriona columbiana",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2014-04-09","","iNaturalist","",,,,,,,,"2014-04-09","","iNaturalist","",1
"Caulibugula californica",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2007-12-15","Andy Lamb","PMLS","",,,,,,,,"2007-12-15","Andy Lamb","PMLS","",1
"Cellaria diffusa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1995-02-24","Charlie Gibbs","PMLS","",,,,,,,,"2008-09-19","Andy Lamb","PMLS","",4
"Celleporina robertsoniae",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1997-04-15","Donna Gibbs","PMLS","",,,,,,,,"1999-07-31","Charlie Gibbs","PMLS","",2
"Ceramaster patagonicus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","","iNaturalist","",,,,,,,,"2009-10-03","","iNaturalist","",4
"Ceratostoma foliatum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",222
"Cerberilla mosslandica",,,,,,,,,,,,,,,,,,,,,,,,,"new 2018","observed","2018-06-19","","iNaturalist","",,,,,,,,"2018-06-19","","iNaturalist","",1
"Cerebratulus sp.",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-05-30","","iNaturalist","",,,,,,,,"2019-05-30","","iNaturalist","",1
"Chaetopterus variopedatus complex",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2006-03-05","Andy Lamb","PMLS","",,,,,,,,"2006-03-05","Andy Lamb","PMLS","",1
"Chelyosoma productum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2012-10-06","Andy Lamb","PMLS","",35
"Chirolophis decoratus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",31
"Chirolophis nugator",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-10-04","","iNaturalist","",46
"Chitonotus pugetensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2008-07-19","Andy Lamb","PMLS","",5
"Chlamys hastata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1962-01-01","Dan Quayle","RBCM","989-00923-001",,,,,,,,"2023-10-08","","iNaturalist","",131
"Chlamys rubida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1961-05-13","Dan Quayle","RBCM","982-00207-003",,,,,,,,"2008-06-15","Andy Lamb","PMLS","",4
"Chone aurantiaca",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-05-04","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",43
"Chorilia longipes",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu & Leys (2010)","",,,,,,,,"2021-08-13","","iNaturalist","",7
"Chromopleustes oculatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1995-02-24","Charlie Gibbs","PMLS","",,,,,,,,"2008-05-30","Andy Lamb","PMLS","",6
"Chthamalus dalli",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-02-16","Andy Lamb","PMLS","",,,,,,,,"2023-06-02","","iNaturalist","",14
"Ciliatocardium ciliatum",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2008-10-10","Andy Lamb","PMLS","",,,,,,,,"2008-10-10","Andy Lamb","PMLS","",1
"Ciona savignyi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2008-10-10","Andy Lamb","PMLS","",13
"Cirratulus spectabilis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-09-30","","RBCM","986-00197-064",,,,,,,,"1986-09-30","","RBCM","986-00197-064",1
"Citharichthys stigmaeus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-18","","iNaturalist","",20
"Clathria (Microciona) pennata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",173
"Clathrina sp.",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","unobserved","2017-06-30","Andy Lamb","PMLS","",,,,,,,,"2017-06-30","Andy Lamb","PMLS","",1
"Clavelina huntsmani",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1995-02-24","Charlie Gibbs","PMLS","",,,,,,,,"1996-02-24","Charlie Gibbs","PMLS","",5
"Clevelandia ios",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-05-26","","iNaturalist","",,,,,,,,"2017-05-26","","iNaturalist","",1
"Clinocardium nuttallii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-27","","iNaturalist","",54
"Clinocottus acuticeps",,,,,,,,,,,,,,,,,,,,,,,,,"new 2022","observed","2022-05-16","","iNaturalist","",,,,,,,,"2022-05-16","","iNaturalist","",1
"Cliona californiana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-07-16","","iNaturalist","",171
"Clione limacina",,,,,,,,,,,,,,,,,,,,,,,,,"new 2020","observed","2020-01-05","","iNaturalist","",,,,,,,,"2020-01-05","","iNaturalist","",1
"Clupea pallasii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",34
