Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Cladonia cornuta,(L.) Hoffm.,,bighorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,cornuta,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-05-13,Andrew Simon,iNat:39122904,,179035,LIC
Cladonia crispata var. crispata,(Ach.) Flot.,,greater organpipe pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,crispata,,,crispata,native,S5 (2018),,new 2015,observed,,,,,,2015-10-31,Andrew Simon,iNat:39123247,,240032,LIC
Cladonia fimbriata,(L.) Fr.,,trumpet pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,fimbriata,,,,native,S5 (2010),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2016-01-24,Andrew Simon,iNat:39125193,,179037,LIC
Cladonia furcata,(Hudson) Schrader,,many-forked Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,furcata,,,,native,S5 (2018),,confirmed,observed,1964-05-27,Wilfred B. Schofield,UBC,L3008,,2016-01-28,Andrew Simon,iNat:39125622,,54607,LIC
Cladonia macilenta,Hoffm.,,lipstick powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,macilenta,,,,native,S4 (2010),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36212,,2015-03-04,Andrew Simon,iNat:2566592,,117950,LIC
Cladonia portentosa ssp. pacifica,(Ahti) Ahti,,maritime reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,portentosa,,pacifica,,native,S5 (2010),,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565137,,119666,LIC
Cladonia pyxidata,(L.) Hoffm.,,pebbled pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,pyxidata,,,,native,S5 (2018),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36208,,2015-03-24,Lauren Magner & Andrew Simon,iNat:2569437,,123894,LIC
Cladonia rangiferina,(L.) F. H. Wigg.,,grey reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,rangiferina,,,,native,S5 (2018),,confirmed,observed,1974-04-21,Willa J. Noble,UBC,L35639,,2016-08-26,Lauren Magner & Andrew Simon,iNat:3971238,,119778,LIC
Cladonia scabriuscula,(Delise) Leight.,,card-carrying Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,scabriuscula,,,,native,S5 (2018),,new 2015,observed,,,,,,2015-03-26,Andrew Simon,iNat:2588105,,217148,LIC
Cladonia squamosa,Hoffm.,,dragon pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,squamosa,,,,native,S5 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36175,,2015-03-04,Andrew Simon,iNat:2566605,,117963,LIC
Cladonia transcendens,(Vain.) Vain.,,graduated pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,transcendens,,,,native,S4 (2010),,new 2017,observed,,,,,,2017-06-18,Andrew Simon,iNat:6714894,,179038,LIC
Cladonia umbricola,Tønsberg & Ahti,,shadow pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,umbricola,,,,native,S5 (2018),,confirmed,observed,1977-07-24,Teuvo Ahti & Willa J. Noble,UBC,L37526,,2015-08-28,Andrew Simon,iNat:5288444,,194721,LIC
Cladonia uncialis,(L.) F. H. Wigg.,,thorn lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,uncialis,,,,native,SNR,,new 2017,observed,,,,,,2017-04-01,Andrew Simon,iNat:5537636,,121208,LIC
Cladonia verruculosa,(Vainio) Ahti.,,nittygritty pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,verruculosa,,,,native,S4 (2010),,confirmed,observed,1963-08-31,Wilfred B. Schofield,UBC,L3352,,2021-05-01,Andrew Simon,iNat:83017058,,155194,LIC
Cladonia wainioi,Savicz.,,reindeer pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,wainioi,,,,native,SU (2018),,new 2018,observed,,,,,,2018-02-16,Andrew Simon,iNat:39121650,,182567,LIC
Cliostomum griffithii,(Sm.) Coppins,,multicolored dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Cliostomum,griffithii,,,,native,unlisted,,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14330,,2016-10-16,Andrew Simon,iNat:21055694,,217200,LIC
Collema furfuraceum,(Arnold) Du Rietz.,,effervescent tarpaper lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,furfuraceum,,,,native,S3S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L14329,,2016-10-16,Andrew Simon,iNat:4381558,,117947,LIC
Collema nigrescens,(Hudson) DC.,,blistered jelly lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,nigrescens,,,,native,S4 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14342,,2016-11-03,Andrew Simon,iNat:4491315,,217428,LIC
Collema subflaccidum,Degel.,,wilted tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Collema,subflaccidum,,,,native,S4 (2010),,confirmed,observed,2010-01-26,Terry McIntosh,UBC,L51101,,2016-12-04,Andrew Simon,iNat:4715745,reported as Collema flaccidum by Terry McIntosh but as Collema subflaccidum by Curtis Björk,182552,LIC
Collemopsidium halodytes s.lat.,(Nyl.) Grube & B.D. Ryan,,barnacle lichen,Fungi,Ascomycota,Pezizomycotina,,Incertae sedis,,,Incertae sedis,,,Xanthopyreniaceae,,,Collemopsidium,halodytes,,,,native,unlisted,,reported,unobserved,1976-07-23,Willa J. Noble,UBC,L14859,,,,,reported as Arthopyrenia halodytes,462769,LIC
Cresponea chloroconia,(Tuck.) Egea & Torrente,,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Opegraphaceae,,,Cresponea,chloroconia,,,,native,S5 (2020),,new 2020,observed,,,,,,2020-11-10,Randal Mindell,iNat:64809961,,217756,LIC
Dermatocarpon intestiniforme,(Körb.) Hasse.,,quilted stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,intestiniforme,,,,native,SU (2010),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L10822,,,,,,218252,LIC
Dermatocarpon leptophyllodes,(Nyl.) Zahlbr.,,jigsaw stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,leptophyllodes,,,,native,S4 (2018),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10819,,2018-05-24,Andrew Simon,iNat:12817811,,218253,LIC
Dermatocarpon miniatum,(L.) W. Mann,,leather lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,miniatum,,,,native,S4 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10813,,2016-04-23,Andrew Simon,iNat:3031104,,154129,LIC
Dermatocarpon reticulatum,H. Magn.,,sandpaper stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,reticulatum,,,,native,S5 (2018),,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L10806,,2016-06-28,Andrew Simon,iNat:3542956,,218258,LIC
Diploschistes scruposus,(Schreber) Norman,,crater lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,Diploschistes,scruposus,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10946,,2015-09-27,Andrew Simon,iNat:2632562,,117945,LIC
Diplotomma penichra,(Tuck.) Szat.,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Diplotomma,penichra,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L37603,,,,,reported as Buellia penichra,218550,LIC
Enchylium tenax,(Sw.) Gray,,tarred tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Enchylium,tenax,,,,native,SU (2019),,new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:83031003,,462865,LIC
Ephebe lanata,(L.) Vain.,,waterside rockshag,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lichinales,,,Lichinaceae,,,Ephebe,lanata,,,,native,S4 (2019),,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L3830,,,,,,219260,LIC
Evernia prunastri,(L.) Ach.,,antlered oakmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Evernia,prunastri,,,,native,S4S5 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L10843,,2016-02-13,"Alison Colwell, Laura Colwell, & Malcolm Colwell",iNat:3041034,,123175,LIC
Flavoplaca citrina,"(Hoffm.) Arup, Frödén & Søchting",,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Flavoplaca,citrina,,,,native,SU (2020),,new 2017,observed,,,,,,2017-03-25,Andrew Simon,iNat:22597168,,462950,LIC
Flavoplaca flavocitrina,"(Hoffm.) Arup, Frödén & Søchting",,mealy firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Flavoplaca,flavocitrina,,,,native,unlisted,,new 2018,observed,,,,,,2018-07-23,Andrew Simon,iNat:14675997,on brick and mortar at post office; collect and confirm,462951,LIC
Flavoplaca marina,"(Wedd.) Arup, Frödén & Søchting",,orange sea lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Flavoplaca,marina,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-12,Andrew Simon,iNat:5296400,,462953,LIC
Flavopunctelia flaventior,(Stirton) Hale.,,speckled mantle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Flavopunctelia,flaventior,,,,native,S2? (2019),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35877,,2016-10-16,Andrew Simon,iNat:4381669,,69436,LIC
Flavopunctelia soredica,(Nyl.) Hale.,,powder-edged speckled mantle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Flavopunctelia,soredica,,,,native,unlisted,,new 2016,observed,,,,,,2016-10-16,Andrew Simon,iNat:4381669,,220115,LIC
Fuscopannaria crustacea,P.M. Jørg.,,encrusting crackers,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,crustacea,,,,native,S1S2 (2019),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L20704,,,,,,220253,LIC
Fuscopannaria leprosa,P.M. Jørg. & Tønsberg.,,powdered shingle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,,Fuscopannaria,leprosa,,,,native,unlisted,,reported,unobserved,1974-04-21,Willa J. Noble,UBC,L35665,,,,,,220259,LIC
