Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Dermatocarpon intestiniforme,(Körb.) Hasse.,,quilted stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,intestiniforme,,,,native,SU (2010),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L10822,,,,,,218252,LIC,accepted,218252,Dermatocarpon intestiniforme,Dermatocarpon intestiniforme
Dermatocarpon leptophyllodes,(Nyl.) Zahlbr.,,jigsaw stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,leptophyllodes,,,,native,S4 (2018),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10819,,2018-05-24,Andrew Simon,iNat:12817811,,218253,LIC,accepted,218253,Dermatocarpon leptophyllodes,Dermatocarpon leptophyllodes
Dermatocarpon miniatum,(L.) W. Mann,,leather lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,miniatum,,,,native,S4 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10813,,2016-04-23,Andrew Simon,iNat:3031104,,154129,LIC,accepted,154129,Dermatocarpon miniatum,Dermatocarpon miniatum
Dermatocarpon reticulatum,H. Magn.,,sandpaper stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,reticulatum,,,,native,S5 (2018),,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L10806,,2016-06-28,Andrew Simon,iNat:3542956,,218258,LIC,accepted,218258,Dermatocarpon reticulatum,Dermatocarpon reticulatum
Hydropunctaria maura,(Wahl.) Keller & Gueidan,,wart lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Hydropunctaria,maura,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35924,,2020-04-10,Andrew Simon,iNat:41881729,reported as Verrucaria maura,197141,LIC,accepted,197141,Hydropunctaria maura,Hydropunctaria maura
Normandina pulchella,(Borrer) Nyl.,,elf-ear lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Normandina,pulchella,,,,native,unlisted,,reported,unobserved,1974-04-01,Willa J. Noble,UBC,L10927,,,,,,117861,LIC,accepted,117861,Normandina pulchella,Normandina pulchella
Staurothele fissa,(Taylor) Zwackh.,,lakezone lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Staurothele,fissa,,,,native,unlisted,,reported,unobserved,1974-05-01,Willa J. Noble,UBC,L12444,,,,,reported as S. hazslinskyi,231483,LIC,accepted,231483,Staurothele fissa,Staurothele fissa
Collemopsidium halodytes s.lat.,(Nyl.) Grube & B.D. Ryan,,barnacle lichen,Fungi,Ascomycota,Pezizomycotina,,,,,,,,,,,Pyrenocollema,halodytes,,,,native,unlisted,,reported,unobserved,1976-07-23,Willa J. Noble,UBC,L14859,,,,,reported as Arthopyrenia halodytes,462769,LIC,unaccepted,229538,Pyrenocollema halodytes,Collemopsidium halodytes
Sarcogyne hypophaea,(Nyl.) Arnold,,grain-spored lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Acarosporomycetidae,,Acarosporales,,,Acarosporaceae,,,Sarcogyne,hypophaea,,,,native,unlisted,,reported,unobserved,1974-04-21,Willa J. Noble,UBC,L35645,,,,,reported as Sarcogyne privigna var. calcicola,532278,LIC,accepted,532278,Sarcogyne hypophaea,Sarcogyne hypophaea
Acolium inquinans,(Sm.) A. Massal.,,cupped soot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Acolium,inquinans,,,,native,unlisted,,new 2017,observed,,,,,,2017-06-16,Andrew Simon,iNat:7503518,,636286,LIC,accepted,636286,Acolium inquinans,Acolium inquinans
Amandinea punctata,(Hoffm.) Coppins & Scheid.,,tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Amandinea,punctata,,,,native,unlisted,,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35871,,2016-10-16,Andrew Simon,iNat:4381611,reported as Buellia punctata,155082,LIC,accepted,155082,Amandinea punctata,Amandinea punctata
Buellia fecunda ined.,,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Buellia,fecunda,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L35905,,,,,,,LIC,unknown,,,
Buellia fosteri,(Imshaug & Sheard) Perlmutter & Rivas Plata,,whitewash lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Buellia,fosteri,,,,native,unlisted,,new 2017,observed,,,,,,2017-12-22,Andrew Simon,iNat:9239094,,1027862,LIC,accepted,1027862,Buellia fosteri,Buellia fosteri
Calicium glaucellum,Ach. ,,stubble lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Calicium,glaucellum,,,,native,S5 (2020),,new 2021,observed,,,,,,2021-10-23,Alejandro Huereca Delgado & Andrew Simon ,iNat:99510053,,117914,LIC,accepted,117914,Calicium glaucellum,Calicium glaucellum
Calicium viride,Pers.,,green stubble lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Calicium,viride,,,,native,S5 (2020),,confirmed,observed,1977-07-24,Willa J. Noble,UBC,L14869,,2018-05-12,Andrew Simon,iNat:12406796,,207863,LIC,accepted,207863,Calicium viride,Calicium viride
Diplotomma penichra,(Tuck.) Szat.,,button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Diplotomma,penichra,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L37603,,,,,reported as Buellia penichra,218550,LIC,unknown,,,Diplotomma penichrum
Thelomma mammosum,(Hepp) A.Massal.,,rock nipple lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Thelomma,mammosum,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L12450,,2015-08-05,Andrew Simon,iNat:2599843,,146938,LIC,accepted,146938,Thelomma mammosum,Thelomma mammosum
Phaeophyscia orbicularis,(Necker) Moberg.,,powder-headed shadow,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Phaeophyscia,orbicularis,,,,native,S4 (2010),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35917,,2019-04-29,Andrew Simon,iNat:24768208,,60718,LIC,accepted,60718,Phaeophyscia orbicularis,Phaeophyscia orbicularis
Physcia adscendens,H. Olivier.,,hooded rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,adscendens,,,,native,S5 (2010),,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-08-14,Andrew Simon,iNat:3948542,,124439,LIC,accepted,124439,Physcia adscendens,Physcia adscendens
Physcia alnophila,"(Vainio) Loht., Moberg, L. Myllys & Tehler.",,grey-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,alnophila,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36181,,2017-02-16,Andrew Simon,iNat:5121968,,463769,LIC,accepted,463769,Physcia alnophila,Physcia alnophila
Physcia caesia,(Hoffm.) Hampe ex Fürnr.,,blue-grey rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,caesia,,,,native,S4 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36192,,2015-08-28,Andrew Simon,iNat:2632612,,194681,LIC,accepted,194681,Physcia caesia,Physcia caesia
Physcia phaea,(Tuck.) J.W. Thomson,,black-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,phaea,,,,native,S4 (2019),,new 2020,observed,,,,,,2020-11-10,Randal Mindell & Andrew Simon,iNat:64809762,,154099,LIC,accepted,154099,Physcia phaea,Physcia phaea
Physcia tenella,(Scop.) DC.,,hoodless rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physcia,tenella,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-10-04,Andrew Simon,iNat:4282590,,228059,LIC,accepted,228059,Physcia tenella,Physcia tenella
Physconia enteroxantha,(Nyl.) Poelt.,,gilded frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physconia,enteroxantha,,,,native,S3S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35888,,2017-03-30,Andrew Simon,iNat:5526013,,228066,LIC,accepted,228066,Physconia enteroxantha,Physconia enteroxantha
Physconia perisidiosa,(Erichsen) Moberg.,,crescent frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Physconia,perisidiosa,,,,native,S4 (2010),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35902,,2017-03-30,Andrew Simon,iNat:5526016,,203896,LIC,accepted,203896,Physconia perisidiosa,Physconia perisidiosa
Rinodina bolanderi,H. Magn.,,creamy pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,bolanderi,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L48880,,2017-05-18,Andrew Simon,iNat:22597101,,230206,LIC,accepted,230206,Rinodina bolanderi,Rinodina bolanderi
Rinodina gennarii,Bagl.,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,gennarii,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L36905,,,,,,230233,LIC,accepted,230233,Rinodina gennarii,Rinodina gennarii
Rinodina hallii,Tuck.,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,hallii,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,230239,LIC,accepted,230239,Rinodina hallii,Rinodina hallii
Rinodina laevigata,(Ach.) Malme,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,laevigata,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L36904,,,,,,123456,LIC,accepted,123456,Rinodina laevigata,Rinodina laevigata
Rinodina terricola,Sheard & K. Knudsen,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,Rinodina,terricola,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L36906,,,,,,532252,LIC,accepted,532252,Rinodina terricola,Rinodina terricola
Candelaria pacifica,Westberg,,Pacific candleflame,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Candelariales,,,Candelariaceae,,,Candelaria,pacifica,,,,native,unlisted,,reported,unobserved,2011-05-14,Kent Brothers,VMS,,,,,,,203098,LIC,accepted,203098,Candelaria pacifica,Candelaria pacifica
Candelariella vitellina,(Hoffm.) Müll. Arg.,,common goldspeck,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Candelariales,,,Candelariaceae,,,Candelariella,vitellina,,,,native,unlisted,,new 2017,observed,,,,,,2017-12-31,Andrew Simon,iNat:9328883,,182455,LIC,accepted,182455,Candelariella vitellina,Candelariella vitellina
Ionaspis lacustris,(With.) Lutzoni,,rusty brook lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Hymeneliales,,,Hymeneliaceae,,,Ionaspis,lacustris,,,,native,unlisted,,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36219,,,,,,222258,LIC,accepted,222258,Ionaspis lacustris,Ionaspis lacustris
Cladonia albonigra,Brodo & Ahti,,blackfoot pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,albonigra,,,,native,S4 (2010),,new 2015,observed,,,,,,2015-08-28,Andrew Simon,iNat:5288435,,194699,LIC,accepted,194699,Cladonia albonigra,Cladonia albonigra
Cladonia bacilliformis,(Nyl.) Sarnth.,,yellowhorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,bacilliformis,,,,native,S3S4 (2019),,new 2017,observed,,,,,,2017-12-31,Andrew Simon,iNat:9329152,,217074,LIC,accepted,217074,Cladonia bacilliformis,Cladonia bacilliformis
Cladonia carneola,(Fr.) Fr.,,crowned pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,carneola,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-10-29,Kevin Toomer,iNat:8604599,,194513,LIC,accepted,194513,Cladonia carneola,Cladonia carneola
Cladonia cenotea,(Ach.) Schaer.,,powdered funnel lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,cenotea,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-12-22,Andrew Simon,iNat:4834210,,180456,LIC,accepted,180456,Cladonia cenotea,Cladonia cenotea
Cladonia cf asahinae,J.W. Thomson,,Asahina's pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,asahinae,,,,native,S4 (2010),,new 2017,observed,,,,,,2017-02-25,Andrew Simon,iNat:5197373,,210582,LIC,accepted,210582,Cladonia asahinae,Cladonia asahinae
Cladonia chlorophaea,(Flörke ex Sommerf.) Sprengel,,mealy pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,chlorophaea,,,,native,S5 (2018),,new 2015,observed,,,,,,2015-08-28,Andrew Simon,iNat:5288560,,1080564,LIC,accepted,49488,Cladonia chlorophaea,Cladonia chlorophaea
Cladonia coniocraea,(Flörke) Sprengel,,common powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,coniocraea,,,,native,S5 (2010),,new 2015,observed,,,,,,2015-10-08,Lauren Magner & Andrew Simon,iNat:2647302,,155093,LIC,accepted,155093,Cladonia coniocraea,Cladonia coniocraea
Cladonia cornuta,(L.) Hoffm.,,bighorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,cornuta,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-05-13,Andrew Simon,iNat:39122904,,179035,LIC,accepted,179035,Cladonia cornuta,Cladonia cornuta
Cladonia crispata var. crispata,(Ach.) Flot.,,greater organpipe pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,crispata,,,crispata,native,S5 (2018),,new 2015,observed,,,,,,2015-10-31,Andrew Simon,iNat:39123247,,240032,LIC,accepted,240032,Cladonia crispata crispata,Cladonia crispata crispata
Cladonia fimbriata,(L.) Fr.,,trumpet pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,fimbriata,,,,native,S5 (2010),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2016-01-24,Andrew Simon,iNat:39125193,,179037,LIC,accepted,179037,Cladonia fimbriata,Cladonia fimbriata
Cladonia furcata,(Hudson) Schrader,,many-forked Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,furcata,,,,native,S5 (2018),,confirmed,observed,1964-05-27,Wilfred B. Schofield,UBC,L3008,,2016-01-28,Andrew Simon,iNat:39125622,,54607,LIC,accepted,54607,Cladonia furcata,Cladonia furcata
Cladonia macilenta,Hoffm.,,lipstick powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,macilenta,,,,native,S4 (2010),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36212,,2015-03-04,Andrew Simon,iNat:2566592,,117950,LIC,accepted,117950,Cladonia macilenta,Cladonia macilenta
Cladonia portentosa ssp. pacifica,(Ahti) Ahti,,maritime reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,portentosa,,pacifica,,native,S5 (2010),,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565137,,119666,LIC,accepted,340879,Cladonia portentosa pacifica,Cladonia portentosa
Cladonia pyxidata,(L.) Hoffm.,,pebbled pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,pyxidata,,,,native,S5 (2018),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36208,,2015-03-24,Lauren Magner & Andrew Simon,iNat:2569437,,123894,LIC,accepted,123894,Cladonia pyxidata,Cladonia pyxidata
Cladonia rangiferina,(L.) F. H. Wigg.,,grey reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,rangiferina,,,,native,S5 (2018),,confirmed,observed,1974-04-21,Willa J. Noble,UBC,L35639,,2016-08-26,Lauren Magner & Andrew Simon,iNat:3971238,,119778,LIC,accepted,119778,Cladonia rangiferina,Cladonia rangiferina
Cladonia scabriuscula,(Delise) Leight.,,card-carrying Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,scabriuscula,,,,native,S5 (2018),,new 2015,observed,,,,,,2015-03-26,Andrew Simon,iNat:2588105,,217148,LIC,accepted,217148,Cladonia scabriuscula,Cladonia scabriuscula
Cladonia squamosa,Hoffm.,,dragon pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,squamosa,,,,native,S5 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36175,,2015-03-04,Andrew Simon,iNat:2566605,,117963,LIC,accepted,117963,Cladonia squamosa,Cladonia squamosa
Cladonia transcendens,(Vain.) Vain.,,graduated pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,transcendens,,,,native,S4 (2010),,new 2017,observed,,,,,,2017-06-18,Andrew Simon,iNat:6714894,,179038,LIC,accepted,179038,Cladonia transcendens,Cladonia transcendens
Cladonia umbricola,Tønsberg & Ahti,,shadow pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,umbricola,,,,native,S5 (2018),,confirmed,observed,1977-07-24,Teuvo Ahti & Willa J. Noble,UBC,L37526,,2015-08-28,Andrew Simon,iNat:5288444,,194721,LIC,accepted,194721,Cladonia umbricola,Cladonia umbricola
Cladonia uncialis,(L.) F. H. Wigg.,,thorn lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,uncialis,,,,native,SNR,,new 2017,observed,,,,,,2017-04-01,Andrew Simon,iNat:5537636,,121208,LIC,accepted,121208,Cladonia uncialis,Cladonia uncialis
Cladonia verruculosa,(Vainio) Ahti.,,nittygritty pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,verruculosa,,,,native,S4 (2010),,confirmed,observed,1963-08-31,Wilfred B. Schofield,UBC,L3352,,2021-05-01,Andrew Simon,iNat:83017058,,155194,LIC,accepted,155194,Cladonia verruculosa,Cladonia verruculosa
Cladonia wainioi,Savicz.,,reindeer pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,wainioi,,,,native,SU (2018),,new 2018,observed,,,,,,2018-02-16,Andrew Simon,iNat:39121650,,182567,LIC,accepted,182567,Cladonia wainioi,Cladonia wainioi
Pilophorus acicularis,(Ach.) Th. Fr.,,devil’s matchsticks,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Pilophorus,acicularis,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36172,,2015-03-09,Andrew Simon,iNat:2572192,,128919,LIC,accepted,128919,Pilophorus acicularis,Pilophorus acicularis
