"","period","cell_id","record_count"
"228","1890-1960",480,52
"229","1890-1960",482,1
"230","1890-1960",488,21
"231","1890-1960",489,24
"232","1890-1960",542,106
"233","1890-1960",545,3
"234","1890-1960",546,105
"235","1890-1960",547,1
"236","1890-1960",654,2
"237","1890-1960",657,72
"238","1890-1960",658,1
"239","1890-1960",661,16
"240","1890-1960",774,21
"241","1890-1960",871,1
"242","1890-1960",882,1
"243","1890-1960",883,1
"244","1890-1960",941,10
"245","1890-1960",1107,2
"246","1890-1960",1214,1
"247","1890-1960",1219,11
"248","1890-1960",1264,3
"249","1890-1960",1278,1
"250","1890-1960",1331,3
"251","1890-1960",1366,1
"252","1890-1960",1376,2
"253","1890-1960",1488,1
"254","1890-1960",1499,1
"255","1890-1960",1501,2
"256","1890-1960",1502,1
"257","1890-1960",1599,3
"258","1890-1960",1602,1
"259","1890-1960",1613,1
"260","1890-1960",1712,4
"261","1890-1960",1720,6
"262","1890-1960",1721,13
"263","1890-1960",1768,1
"264","1890-1960",1826,3
"265","1890-1960",1880,1
"266","1890-1960",1998,1
"267","1890-1960",2104,2
"268","1890-1960",2215,12
"269","1890-1960",2216,1
"270","1890-1960",2549,1
"271","1890-1960",2587,1
"272","1890-1960",2605,1
"273","1890-1960",3158,5
"274","1890-1960",3270,2
"275","1890-1960",3273,1
"276","1890-1960",3310,1
"277","1890-1960",3311,1
"278","1890-1960",3324,1
"279","1890-1960",3326,4
"280","1890-1960",3382,1
"281","1890-1960",3432,4
"282","1890-1960",3440,1
"283","1890-1960",3445,7
"284","1890-1960",3541,1
"285","1890-1960",3553,1
"286","1890-1960",3662,1
"287","1890-1960",3765,1
"288","1890-1960",3824,3
"289","1890-1960",3880,1
"290","1890-1960",3882,1
"291","1890-1960",3889,1
"292","1890-1960",3983,3
"293","1890-1960",3990,1
"294","1890-1960",3992,1
"295","1890-1960",3996,1
"296","1890-1960",4049,2
"297","1890-1960",4051,1
"298","1890-1960",4055,1
"299","1890-1960",4056,4
"300","1890-1960",4060,6
"301","1890-1960",4111,2
"302","1890-1960",4112,1
"303","1890-1960",4161,6
"304","1890-1960",4163,1
"305","1890-1960",4167,1
"306","1890-1960",4168,22
"307","1890-1960",4274,1
"308","1890-1960",4279,1
"309","1890-1960",4280,2
"310","1890-1960",4281,32
"311","1890-1960",4387,3
"312","1890-1960",4390,1
"313","1890-1960",4392,4
"314","1890-1970",368,1
"315","1890-1970",369,1
"316","1890-1970",479,1
"317","1890-1970",480,53
"318","1890-1970",482,1
"319","1890-1970",488,21
"320","1890-1970",489,29
"321","1890-1970",541,8
"322","1890-1970",542,109
"323","1890-1970",544,4
"324","1890-1970",545,3
"325","1890-1970",546,107
"326","1890-1970",547,1
"327","1890-1970",549,1
"328","1890-1970",590,2
"329","1890-1970",597,1
"330","1890-1970",653,1
"331","1890-1970",654,3
"332","1890-1970",656,6
"333","1890-1970",657,78
"334","1890-1970",658,1
"335","1890-1970",661,16
"336","1890-1970",774,77
"337","1890-1970",775,1
"338","1890-1970",871,1
"339","1890-1970",882,1
"340","1890-1970",883,1
"341","1890-1970",941,90
"342","1890-1970",995,1
"343","1890-1970",1107,43
"344","1890-1970",1214,1
"345","1890-1970",1219,11
"346","1890-1970",1259,6
"347","1890-1970",1261,1
"348","1890-1970",1263,19
"349","1890-1970",1264,4
"350","1890-1970",1278,1
"351","1890-1970",1331,21
"352","1890-1970",1366,1
"353","1890-1970",1376,3
"354","1890-1970",1386,14
"355","1890-1970",1389,1
"356","1890-1970",1392,1
"357","1890-1970",1395,2
"358","1890-1970",1488,31
"359","1890-1970",1496,1
"360","1890-1970",1499,1
"361","1890-1970",1501,5
"362","1890-1970",1502,1
"363","1890-1970",1599,14
"364","1890-1970",1602,1
"365","1890-1970",1613,6
"366","1890-1970",1712,4
"367","1890-1970",1714,1
"368","1890-1970",1720,6
"369","1890-1970",1721,13
"370","1890-1970",1768,1
"371","1890-1970",1826,13
"372","1890-1970",1831,1
"373","1890-1970",1880,1
"374","1890-1970",1883,1
"375","1890-1970",1992,3
"376","1890-1970",1998,1
"377","1890-1970",2103,1
"378","1890-1970",2104,2
"379","1890-1970",2214,1
"380","1890-1970",2215,22
"381","1890-1970",2216,1
"382","1890-1970",2217,2
"383","1890-1970",2328,4
"384","1890-1970",2437,1
"385","1890-1970",2549,1
"386","1890-1970",2550,4
"387","1890-1970",2587,3
"388","1890-1970",2605,1
"389","1890-1970",2828,1
"390","1890-1970",3140,1
"391","1890-1970",3158,5
"392","1890-1970",3161,6
"393","1890-1970",3270,2
"394","1890-1970",3273,1
"395","1890-1970",3310,1
"396","1890-1970",3311,3
"397","1890-1970",3324,1
"398","1890-1970",3326,4
"399","1890-1970",3382,1
"400","1890-1970",3427,1
"401","1890-1970",3432,4
"402","1890-1970",3438,1
"403","1890-1970",3440,1
"404","1890-1970",3445,7
"405","1890-1970",3541,1
"406","1890-1970",3553,1
"407","1890-1970",3607,2
"408","1890-1970",3662,1
"409","1890-1970",3666,1
"410","1890-1970",3669,6
"411","1890-1970",3765,1
"412","1890-1970",3769,1
"413","1890-1970",3824,3
"414","1890-1970",3880,1
"415","1890-1970",3882,1
"416","1890-1970",3889,1
"417","1890-1970",3941,1
"418","1890-1970",3983,4
"419","1890-1970",3990,1
"420","1890-1970",3992,1
"421","1890-1970",3996,1
"422","1890-1970",4005,1
"423","1890-1970",4049,2
"424","1890-1970",4051,2
"425","1890-1970",4055,1
"426","1890-1970",4056,5
"427","1890-1970",4060,6
"428","1890-1970",4111,3
"429","1890-1970",4112,1
"430","1890-1970",4161,6
"431","1890-1970",4163,1
"432","1890-1970",4167,1
"433","1890-1970",4168,24
"434","1890-1970",4274,1
"435","1890-1970",4279,1
"436","1890-1970",4280,2
"437","1890-1970",4281,32
"438","1890-1970",4336,1
"439","1890-1970",4387,3
"440","1890-1970",4390,1
"441","1890-1970",4392,5
"442","1890-1980",368,3
"443","1890-1980",369,1
"444","1890-1980",479,1
"445","1890-1980",480,53
"446","1890-1980",482,1
"447","1890-1980",488,21
