"scientificName","initialAssessment","rationale","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","conservationPriority","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastCollected","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode","earliestYear","YearsSinceLastSeen","conservationRank"
"Cherleria biflora","yes","","(L.) A. J. Moore & Dillenb.","","mountain sandwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","",NA,"Cherleria","Cherleria biflora",NA,"","","native","S5 (2015)",0,NA,"1913-08-01","John Davidson","UBC","V7625",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:347",NA,7,"reported","unobserved","UBC:  Garibaldi PP Sentinel Gl foreland",836811,"VAS",1913,112,0
"Rorippa curvisiliqua","yes","","(Hook.) Bessey ex Britt.","","curvepod yellowcress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Rorippa","Rorippa curvisiliqua",NA,"","","native","S5 (2000)",0,NA,"1912-08-06","John Davidson","CPNWH","2558022",NA,"2020-07-01","1912","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:470",NA,2,"reported","unobserved","UBC:  Garibaldi PP Garibaldi Lake",58866,"VAS",1912,113,0
"Stellaria longipes ssp. longipes","yes","","Goldie","","longstalk starwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae",NA,"Stellaria","Stellaria longipes",NA,"longipes","","native","S5 (2000)",0,NA,"1912-05-11","Pam Ridge","UBC","V8200",NA,"2020-07-01","1912","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:530",NA,4,"reported","unobserved","UBC:  Garibaldi PP Black Tusk",80222,"VAS",1912,113,0
"Stellaria calycantha","yes","","(Ledeb.) Bong.","","northern starwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae",NA,"Stellaria","Stellaria calycantha",NA,"","","native","S4S5 (2015)",0,NA,"1912-08-15","John Davidson","UBC","V43666",NA,"2020-07-01","1912","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:526",NA,9,"reported","unobserved","UBC:  Garibaldi PP Sphinx Gl foreland",79200,"VAS",1912,113,0
"Oxybasis rubra","yes","","(L.) S.Fuentes, Uotila & Borsch","","red goosefoot","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Amaranthaceae","Chenopodioideae",NA,"Oxybasis","Oxybasis rubra",NA,"","","native","S4 (2000)",0,NA,"2004-08-12","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:24",NA,"2004-08-12","2004","Nick Page","Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report","NPAGE2004:24",NA,1,"reported","unobserved","",931679,"VAS",2004,21,0
"Parnassia palustris","yes","","L.","","northern grass-of-Parnassus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Celastrales",NA,NA,"Celastraceae","",NA,"Parnassia","Parnassia palustris",NA,"","","native","S5 (2019)",0,NA,"1995-09-03","Straley, Gerald","USCH","",NA,"1995-09-03","1995","Straley, Gerald","USCH","",NA,1,"reported","unobserved","",78352,"VAS",1995,30,0
"Solidago simplex var. simplex","yes","","Kunth","","sticky goldenrod","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Solidago","Solidago simplex",NA,"","simplex","native","S5 (2019)",0,NA,"1995-09-10","Straley, Gerald","USCH","",NA,"1995-09-10","1995","Straley, Gerald","USCH","",NA,1,"reported","unobserved","",238582,"VAS",1995,30,0
"Hippuris vulgaris","yes","","L.","","common mare's-tail","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales",NA,NA,"Plantaginaceae","",NA,"Hippuris","Hippuris vulgaris",NA,"","","native","S5 (2019)",0,NA,"1992-07-04","Straley, Gerald","USCH","",NA,"1992-07-04","1992","Straley, Gerald","USCH","",NA,1,"reported","unobserved","",77422,"VAS",1992,33,0
"Platanthera aquilonis","yes","","Sheviak","","northern green rein orchid","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida","",NA,"Asparagales",NA,NA,"Orchidaceae","Orchidoideae",NA,"Platanthera","Platanthera aquilonis",NA,"","","native","S5 (2019)",0,NA,"1995-07-16","Straley, Gerald B.","USCH","USCH0065141",NA,"1995-07-16","1995","Straley, Gerald B.","USCH","USCH0065141",NA,2,"reported","unobserved","Straley’s USCH record annotated as Platanthera hyperborea; likely refers to Platanthera aquilonis",131230,"VAS",1995,30,0
"Senecio lugens","yes","","Richardson","","black-tipped groundsel","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Senecio","Senecio lugens",NA,"","","native","S5 (2019)",0,NA,"1913-08-01","Taylor, W.","University of Alberta Museums","140513",NA,"1913-08-01","1913","Taylor, W.","University of Alberta Museums","140513",NA,1,"reported","unobserved","",168819,"VAS",1913,112,0
"Trifolium oliganthum","yes","","Steud.","","few flowered clover","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Fabales",NA,NA,"Fabaceae","Faboideae",NA,"Trifolium","Trifolium oliganthum",NA,"","","native","S5 (2019)",0,NA,"1993-05-24","Terry Taylor","RBCM","V182026",NA,"1993-05-24","1993","Terry Taylor","RBCM","V182026",NA,1,"reported","unobserved","RBCM:  Bowen Island Cape Roger Curtis",71122,"VAS",1993,32,0
"Sabulina rubella","yes","","(Wahlenb.) Dillenb. & Kadereit","","reddish sandwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","",NA,"Sabulina","Sabulina rubella",NA,"","","native","S5 (2015)",0,NA,"1912-08-01","John Davidson","UBC","V7644",NA,"1951-08-22","1951","W. Cottle","UBC","V27283",NA,4,"reported","unobserved","UBC:  Garibaldi PP Polemonium Ridge",836893,"VAS",1912,74,0
"Ozomelis trifida","yes","","(Graham) Rydb.","","three-toothed mitrewort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Saxifragales",NA,NA,"Saxifragaceae","",NA,"Ozomelis","Ozomelis trifida",NA,"","","native","S5 (2019)",0,NA,"1916-08-06","W. Taylor","UBC","V137883",NA,"1916-08-06","1916","W. Taylor","UBC","V137883",NA,1,"reported","unobserved","",1424149,"VAS",1916,109,0
