"Taxon","ID","Curator.Decision","Curator.Notes"
"Chionodes","174235","DELETE","genus"
"Chironomidae","53275","DELETE","higher"
"Chironomus","545869","DELETE","higher"
"Chlorochroa","84094","DELETE","genus"
"Chloropidae","127593","DELETE","higher"
"Choristoneura","143731","DELETE","genus"
"Chrysidini","604855","DELETE","higher"
"Chrysis","130121","DELETE","genus"
"Chrysomelidae","51146","DELETE","higher"
"Chrysopa","52426","DELETE","genus"
"Chrysoperla","59441","DELETE","genus"
"Chrysopidae","52425","DELETE","higher"
"Chrysopinae","338941","DELETE","higher"
"Chrysopini","209849","DELETE","higher"
"Chrysops","49703","DELETE","genus"
"Cicadellidae","53237","DELETE","higher"
"Cis","174278","DELETE","genus"
"Cladius","345747","DELETE","genus"
"Clemensia","81673","DELETE","genus"
"Clepsis","132791","DELETE","genus"
"Clubionidae","121773","DELETE","higher"
"Clusia","157139","DELETE","genus"
"Coccidae","49456","DELETE","higher"
"Coccinellidae","48486","DELETE","higher"
"Coccinellini","333796","DELETE","higher"
"Coelioxys","199145","DELETE","genus"
"Coelopidae","194033","DELETE","higher"
"Coenagrionidae","47925","DELETE","higher"
"Coleoptera","47208","DELETE","higher"
"Collembola","49470","DELETE","higher"
"Coriarachnini","1472448","DELETE","higher"
"Crambidae","52002","DELETE","higher"
"Crambini","122946","DELETE","higher"
"Criorhina","324076","DELETE","genus"
"Criorhinina","520024","DELETE","higher"
"Cucujiformia","372852","DELETE","higher"
"Culicidae","52134","DELETE","higher"
"Culicinae","357355","DELETE","higher"
"Culicomorpha","153429","DELETE","higher"
"Culiseta","155392","DELETE","genus"
"Curculionidae","48736","DELETE","higher"
"Cuterebra","154883","DELETE","genus"
"Cybaeidae","52950","DELETE","higher"
"Cybaeus","52951","DELETE","genus"
"Cyclorrhapha","372853","DELETE","higher"
"Cymothoidae","49937","DELETE","higher"
"Cymothooidea","343788","DELETE","higher"
"Cynipini","205775","DELETE","higher"
"Dalopius","174024","DELETE","genus"
"Dasysyrphus","346004","DELETE","genus"
"Delphacidae","123608","DELETE","higher"
"Deltocephalinae","133495","DELETE","higher"
"Dendroctonus","48914","DELETE","genus"
"Dendrometrinae","460786","DELETE","higher"
"Dendryphantina","1109044","DELETE","higher"
"Dermaptera","47793","DELETE","higher"
"Dermestidae","81951","DELETE","higher"
"Dicerca","173907","DELETE","genus"
"Dicyrtomidae","55168","DELETE","higher"
"Digrammia","173868","DELETE","genus"
"Dinomus","1484973","DELETE","genus"
"Dionycha","1529303","DELETE","higher"
"Diplolepis","71003","DELETE","genus"
"Diplotaxis","59476","DELETE","genus"
"Diptera","47822","DELETE","higher"
"Dolichopus","133493","DELETE","genus"
"Dolichovespula","52912","DELETE","genus"
"Drepanulatrix","173728","DELETE","genus"
"Dryinidae","203211","DELETE","higher"
"Dyslobus","335462","DELETE","genus"
"Dysstroma","81964","DELETE","genus"
"Dytiscidae","57659","DELETE","higher"
"Dytiscus","88070","DELETE","genus"
"Elasmostethus","54375","DELETE","genus"
"Elateridae","53248","DELETE","higher"
"Elateroidea","47207","DELETE","higher"
"Elipsocidae","141764","DELETE","higher"
"Empididae","49460","DELETE","higher"
"Empidinae","349059","DELETE","higher"
"Empoascina","1480023","DELETE","higher"
"Empoascini","473947","DELETE","higher"
"Enallagma","50175","DELETE","genus"
"Endothenia","173634","DELETE","genus"
"Ennominae","123033","DELETE","higher"
"Entelegynae","342614","DELETE","higher"
"Entiminae","203294","DELETE","higher"
"Epeolini","340736","DELETE","higher"
"Ephemerellidae","48010","DELETE","higher"
"Ephemeroptera","48011","DELETE","higher"
"Ephestiodes","173580","DELETE","genus"
"Epinotia","173627","DELETE","genus"
"Eratigena","418824","DELETE","genus"
"Erebidae","121850","DELETE","higher"
"Erebinae","122426","DELETE","higher"
"Eremocoris","249004","DELETE","genus"
"Erigoninae","495875","DELETE","higher"
"Eriosomatinae","125165","DELETE","higher"
"Eristalinae","326181","DELETE","higher"
"Eristalis","52491","DELETE","genus"
"Erynnis","47652","DELETE","genus"
"Eucerini","121514","DELETE","higher"
"Eudonia","146951","DELETE","genus"
"Eulophidae","85012","DELETE","higher"
"Eulophini","973955","DELETE","higher"
"Eupeodes","62455","DELETE","genus"
"Eupithecia","123096","DELETE","genus"
"Eupithecia annulata","1338302","DELETE","higher"
"Eupithecia nevadata","1338298","DELETE","higher"
"Eupitheciini","123039","DELETE","higher"
"Eurygaster","176416","DELETE","genus"
"Euschistus","70076","DELETE","genus"
"Exenterini","519135","DELETE","higher"
"Exoristinae","481485","DELETE","higher"
"Fanniidae","121214","DELETE","higher"
"Feralia","119938","DELETE","genus"
"Figitidae","203209","DELETE","higher"
"Forcipomyiinae","528186","DELETE","higher"
"Forficula auricularia","61524","DELETE","higher"
"Formica","47339","DELETE","genus"
"Formica integra","1271093","DELETE","higher"
"Formicidae","47336","DELETE","higher"
"Formicinae","244834","DELETE","higher"
"Fucellia","155489","DELETE","genus"
"Gastrodes","178158","DELETE","genus"
"Gelechioidea","55518","DELETE","higher"
"Geometridae","49530","DELETE","higher"
"Geophilomorpha","67662","DELETE","higher"
"Gerrini","936827","DELETE","higher"
"Gnaphosidae","50168","DELETE","higher"
"Graphopsocus","200018","DELETE","genus"
"Habronattus","61881","DELETE","genus"
"Halictidae","49707","DELETE","higher"
"Halictina","1597678","DELETE","higher"
"Halictini","335597","DELETE","higher"
"Halictus","57677","DELETE","genus"
"Harpalinae","202104","DELETE","higher"
"Harpalus","131093","DELETE","genus"
"Hellinsia","133758","DELETE","genus"
"Hemaris","51669","DELETE","genus"
"Hemerobiidae","118993","DELETE","higher"
"Hemerobiinae","712312","DELETE","higher"
"Hemerobius","118994","DELETE","genus"
"Hemipenthes","203073","DELETE","genus"
"Hemiptera","47744","DELETE","higher"
"Hesperiidae","47653","DELETE","higher"
"Hesperiina","1363159","DELETE","higher"
"Heteroptera","61267","DELETE","higher"
"Hippoboscidae","48818","DELETE","higher"
"Homoeosoma","177795","DELETE","genus"
"Homorthodes","177788","DELETE","genus"
"Hulecoeteomyia","1112093","DELETE","higher"
"Hybomitra","133638","DELETE","genus"
"Hydriomena","68651","DELETE","genus"
"Hymenoptera","47201","DELETE","higher"
"Hypena","82202","DELETE","genus"
"Hypherpes","208568","DELETE","higher"
"Ichneumonidae","47199","DELETE","higher"
"Ichneumoninae","336926","DELETE","higher"
"Ichneumonini","465331","DELETE","higher"
"Ichneumonoidea","47200","DELETE","higher"
"Insecta","47158","DELETE","higher"
"Isopoda","48147","DELETE","higher"
"Isotomidae","171479","DELETE","higher"
"Ixodida","51672","DELETE","higher"
"Julida","82535","DELETE","higher"
"Julidae","121483","DELETE","higher"
"Juliformia","372724","DELETE","higher"
"Kleidocerys","249058","DELETE","genus"
"Lacinipolia","81662","DELETE","genus"
"Laphria","51575","DELETE","genus"
"Larentiinae","123032","DELETE","higher"
"Larinioides","121444","DELETE","genus"
"Lasiocampidae","56584","DELETE","higher"
"Lasioglossum","57678","DELETE","genus"
"Lasius","69086","DELETE","genus"
"Lauxaniidae","118991","DELETE","higher"
"Lepidoptera","47157","DELETE","higher"
"Leptobunus","359811","DELETE","genus"
"Leptoglossus","61257","DELETE","genus"
"Leptoglossus clypealis","154553","DELETE","higher"
"Lestes","89475","DELETE","genus"
"Leucaniini","122731","DELETE","higher"
"Libellulidae","47819","DELETE","higher"
"Ligia","55358","DELETE","genus"
"Limenitis","50881","DELETE","genus"
"Limnephilidae","130015","DELETE","higher"
"Limnephilinae","1087283","DELETE","higher"
"Limnephilini","1091372","DELETE","higher"
"Limnephilus","177448","DELETE","genus"
"Limoniidae","47992","DELETE","higher"
"Limoniini","489801","DELETE","higher"
"Limonius","177405","DELETE","genus"
"Limosininae","487284","DELETE","higher"
"Linyphiidae","67599","DELETE","higher"
"Linyphiinae","1296719","DELETE","higher"
"Lithophane","143353","DELETE","genus"
"Lucilia","61858","DELETE","genus"
"Lycosidae","47416","DELETE","higher"
"Lycosinae","1235357","DELETE","higher"
"Lygus","61886","DELETE","genus"
"Macaria","118494","DELETE","genus"
"Machilidae","142291","DELETE","higher"
"Machimus","61617","DELETE","genus"
"Macrocentrinae","373474","DELETE","higher"
"Macrosiphini","373734","DELETE","higher"
"Malacosoma","61786","DELETE","genus"
"Marronoid","1528047","DELETE","higher"
"Meconema","119171","DELETE","genus"
"Megachile","52784","DELETE","genus"
"Megapenthes","177130","DELETE","genus"
"Melanolophia","118861","DELETE","genus"
"Melanoplinae","328102","DELETE","higher"
"Melanoplus","63523","DELETE","genus"
"Melanosmia","480129","DELETE","higher"
"Melanotus","177077","DELETE","genus"
"Meleoma","252667","DELETE","genus"
"Meligethinae","321018","DELETE","higher"
"Melissodes","52781","DELETE","genus"
"Metellina","55622","DELETE","genus"
"Mezirinae","501174","DELETE","higher"
"Microweiseini","475793","DELETE","higher"
"Milesiini","488425","DELETE","higher"
"Miridae","53505","DELETE","higher"
"Misumenini","1472438","DELETE","higher"
"Monochamus","740173","DELETE","higher"
"Muscidae","70144","DELETE","higher"
"Muscoidea","54992","DELETE","higher"
"Mycetophilidae","83736","DELETE","higher"
"Nabis","203298","DELETE","genus"
"Neanuridae","83891","DELETE","higher"
"Nematocera","154259","DELETE","higher"
"Nemocestes","176790","DELETE","genus"
"Nemouridae","173242","DELETE","higher"
"Neodermaptera","713334","DELETE","higher"
"Neomochtherus","198843","DELETE","genus"
"Neomolgus","120954","DELETE","genus"
"Neon","172376","DELETE","genus"
"Neoneides","60040","DELETE","genus"
"Neotrypetes","699698","DELETE","higher"
"Neriene","172370","DELETE","genus"
"Nezarini","712842","DELETE","higher"
"Nicrophorus","53850","DELETE","genus"
"Noctua","81688","DELETE","genus"
"Noctuidae","48670","DELETE","higher"
"Noctuina","320201","DELETE","higher"
"Noctuinae","122224","DELETE","higher"
"Noctuoidea","47607","DELETE","higher"
"Notocelia","176636","DELETE","genus"
"Notodontidae","47718","DELETE","higher"
"Notonectidae","56556","DELETE","higher"
"Nysius","176621","DELETE","genus"
"Ochlodes","55786","DELETE","genus"
"Odonata","47792","DELETE","higher"
"Oedaleinae","717052","DELETE","higher"
"Oedipodinae","129164","DELETE","higher"
"Oegoconia","319097","DELETE","genus"
"Oestroidea","356157","DELETE","higher"
"Oidaematophorini","211075","DELETE","higher"
"Okanagana","176578","DELETE","genus"
"Olethreutinae","124229","DELETE","higher"
"Omaliinae","359912","DELETE","higher"
"Oniscidea","84718","DELETE","higher"
"Operophtera","60781","DELETE","genus"
"Ophioninae","143195","DELETE","higher"
"Opiliones","47367","DELETE","higher"
"Oribatida","332183","DELETE","higher"
"Orsillinae","477019","DELETE","higher"
"Orthorrhapha","372865","DELETE","higher"
"Orthosia","176203","DELETE","genus"
"Osbornellus","176223","DELETE","genus"
"Osmia","57674","DELETE","genus"
"Ostracoda","68764","DELETE","higher"
"Oxyptilini","211087","DELETE","higher"
"Papilionoidea","47224","DELETE","higher"
"Paragus","1098608","DELETE","higher"
"Parasitinae","631719","DELETE","higher"
"Parasteatoda","120584","DELETE","genus"
"Pardosa","47415","DELETE","genus"
"Pentatomidae","47742","DELETE","higher"
"Pentatomoidea","47743","DELETE","higher"
"Pero","127420","DELETE","genus"
"Petrobiinae","367977","DELETE","higher"
"Phanias","172351","DELETE","genus"
"Phidippus","53810","DELETE","genus"
"Philodromidae","47868","DELETE","higher"
"Philodromus","56611","DELETE","genus"
"Philopotamidae","154581","DELETE","higher"
"Pholcus","67329","DELETE","genus"
"Phoridae","55351","DELETE","higher"
"Phormia","449684","DELETE","genus"
"Photinus","47730","DELETE","genus"
"Phrurotimpus","70314","DELETE","genus"
"Phycitinae","122925","DELETE","higher"
"Phycitini","122926","DELETE","higher"
"Phygadeuontini","518996","DELETE","higher"
"Phytocoris","178498","DELETE","genus"
"Phytomyza","69630","DELETE","genus"
"Phytomyza spondylii group","1038520","DELETE","higher"
"Pimpla","135251","DELETE","genus"
"Pimplinae","363128","DELETE","higher"
"Pipunculidae","144038","DELETE","higher"
"Pissodes","208538","DELETE","genus"
"Platycheirus","121357","DELETE","genus"
"Platycotis","49022","DELETE","genus"
"Platygastridae","203202","DELETE","higher"
"Platygastroidea","178935","DELETE","higher"
"Platypedia","62048","DELETE","genus"
"Platyptilia","119030","DELETE","genus"
"Platyptiliini","211061","DELETE","higher"
"Plusiinae","122455","DELETE","higher"
"Podabrus","57768","DELETE","genus"
"Podisus","142278","DELETE","genus"
"Podocopida","85538","DELETE","higher"
"Poduromorpha","129730","DELETE","higher"
"Polleniidae","932929","DELETE","higher"
"Polydesmoides","841314","DELETE","higher"
"Polygonia","50392","DELETE","genus"
"Polyphaga","71130","DELETE","higher"
"Polyphylla","84572","DELETE","genus"
"Pompilidae","54028","DELETE","higher"
"Pompilini","366768","DELETE","higher"
"Pristoceuthophilus","91306","DELETE","genus"
"Probole","144073","DELETE","genus"
"Proctotrupidae","203200","DELETE","higher"
"Proctotrupinae","938034","DELETE","higher"
"Psallus","330137","DELETE","genus"
"Pselaphinae","321494","DELETE","higher"
"Psocidae","120991","DELETE","higher"
"Psocodea","83187","DELETE","higher"
"Psocomorpha","144300","DELETE","higher"
"Psychodini","1112070","DELETE","higher"
"Ptenothrix","171650","DELETE","genus"
"Pterophoridae","47404","DELETE","higher"
"Pterophorinae","127452","DELETE","higher"
"Pterourus","545186","DELETE","higher"
"Pterygota","184884","DELETE","higher"
"Ptiliidae","48304","DELETE","higher"
"Ptinidae","82167","DELETE","higher"
"Pyralidae","49683","DELETE","higher"
"Pyraloidea","49682","DELETE","higher"
"Pyrobombus","538900","DELETE","higher"
"Quediina","373921","DELETE","higher"
"Reticulitermes","119933","DELETE","genus"
"Rhionaeschna","67735","DELETE","genus"
"Rta clade","1529315","DELETE","higher"
"Saldidae","135298","DELETE","higher"
"Saldula","135296","DELETE","genus"
"Sarcophagidae","52910","DELETE","higher"
"Sarcophaginae","358525","DELETE","higher"
"Savtshenkia","548111","DELETE","higher"
"Scaphinotus","63561","DELETE","genus"
"Scarabaeidae","48201","DELETE","higher"
"Scatella","311484","DELETE","genus"
"Scathophaga","68718","DELETE","genus"
"Scatopsidae","203230","DELETE","higher"
"Schizophora","48089","DELETE","higher"
"Schizura","126208","DELETE","genus"
"Sciaridae","85259","DELETE","higher"
"Sciaroidea","493389","DELETE","higher"
"Scirtidae","47595","DELETE","higher"
"Scolopendromorpha","53763","DELETE","higher"
"Scolytinae","321595","DELETE","higher"
"Scoparia","133320","DELETE","genus"
"Scopariinae","122945","DELETE","higher"
"Scopula","52048","DELETE","genus"
"Scraptiidae","173241","DELETE","higher"
"Scymnini","475616","DELETE","higher"
"Scytonotus","121481","DELETE","genus"
"Seladonia","574895","DELETE","higher"
"Semanotus","211567","DELETE","genus"
"Sergiolus","153635","DELETE","genus"
"Silis","212141","DELETE","genus"
"Simuliidae","63164","DELETE","higher"
"Smerinthinae","124130","DELETE","higher"
"Sphaerophoria","52965","DELETE","genus"
"Spilosoma","60840","DELETE","genus"
"Spilosomina","123834","DELETE","higher"
"Stamnoctenis","346530","DELETE","genus"
"Staphylinidae","47951","DELETE","higher"
"Staphylinini","359910","DELETE","higher"
"Staphylinoidea","48311","DELETE","higher"
"Steatoda","61998","DELETE","genus"
"Stenoporpia","211401","DELETE","genus"
"Sternorrhyncha","334037","DELETE","higher"
"Sterrhinae","123037","DELETE","higher"
"Stigmella quercipulchella","1393095","DELETE","higher"
"Sympetrum","51556","DELETE","genus"
"Symphypleona","152965","DELETE","higher"
"Synecdoche","372416","DELETE","genus"
"Syngrapha","211257","DELETE","genus"
"Syrphidae","49995","DELETE","higher"
"Syrphinae","186841","DELETE","higher"
"Syrphini","121991","DELETE","higher"
"Syrphus","52489","DELETE","genus"
"Tabanidae","47821","DELETE","higher"
"Tabaninae","332389","DELETE","higher"
"Tachinidae","51953","DELETE","higher"
"Tachininae","147945","DELETE","higher"
"Tachinini","147946","DELETE","higher"
"Tachypeza","472843","DELETE","genus"
"Tenebrionoidea","47593","DELETE","higher"
"Tenthredinidae","60628","DELETE","higher"
"Tephrochlamys","336919","DELETE","genus"
"Termitoidae","118903","DELETE","higher"
"Tetanocerini","508079","DELETE","higher"
"Thallophaga","178893","DELETE","genus"
"Theridiidae","47371","DELETE","higher"
"Therion","250411","DELETE","genus"
"Thricops","452741","DELETE","genus"
"Thyanta","199946","DELETE","genus"
"Thysanoptera","83201","DELETE","higher"
"Tibellus","47869","DELETE","genus"
"Tineidae","124262","DELETE","higher"
"Tipula","60393","DELETE","genus"
"Tipulidae","51225","DELETE","higher"
"Tipulinae","466643","DELETE","higher"
"Tipuloidea","51226","DELETE","higher"
"Tipulomorpha","179916","DELETE","higher"
"Tischeriidae","86104","DELETE","higher"
"Tolype","125031","DELETE","genus"
"Tomocerinae","1092247","DELETE","higher"
"Tortricidae","47155","DELETE","higher"
"Tortricoidea","47156","DELETE","higher"
"Torymidae","203199","DELETE","higher"
"Trichoceridae","178781","DELETE","higher"
"Trichoptera","62164","DELETE","higher"
"Tricyphona","1656074","DELETE","higher"
"Trombidiformes","83740","DELETE","higher"
"Trombidiidae","57652","DELETE","higher"
"Trombidioidea","491889","DELETE","higher"
"Trypoxylon","84854","DELETE","genus"
"Typhlocybinae","373577","DELETE","higher"
"Udea","126764","DELETE","genus"
"Uroblaniulini","1611896","DELETE","higher"
"Urophora","63176","DELETE","genus"
"Venusia","178655","DELETE","genus"
"Vespidae","52747","DELETE","higher"
"Vespinae","84738","DELETE","higher"
"Vespula","61356","DELETE","genus"
"Xanthorhoe","81693","DELETE","genus"
"Xanthorhoini","123052","DELETE","higher"
"Xeris","498393","DELETE","genus"
"Xestoleptura","118533","DELETE","genus"
"Xylotrechus","178590","DELETE","genus"
"Xysticus","61903","DELETE","genus"
"Yponomeutidae","53553","DELETE","higher"
"Ypsolopha","178573","DELETE","genus"
"Zootermopsis","121381","DELETE","genus"
"Zygiella","141755","DELETE","genus"
"Zygoptera","47928","DELETE","higher"
"Quedius","203236","DELETE","genus"
