Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Observation Taxon Name
Eptesicus fuscus,Beauvois,,big brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,,,,native,S5,,confirmed,observed,1910-08-30,Harry S. Swarth,MVZ,12589,1145694215,2018-06-26,Heather,https://www.inaturalist.org/observations/49912183,,40509,MAM,accepted,40509,Eptesicus fuscus,error
Erethizon dorsatum,L.,,North American porcupine,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Erethizontoidea,Erethizontidae,Erethizontinae,,Erethizon,dorsatum,,,,native,S4,,new 2020,observed,,,,,,2020-05-29,Yanik Nill,https://www.inaturalist.org/observations/48047810,,44026,MAM,accepted,44026,Erethizon dorsatum,error
Euderma maculatum,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Euderma,maculatum,,,,,,,confirmed,observed,2014-01-01,,,,3969344017,2022-07-25,Jason Headley,https://www.inaturalist.org/observations/130879500,,,MAM,accepted,40631,Euderma maculatum,error
Glaucomys sabrinus,Shaw,,northern flying squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Pteromyini,Glaucomys,sabrinus,,,,native,S5,,confirmed,observed,1800-01-01,,UWBM,18823,1702667030,2013-01-30,Doug McCutchen,https://www.inaturalist.org/observations/175278939,,46266,MAM,accepted,46266,Glaucomys sabrinus,error
Gulo gulo luscus,L.,,"wolverine, luscus",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Gulo,gulo,,luscus,,native,S3,,confirmed,observed,2010-05-12,Keith B. Aubry,UWBM,Mamm:81885,1702719947,2019-04-05,Robyn Worcester,https://www.inaturalist.org/observations/169016127,,41852,MAM,accepted,236285,Gulo gulo luscus,error
Lasionycteris noctivagans,LeConte,,silver-haired bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,,,,migrant,S4S5,,confirmed,observed,1915-08-10,"Spreadborough, William",CMN,CMNMA 2501,1804094636,2007-11-10,WD,https://www.inaturalist.org/observations/72471082,,40629,MAM,accepted,40629,Lasionycteris noctivagans,error
Lasiurus cinereus,Beauvois,,hoary bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,,,,migrant,S4S5,,confirmed,observed,1927-08-31,A.C. Brooks,UBCBBM,M005391,1292000582,2022-04-22,Aiva Noringseth,https://www.inaturalist.org/observations/113248084,,40523,MAM,accepted,40523,Lasiurus cinereus,error
Lepus americanus,Erxleben,,snowshoe hare,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,,,native,S5 (2015),,confirmed,observed,1916-07-15,"Spreadborough, William",CMN,CMNMA 2674,1804070550,2012-07-13,onyxrat,https://www.inaturalist.org/observations/67885414,,43132,MAM,accepted,43132,Lepus americanus,error
Lepus americanus washingtonii,Baird,,"snowshoe hare, Washington subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,washingtonii,,native,S1,,confirmed,observed,1894-12-13,Allan Cyril Brooks,MCZ,BANGS-2435,476815461,2011-07-09,Lee E. Harding,https://www.inaturalist.org/observations/7617644,,,MAM,accepted,236660,Lepus americanus washingtonii,error
Lontra canadensis,Shreber,,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Lutrinae,,Lontra,canadensis,,,,native,S5 (2015),,confirmed,observed,1800-01-01,,UWBM,82696,1702720791,2005-08-24,Tony Wood,https://www.inaturalist.org/observations/5974182,,41777,MAM,accepted,41777,Lontra canadensis,error
Lynx canadensis,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Lynx,canadensis,,,,,,,reported,unobserved,1898-01-15,E. D. Brooks,MCZ,BANGS-9059,476857247,,,,,,MAM,accepted,41974,Lynx canadensis,
Lynx rufus,"Rafinesque,",,western bobcat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Lynx,rufus,,,,native,S5 (2015),,confirmed,observed,1932-01-09,J. Bailiff,UBCBBM,M005960,1292001191,2008-12-16,Ken McMillan,https://www.inaturalist.org/observations/15462915,,41976,MAM,accepted,41976,Lynx rufus,error
Marmota caligata,Eschscholtz,,hoary marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,caligata,,,,native,S5,,confirmed,observed,1913-08-04,"Korten, H.",CMN,CMNMA 2278,1804053695,1986-08-15,FreckLes,https://www.inaturalist.org/observations/177572920,,46087,MAM,accepted,46087,Marmota caligata,error
Marmota flaviventris,Audubon & Bachman,,yellow-bellied marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,flaviventris,,,,native,S5? (2015),,,,1934-07-01,G.J. Spencer,UBCBBM,M000221,1291995523,2006-08-04,Jef Taylor,https://www.inaturalist.org/observations/47287723,,46086,MAM,accepted,46086,Marmota flaviventris,error
Marmota monax,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,monax,,,,,,,reported,unobserved,1938-09-30,K. Racey,UBCBBM,M005843,1292001071,,,,,,MAM,accepted,46095,Marmota monax,
Marmota vancouverensis,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,vancouverensis,,,,,,,confirmed,observed,1910-07-07,,MVZ,MVZ:Mamm:12093,1145688682,2000-07-15,Steve Ansell,https://www.inaturalist.org/observations/104740897,,,MAM,accepted,46091,Marmota vancouverensis,error
Martes americana,Turton,,pine marten,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Martes,americana,,,,native,S5? (2015),,,,,,,,,,,,,41798,MAM,accepted,41798,Martes americana,
Martes caurina,Merriam,,Pacific marten,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Martes,caurina,,,,native,S5?,,confirmed,observed,1896-03-17,Allan Cyril Brooks,MCZ,BANGS-5540,476869365,1987-09-21,graeme45,https://www.inaturalist.org/observations/69738915,,467207,MAM,accepted,453111,Martes caurina,error
Mephitis mephitis,Schreber,,striped skunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,Mephitis,mephitis,,,,native,S5 (2015),,confirmed,observed,1895-09-04,Allan Cyril Brooks,MCZ,BANGS-3700,476863908,2008-05-18,lhurteau,https://www.inaturalist.org/observations/16818069,,41880,MAM,accepted,41880,Mephitis mephitis,error
Microtus longicaudus,Merriam,,long-tailed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,longicaudus,,,,native,S5 (2015),,reported,unobserved,1916-06-26,"Spreadborough, William",CMN,CMNMA 2655,1804069078,,,,,44307,MAM,accepted,44307,Microtus longicaudus,
Microtus montanus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,montanus,,,,,,,reported,unobserved,1901-09-12,C. K. Worthen,FMNH,8201,665776271,,,,,,MAM,accepted,44315,Microtus montanus,
Microtus oregoni,Bachman,,creeping vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,oregoni,,,,native,S4?,,reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3620,476860499,,,,,44318,MAM,accepted,44318,Microtus oregoni,
Microtus pennsylvanicus,Ord.,,meadow vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,pennsylvanicus,,,,native,S5 (2015),,confirmed,observed,1895-08-05,,RBINS-Scientific Heritage,6010,3025977687,2014-06-10,Liam Steele,https://www.inaturalist.org/observations/69834384,,44311,MAM,accepted,44311,Microtus pennsylvanicus,error
Microtus richardsoni,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,richardsoni,,,,,,,reported,unobserved,1916-08-12,"Spreadborough, William",CMN,CMNMA 2706,1804050903,,,,,,MAM,accepted,44323,Microtus richardsoni,
Microtus richardsonii,De Kay,,North American water vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,,Microtus,richardsonii,,,,native,S4S5,,,,,,,,,,,,,44323,MAM,unknown,,,
Microtus townsendii,Bachman,,Townsend's vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,,,,native,S5?,,confirmed,observed,1910-06-02,Annie M. Alexander,MVZ,12311,1145691140,2000-11-05,graeme45,https://www.inaturalist.org/observations/69738897,,44298,MAM,accepted,44298,Microtus townsendii,error
Mus musculus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Murini,Mus,musculus,,,,,,,,,1920-08-23,,UWBM,UWBM:Mamm:18805,1702667058,2015-03-25,Terry Carr,https://www.inaturalist.org/observations/68433437,,,MAM,accepted,44705,Mus musculus,error
Mustela erminea,L.,,stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,erminea,,,,native,S5 (Feb 2015),,reported,unobserved,1910-05-01,E. Raymond Hall,MVZ,MVZ:Mamm:12482,1145693007,,,,,41808,MAM,accepted,41808,Mustela erminea,
Mustela frenata altifrontalis,Hall,,"long-tailed weasel, altifrontalis subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,frenata,,altifrontalis,,extirpated,S1,,reported,unobserved,1937-03-27,J. Bailiff,UBCBBM,M004860,1292000085,,,,,237333,MAM,unaccepted,1265170,Neogale frenata altifrontalis,
Mustela richardsonii,Bonaparte,,American stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,richardsonii,,,,native,S5 (2015),,new 2017,observed,,,,,,2017-12-04,breannawilson,https://www.inaturalist.org/observations/16576404,,1264427,MAM,accepted,1264427,Mustela richardsonii,error
Myocastor coypus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Octodontoidea,Echimyidae,Echimyinae,Myocastorini,Myocastor,coypus,,,,,,,reported,unobserved,1957-01-01,I.McT. Cowan,UBCBBM,M007283,1292002505,,,,,,MAM,accepted,43997,Myocastor coypus,
Myodes gapperi,Vigors,,southern red-backed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,,,native,S5 (2015),,reported,unobserved,1916-06-25,"Young, Charles H.",CMN,CMNMA 2654,1804099560,,,,,74677,MAM,unaccepted,1431274,Clethrionomys gapperi,
Myodes gapperi occidentalis,Merriam,,"southern red-backed vole, occidentalis subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,occidentalis,,extirpated,S1,,reported,unobserved,1946-09-30,M.J. Carter  H.D. Fisher,UBCBBM,M001974,1291997252,,,,,237346,MAM,unaccepted,1431805,Clethrionomys gapperi occidentalis,
Myotis californicus,Audubon & Bachman,,California myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,,,,native,S4S5,,confirmed,observed,1889-04-19,"Macoun, John",CMN,CMNMA 152,1804090427,2011-11-11,bps921,https://www.inaturalist.org/observations/50747235,,40342,MAM,accepted,40342,Myotis californicus,error
Myotis evotis,H. Allen,,Miller's myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,,,,native,S5? (2015),,confirmed,observed,1936-06-26,"Laing, Hamilton M.",CMN,CMNMA 14151,1804084476,2018-08-18,carl1986,https://www.inaturalist.org/observations/15715775,,40354,MAM,accepted,40354,Myotis evotis,error
Myotis keenii,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,keenii,,,,,,,reported,unobserved,1941-09-14,K. Racey,UBCBBM,M005485,1292000762,,,,,,MAM,accepted,40345,Myotis keenii,
Myotis lucifugus,LeConte,,little brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,,,,native,S4,,confirmed,observed,1916-08-30,"Spreadborough, William",CMN,CMNMA 2741,1804081278,2019-05-05,susanlundahl,https://www.inaturalist.org/observations/65991287,,40346,MAM,accepted,40346,Myotis lucifugus,error
Myotis thysanodes,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,thysanodes,,,,,,,new 2022,observed,,,,,,2022-07-26,Jason Headley,https://www.inaturalist.org/observations/132671608,,,MAM,accepted,40347,Myotis thysanodes,error
Myotis volans,H. Allen,,long-legged myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,volans,,,,native,S4S5,,reported,unobserved,1910-08-31,Harry S. Swarth,MVZ,12588,1145694155,,,,,40344,MAM,accepted,40344,Myotis volans,
Myotis yumanensis,H. Allen,,yuma myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,yumanensis,,,,native,S5,,confirmed,observed,1911-06-12,"Spreadborough, William",CMN,1594,1804046037,2017-08-12,piercestudio,https://www.inaturalist.org/observations/7472865,,40325,MAM,accepted,40325,Myotis yumanensis,error
Neogale frenata,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,frenata,,,,,,,new 2018,observed,,,,,,2018-08-21,Brian Starzomski,https://www.inaturalist.org/observations/15829956,,,MAM,accepted,1264431,Neogale frenata,error
Neogale vison,Von Schreber,,American mink,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,vison,,,,native,,,confirmed,observed,1895-01-01,Allan Cyril Brooks,MCZ,BANGS-3555,476833296,2006-09-01,paulzc,https://www.inaturalist.org/observations/66077076,,1264432,MAM,accepted,1264432,Neogale vison,error
Neotamias amoenus,J.A. Allen,,yellow-pine chipmunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,Neotamias,amoenus,,,,native,S5 (2015),,confirmed,observed,1889-04-26,"Macoun, John",CMN,CMNMA 143,1804044487,2007-07-15,Sean Daniels,https://www.inaturalist.org/observations/59853266,,225740,MAM,accepted,225740,Neotamias amoenus,error
Neotamias minimus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,Neotamias,minimus,,,,,,,reported,unobserved,2017-09-20,-1808281331,naturgucker,478303629,2330634366,,,,,,MAM,accepted,225743,Neotamias minimus,
Neotamias townsendii,Bachman,,Townsend's chipmunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,Neotamias,townsendii,,,,native,S4S5,,confirmed,observed,1889-06-06,C. P. Streator,FMNH,4845,665772922,2012-06-10,phil2345,https://www.inaturalist.org/observations/151843344,,225756,MAM,accepted,225756,Neotamias townsendii,error
Neotoma cinerea,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotomini,Neotoma,cinerea,,,,,,,confirmed,observed,1895-10-01,Allan Cyril Brooks,MCZ,BANGS-3639,476828094,2020-10-24,rwheater,https://www.inaturalist.org/observations/63703637,,,MAM,accepted,44761,Neotoma cinerea,error
Neurotrichus gibbsii,Baird,,American shrew mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Talpinae,Neurotrichini,Neurotrichus,gibbsii,,,,native,S4 (Feb 2015),,confirmed,observed,1896-05-26,Allan Cyril Brooks,MCZ,BANGS-5505,1849037791,2008-04-27,Steve Ansell,https://www.inaturalist.org/observations/146642325,,47051,MAM,accepted,47051,Neurotrichus gibbsii,error
Ochotona princeps,Richardson,,American pika,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Ochotonidae,,,Ochotona,princeps,,,,native,S4S5 (2015),,confirmed,observed,1916-08-09,"Young, Charles H.",CMN,CMNMA 2696,1804076307,2003-07-05,Steve Ansell,https://www.inaturalist.org/observations/108401818,,43188,MAM,accepted,43188,Ochotona princeps,error
Odocoileus hemionus columbianus,Richardson,,Columbian black-tailed deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,Odocoileus,hemionus,,columbianus,,native,S5 (2015),,confirmed,observed,1895-06-07,Allan Cyril Brooks,MCZ,BANGS-6806,476852441,1989-09-06,rolandwirth,https://www.inaturalist.org/observations/19344246,,42221,MAM,accepted,42221,Odocoileus hemionus columbianus,error
Odocoileus virgianus,Zimmerman,,white-tailed deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,,Odocoileus,virgianus,,,,native,S5,,reported,unobserved,2017-06-18,User 42531,,OBS.140606917,2843982453,,,,,42223,MAM,unknown,,,
Ondatra zibethicus,L.,,common muskrat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatrini,Ondatra,zibethicus,,,,native,S5,,confirmed,observed,1926-09-04,,UWBM,UWBM:Mamm:18839,1702667089,2004-05-30,Steve Ansell,https://www.inaturalist.org/observations/108408135,,45763,MAM,accepted,45763,Ondatra zibethicus,error
Oreamnos americanus,Blainville,,mountain goat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Oreamnos,americanus,,,,native,S3 (2015),,confirmed,observed,2005-08-17,User 44897,,OBS.70764884,2840191003,2006-04-22,Brian Starzomski,https://www.inaturalist.org/observations/17069724,,42414,MAM,accepted,42414,Oreamnos americanus,error
Oryctolagus cuniculus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Oryctolagus,cuniculus,,,,,,,,,1800-01-01,,UWBM,UWBM:Mamm:30115,1702669245,2007-09-07,queenb1960s,https://www.inaturalist.org/observations/129503894,,,MAM,accepted,43151,Oryctolagus cuniculus,error
Ovis canadensis,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Ovis,canadensis,,,,,,,confirmed,observed,1903-10-28,"Mackey ; Dippie, George F.",CMN,CMNMA 32241,1804081735,2006-04-23,Brian Starzomski,https://www.inaturalist.org/observations/17069723,,,MAM,accepted,42391,Ovis canadensis,error
Pekania pennanti,Erxleben,,fisher,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Pekania,pennanti,,,,native,S3,,,,,,,,,,,,,453109,MAM,accepted,453109,Pekania pennanti,
Peromyscus keeni,Rhoads,,northwestern deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,keeni,,,,native,S5 (2015),,confirmed,observed,1911-07-04,"Spreadborough, William",CMN,1599,1804086637,2021-05-06,Tumtumtree,https://www.inaturalist.org/observations/77659394,,44387,MAM,accepted,44387,Peromyscus keeni,error
