scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Canis lupus,"Linnaeus, 1758",,grey wolf,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,lupus,,,,native,S4S5 (2015),,confirmed,observed,1932-03-26,K. Racey,UBCBBM,M017450,1292012664,2019-09-05,patrick7472,https://www.inaturalist.org/observations/47265521,,42048,MAM
Vulpes vulpes,"Linnaeus, 1758",,red fox,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Vulpes,vulpes,,,,native,S5,,confirmed,observed,1943-11-07,R.E. Luscher,UBCBBM,M000790,1291995985,2006-08-01,Ken Kneidel,https://www.inaturalist.org/observations/27891216,,42069,MAM
Lynx canadensis,"Kerr, 1792",,Canada lynx,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Lynx,canadensis,,,,native,S5 (2015),,reported,unobserved,1898-01-15,E. D. Brooks,MCZ,BANGS-9059,476857247,,,,,41974,MAM
Lynx rufus,"Schreber, 1777",,western bobcat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Lynx,rufus,,,,native,S5 (2015),,confirmed,observed,1932-01-09,J. Bailiff,UBCBBM,M005960,1292001191,2008-12-16,Ken McMillan,https://www.inaturalist.org/observations/15462915,,41976,MAM
Puma concolor,"Linnaeus, 1771",,cougar,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Puma,concolor,,,,native,S4,,confirmed,observed,1989-05-15,Scott McNab,UVIC,89.20,3329069816,2013-10-11,Jason Addy,https://www.inaturalist.org/observations/126301481,,42007,MAM
Mephitis mephitis,"Schreber, 1776",,striped skunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,Mephitis,mephitis,,,,native,S5 (2015),,confirmed,observed,1895-09-04,Allan Cyril Brooks,MCZ,BANGS-3700,476863908,2008-05-18,lhurteau,https://www.inaturalist.org/observations/16818069,Includes Mephitis mephitis spissigrada (Puget Sound striped skunk),41880,MAM
Spilogale gracilis,"Merriam, 1890",,western spotted skunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,Spilogale,gracilis,,,,native,S2S3 (2023),,reported,unobserved,1904-04-01,William Bebb; Preparator(s): William Bebb,BYU,BYU:31789,3356351662,,,,,58393,MAM
Gulo gulo luscus,"Linnaeus, 1758",,"wolverine, luscus",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Gulo,gulo,,luscus,,native,S3 (2010),1-SC (2018),confirmed,observed,2010-05-12,Keith B. Aubry,UWBM,81885,1702719947,2019-04-05,Robyn Worcester,https://www.inaturalist.org/observations/169016127,,41852,MAM
Lontra canadensis,"Schreber, 1777",,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Lutrinae,,Lontra,canadensis,,,,native,S5 (2015),,confirmed,observed,1800-01-01,,UWBM,82696,1702720791,2005-08-24,Tony Wood,https://www.inaturalist.org/observations/5974182,,41777,MAM
Martes caurina,"(Merriam, 1890)",,Pacific marten,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Martes,caurina,,,,native,S5?,,confirmed,observed,1896-03-17,Allan Cyril Brooks,MCZ,BANGS-5540,476869365,1987-09-21,graeme45,https://www.inaturalist.org/observations/69738915,,453111,MAM
Mustela erminea,"Linnaeus, 1758",,stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,erminea,,,,native,S5 (2015),,reported,unobserved,1910-05-01,E. Raymond Hall,MVZ,12482,1145693007,,,,,41808,MAM
Mustela richardsonii,"Bonaparte, 1838",,American stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,richardsonii,,,,native,S5 (2015),,new 2017,observed,,,,,,2017-12-04,breannawilson,https://www.inaturalist.org/observations/16576404,"Includes Mustela richardsonii anguinae, the only subspecies recognized in BC (endemic to Vancouver Island), as well as numerous other reported subspecies (requires review)",1264427,MAM
Neogale frenata,"(Lichtenstein, 1831)",,long-tailed weasel ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,frenata,,,,native,S5 (2015),,new 2018,observed,,,,,,2018-08-21,Brian Starzomski,https://www.inaturalist.org/observations/15829956,,1264431,MAM
Neogale frenata altifrontalis,"(Lichtenstein, 1831)","(Hall, 1936)",Washington long-tailed weasel ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,frenata,,altifrontalis,,native,SH (2011),,reported,unobserved,1937-03-27,J. Bailiff,UBCBBM,M004860,1292000085,,,,,1265170,MAM
Neogale vison,"(Schreber, 1777)",,American mink,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,vison,,,,native,S5 (2015),,confirmed,observed,1895-01-01,Allan Cyril Brooks,MCZ,BANGS-3555,476833296,2006-09-01,paulzc,https://www.inaturalist.org/observations/66077076,,1264432,MAM
Pekania pennanti,"(Erxleben, 1777)",,fisher,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Pekania,pennanti,,,,native,S3 (2020),,reported,unobserved,1951-10,,CTC,M003726,1291999029,,,,,453109,MAM
Procyon lotor,"Linnaeus, 1758",,common raccoon,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Procyonidae,,,Procyon,lotor,,,,native,S5 (2015),,confirmed,observed,1910-04-01,,MVZ,12467,1145692800,1995-05-07,Christopher J. Earle,https://www.inaturalist.org/observations/23196938,,41663,MAM
Ursus americanus,"Pallas, 1780",,American black bear,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,Ursus,americanus,,,,native,S4S5 (2015),,confirmed,observed,1909-06-20,,MVZ,12458,1145692696,1990-07-27,zihuadean,https://www.inaturalist.org/observations/65697751,,41638,MAM
Ursus arctos,"Linnaeus, 1758",,grizzly bear,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,Ursus,arctos,,,,native,S3? (2015),1-SC (2018),confirmed,observed,1800-01-01,P. Sisson; Preparator(s): Ernest S. Booth,UWBM,58757,1702696723,2005-10-18,hbread,https://www.inaturalist.org/observations/72691647,,41641,MAM
Corynorhinus townsendii,"Cooper, 1837",,Townsend's big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,,,,native,S3 (2022),,confirmed,observed,1800-01-01,Chester C. Lindt; Preparator(s): Chester C. Lindt,UWBM,63188,1702701211,2013-07-24,ToddCarnahan.com,https://www.inaturalist.org/observations/68036264,,74205,MAM
Eptesicus fuscus,"Beauvois, 1796",,big brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,,,,native,S5,,confirmed,observed,1910-08-30,Harry S. Swarth,MVZ,12589,1145694215,2018-06-26,Heather,https://www.inaturalist.org/observations/49912183,,40509,MAM
Euderma maculatum,"J. A. Allen, 1891",,spotted bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Euderma,maculatum,,,,native,S3S4 (2022),1-SC (2005),confirmed,observed,2014-01-01,,,,3969344017,2022-07-25,Jason Headley,https://www.inaturalist.org/observations/130879500,,40631,MAM
Lasionycteris noctivagans,"Le Conte, 1831",,silver-haired bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,,,,native,S4S5,,confirmed,observed,1915-08-10,"Spreadborough, William",CMN,2501,1804094636,2007-11-10,WD,https://www.inaturalist.org/observations/72471082,,40629,MAM
Lasiurus cinereus,"Palisot de Beauvois, 1796",,hoary bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,,,,native,S4S5,,confirmed,observed,1927-08-31,A.C. Brooks,UBCBBM,M005391,1292000582,2022-04-22,Aiva Noringseth,https://www.inaturalist.org/observations/113248084,,40523,MAM
Myotis californicus,"Audubon and Bachman, 1842",,California myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,,,,native,S4S5,,confirmed,observed,1889-04-19,"Macoun, John",CMN,152,1804090427,2011-11-11,bps921,https://www.inaturalist.org/observations/50747235,,40342,MAM
Myotis evotis,"H. Allen, 1864",,Miller's myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,,,,native,S5? (2015),,confirmed,observed,1936-06-26,"Laing, Hamilton M.",CMN,14151,1804084476,2018-08-18,carl1986,https://www.inaturalist.org/observations/15715775,,40354,MAM
Myotis keenii,"Merriam, 1895",,Keen's myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,keenii,,,,native,S4?,,reported,unobserved,1941-09-14,K. Racey,UBCBBM,M005485,1292000762,,,,,40345,MAM
Myotis lucifugus,"Le Conte, 1831",,little brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,,,,native,S4,,confirmed,observed,1916-08-30,"Spreadborough, William",CMN,2741,1804081278,2019-05-05,susanlundahl,https://www.inaturalist.org/observations/65991287,,40346,MAM
Myotis thysanodes,"Miller, 1897",,fringed myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,thysanodes,,,,native,S2S3 (2022),,new 2022,observed,,,,,,2022-07-26,Jason Headley,https://www.inaturalist.org/observations/132671608,,40347,MAM
Myotis volans,"H. Allen, 1866",,long-legged myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,volans,,,,native,S4S5,,reported,unobserved,1910-08-31,Harry S. Swarth,MVZ,12588,1145694155,,,,,40344,MAM
Myotis yumanensis,"H. Allen, 1864",,yuma myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,yumanensis,,,,native,S5,,confirmed,observed,1911-06-12,"Spreadborough, William",CMN,1594,1804046037,2017-08-12,piercestudio,https://www.inaturalist.org/observations/7472865,,40325,MAM
Didelphis virginiana,"Kerr, 1792",,Virginia opossum,Animalia,Chordata,Vertebrata,,Mammalia,Theria,,Didelphimorphia,,,Didelphidae,Didelphinae,Didelphini,Didelphis,virginiana,,,,exotic,S (2020),,confirmed,observed,1983-10-27,"Sullivan, S. L.",OMNH,35891,202063525,2017-01-01,Mark Wynja,https://www.inaturalist.org/observations/124810603,,42652,MAM
Sorex bendirii,"Merriam, 1884",,Bendire's shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,bendirii,,,,native,S2? (2015),1-E (2003),reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3563,476822562,,,,,46446,MAM
Sorex cinereus,"Kerr, 1792",,masked shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,cinereus,,,,native,S5 (2015),,confirmed,observed,1895-05-11,Allan Cyril Brooks,MCZ,BANGS-3587,476820925,2011-03-03,Daniel Stewart,https://www.inaturalist.org/observations/146664571,,59815,MAM
Sorex monticola,"Merriam, 1890",,dusky shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,monticola,,,,native,S5,,reported,unobserved,1800-01-01,I. Whitehouse; Preparator(s): I. Whitehouse,UWBM,71511,1702709668,,,,"Includes reports of numerous putative subspecies; currently the BC CDC does not even recognize Sorex monticola; ""there has been disagreement over whether Sorex monticola is distinct from S. vagrans at the species level; most recent studies recognize S. monticola as a distinct species (e.g., Jones et al.1992; Hutterer in Wilson and Reeder 1993, 2005; Smith and Belk 1996).” (IUCN)",46456,MAM
Sorex navigator,"(Baird, 1858)",,western water shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,navigator,,,,native,S5 (2018),,reported,unobserved,1916-07-22,"Spreadborough, William",CMN,2680,1804079443,,,,,1370755,MAM
Sorex palustris,"Richardson, 1828",,American water shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,palustris,,,,native,S2S4 (2015),,reported,unobserved,1923-09-03,"Racey, K",ROM,2704140063,1211860584,,,,,46355,MAM
Sorex rohweri,"Rausch, Feagin, & Rausch, 2007",,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,rohweri,,,,native,S2?,,reported,unobserved,1931-08-31,K. Racey,UBCBBM,M006457,1292001587,,,,,75088,MAM
Sorex trowbridgii,"Baird, 1857",,Trowbridge's shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,trowbridgii,,,,native,S3 (2015),,confirmed,observed,1906-05-05,"Spreadborough, William",CMN,1240,1804075313,2020-06-08,ladyb1rd,https://www.inaturalist.org/observations/48919289,,46503,MAM
Sorex vagrans,"Baird, 1857",,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,vagrans,,,,native,S5,,reported,unobserved,1893-11-03,William C. Colt,MCZ,BANGS-1832,476808257,,,,"Tentatively includes Sorex vagrans vagrans and Sorex vagrans isolatus (Vancouver Island vagrant shrew), though some sources do not recognize the latter subspecies",345876,MAM
Neurotrichus gibbsii,"Baird, 1858",,American shrew mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Talpinae,Neurotrichini,Neurotrichus,gibbsii,,,,native,S4,,confirmed,observed,1896-05-26,Allan Cyril Brooks,MCZ,BANGS-5505,1849037791,2008-04-27,Steve Ansell,https://www.inaturalist.org/observations/146642325,,47051,MAM
Scapanus orarius,"True, 1896",,coast mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,Scapanus,orarius,,,,native,S4?,,confirmed,observed,1895-04-15,Allan Cyril Brooks,MCZ,BANGS-3557,476808078,2008-04-27,Steve Ansell,https://www.inaturalist.org/observations/146642543,,47007,MAM
Scapanus townsendii,"Bachman, 1839",,Townsend's mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,Scapanus,townsendii,,,,native,S1 (2015),1-E (2005),confirmed,observed,1995-01-01,Tim Sheehan,UBCBBM,M016889,1292012079,2021-02-28,John D Reynolds,https://www.inaturalist.org/observations/106049168,,47010,MAM
Lepus americanus,"Erxleben, 1777",,snowshoe hare,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,,,native,S5 (2015),,confirmed,observed,1916-07-15,"Spreadborough, William",CMN,2674,1804070550,2012-07-13,onyxrat,https://www.inaturalist.org/observations/67885414,,43132,MAM
Lepus americanus washingtonii,"Erxleben, 1777","Baird, 1855",Washington snowshoe hare,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,washingtonii,,native,S1 (2011),,confirmed,observed,1894-12-13,Allan Cyril Brooks,MCZ,BANGS-2435,476815461,2011-07-09,Lee E. Harding,https://www.inaturalist.org/observations/7617644,,236660,MAM
Oryctolagus cuniculus,"Linnaeus, 1758",,European rabbit,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Oryctolagus,cuniculus,,,,exotic,S (2020),,confirmed,observed,1800-01-01,,UWBM,30115,1702669245,2007-09-07,queenb1960s,https://www.inaturalist.org/observations/129503894,,43151,MAM
Sylvilagus floridanus,"J. A. Allen, 1890",,eastern cottontail,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Sylvilagus,floridanus,,,,exotic,S (2020),,reported,unobserved,1941-08-04,J. Waskey; Preparator(s): J. Waskey,UWBM,51266,1702689149,,,,,43111,MAM
Ochotona princeps,"Richardson, 1828",,American pika,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Ochotonidae,,,Ochotona,princeps,,,,native,S4S5 (2015),,confirmed,observed,1916-08-09,"Young, Charles H.",CMN,2696,1804076307,2003-07-05,Steve Ansell,https://www.inaturalist.org/observations/108401818,,43188,MAM
Aplodontia rufa,"Rafinesque, 1817",,mountain beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Aplodontiidae,,,Aplodontia,rufa,,,,native,S4,,reported,unobserved,1925-11-25,,UWBM,18838,1702667031,,,,,43736,MAM
Castor canadensis,"Kuhl, 1820",,Canadian beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,native,S5,,confirmed,observed,1800-01-01,Woodland Park Zoo,UWBM,19682,1702667440,2004-06-13,Pål A. Olsvik,https://www.inaturalist.org/observations/117708688,,43794,MAM
Clethrionomys gapperi,"(Vigors, 1830)",,southern red-backed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,,,native,S5 (2015),,confirmed,observed,1910-04-22,Annie M. Alexander,MVZ,12310,1145691035,2013-06-18,Sean Daniels,https://www.inaturalist.org/observations/103183981,,1431274,MAM
Clethrionomys gapperi occidentalis,"(Vigors, 1830)","(Merriam, 1890)","southern red-backed vole, western subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,occidentalis,,native,S1 (2006),,reported,unobserved,1946-09-30,M.J. Carter  H.D. Fisher,UBCBBM,M001974,1291997252,,,,,1431805,MAM
Microtus drummondii,"(Audubon & Bachman, 1854)",,western meadow vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,drummondii,,,,native,S5 (2015),,confirmed,observed,1895-08-05,,RBINS-Scientific Heritage,6010,3025977687,2014-06-10,Liam Steele,https://www.inaturalist.org/observations/69834384,,1431621,MAM
Microtus longicaudus,"Merriam, 1888",,long-tailed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,longicaudus,,,,native,S5 (2015),,reported,unobserved,1916-06-26,"Spreadborough, William",CMN,2655,1804069078,,,,,44307,MAM
Microtus montanus,"Peale, 1848",,montane vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,montanus,,,,native,S5 (2015),,reported,unobserved,1901-09-12,C. K. Worthen,FMNH,8201,665776271,,,,,44315,MAM
Microtus oregoni,"Bachman, 1839",,creeping vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,oregoni,,,,native,S4?,,reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3620,476860499,,,,,44318,MAM
Microtus richardsoni,"DeKay, 1842",,water vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,richardsoni,,,,native,S4S5 (2015),,reported,unobserved,1916-08-12,"Spreadborough, William",CMN,2706,1804050903,,,,,44323,MAM
Microtus townsendii,"Bachman, 1839",,Townsend's vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,,,,native,S5?,,confirmed,observed,1910-06-02,Annie M. Alexander,MVZ,12311,1145691140,2000-11-05,graeme45,https://www.inaturalist.org/observations/69738897,,44298,MAM
Neotoma cinerea,"Ord, 1815",,bushy-tailed woodrat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotomini,Neotoma,cinerea,,,,native,S5 (2015),,confirmed,observed,1895-10-01,Allan Cyril Brooks,MCZ,BANGS-3639,476828094,2020-10-24,rwheater,https://www.inaturalist.org/observations/63703637,,44761,MAM
