scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Mustela erminea,L.,,stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,erminea,,,,native,S5 (2015),,reported,unobserved,1910-05-01,E. Raymond Hall,MVZ,12482,1145693007,,,,,41808,MAM
Mustela richardsonii,Bonaparte,,American stoat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Mustela,richardsonii,,,,native,S5 (2015),,new 2017,observed,,,,,,2017-12-04,breannawilson,https://www.inaturalist.org/observations/16576404,,1264427,MAM
Neogale frenata,,,long-tailed weasel ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,frenata,,,,native,S5 (2015),,new 2018,observed,,,,,,2018-08-21,Brian Starzomski,https://www.inaturalist.org/observations/15829956,,1264431,MAM
Neogale frenata altifrontalis,"(Lichtenstein, 1831)",Hall,Washington long-tailed weasel ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,frenata,,altifrontalis,,native,SH (2011),,reported,unobserved,1937-03-27,J. Bailiff,UBCBBM,M004860,1292000085,,,,,1265170,MAM
Neogale vison,Von Schreber,,American mink,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,Neogale,vison,,,,native,S5 (2015),,confirmed,observed,1895-01-01,Allan Cyril Brooks,MCZ,BANGS-3555,476833296,2006-09-01,paulzc,https://www.inaturalist.org/observations/66077076,,1264432,MAM
Procyon lotor,L.,,common raccoon,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Procyonidae,,,Procyon,lotor,,,,native,S5 (2015),,confirmed,observed,1910-04-01,,MVZ,12467,1145692800,1995-05-07,Christopher J. Earle,https://www.inaturalist.org/observations/23196938,,41663,MAM
Ursus americanus,Pallas,,American black bear,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,Ursus,americanus,,,,native,S4S5 (2015),,confirmed,observed,1909-06-20,,MVZ,12458,1145692696,1990-07-27,zihuadean,https://www.inaturalist.org/observations/65697751,,41638,MAM
Ursus arctos,Ord.,,grizzly bear,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,Ursus,arctos,,,,native,S3? (2015),1-SC (2018),confirmed,observed,1800-01-01,P. Sisson; Preparator(s): Ernest S. Booth,UWBM,58757,1702696723,2005-10-18,hbread,https://www.inaturalist.org/observations/72691647,,41641,MAM
Corynorhinus townsendii,Cooper,,Townsend's big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,,,,native,S3 (2022),,confirmed,observed,1800-01-01,Chester C. Lindt; Preparator(s): Chester C. Lindt,UWBM,63188,1702701211,2013-07-24,ToddCarnahan.com,https://www.inaturalist.org/observations/68036264,,74205,MAM
Eptesicus fuscus,Beauvois,,big brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,,,,native,S5,,confirmed,observed,1910-08-30,Harry S. Swarth,MVZ,12589,1145694215,2018-06-26,Heather,https://www.inaturalist.org/observations/49912183,,40509,MAM
Euderma maculatum,,,spotted bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Euderma,maculatum,,,,native,S3S4 (2022),1-SC (2005),confirmed,observed,2014-01-01,,,,3969344017,2022-07-25,Jason Headley,https://www.inaturalist.org/observations/130879500,,40631,MAM
Lasionycteris noctivagans,LeConte,,silver-haired bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,,,,native,S4S5,,confirmed,observed,1915-08-10,"Spreadborough, William",CMN,2501,1804094636,2007-11-10,WD,https://www.inaturalist.org/observations/72471082,,40629,MAM
Lasiurus cinereus,Beauvois,,hoary bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,,,,native,S4S5,,confirmed,observed,1927-08-31,A.C. Brooks,UBCBBM,M005391,1292000582,2022-04-22,Aiva Noringseth,https://www.inaturalist.org/observations/113248084,,40523,MAM
