Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Family_std,Taxon_std,Reporting_raw_std,Reporting_simple_std,Collector_std,Observer_std,Historical_date_std,First_observed_std,iNat_URL_raw_std,iNat_ID_raw_std,Collection_std,Accession_std,new_year_std,status_std,historical_year,observed_year,Family_label
Anas platyrhynchos,"Linnaeus, 1758",,mallard,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Anas,platyrhynchos,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-02-04,Kris Krüg,iNat:2644712,,6930,BIR,NA,confirmed,Anatidae,Anas platyrhynchos,confirmed,confirmed,Galiano Naturalist,Kris Krüg,2016,2016-02-04,iNat:2644712,6930,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,"Ducks, geese & swans (Anatidae)"
Anser albifrons,"(Scopoli, 1769)",,greater white-fronted goose,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Anser,albifrons,NA,,NA,native,S4M (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-09-27,Michael Hoebel,iNat:4046931,,7019,BIR,NA,confirmed,Anatidae,Anser albifrons,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2014-09-27,iNat:4046931,7019,Galiano Bird Checklist,NA,NA,confirmed,2016,2014,"Ducks, geese & swans (Anatidae)"
Anthus rubescens,"(Tunstall, 1771)",,American pipit,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Motacillidae,,NA,Anthus,rubescens,NA,,NA,native,"S5B,SNRN (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2024-09-29,Sean Vanderluit,iNat:244839879,,13732,BIR,NA,confirmed,Motacillidae,Anthus rubescens,confirmed,confirmed,Galiano Naturalist,Sean Vanderluit,2016,2024-09-29,iNat:244839879,13732,Galiano Bird Checklist,NA,NA,confirmed,2016,2024,Wagtails & pipits (Motacillidae)
Antigone canadensis,"(Linnaeus, 1758)",,sandhill crane,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Gruiformes,NA,NA,Gruidae,,NA,Antigone,canadensis,NA,,NA,native,S4B (2018),NA,new 2021,observed,NA,NA,,,NA,2013-11-05,Michael Hoebel,iNat:102504413,,508048,BIR,2021,new,Gruidae,Antigone canadensis,new 2021,new,NA,Michael Hoebel,NA,2013-11-05,iNat:102504413,508048,NA,NA,2021,new,NA,2013,Cranes (Gruidae)
Aquila chrysaetos,"Linnaeus, 1758",,golden eagle,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Aquila,chrysaetos,NA,,NA,native,S4S5 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Accipitridae,Aquila chrysaetos,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Hawks, eagles & allies (Accipitridae)"
Ardea herodias fannini,"Chapman, 1901",,great blue heron,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Pelecaniformes,NA,NA,Ardeidae,Ardeinae,NA,Ardea,herodias,NA,fannini,NA,native,"S2S3B,S4N (2009)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-05-03,Shera Street,iNat:2635593,,236943,BIR,NA,confirmed,Ardeidae,Ardea herodias fannini,confirmed,confirmed,Galiano Naturalist,Shera Street,2016,2009-05-03,iNat:2635593,236943,Galiano Bird Checklist,NA,NA,confirmed,2016,2009,"Herons, egrets & bitterns (Ardeidae)"
Arenaria interpres,"(Linnaeus, 1758)",,ruddy turnstone,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Arenaria,interpres,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Scolopacidae,Arenaria interpres,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Sandpipers & allies (Scolopacidae)
Arenaria melanocephala,"(Vigors, 1829)",,black turnstone,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Arenaria,melanocephala,NA,,NA,native,"S4N,S5M (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-08-08,Chessi Miltner,iNat:3840469,,3941,BIR,NA,confirmed,Scolopacidae,Arenaria melanocephala,confirmed,confirmed,Galiano Naturalist,Chessi Miltner,2016,2016-08-08,iNat:3840469,3941,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Sandpipers & allies (Scolopacidae)
Asio flammeus,"(Pontoppidan, 1763)",,short-eared owl,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Strigiformes,NA,NA,Strigidae,,NA,Asio,flammeus,NA,,NA,native,"S3B,S2N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Strigidae,Asio flammeus,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Typical owls (Strigidae)
Astur cooperii,"(Bonaparte, 1828)",,Cooper's hawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Astur,cooperii,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-09-01,Karolle Wall,iNat:4014861,reported as Accipiter cooperii,5112,BIR,NA,confirmed,Accipitridae,Astur cooperii,confirmed,confirmed,Galiano Naturalist,Karolle Wall,2016,2016-09-01,iNat:4014861,5112,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,"Hawks, eagles & allies (Accipitridae)"
Aythya affinis,"(Eyton, 1838)",,lesser scaup,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Aythya,affinis,NA,,NA,native,"S5B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Anatidae,Aythya affinis,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Ducks, geese & swans (Anatidae)"
Aythya collaris,"(Donovan, 1809)",,ring-necked duck,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Aythya,collaris,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-05-10,Michael Hoebel,iNat:4046933,,7044,BIR,NA,confirmed,Anatidae,Aythya collaris,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2011-05-10,iNat:4046933,7044,Galiano Bird Checklist,NA,NA,confirmed,2016,2011,"Ducks, geese & swans (Anatidae)"
Aythya marila,"(Linnaeus, 1761)",,greater scaup,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Aythya,marila,NA,,NA,native,S4N (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Anatidae,Aythya marila,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Ducks, geese & swans (Anatidae)"
Bombycilla cedrorum,"Vieillot, 1808",,cedar waxwing,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Bombycillidae,,NA,Bombycilla,cedrorum,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-05-30,Michael Hoebel,iNat:4046864,,7428,BIR,NA,confirmed,Bombycillidae,Bombycilla cedrorum,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2014-05-30,iNat:4046864,7428,Galiano Bird Checklist,NA,NA,confirmed,2016,2014,Waxwings (Bombycillidae)
Bonasa umbellus brunnescens,"(Linnaeus, 1766)",,ruffed grouse,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Galliformes,NA,NA,Phasianidae,,NA,Bonasa,umbellus,NA,brunnescens,NA,native,S5 (2015),NA,reported,unobserved,1991-04-25,R. Smith,UBC,B015112,NA,NA,NA,,,NA,BIR,NA,reported,Phasianidae,Bonasa umbellus brunnescens,reported,reported,R. Smith,NA,1991-04-25,NA,NA,NA,UBC,B015112,NA,reported,1991,NA,"Pheasants, grouse & allies (Phasianidae)"
Brachyramphus marmoratus,"(Gmelin, 1789)",,marbled murrelet,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Alcidae,,NA,Brachyramphus,marmoratus,NA,,NA,native,"S3B,S3N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-12-20,Andrew Simon,iNat:2562765,,4531,BIR,NA,confirmed,Alcidae,Brachyramphus marmoratus,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2015-12-20,iNat:2562765,4531,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,"Auks, murres & puffins (Alcidae)"
Branta canadensis,"(Linnaeus, 1758)",,Canada goose,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Branta,canadensis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2007-01-10,Shera Street,iNat:2635233,,7089,BIR,NA,confirmed,Anatidae,Branta canadensis,confirmed,confirmed,Galiano Naturalist,Shera Street,2016,2007-01-10,iNat:2635233,7089,Galiano Bird Checklist,NA,NA,confirmed,2016,2007,"Ducks, geese & swans (Anatidae)"
Branta hutchinsii,"(Richardson, 1832)",,cackling goose,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Branta,hutchinsii,NA,,NA,native,S4S5M (2015),NA,reported,unobserved,2017-05-07,Nancy Tamblyn,eBird,,NA,NA,NA,,,NA,BIR,NA,reported,Anatidae,Branta hutchinsii,reported,reported,Nancy Tamblyn,NA,2017-05-07,NA,NA,NA,eBird,NA,NA,reported,2017,NA,"Ducks, geese & swans (Anatidae)"
Bubo virginianus,"(Gmelin, 1788)",,great horned owl,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Strigiformes,NA,NA,Strigidae,,NA,Bubo,virginianus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-06-28,Kevin Toomer,iNat:13864466,,20044,BIR,NA,confirmed,Strigidae,Bubo virginianus,confirmed,confirmed,Galiano Naturalist,Kevin Toomer,2016,2018-06-28,iNat:13864466,20044,Galiano Bird Checklist,NA,NA,confirmed,2016,2018,Typical owls (Strigidae)
Bucephala albeola,"(Linnaeus, 1758)",,bufflehead,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Bucephala,albeola,NA,,NA,native,"S5B, SNRN (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-02-19,Michael Hoebel,iNat:4046948,,6993,BIR,NA,confirmed,Anatidae,Bucephala albeola,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2010-02-19,iNat:4046948,6993,Galiano Bird Checklist,NA,NA,confirmed,2016,2010,"Ducks, geese & swans (Anatidae)"
Bucephala clangula,"(Linnaeus, 1758)",,common goldeneye,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Bucephala,clangula,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-04-19,B. J. Stacey,iNat:167229,,6990,BIR,NA,confirmed,Anatidae,Bucephala clangula,confirmed,confirmed,Galiano Naturalist,B. J. Stacey,2016,2012-04-19,iNat:167229,6990,Galiano Bird Checklist,NA,NA,confirmed,2016,2012,"Ducks, geese & swans (Anatidae)"
Bucephala islandica,"(Gmelin, 1789)",,barrow's goldeneye,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Bucephala,islandica,NA,,NA,native,S4S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-02-04,Kris Krüg,iNat:2644709,,6994,BIR,NA,confirmed,Anatidae,Bucephala islandica,confirmed,confirmed,Galiano Naturalist,Kris Krüg,2016,2016-02-04,iNat:2644709,6994,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,"Ducks, geese & swans (Anatidae)"
Buteo jamaicensis,"(Gmelin, 1788)",,red-tailed hawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Buteo,jamaicensis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-07-27,Cameron Deckert,iNat:19139396,,5212,BIR,NA,confirmed,Accipitridae,Buteo jamaicensis,confirmed,confirmed,Galiano Naturalist,Cameron Deckert,2016,2009-07-27,iNat:19139396,5212,Galiano Bird Checklist,NA,NA,confirmed,2016,2009,"Hawks, eagles & allies (Accipitridae)"
Calidris alpina,"(Linnaeus, 1758)",,Dunlin,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Calidris,alpina,NA,,NA,native,S4N (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-05-04,Joan Septembre,iNat:24714336,,3857,BIR,NA,confirmed,Scolopacidae,Calidris alpina,confirmed,confirmed,Galiano Naturalist,Joan Septembre,2016,2019-05-04,iNat:24714336,3857,Galiano Bird Checklist,NA,NA,confirmed,2016,2019,Sandpipers & allies (Scolopacidae)
Calidris mauri,"Cabanis, 1857",,western sandpiper,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Calidris,mauri,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Scolopacidae,Calidris mauri,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Sandpipers & allies (Scolopacidae)
Calidris virgata,"(Gmelin, 1789)",,surfbird,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Calidris,virgata,NA,,NA,native,S4M (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-10-19,Michael Hoebel,iNat:4054037,,339592,BIR,NA,confirmed,Scolopacidae,Calidris virgata,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2014-10-19,iNat:4054037,339592,Galiano Bird Checklist,NA,NA,confirmed,2016,2014,Sandpipers & allies (Scolopacidae)
Calypte anna,"(Lesson, 1829)",,Anna's hummingbird,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Caprimulgiformes,NA,NA,Trochilidae,,NA,Calypte,anna,NA,,NA,native,S4S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-03-14,Michael Hoebel,iNat:4046916,,6317,BIR,NA,confirmed,Trochilidae,Calypte anna,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2014-03-14,iNat:4046916,6317,Galiano Bird Checklist,NA,NA,confirmed,2016,2014,Hummingbirds (Trochilidae)
Cardellina pusilla,"(Wilson, 1811)",,Wilson’s warbler,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Parulidae,,NA,Cardellina,pusilla,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-07-15,Michael Hoebel,iNat:4053962,,145276,BIR,NA,confirmed,Parulidae,Cardellina pusilla,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2015-07-15,iNat:4053962,145276,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Wood-warblers (Parulidae)
Cathartes aura,"(Linnaeus, 1758)",,turkey vulture,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Cathartiformes,NA,NA,Cathartidae,,NA,Cathartes,aura,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2006-08-14,Karolle Wall,iNat:97172668,,4756,BIR,NA,confirmed,Cathartidae,Cathartes aura,confirmed,confirmed,Galiano Naturalist,Karolle Wall,2016,2006-08-14,iNat:97172668,4756,Galiano Bird Checklist,NA,NA,confirmed,2016,2006,New World vultures (Cathartidae)
Catharus guttatus,"(Pallas, 1811)",,hermit thrush,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Turdidae,,NA,Catharus,guttatus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2013-04-28,Michael Hoebel,iNat:4046977,,12890,BIR,NA,confirmed,Turdidae,Catharus guttatus,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2013-04-28,iNat:4046977,12890,Galiano Bird Checklist,NA,NA,confirmed,2016,2013,Thrushes (Turdidae)
Catharus ustulatus,"(Nuttall, 1840)",,Swainson's thrush,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Turdidae,,NA,Catharus,ustulatus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-07-07,Andrew Simon,iNat:3641204,,12878,BIR,NA,confirmed,Turdidae,Catharus ustulatus,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2016-07-07,iNat:3641204,12878,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Thrushes (Turdidae)
Cepphus columba,"Pallas, 1811",,pigeon guillemot,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Alcidae,,NA,Cepphus,columba,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-05-23,Steve Murray,iNat:149950925,,4415,BIR,NA,confirmed,Alcidae,Cepphus columba,confirmed,confirmed,Galiano Naturalist,Steve Murray,2016,2014-05-23,iNat:149950925,4415,Galiano Bird Checklist,NA,NA,confirmed,2016,2014,"Auks, murres & puffins (Alcidae)"
Cerorhinca monocerata,"Pallas, 1811",,rhinoceros auklet,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Alcidae,,NA,Cerorhinca,monocerata,NA,,NA,native,S4 (2016),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-04-22,Michael Hoebel,iNat:19548007,,4553,BIR,NA,confirmed,Alcidae,Cerorhinca monocerata,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2017-04-22,iNat:19548007,4553,Galiano Bird Checklist,NA,NA,confirmed,2016,2017,"Auks, murres & puffins (Alcidae)"
Certhia americana,"Bonaparte, 1838",,brown creeper,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Certhiidae,,NA,Certhia,americana,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-07-25,lesfreck,iNat:86518607,,7458,BIR,NA,confirmed,Certhiidae,Certhia americana,confirmed,confirmed,Galiano Naturalist,lesfreck,2016,2011-07-25,iNat:86518607,7458,Galiano Bird Checklist,NA,NA,confirmed,2016,2011,Treecreepers (Certhiidae)
Chaetura vauxi,"(Townsend, 1839)",,Vaux’s swift,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Caprimulgiformes,NA,NA,Apodidae,,NA,Chaetura,vauxi,NA,,NA,native,S5B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Apodidae,Chaetura vauxi,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Swifts (Apodidae)
