Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Lasionycteris noctivagans,,,silver-haired bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Nycticeiini,Lasionycteris,native,S4S5,new 2018,observed,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,2021-05-10,Dave “Zeuss” Cochrane,https://www.inaturalist.org/observations/78308044,,40629,MAM
Lasiurus cinereus,,,hoary bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,native,S4S5 (2015),new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40523,MAM
Myotis californicus,,,California myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,native,S4S5,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40342,MAM
Myotis ciliolabrum,,,western small-footed myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,native,S2S3 (2015),new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,68093,MAM
Myotis evotis,,,long-eared myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,native,S5?,new 2018,observed,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,2020-07-25,Jakob Fahr,https://www.inaturalist.org/observations/54345065,,40354,MAM
Myotis lucifugus,,,little brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,native,S4; 1-E (SARA); N3; G3,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40346,MAM
Myotis yumanensis,,,yuma myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,native,S5,new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,40325,MAM
Sorex vagrans vagrans,,,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,Soricidae,Soricinae,Soricini,Sorex,native,S5 (2015),confirmed,observed,1982-07-13,I.F. Greenbaum et al.,CMN,45718,,2018-04-28,Christian Adler,https://www.inaturalist.org/observations/11631234,,345876,MAM
Equus caballus,,,horse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Perissodactyla,,,Equidae,,,Equus,exotic,unlisted,new 2016,observed,,,,,,2016-05-06,Andrew Simon,http://www.inaturalist.org/observations/3116825,,209233,MAM
Homo sapiens,,,human,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,Hominoidea,Hominidae,Homininae,,Homo,native,unlisted,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2016-05-16,Kris Krüg,http://inaturalist.ca/observations/3434639,,43584,MAM
Castor canadensis,,,beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,native,S5 (2015),new 2014,observed,,,,,,2014-05-19,Andrew Simon,http://www.inaturalist.org/observations/730608,,43794,MAM
Microtus pennsylvanicus,,,meadow vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,native,S5 (2015),new 2020,observed,,,,,,2020-11-19,guym,https://www.inaturalist.org/observations/65221933,,44311,MAM
Microtus townsendii,,,Townsend's vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,native,S5? (2015),new 2017,observed,,,,,,2017-03-23,Kate Emmings,http://inaturalist.ca/observations/5437804,,44298,MAM
Ondatra zibethicus,,,muskrat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatrini,Ondatra,native,S5 (2015),new 2021,observed,,,,,,2021-09-05,sackum,https://www.inaturalist.org/observations/93711983,,45763,MAM
Peromyscus maniculatus,"(Wagner, 1845)",,deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,native,S5 (2015),confirmed,observed,1977-05-20,P. Thompson,UBC,M010851,,2016-11-24,Andrew Simon,http://www.inaturalist.org/observations/4630714,,44396,MAM
Mus cf musculus,,,house mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Murini,Mus,exotic,unlisted,reported,unobserved,2011-05-14,Kent Brothers,VMS,,,,,,,44705,MAM
Rattus rattus,,,black rat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,Rattus,exotic,unlisted,new 2018,observed,,,,,,2018-10-15,Emma Davis,https://www.inaturalist.org/observations/17981433,,44575,MAM
Sciurus carolinensis,,,eastern grey squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,exotic,unlisted,new 2020,observed,,,,,,2020-02-20,Andrew Loveridge,https://www.inaturalist.org/observations/38951947,,46017,MAM
Tamiasciurus hudsonicus,,,red squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,native,S5 (2015),confirmed,observed,2013-05-04,Kent Brothers,VMS,,,2013-07-26,Cameron Deckert,https://www.inaturalist.org/observations/18658090,,46260,MAM
