Domain,Phylum,Class,Order,Family,Genus,Species,InSeagrass,InMark
Eukaryota,Chlorophyta_ph,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,Trebouxiophyceae,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Acrosiphonia,Acrosiphonia,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulotrichales,Ulotrichales_fa,Ulotrichales_fa,Ulotrichales_fa,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Bolbocoleon,Bolbocoleon,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Pseudendoclonium,Pseudendoclonium,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulva,Ulva,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulvales_fa,Ulvales_fa,y,n
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvales,Ulvales_fa,Ulvella,Ulvella,y,y
Eukaryota,Chlorophyta_ph,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,y,y
Eukaryota,Mollusca,Bivalvia,Veneroida,Veneroida,Veneroida,Veneroida,y,y
Eukaryota,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda,Vetigastropoda,Vetigastropoda,y,y
NA,NA,NA,NA,NA,NA,Eukaryota,y,y
NA,NA,NA,NA,NA,NA,Halodaphnea,n,y
Chromista ,Ciliophora ,NA,NA,NA,NA,Pithites,n,y
Eukaryota,Chlorophyta,NA,NA,NA,NA,Ulvaria,n,y
