scientificName,eventDate,basisOfRecord,recordedBy,datasetName
Cladonia uncialis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Cladonia verruculosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Coelocaulon aculeatum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Evernia prunastri,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Gowardia nigricans,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia apinnata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia duplicata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia enteromorpha,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia imshaugii,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia inactiva,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia occidentalis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia physodes,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia rugosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Hypogymnia tubulosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Leptogium palmatum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Letharia vulpina,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Lobaria anomala,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Lobaria linita,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Lobaria oregana,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Lobaria pulmonaria,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Massalongia carnosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Melanelia disjuncta,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Melanelia hepatizon,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Melanelia panniformis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Melanelixia fuliginosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Melanohalea exasperatula,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Nephroma arcticum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Nephroma laevigatum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Nephroma parile,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Nodobryoria abbreviata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Nodobryoria oregana,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmelia hygrophila,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmelia pseudosulcata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmelia saxatilis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmelia sulcata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmeliella triptophylla,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmeliopsis ambigua,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmeliopsis hyperopta,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Parmotrema arnoldii,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera aphthosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera britannica,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera chionophila,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera collina,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera gowardii,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera leucophlebia,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera membranacea,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera neopolydactyla,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera pacifica,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera polydactylon,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera ponojensis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera praetextata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera rufescens,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Peltigera venosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Physcia adscendens,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Physcia dubia,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Physcia tenella,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Pilophorus acicularis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Pilophorus clavatus,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Platismatia glauca,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Platismatia herrei,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Polycauliona candelaria,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Polycauliona polycarpa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Pseudephebe pubescens,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Psoroma hypnorum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Punctelia stictica,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Ramalina farinacea,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Sclerophora peronella,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Scytinium gelatinosum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Solorina crocea,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Solorina saccata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Solorina spongiosa,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Sphaerophorus tuckermanii,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Stereocaulon alpinum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Stereocaulon intermedium,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Stereocaulon spathuliferum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Stereocaulon tomentosum,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Sticta limbata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Thamnolia vermicularis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Tholurna dissimilis,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Tuckermanopsis chlorophylla,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Tuckermanopsis orbata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Tuckermanopsis platyphylla,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Tuckermanopsis subalpina,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria angulata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria deusta,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria hyperborea,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria phaea,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria polyphylla,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria proboscidea,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Umbilicaria torrefacta,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Usnea dasopoga,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Usnea glabrescens,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Usnea longissima,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
Vestergrenopsis isidiata,2020-07-01,MaterialCitation,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices
