Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Fuligo septica,(L.) F.H. Wigg.,NA,dog vomit slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Fuligo,septica,NA,NA,NA,cosmopolitan,unlisted,NA,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,NA,2016-06-22,Andrew Simon,iNat:iNat:3505716,NA,55483,PRO,accepted,55483,Fuligo septica,Fuligo septica,Fuligo septica
Leocarpus fragilis,(Dicks.) Rostaf.,NA,insect egg slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Leocarpus,fragilis,NA,NA,NA,cosmopolitan,unlisted,NA,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,NA,,,iNat:,NA,56273,PRO,accepted,56273,Leocarpus fragilis,Leocarpus fragilis,
Physarum cinereum,(Batsch) Pers.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Physarum,cinereum,NA,NA,NA,cosmopolitan,unlisted,NA,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,NA,,,iNat:,NA,125933,PRO,accepted,125933,Physarum cinereum,Physarum cinereum,
Physarum viride,(Bull.) Pers.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Physarum,viride,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-01,Pam Janszen,PJ private collection,Galiano #5,NA,2017-05-27,Pam Janszen,iNat:iNat:6571618,NA,383670,PRO,accepted,383670,Physarum viride,Physarum viride,Physarum viride
Amaurochaete tubulina,(Alb. & Schwein.) T. Macbr.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,Amaurochaetaceae,,,Amaurochaete,tubulina,NA,NA,NA,cosmopolitan,unlisted,NA,new 2019,observed,2019-07-01,Kevin Toomer,PJ private collection,Galaino #10,NA,2019-07-05,Kevin Toomer,iNat:iNat:28243758,NA,906605,PRO,accepted,906605,Amaurochaete tubulina,Amaurochaete tubulina,Amaurochaete tubulina
Stemonaria irregularis,"(Rex) Nann.-Bremek., R. Sharma & Y. Yamam.",NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,Amaurochaetaceae,,,Stemonaria,irregularis,NA,NA,NA,cosmopolitan,unlisted,NA,new 2019,observed,2019-07-01,Kevin Toomer,PJ private collection,Galiano #7,NA,2019-07-08,Kevin Toomer,iNat:iNat:28445406,NA,947418,PRO,accepted,947418,Stemonaria irregularis,Stemonaria irregularis,Stemonaria irregularis
Stemonitis fusca,Roth,NA,pipe-cleaner slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,Stemonitidaceae,,,Stemonitis,fusca,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-01,Pam Janszen,PJ private collection,Galiano #6,NA,2017-05-27,Pam Janszen,iNat:iNat:7150093,NA,126279,PRO,accepted,126279,Stemonitis fusca,Stemonitis fusca,Stemonitis fusca
Stemonitis splendens,Rostaf.,NA,chocolate tube slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,Stemonitidaceae,,,Stemonitis,splendens,NA,NA,NA,cosmopolitan,unlisted,NA,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,NA,,,iNat:,NA,53838,PRO,accepted,53838,Stemonitis splendens,Stemonitis splendens,
Arcyria cinerea,(Bull.) Pers.,NA,white slime,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,cinerea,NA,NA,NA,cosmopolitan,unlisted,NA,reported,unobserved,2016-02-01,Rene Zich,,,NA,,,iNat:,NA,56258,PRO,accepted,56258,Arcyria cinerea,Arcyria cinerea,
Arcyria ferruginea,Saut.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,ferruginea,NA,NA,NA,,,NA,new 2020,observed,,,,,NA,2020-01-24,Pam Janszen,iNat:iNat:70175131,NA,332465,PRO,accepted,332465,Arcyria ferruginea,Arcyria ferruginea,Arcyria ferruginea
Arcyria incarnata,(Pers. ex J.F. Gmel.) Pers.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,incarnata,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-01,Pam Janzen,PJ private collection,Galiano #1,NA,2017-05-27,Pam Janszen,iNat:iNat:7150085,NA,381271,PRO,accepted,381271,Arcyria incarnata,Arcyria incarnata,Arcyria incarnata
Arcyria obvelata,(Oeder) Onsberg.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,obvelata,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-07-01,Ed Androusiak,PJ private collection,Galiano #9,NA,2017-07-07,Ed Andrusiak,iNat:iNat:7626272,NA,146745,PRO,accepted,146745,Arcyria obvelata,Arcyria obvelata,Arcyria obvelata
Metatrichia floriformis,(Schwein.) Nann.-Bremek.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Trichiaceae,,,Metatrichia,floriformis,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #3,NA,2017-05-27,Pam Janszen,iNat:iNat:7150087,NA,126277,PRO,accepted,126277,Metatrichia floriformis,Metatrichia floriformis,Metatrichia floriformis
Trichia decipiens,(Pers.) T. Macbr.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Hemitrichia,decipiens,NA,NA,NA,cosmopolitan,unlisted,NA,new 2016,observed,,,,,NA,2016-03-25,Sarah Tweedale,iNat:iNat:2829467,NA,56275,PRO,unaccepted,1441996,Hemitrichia decipiens,Trichia decipiens,Trichiales
Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,NA,coral slime,Protozoa,Mycetozoa,,,Ceratiomyxomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,Ceratiomyxa,fruticulosa,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #2,NA,2017-05-23,Andrew Simon,iNat:iNat:6413749,NA,56252,PRO,accepted,56252,Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa
Ceratiomyxa porioides,(Alb. & Schwein.) J.Schröt.,NA,coral slime,Protozoa,Mycetozoa,,,Ceratiomyxomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,Ceratiomyxa,fruticulosa,NA,NA,NA,,,NA,new 2017,observed,,,,,NA,2017-05-23,Andrew Simon,iNat:iNat:6413749,NA,557517,PRO,unaccepted,56252,Ceratiomyxa fruticulosa,Ceratiomyxa porioides,Ceratiomyxa fruticulosa
