lichen.genera,life.habit,reference.taxa,in.cephalodia,photobiont.domain,photobiont.kingdom,photobiont.phylum,photobiont.class,photobiont.order,photobionts,reference,note
Bryoria,lichenized,Bryoria capillaris,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria fremontii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria furcellata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria glabra,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria implexa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria lanestris,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria nadvornikiana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria nitidula,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria simplicior,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria smithii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria subcana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoria,lichenized,Bryoria tenuis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Lindgren et al. (2014),
Bryoscyphus,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Buellia,lichenized,Buellia frigida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia A 02,Wagner et al. (2020). Antarctic Dry Valleys.,
Buellia,lichenized,Buellia frigida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Buellia,lichenized,Buellia frigida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. ‘D11’,de los Ríos et al. (2005). Continental Antarctic.,
Buellia,lichenized,Buellia papillata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,Engelen et al. (2016). Maritime Antarctic.,
Buellia,lichenized,Buellia spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris bilobata,"Aoki et al. (1998). Antarctica. id: LM, culture.",
Buellia,lichenized,Buellia stellulata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia higginsiae,Watanabe et al. (1997). Maritime lichens. id: LM,
Buellia,lichenized,Buellia zoharyi,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia ‘arnoldoi’,Molins et al. (2020),
Buellia,lichenized,Buellia zoharyi,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia asymmetrica,Helms et al. (2001); Molins et al. (2020).,
Buellia,lichenized,Buellia zoharyi,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia cretacea,Molins et al. (2020),
Bunodophoron,lichenized,,,,,,,,,,
Calicium,lichenized,,,,,,,,,,
Caloplaca,lichenized,Caloplaca aractina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia solaris,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca aurantia,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia crenulata,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca cf. citrina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trentepohlia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Caloplaca,lichenized,Caloplaca crenulatella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia incrustata,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca erythrocarpia,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gigantea,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca fernandeziana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola,Vargas Castillo & Beck (2012),
Caloplaca,lichenized,Caloplaca johnstonii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trentepohlia sp.,Engelen et al. (2016). Maritime Antarctic.,
Caloplaca,lichenized,Caloplaca kobeana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia higginsiae,Watanabe et al. (1997). Maritime lichens. id: LM,
Caloplaca,lichenized,Caloplaca lewis-smithii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trentepohlia sp.,Engelen et al. (2016). Maritime Antarctic.,
Caloplaca,lichenized,Caloplaca orthoclada,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola,Vargas Castillo & Beck (2012),
Caloplaca,lichenized,Caloplaca orthoclada,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia decolorans,Vargas Castillo & Beck (2012),
Caloplaca,lichenized,Caloplaca orthoclada,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gelatinosa,Vargas Castillo & Beck (2012),
Caloplaca,lichenized,Caloplaca sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus lobatus,Watanabe et al. (1997). Maritime lichens. id: LM.,
Caloplaca,lichenized,Caloplaca sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trentepohlia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Caloplaca,lichenized,Caloplaca spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis symbiontica,Watanabe et al. (1997). Maritime lichens. id: LM.,
Caloplaca,lichenized,Caloplaca spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gelatinosa,Watanabe et al. (1997). Maritime lichens. id: LM,
Caloplaca,lichenized,Caloplaca spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia showmanii,"Watanabe et al. (1997). Maritime lichens. id: LM, culture.",
Caloplaca,lichenized,Caloplaca spp.,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Pseudendoclonium arthopyreniae,"Watanabe et al. (1997). Maritime lichens. According to Thüs et al. (2011), maritime specimens of Caloplaca etc. may overgrow Verrucariaceae containing Dilabifilum (Pseudendoclonium). id: LM, culture.",
Caloplaca,lichenized,Caloplaca squamulosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia incrustata,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca sublobata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trentepohlia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Caloplaca,lichenized,Caloplaca teicholyta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia asymmetrica,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca tubelliana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Near Trebouxia vagua,Voytsekhovich & Beck (2016),
Caloplaca,lichenized,Caloplaca xerica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia crenulata,Voytsekhovich & Beck (2016),
Calvitimela,lichenized,,,,,,,,,,
Candelaria,lichenized,Candelaria concolor,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Beck et al. (1998),
Candelariella,lichenized,Candelariella flava,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,Engelen et al. (2016). Maritime Antarctic.,
Candelariella,lichenized,Candelariella medians,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia crenulata,Voytsekhovich & Beck (2016),
Candelariella,lichenized,Candelariella medians,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia decolorans,Voytsekhovich & Beck (2016),
Candelariella,lichenized,Candelariella medians,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gigantea,Voytsekhovich & Beck (2016),
Candelariella,lichenized,Candelariella sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Beck et al. (1998),
Candelariella,lichenized,Candelariella vitellina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Voytsekhovich & Beck (2016),
Candelariella,lichenized,Candelariella vitellina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia suecica,Beck (2002),
Candelariella,lichenized,Candelariella vitellina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia vagua,Voytsekhovich & Beck (2016),
Candelariella,lichenized,Candelariella vittelina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia solaris,Voytsekhovich & Beck (2016),
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia A 02,Wagner et al. (2020). Antarctic Dry Valleys.,
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Ruprecht et al. (2012),
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Beck (2002),
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. ‘URa1’,Ruprecht et al. (2012),
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. ‘URa2’,Ruprecht et al. (2012),
Carbonea,lichenized,Carbonea vorticosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. ‘URa3’,Ruprecht et al. (2012),
Carbonicola,lichenized,,,,,,,,,,
Catapyrenium,lichenized,Catapyrenium cinereum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Catapyrenium,lichenized,Catapyrenium daedaleum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Catapyrenium,lichenized,Catapyrenium rufescens,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Tschermak-Woess (1988a),
Catillaria,lichenized,Catillaria chalybeia,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris sp.,Dal Grande et al. (2014b),
Catinaria,lichenized,,,,,,,,,,
Catolechia,lichenized,Catolechia wahlenbergii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris bilobata,Darienko et al. (2016),
Cavernularia,lichenized,,,,,,,,,,
Cetraria,lichenized,Cetraria aculeata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii clade ‘T. vulpinae’’,Fernández-Mendoza et al. (2011); Onuţ-Brännström et al. (2018).,
Cetraria,lichenized,Cetraria aculeata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex subclades 1 and 2,Onuţ-Brännström et al. (2018),
Cetraria,lichenized,Cetraria aculeata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Cetraria,lichenized,Cetraria aculeata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,Lutsak et al. (2016),
Cetraria,lichenized,Cetraria ericetorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Cetraria,lichenized,Cetraria islandica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex subclades 1 and 2,Onuţ-Brännström et al. (2018),
Cetraria,lichenized,Cetraria islandica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Cetraria,lichenized,Cetraria muricata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Cetraria,lichenized,Cetraria sepincola,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Cetraria,lichenized,Cetraria spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/Trebouxia letharii/Trebouxia jamesii group (Clade S),Leavitt et al. (2015),
Cetrariella,lichenized,,,,,,,,,,
Cetrelia,lichenized,,,,,,,,,,
Chaenotheca,lichenized,Chaenotheca brunneola (Coniocybomycetes),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis clade 2,Dal Grande et al. (2014b). Dictyochloropsis. clade 2 = Symbiochloris; Škaloud et al. (2016).,
Chaenotheca,lichenized,Chaenotheca brunneola (Coniocybomycetes),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Symbiochloris sp.,Škaloud et al. (2016). All known photobionts previously included in Dictyochloropsis s. lat.,
Chaenotheca,lichenized,Chaenotheca phaeocephala,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola,Tibell & Beck (2002),
Chaenotheca,lichenized,Chaenotheca sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Tritostichococcus coniocybes,Pröschold & Darienko (2020),
Chaenotheca,lichenized,Chaenotheca subroscida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Tibell & Beck (2002),
Chaenothecopsis,lichenized,Chaenothecopsis consociata (Mycocaliciaceae),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis clade 2,Dal Grande et al. (2014b). Dictyochloropsis. clade 2 = Symbiochloris; Škaloud et al. (2016).,
Cheiromycina,lichenized,,,,,,,,,,
Chrismofulvea,lichenized,,,,,,,,,,
Chrysothrix,lichenized,Chrysothrix candelaris,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia aff. solaris,Ertz et al. (2018),
Circinaria,lichenized,Circinaria contorta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia asymmetrica,Voytsekhovich & Beck (2016),
Circinaria,lichenized,Circinaria contorta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia incrustata,Voytsekhovich & Beck (2016),
Circinaria,lichenized,Circinaria contorta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia solaris,Voytsekhovich & Beck (2016),
Circinaria,lichenized,Circinaria contorta,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia vagua,Voytsekhovich & Beck (2016),
Circinaria,lichenized,Circinaria spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia asymmetrica,Molins et al. (2018),
