scientificName,genus,specificEpithet,subspecies,variety
Arthonia dispersa,Arthonia,dispersa,,
Arthonia dispuncta,Arthonia,dispuncta,,
Arthonia edgewoodensis,Arthonia,edgewoodensis,,
Arthonia emersa,Arthonia,emersa,,
Arthonia excipienda,Arthonia,excipienda,,
Arthonia glebosa,Arthonia,glebosa,,
Arthonia helvola,Arthonia,helvola,,
Arthonia ilicina,Arthonia,ilicina,,
Arthonia lapidicola,Arthonia,lapidicola,,
Arthonia lethariicola,Arthonia,lethariicola,,
Arthonia leucopellaea,Arthonia,leucopellaea,,
Arthonia lignariella,Arthonia,lignariella,,
Arthonia ligniariella,Arthonia,ligniariella,,
Arthonia macounii,Arthonia,macounii,,
Arthonia muscigena,Arthonia,muscigena,,
Arthonia norvegica,Arthonia,norvegica,,
Arthonia patellulata,Arthonia,patellulata,,
Arthonia phaeobaea,Arthonia,phaeobaea,,
Arthonia piceicola,Arthonia,piceicola,,
Arthonia populicola,Arthonia,populicola,,
Arthonia radiata,Arthonia,radiata,,
Arthonia ruana,Arthonia,ruana,,
Arthonia spectabilis,Arthonia,spectabilis,,
Arthonia stellaris,Arthonia,stellaris,,
Arthonia vinosa,Arthonia,vinosa,,
Arthonia vivida,Arthonia,vivida,,
Arthonia xerophila,Arthonia,xerophila,,
Arthophacopsis parmeliarum,Arthophacopsis,parmeliarum,,
Arthopyrenia analepta,Arthopyrenia,analepta,,
Arthopyrenia antecellens,Arthopyrenia,antecellens,,
Arthopyrenia biformis,Arthopyrenia,biformis,,
Arthopyrenia cerasi,Arthopyrenia,cerasi,,
Arthopyrenia epidermidis,Arthopyrenia,epidermidis,,
Arthopyrenia halodytes,Arthopyrenia,halodytes,,
Arthopyrenia padi,Arthopyrenia,padi,,
Arthopyrenia plumbaria,Arthopyrenia,plumbaria,,
Arthopyrenia punctiformis,Arthopyrenia,punctiformis,,
Arthornia muscigena,Arthornia,muscigena,,
Arthothelium ilicina,Arthothelium,ilicina,,
Arthothelium ilicinum,Arthothelium,ilicinum,,
Arthothelium norvegicum,Arthothelium,norvegicum,,
Arthrorhaphis alpina,Arthrorhaphis,alpina,,
Arthrorhaphis citrinella,Arthrorhaphis,citrinella,,
Asahinea scholanderi,Asahinea,scholanderi,,
Aspicilia anseris,Aspicilia,anseris,,
Aspicilia aquatica,Aspicilia,aquatica,,
Aspicilia aspera,Aspicilia,aspera,,
Aspicilia caesiocinerea,Aspicilia,caesiocinerea,,
Aspicilia caesiopruinosa,Aspicilia,caesiopruinosa,,
Aspicilia calcarea,Aspicilia,calcarea,,
Aspicilia candida,Aspicilia,candida,,
Aspicilia cinerea,Aspicilia,cinerea,,
Aspicilia contorta,Aspicilia,contorta,,
Aspicilia disserpens,Aspicilia,disserpens,,
Aspicilia elmorei,Aspicilia,elmorei,,
Aspicilia filiformis,Aspicilia,filiformis,,
Aspicilia fimbriata,Aspicilia,fimbriata,,
Aspicilia gibbosa,Aspicilia,gibbosa,,
Aspicilia gibbosula,Aspicilia,gibbosula,,
Aspicilia hispida,Aspicilia,hispida,,
Aspicilia karelica,Aspicilia,karelica,,
Aspicilia laxula,Aspicilia,laxula,,
Aspicilia leprosescens,Aspicilia,leprosescens,,
Aspicilia mansourii,Aspicilia,mansourii,,
Aspicilia mastrucata,Aspicilia,mastrucata,,
Aspicilia melanaspis,Aspicilia,melanaspis,,
Aspicilia mutabilis,Aspicilia,mutabilis,,
Aspicilia reptans,Aspicilia,reptans,,
Aspicilia ryrkaipiae,Aspicilia,ryrkaipiae,,
Aspicilia subplicigera,Aspicilia,subplicigera,,
Aspicilia supertegens,Aspicilia,supertegens,,
Aspicilia verrucigera,Aspicilia,verrucigera,,
Aspicilia verrucosa,Aspicilia,verrucosa,,
Aspilidea myrinii,Aspilidea,myrinii,,
Athallia holocarpa,Athallia,holocarpa,,
Athallia vitellinula,Athallia,vitellinula,,
Bacidia absistens,Bacidia,absistens,,
Bacidia alaskensis,Bacidia,alaskensis,,
Bacidia arceutina,Bacidia,arceutina,,
Bacidia arnoldiana,Bacidia,arnoldiana,,
Bacidia atrogrisea,Bacidia,atrogrisea,,
Bacidia auerswaldii,Bacidia,auerswaldii,,
Bacidia bagliettoana,Bacidia,bagliettoana,,
Bacidia beckhausii,Bacidia,beckhausii,,
Bacidia chlorococca,Bacidia,chlorococca,,
Bacidia circumspecta,Bacidia,circumspecta,,
Bacidia hemipolia,Bacidia,hemipolia,,
Bacidia heterochroa,Bacidia,heterochroa,,
Bacidia heterospora,Bacidia,heterospora,,
Bacidia idahoensis,Bacidia,idahoensis,,
Bacidia laurocerasi,Bacidia,laurocerasi,,
Bacidia laurocerasi subsp. idahoensis,Bacidia,laurocerasi,idahoensis,
Bacidia purpurea,Bacidia,purpurea,,
Bacidia rosellizans,Bacidia,rosellizans,,
Bacidia rubella,Bacidia,rubella,,
Bacidia salmonea,Bacidia,salmonea,,
Bacidia scopulicola,Bacidia,scopulicola,,
Bacidia sphaeroides,Bacidia,sphaeroides,,
Bacidia subincompta,Bacidia,subincompta,,
Bacidia vermifera,Bacidia,vermifera,,
Bacidina arnoldiana,Bacidina,arnoldiana,,
Bacidina chloroticula,Bacidina,chloroticula,,
Bacidina contecta,Bacidina,contecta,,
Bacidina delicata,Bacidina,delicata,,
Bacidina inundata,Bacidina,inundata,,
Bacidina ramea,Bacidina,ramea,,
Bactrospora cascadensis,Bactrospora,cascadensis,,
Bactrospora dryina,Bactrospora,dryina,,
Bactrospora patellarioides,Bactrospora,patellarioides,,
Bactrospora spiralis,Bactrospora,spiralis,,
Baeomyces carneus,Baeomyces,carneus,,
Baeomyces placophyllus,Baeomyces,placophyllus,,
Baeomyces rufus,Baeomyces,rufus,,
Bellemerea alpina,Bellemerea,alpina,,
Bellemerea cinereorufescens,Bellemerea,cinereorufescens,,
Bellemerea diamarta,Bellemerea,diamarta,,
Bellemerea subsorediza,Bellemerea,subsorediza,,
Bellemerella ritae,Bellemerella,ritae,,
Belonia nidarosensis,Belonia,nidarosensis,,
Belonia russula,Belonia,russula,,
Biatora aureolepra,Biatora,aureolepra,,
Biatora chrysantha,Biatora,chrysantha,,
Biatora chrysanthoides,Biatora,chrysanthoides,,
Biatora cuprea,Biatora,cuprea,,
Biatora efflorescens,Biatora,efflorescens,,
Biatora fallax,Biatora,fallax,,
Biatora flavopunctata,Biatora,flavopunctata,,
Biatora globulosa,Biatora,globulosa,,
Biatora hypophaea,Biatora,hypophaea,,
Biatora ligni-mollis,Biatora,ligni-mollis,,
Biatora meiocarpa,Biatora,meiocarpa,,
Biatora meiocarpa var. tacomensis,Biatora,meiocarpa,,tacomensis
Biatora nobilis,Biatora,nobilis,,
Biatora pallens,Biatora,pallens,,
Biatora rufidula,Biatora,rufidula,,
Biatora sphaeroides,Biatora,sphaeroides,,
Biatora subduplex,Biatora,subduplex,,
Biatora toensbergii,Biatora,toensbergii,,
Biatora turgidula,Biatora,turgidula,,
Biatora vacciniicola,Biatora,vacciniicola,,
Biatora vernalis,Biatora,vernalis,,
Biatorella hemisphaerica,Biatorella,hemisphaerica,,
Biatorella simplex,Biatorella,simplex,,
Biatoridium delitescens,Biatoridium,delitescens,,
Biatoridium ochrophorum,Biatoridium,ochrophorum,,
Biatoropsis usnearum,Biatoropsis,usnearum,,
Bilimbia accedens,Bilimbia,accedens,,
Bilimbia sabuletorum,Bilimbia,sabuletorum,,
Biotora globulosa,Biotora,globulosa,,
Blastenia ammiospila,Blastenia,ammiospila,,
Blastenia atrosanguinea,Blastenia,atrosanguinea,,
Blastenia ferruginea,Blastenia,ferruginea,,
Blennothallia fecunda,Blennothallia,fecunda,,
Botrydina vulgaris,Botrydina,vulgaris,,
Botryolepraria lesdainii,Botryolepraria,lesdainii,,
Brigantiaea fuscolutea,Brigantiaea,fuscolutea,,
Brigantiaea praetermissa,Brigantiaea,praetermissa,,
Brigantiaea purpurata,Brigantiaea,purpurata,,
Brodoa oroarctica,Brodoa,oroarctica,,
Brodoa oroartica,Brodoa,oroartica,,
Bryobilimbia ahlesii,Bryobilimbia,ahlesii,,
Bryobilimbia hypnorum,Bryobilimbia,hypnorum,,
Bryocaulon divergens,Bryocaulon,divergens,,
Bryocaulon pseudosatoana,Bryocaulon,pseudosatoana,,
Bryocaulon pseudosatoanum,Bryocaulon,pseudosatoanum,,
Bryonia furcellata,Bryonia,furcellata,,
Bryonora castanea,Bryonora,castanea,,
Bryonora pruinosa,Bryonora,pruinosa,,
Bryonora septentrionalis,Bryonora,septentrionalis,,
Bryoplaca jungermanniae,Bryoplaca,jungermanniae,,
Bryoplaca sinapisperma,Bryoplaca,sinapisperma,,
Bryoplaca tetraspora,Bryoplaca,tetraspora,,
Bryoria abbreviata,Bryoria,abbreviata,,
Bryoria americana,Bryoria,americana,,
Bryoria bicolor,Bryoria,bicolor,,
Bryoria capillaris,Bryoria,capillaris,,
Bryoria cervinula,Bryoria,cervinula,,
Bryoria chalybeiformis,Bryoria,chalybeiformis,,
Bryoria fremonti,Bryoria,fremonti,,
Bryoria fremontii,Bryoria,fremontii,,
Bryoria friabilis,Bryoria,friabilis,,
Bryoria fuscescens,Bryoria,fuscescens,,
Bryoria fuscescens subsp. sarmentosa,Bryoria,fuscescens,sarmentosa,
Bryoria glabra,Bryoria,glabra,,
Bryoria implexa,Bryoria,implexa,,
Bryoria kockiana,Bryoria,kockiana,,
Bryoria lanestris,Bryoria,lanestris,,
Bryoria maculosa,Bryoria,maculosa,,
Bryoria nadvornikiana,Bryoria,nadvornikiana,,
Bryoria nitidula,Bryoria,nitidula,,
Bryoria olivacea,Bryoria,olivacea,,
Bryoria pikei,Bryoria,pikei,,
Bryoria pseudofuscescens,Bryoria,pseudofuscescens,,
Bryoria simplicior,Bryoria,simplicior,,
Bryoria subpikei,Bryoria,subpikei,,
Bryoria tenuis,Bryoria,tenuis,,
Bryoria tortuosa,Bryoria,tortuosa,,
Bryoria trichodes,Bryoria,trichodes,,
Bryoria trichodes subsp. americana,Bryoria,trichodes,americana,americana
Bryoria trichodes subsp. trichodes,Bryoria,trichodes,trichodes,
Bryoria trichodes var. turbinata,Bryoria,trichodes,,turbinata
Bryoscyphus lichenicola,Bryoscyphus,lichenicola,,
Buellia alboatra,Buellia,alboatra,,
Buellia arborea,Buellia,arborea,,
Buellia badia,Buellia,badia,,
Buellia borealis,Buellia,borealis,,
Buellia caribooensis,Buellia,caribooensis,,
Buellia chloroleuca,Buellia,chloroleuca,,
Buellia chlorophaea,Buellia,chlorophaea,,
Buellia disciformis,Buellia,disciformis,,
Buellia elegans,Buellia,elegans,,
Buellia epigaea,Buellia,epigaea,,
Buellia epipolia,Buellia,epipolia,,
Buellia erubescens,Buellia,erubescens,,
Buellia fecunda,Buellia,fecunda,,
Buellia fosteri,Buellia,fosteri,,
Buellia geophila,Buellia,geophila,,
Buellia griseovirens,Buellia,griseovirens,,
Buellia halonia,Buellia,halonia,,
Buellia muriformis,Buellia,muriformis,,
Buellia papillata,Buellia,papillata,,
Buellia penichra,Buellia,penichra,,
Buellia pulverulenta,Buellia,pulverulenta,,
Buellia punctata,Buellia,punctata,,
Buellia schaereri,Buellia,schaereri,,
Buellia stellulata,Buellia,stellulata,,
Buellia stillingiana,Buellia,stillingiana,,
Buellia triphragmioides,Buellia,triphragmioides,,
Buellia triseptata,Buellia,triseptata,,
Buellia zahlbruckneri,Buellia,zahlbruckneri,,
Bunodophoron melanocarpum,Bunodophoron,melanocarpum,,
Bunodophoron melanocarpus,Bunodophoron,melanocarpus,,
Calcium viride,Calcium,viride,,
Calicium abietinum,Calicium,abietinum,,
Calicium adaeqatum,Calicium,adaeqatum,,
Calicium adaequatum,Calicium,adaequatum,,
Calicium adspersum,Calicium,adspersum,,
Calicium glaucellum,Calicium,glaucellum,,
Calicium lenticulare,Calicium,lenticulare,,
Calicium notarisii,Calicium,notarisii,,
Calicium parvum,Calicium,parvum,,
Calicium populneum,Calicium,populneum,,
Calicium salicinum,Calicium,salicinum,,
Calicium subquercinum,Calicium,subquercinum,,
Calicium thujae,Calicium,thujae,,
Calicium trabinellum,Calicium,trabinellum,,
Calicium trachylioides,Calicium,trachylioides,,
Calicium viride,Calicium,viride,,
Calicum lenticulare,Calicum,lenticulare,,
Calicum viride,Calicum,viride,,
Caloplaca ahtii,Caloplaca,ahtii,,
Caloplaca ammiospila,Caloplaca,ammiospila,,
Caloplaca amniospila,Caloplaca,amniospila,,
Caloplaca approximata,Caloplaca,approximata,,
Caloplaca arenaria,Caloplaca,arenaria,,
Caloplaca astrosanguinea,Caloplaca,astrosanguinea,,
Caloplaca atroalba,Caloplaca,atroalba,,
Caloplaca atroflava,Caloplaca,atroflava,,
Caloplaca atrosanguinea,Caloplaca,atrosanguinea,,
Caloplaca aurantiaca,Caloplaca,aurantiaca,,
Caloplaca biatorina,Caloplaca,biatorina,,
Caloplaca bolacina,Caloplaca,bolacina,,
Caloplaca byrsonimae,Caloplaca,byrsonimae,,
Caloplaca californica,Caloplaca,californica,,
Caloplaca cerina,Caloplaca,cerina,,
Caloplaca chlorina,Caloplaca,chlorina,,
Caloplaca chrysodeta,Caloplaca,chrysodeta,,
Caloplaca chrysophthalma,Caloplaca,chrysophthalma,,
Caloplaca citrina,Caloplaca,citrina,,
Caloplaca decipiens,Caloplaca,decipiens,,
Caloplaca demissa,Caloplaca,demissa,,
Caloplaca diphyodes,Caloplaca,diphyodes,,
Caloplaca epithallina,Caloplaca,epithallina,,
Caloplaca ferruginea,Caloplaca,ferruginea,,
Caloplaca flavogranulosa,Caloplaca,flavogranulosa,,
Caloplaca flavorubescens,Caloplaca,flavorubescens,,
Caloplaca flavovirescens,Caloplaca,flavovirescens,,
Caloplaca holocarpa,Caloplaca,holocarpa,,
Caloplaca holocarpa group,Caloplaca,holocarpa,,
Caloplaca jungermanniae,Caloplaca,jungermanniae,,
Caloplaca kamczatica,Caloplaca,kamczatica,,
Caloplaca kamtczatica,Caloplaca,kamtczatica,,
Caloplaca lactea,Caloplaca,lactea,,
Caloplaca lignicola,Caloplaca,lignicola,,
Caloplaca litoricola,Caloplaca,litoricola,,
Caloplaca lobulata,Caloplaca,lobulata,,
Caloplaca luteoalba,Caloplaca,luteoalba,,
Caloplaca luteominia,Caloplaca,luteominia,,
Caloplaca luteominia subsp. luteominia,Caloplaca,luteominia,luteominia,
Caloplaca luteominia var. luteominia,Caloplaca,luteominia,,luteominia
Caloplaca magni-filii,Caloplaca,magni-filii,,
Caloplaca marina,Caloplaca,marina,,
Caloplaca marina var. flavogranulata,Caloplaca,marina,,flavogranulata
Caloplaca microphyllina,Caloplaca,microphyllina,,
Caloplaca microthallina,Caloplaca,microthallina,,
Caloplaca obesimarginata,Caloplaca,obesimarginata,,
Caloplaca obliterans,Caloplaca,obliterans,,
Caloplaca obscurella,Caloplaca,obscurella,,
Caloplaca oregona,Caloplaca,oregona,,
Caloplaca pyracea,Caloplaca,pyracea,,
Caloplaca rosei,Caloplaca,rosei,,
Caloplaca rubroaurantiaca,Caloplaca,rubroaurantiaca,,
Caloplaca saxicola,Caloplaca,saxicola,,
Caloplaca sessilis,Caloplaca,sessilis,,
Caloplaca sideritis,Caloplaca,sideritis,,
Caloplaca sinapisperma,Caloplaca,sinapisperma,,
Caloplaca sorocarpa,Caloplaca,sorocarpa,,
Caloplaca stellata,Caloplaca,stellata,,
Caloplaca stillicidiorum,Caloplaca,stillicidiorum,,
Caloplaca subsoluta,Caloplaca,subsoluta,,
Caloplaca tatshenshiniensis,Caloplaca,tatshenshiniensis,,
Caloplaca tirolensis,Caloplaca,tirolensis,,
Caloplaca tiroliensis,Caloplaca,tiroliensis,,
Caloplaca tominii,Caloplaca,tominii,,
Caloplaca trachyphylla,Caloplaca,trachyphylla,,
Caloplaca trachyphyllum,Caloplaca,trachyphyllum,,
Caloplaca variabilis,Caloplaca,variabilis,,
Caloplaca verrucosa,Caloplaca,verrucosa,,
Caloplaca verruculifera,Caloplaca,verruculifera,,
Caloplaca vicaria,Caloplaca,vicaria,,
Caloplaca vitellinula,Caloplaca,vitellinula,,
Caloplaca xanthostigmoidea,Caloplaca,xanthostigmoidea,,
Caloplaca xanthostrignoidea,Caloplaca,xanthostrignoidea,,
Calvitimela aglaea,Calvitimela,aglaea,,
Calvitimela armeniaca,Calvitimela,armeniaca,,
Candelaria concolor,Candelaria,concolor,,
Candelaria concolor var. effusa,Candelaria,concolor,,effusa
Candelaria pacifica,Candelaria,pacifica,,
Candelariella aggregata,Candelariella,aggregata,,
Candelariella antennaria,Candelariella,antennaria,,
Candelariella athallina,Candelariella,athallina,,
Candelariella aurella,Candelariella,aurella,,
Candelariella canadensis,Candelariella,canadensis,,
Candelariella efflorescens,Candelariella,efflorescens,,
Candelariella efllorescens,Candelariella,efllorescens,,
Candelariella lutella,Candelariella,lutella,,
Candelariella placodizans,Candelariella,placodizans,,
Candelariella rosulans,Candelariella,rosulans,,
Candelariella spraguei,Candelariella,spraguei,,
Candelariella terrigena,Candelariella,terrigena,,
Candelariella vitellina,Candelariella,vitellina,,
Candelariella xanthostigma,Candelariella,xanthostigma,,
Carbonea atronivea,Carbonea,atronivea,,
Carbonea vitellinaria,Carbonea,vitellinaria,,
Carbonea vorticosa,Carbonea,vorticosa,,
Carbonicola anthracophila,Carbonicola,anthracophila,,
Carbonicola myrmecina,Carbonicola,myrmecina,,
Catapyrenium cinereum,Catapyrenium,cinereum,,
Catapyrenium daedaleum,Catapyrenium,daedaleum,,
Catapyrenium lachneum,Catapyrenium,lachneum,,
Catapyrenium lacinulatum,Catapyrenium,lacinulatum,,
Catapyrenium squamulosum,Catapyrenium,squamulosum,,
Catillaria atropurpurea,Catillaria,atropurpurea,,
Catillaria biformigera,Catillaria,biformigera,,
Catillaria chalybeia,Catillaria,chalybeia,,
Catillaria columbiana,Catillaria,columbiana,,
Catillaria erysiboides,Catillaria,erysiboides,,
Catillaria globulosa,Catillaria,globulosa,,
Catillaria graniformis,Catillaria,graniformis,,
Catillaria griffithii,Catillaria,griffithii,,
Catillaria macounii,Catillaria,macounii,,
Catillaria nigroclavata,Catillaria,nigroclavata,,
Catinaria atropurpurea,Catinaria,atropurpurea,,
Catolechia wahlenbergii,Catolechia,wahlenbergii,,
Cavernularia hultenii,Cavernularia,hultenii,,
Cavernularia lophrea,Cavernularia,lophrea,,
Cavernularia lophyrea,Cavernularia,lophyrea,,
Cetraria aculeata,Cetraria,aculeata,,
Cetraria aculeatum?,Cetraria,aculeatum?,,
Cetraria agnata,Cetraria,agnata,,
Cetraria arborialis,Cetraria,arborialis,,
Cetraria arenaria,Cetraria,arenaria,,
Cetraria californica,Cetraria,californica,,
Cetraria canadensis,Cetraria,canadensis,,
Cetraria chlorophylla,Cetraria,chlorophylla,,
Cetraria ciliaris var. halei,Cetraria,ciliaris,,halei
Cetraria commixta,Cetraria,commixta,,
Cetraria cucullata,Cetraria,cucullata,,
Cetraria delisei,Cetraria,delisei,,
Cetraria ericetorum,Cetraria,ericetorum,,
Cetraria ericetorum subsp. cristatum,Cetraria,ericetorum,cristatum,
Cetraria ericetorum subsp. ericetorum,Cetraria,ericetorum,ericetorum,
Cetraria ericetorum subsp. reticulata,Cetraria,ericetorum,reticulata,
Cetraria ericetorum subsp. reticulatum,Cetraria,ericetorum,reticulatum,
Cetraria ericetorum var. reticulata,Cetraria,ericetorum,,reticulata
Cetraria glauca,Cetraria,glauca,,
Cetraria glauca var. stenophylla,Cetraria,glauca,,stenophylla
Cetraria hepatizon,Cetraria,hepatizon,,
Cetraria herrei,Cetraria,herrei,,
Cetraria idahoensis,Cetraria,idahoensis,,
Cetraria inermis,Cetraria,inermis,,
Cetraria islandica,Cetraria,islandica,,
Cetraria islandica subsp. cetrariformis,Cetraria,islandica,cetrariformis,
Cetraria islandica subsp. crispiformis,Cetraria,islandica,crispiformis,
Cetraria islandica subsp. islandica,Cetraria,islandica,islandica,
Cetraria islandica var. crispiformes,Cetraria,islandica,,crispiformes
Cetraria islandica var. islandica,Cetraria,islandica,,islandica
Cetraria islandica var. tenuifolia,Cetraria,islandica,,tenuifolia
Cetraria islendica,Cetraria,islendica,,
Cetraria lacunosa,Cetraria,lacunosa,,
Cetraria laevigata,Cetraria,laevigata,,
Cetraria merrillii,Cetraria,merrillii,,
Cetraria muricata,Cetraria,muricata,,
Cetraria nigricans,Cetraria,nigricans,,
Cetraria nivalis,Cetraria,nivalis,,
Cetraria orbata,Cetraria,orbata,,
Cetraria pallidula,Cetraria,pallidula,,
Cetraria pinastri,Cetraria,pinastri,,
Cetraria platyphylla,Cetraria,platyphylla,,
Cetraria richardsonii,Cetraria,richardsonii,,
Cetraria sepincola,Cetraria,sepincola,,
Cetraria sepincola var. chlorophylla,Cetraria,sepincola,,chlorophylla
Cetraria subalpina,Cetraria,subalpina,,
Cetraria tilesii,Cetraria,tilesii,,
Cetrariella commixta,Cetrariella,commixta,,
Cetrariella delisei,Cetrariella,delisei,,
Cetrelia cetrarioides,Cetrelia,cetrarioides,,
Cf Buellia notabilis,,Buellia,notabilis,
cf. Lecidea tessellata,Lecidea,tessellata,,
Chaenotheca areuginosa,Chaenotheca,areuginosa,,
Chaenotheca bevigata,Chaenotheca,bevigata,,
Chaenotheca brachypoda,Chaenotheca,brachypoda,,
Chaenotheca brunneola,Chaenotheca,brunneola,,
Chaenotheca chlorelis,Chaenotheca,chlorelis,,
Chaenotheca chlorella,Chaenotheca,chlorella,,
Chaenotheca chrysocephala,Chaenotheca,chrysocephala,,
Chaenotheca cinerea,Chaenotheca,cinerea,,
Chaenotheca cineris,Chaenotheca,cineris,,
Chaenotheca ferruginea,Chaenotheca,ferruginea,,
Chaenotheca furfuracea,Chaenotheca,furfuracea,,
Chaenotheca furfuracia,Chaenotheca,furfuracia,,
Chaenotheca gracilenta,Chaenotheca,gracilenta,,
Chaenotheca gracillima,Chaenotheca,gracillima,,
Chaenotheca hispidula,Chaenotheca,hispidula,,
Chaenotheca hygrophila,Chaenotheca,hygrophila,,
Chaenotheca laevigata,Chaenotheca,laevigata,,
Chaenotheca nitidula,Chaenotheca,nitidula,,
Chaenotheca phaeocephala,Chaenotheca,phaeocephala,,
Chaenotheca sphaerocephala,Chaenotheca,sphaerocephala,,
Chaenotheca stemonea,Chaenotheca,stemonea,,
Chaenotheca subroscida,Chaenotheca,subroscida,,
Chaenotheca sulphurea,Chaenotheca,sulphurea,,
Chaenotheca tasmanica,Chaenotheca,tasmanica,,
Chaenotheca trichialis,Chaenotheca,trichialis,,
Chaenotheca trichoides,Chaenotheca,trichoides,,
Chaenotheca xyloxena,Chaenotheca,xyloxena,,
Chaenothecops sphaerica,Chaenothecops,sphaerica,,
Chaenothecopsis aeruginosa,Chaenothecopsis,aeruginosa,,
Chaenothecopsis brachypoda,Chaenothecopsis,brachypoda,,
Chaenothecopsis consociata,Chaenothecopsis,consociata,,
Chaenothecopsis debilis,Chaenothecopsis,debilis,,
Chaenothecopsis epithalliina,Chaenothecopsis,epithalliina,,
Chaenothecopsis epithallina,Chaenothecopsis,epithallina,,
Chaenothecopsis haematopus,Chaenothecopsis,haematopus,,
Chaenothecopsis leprosula,Chaenothecopsis,leprosula,,
Chaenothecopsis nana,Chaenothecopsis,nana,,
