"report_group","classification_rank","classification_value"
"BIRDS","family","Vireonidae"
"LICHENS","family","Acarosporaceae"
"LICHENS","family","Arthoniaceae"
"LICHENS","family","Arthrorhaphidaceae"
"LICHENS","family","Baeomycetaceae"
"LICHENS","family","Caliciaceae"
"LICHENS","family","Candelariaceae"
"LICHENS","family","Cladoniaceae"
"LICHENS","family","Collemataceae"
"LICHENS","family","Coniocybaceae"
"LICHENS","family","Gomphillaceae"
"LICHENS","family","Graphidaceae"
"LICHENS","family","Hydnaceae"
"LICHENS","family","Hygrophoraceae"
"LICHENS","family","Hymeneliaceae"
"LICHENS","family","Icmadophilaceae"
"LICHENS","family","Koerberiaceae"
"LICHENS","family","Lecanoraceae"
"LICHENS","family","Lecideaceae"
"LICHENS","family","Lobariaceae"
"LICHENS","family","Lopadiaceae"
"LICHENS","family","Massalongiaceae"
"LICHENS","family","Megasporaceae"
"LICHENS","family","Microthyriaceae"
"LICHENS","family","Mycosphaerellaceae"
"LICHENS","family","Mytilinidiaceae"
"LICHENS","family","Nephromataceae"
"LICHENS","family","Ochrolechiaceae"
"LICHENS","family","Pannariaceae"
"LICHENS","family","Parmeliaceae"
"LICHENS","family","Peltigeraceae"
"LICHENS","family","Pertusariaceae"
"LICHENS","family","Phlyctidaceae"
"LICHENS","family","Physciaceae"
"LICHENS","family","Porinaceae"
"LICHENS","family","Ramalinaceae"
"LICHENS","family","Rhizocarpaceae"
"LICHENS","family","Schaereriaceae"
"LICHENS","family","Scoliciosporaceae"
"LICHENS","family","Sphaerophoraceae"
"LICHENS","family","Sphinctrinaceae"
"LICHENS","family","Stereocaulaceae"
"LICHENS","family","Teloschistaceae"
"LICHENS","family","Tephromelataceae"
"LICHENS","family","Trapeliaceae"
"LICHENS","family","Umbilicariaceae"
"LICHENS","family","Vahliellaceae"
"LICHENS","family","Verrucariaceae"
"MACROFUNGI","family","Agaricaceae"
"MACROFUNGI","family","Albatrellaceae"
"MACROFUNGI","family","Amanitaceae"
"MACROFUNGI","family","Amylocorticiaceae"
"MACROFUNGI","family","Amylostereaceae"
"MACROFUNGI","family","Anthracoideaceae"
"MACROFUNGI","family","Arthrobotryaceae"
"MACROFUNGI","family","Ascodesmidaceae"
"MACROFUNGI","family","Auriculariaceae"
"MACROFUNGI","family","Auriscalpiaceae"
"MACROFUNGI","family","Bankeraceae"
"MACROFUNGI","family","Bertiaceae"
"MACROFUNGI","family","Bolbitiaceae"
"MACROFUNGI","family","Boletaceae"
"MACROFUNGI","family","Boletopsidaceae"
"MACROFUNGI","family","Bondarzewiaceae"
"MACROFUNGI","family","Callistosporiaceae"
"MACROFUNGI","family","Caloscyphaceae"
"MACROFUNGI","family","Campanellaceae"
"MACROFUNGI","family","Cerrenaceae"
"MACROFUNGI","family","Chaetomiaceae"
"MACROFUNGI","family","Chionosphaeraceae"
"MACROFUNGI","family","Chlorociboriaceae"
"MACROFUNGI","family","Clavariaceae"
"MACROFUNGI","family","Clitocybaceae"
"MACROFUNGI","family","Colacogloeaceae"
"MACROFUNGI","family","Coleosporiaceae"
"MACROFUNGI","family","Coltriciaceae"
"MACROFUNGI","family","Coniophoraceae"
"MACROFUNGI","family","Coprinaceae"
"MACROFUNGI","family","Cordycipitaceae"
"MACROFUNGI","family","Cortinariaceae"
"MACROFUNGI","family","Crepidotaceae"
"MACROFUNGI","family","Cudoniaceae"
"MACROFUNGI","family","Cyphellaceae"
"MACROFUNGI","family","Dacrymycetaceae"
"MACROFUNGI","family","Dictyosporiaceae"
"MACROFUNGI","family","Didymosphaeriaceae"
"MACROFUNGI","family","Discinaceae"
"MACROFUNGI","family","Echinodontiaceae"
"MACROFUNGI","family","Elaphomycetaceae"
"MACROFUNGI","family","Entolomataceae"
"MACROFUNGI","family","Erysiphaceae"
"MACROFUNGI","family","Exobasidiaceae"
"MACROFUNGI","family","Fomitopsidaceae"
"MACROFUNGI","family","Geastraceae"
"MACROFUNGI","family","Gelatinodiscaceae"
"MACROFUNGI","family","Geoglossaceae"
"MACROFUNGI","family","Gloeophyllaceae"
"MACROFUNGI","family","Gomphaceae"
"MACROFUNGI","family","Gomphidiaceae"
"MACROFUNGI","family","Halosphaeriaceae"
"MACROFUNGI","family","Harpidiaceae"
"MACROFUNGI","family","Helminthosphaeriaceae"
"MACROFUNGI","family","Helotiaceae"
"MACROFUNGI","family","Helvellaceae"
"MACROFUNGI","family","Hericiaceae"
"MACROFUNGI","family","Hyalopsoraceae"
"MACROFUNGI","family","Hyaloriaceae"
"MACROFUNGI","family","Hydnaceae"
"MACROFUNGI","family","Hydnangiaceae"
"MACROFUNGI","family","Hygrophoraceae"
"MACROFUNGI","family","Hygrophoropsidaceae"
"MACROFUNGI","family","Hymenochaetaceae"
"MACROFUNGI","family","Hymenogastraceae"
"MACROFUNGI","family","Hypocreaceae"
"MACROFUNGI","family","Hypoxylaceae"
"MACROFUNGI","family","Inocybaceae"
"MACROFUNGI","family","Irpicaceae"
"MACROFUNGI","family","Lachnaceae"
"MACROFUNGI","family","Laetiporaceae"
"MACROFUNGI","family","Laricifomitaceae"
"MACROFUNGI","family","Lycoperdaceae"
"MACROFUNGI","family","Lyophyllaceae"
"MACROFUNGI","family","Macrocystidiaceae"
"MACROFUNGI","family","Marasmiaceae"
"MACROFUNGI","family","Melanoleucaceae"
"MACROFUNGI","family","Meruliaceae"
"MACROFUNGI","family","Milesinaceae"
"MACROFUNGI","family","Mitrulaceae"
"MACROFUNGI","family","Morchellaceae"
"MACROFUNGI","family","Mycenaceae"
"MACROFUNGI","family","Mythicomycetaceae"
"MACROFUNGI","family","Naemateliaceae"
"MACROFUNGI","family","Naohideaceae"
"MACROFUNGI","family","Nectriaceae"
"MACROFUNGI","family","Nidulariaceae"
"MACROFUNGI","family","Omphalinaceae"
"MACROFUNGI","family","Omphalotaceae"
"MACROFUNGI","family","Ophiocordycipitaceae"
"MACROFUNGI","family","Panaceae"
"MACROFUNGI","family","Paxillaceae"
"MACROFUNGI","family","Peniophoraceae"
"MACROFUNGI","family","Pezizaceae"
"MACROFUNGI","family","Pezizellaceae"
"MACROFUNGI","family","Phaeolaceae"
"MACROFUNGI","family","Phaeosphaeriaceae"
"MACROFUNGI","family","Phaeotremellaceae"
"MACROFUNGI","family","Phallaceae"
"MACROFUNGI","family","Phanerochaetaceae"
"MACROFUNGI","family","Phleogenaceae"
"MACROFUNGI","family","Phragmidiaceae"
"MACROFUNGI","family","Phycomycetaceae"
"MACROFUNGI","family","Phyllachoraceae"
"MACROFUNGI","family","Phyllotopsidaceae"
"MACROFUNGI","family","Physalacriaceae"
"MACROFUNGI","family","Pleurotaceae"
"MACROFUNGI","family","Pluteaceae"
"MACROFUNGI","family","Podoscyphaceae"
"MACROFUNGI","family","Polyozellaceae"
"MACROFUNGI","family","Polyporaceae"
"MACROFUNGI","family","Porotheleaceae"
"MACROFUNGI","family","Postiaceae"
"MACROFUNGI","family","Psathyrellaceae"
"MACROFUNGI","family","Pucciniaceae"
"MACROFUNGI","family","Pucciniastraceae"
"MACROFUNGI","family","Pycnoporellaceae"
"MACROFUNGI","family","Pyronemataceae"
"MACROFUNGI","family","Rhytismataceae"
"MACROFUNGI","family","Rickenellaceae"
"MACROFUNGI","family","Rigidoporaceae"
"MACROFUNGI","family","Russulaceae"
"MACROFUNGI","family","Sarcomyxaceae"
"MACROFUNGI","family","Sarcoscyphaceae"
"MACROFUNGI","family","Sarcosomataceae"
"MACROFUNGI","family","Schizophyllaceae"
"MACROFUNGI","family","Sclerodermataceae"
"MACROFUNGI","family","Sclerotiniaceae"
"MACROFUNGI","family","Sparassidaceae"
"MACROFUNGI","family","Sporormiaceae"
"MACROFUNGI","family","Squamanitaceae"
"MACROFUNGI","family","Steccherinaceae"
"MACROFUNGI","family","Stereaceae"
"MACROFUNGI","family","Stictidaceae"
"MACROFUNGI","family","Strophariaceae"
"MACROFUNGI","family","Suillaceae"
"MACROFUNGI","family","Tapinellaceae"
"MACROFUNGI","family","Tarzettaceae"
"MACROFUNGI","family","Thelephoraceae"
"MACROFUNGI","family","Tilachlidiaceae"
"MACROFUNGI","family","Tremellaceae"
"MACROFUNGI","family","Tremellodendropsidaceae"
"MACROFUNGI","family","Tricholomataceae"
"MACROFUNGI","family","Tricladiaceae"
"MACROFUNGI","family","Tubariaceae"
"MACROFUNGI","family","Tubulicrinaceae"
"MACROFUNGI","family","Tulasnellaceae"
"MACROFUNGI","family","Verrucosporaceae"
"MACROFUNGI","family","Vibrisseaceae"
"MACROFUNGI","family","Volvariellaceae"
"MACROFUNGI","family","Xanthopyreniaceae"
"MACROFUNGI","family","Xeromphalinaceae"
"MACROFUNGI","family","Xylariaceae"
"MACROFUNGI","family","Zythiaceae"
"MARINE ALGAE","phylum","Chlorophyta"
"MARINE ALGAE","phylum","Ochrophyta"
"MARINE ALGAE","phylum","Rhodophyta"
"MARINE ANIMALS","phylum","Annelida"
"MARINE ANIMALS","phylum","Arthropoda"
"MARINE ANIMALS","phylum","Brachiopoda"
"MARINE ANIMALS","phylum","Bryozoa"
"MARINE ANIMALS","phylum","Chaetognatha"
"MARINE ANIMALS","phylum","Chordata"
"MARINE ANIMALS","phylum","Cnidaria"
"MARINE ANIMALS","phylum","Ctenophora"
"MARINE ANIMALS","phylum","Echinodermata"
"MARINE ANIMALS","phylum","Entoprocta"
"MARINE ANIMALS","phylum","Mollusca"
"MARINE ANIMALS","phylum","Nemertea"
"MARINE ANIMALS","phylum","Nemertera"
"MARINE ANIMALS","phylum","Phoronida"
"MARINE ANIMALS","phylum","Platyhelminthes"
"MARINE ANIMALS","phylum","Porifera"
"MARINE ANIMALS","phylum","Rotifera"
"MARINE ANIMALS","phylum","Sipuncula"
"NON-VASCULAR PLANTS","family","Adelanthaceae"
"NON-VASCULAR PLANTS","family","Amblystegiaceae"
"NON-VASCULAR PLANTS","family","Amphidiaceae"
"NON-VASCULAR PLANTS","family","Anastrophyllaceae"
"NON-VASCULAR PLANTS","family","Andreaeaceae"
"NON-VASCULAR PLANTS","family","Aneuraceae"
"NON-VASCULAR PLANTS","family","Antheliaceae"
"NON-VASCULAR PLANTS","family","Anthocerotaceae"
"NON-VASCULAR PLANTS","family","Antitrichiaceae"
"NON-VASCULAR PLANTS","family","Aongstroemiaceae"
"NON-VASCULAR PLANTS","family","Aulacomniaceae"
"NON-VASCULAR PLANTS","family","Aytoniaceae"
"NON-VASCULAR PLANTS","family","Bartramiaceae"
"NON-VASCULAR PLANTS","family","Blasiaceae"
"NON-VASCULAR PLANTS","family","Blepharostomataceae"
"NON-VASCULAR PLANTS","family","Brachytheciaceae"
"NON-VASCULAR PLANTS","family","Bruchiaceae"
"NON-VASCULAR PLANTS","family","Bryaceae"
"NON-VASCULAR PLANTS","family","Buxbaumiaceae"
"NON-VASCULAR PLANTS","family","Calliergonaceae"
"NON-VASCULAR PLANTS","family","Calypogeiaceae"
"NON-VASCULAR PLANTS","family","Cephaloziaceae"
"NON-VASCULAR PLANTS","family","Cephaloziellaceae"
"NON-VASCULAR PLANTS","family","Climaciaceae"
"NON-VASCULAR PLANTS","family","Conocephalaceae"
"NON-VASCULAR PLANTS","family","Dicranaceae"
"NON-VASCULAR PLANTS","family","Dicranellaceae"
"NON-VASCULAR PLANTS","family","Diphysciaceae"
"NON-VASCULAR PLANTS","family","Distichiaceae"
"NON-VASCULAR PLANTS","family","Ditrichaceae"
"NON-VASCULAR PLANTS","family","Encalyptaceae"
"NON-VASCULAR PLANTS","family","Fissidentaceae"
"NON-VASCULAR PLANTS","family","Flexitrichaceae"
"NON-VASCULAR PLANTS","family","Fontinalaceae"
"NON-VASCULAR PLANTS","family","Frullaniaceae"
"NON-VASCULAR PLANTS","family","Funariaceae"
"NON-VASCULAR PLANTS","family","Geocalycaceae"
"NON-VASCULAR PLANTS","family","Grimmiaceae"
"NON-VASCULAR PLANTS","family","Gymnomitriaceae"
"NON-VASCULAR PLANTS","family","Gyrothyraceae"
"NON-VASCULAR PLANTS","family","Harpanthaceae"
"NON-VASCULAR PLANTS","family","Hedwigiaceae"
"NON-VASCULAR PLANTS","family","Herbertaceae"
"NON-VASCULAR PLANTS","family","Heterocladiellaceae"
"NON-VASCULAR PLANTS","family","Hookeriaceae"
"NON-VASCULAR PLANTS","family","Hygrobiellaceae"
"NON-VASCULAR PLANTS","family","Hylocomiaceae"
"NON-VASCULAR PLANTS","family","Hymenolomataceae"
"NON-VASCULAR PLANTS","family","Hypnaceae"
"NON-VASCULAR PLANTS","family","Jungermanniaceae"
"NON-VASCULAR PLANTS","family","Lembophyllaceae"
"NON-VASCULAR PLANTS","family","Lepidoziaceae"
"NON-VASCULAR PLANTS","family","Leskeaceae"
"NON-VASCULAR PLANTS","family","Leucobryaceae"
"NON-VASCULAR PLANTS","family","Leucodontaceae"
"NON-VASCULAR PLANTS","family","Lophocoleaceae"
"NON-VASCULAR PLANTS","family","Lophoziaceae"
"NON-VASCULAR PLANTS","family","Lunulariaceae"
"NON-VASCULAR PLANTS","family","Marchantiaceae"
"NON-VASCULAR PLANTS","family","Meesiaceae"
"NON-VASCULAR PLANTS","family","Metzgeriaceae"
"NON-VASCULAR PLANTS","family","Mniaceae"
"NON-VASCULAR PLANTS","family","Moerckiaceae"
"NON-VASCULAR PLANTS","family","Myliaceae"
"NON-VASCULAR PLANTS","family","Neckeraceae"
"NON-VASCULAR PLANTS","family","Orthotrichaceae"
"NON-VASCULAR PLANTS","family","Pelliaceae"
"NON-VASCULAR PLANTS","family","Plagiochilaceae"
"NON-VASCULAR PLANTS","family","Plagiotheciaceae"
"NON-VASCULAR PLANTS","family","Polytrichaceae"
"NON-VASCULAR PLANTS","family","Porellaceae"
"NON-VASCULAR PLANTS","family","Pottiaceae"
"NON-VASCULAR PLANTS","family","Pseudoleskeaceae"
"NON-VASCULAR PLANTS","family","Pseudoleskeellaceae"
"NON-VASCULAR PLANTS","family","Pterigynandraceae"
"NON-VASCULAR PLANTS","family","Ptilidiaceae"
"NON-VASCULAR PLANTS","family","Ptychomitriaceae"
"NON-VASCULAR PLANTS","family","Pylaisiaceae"
"NON-VASCULAR PLANTS","family","Radulaceae"
"NON-VASCULAR PLANTS","family","Rhabdoweisiaceae"
"NON-VASCULAR PLANTS","family","Ruficaulaceae"
"NON-VASCULAR PLANTS","family","Scapaniaceae"
"NON-VASCULAR PLANTS","family","Schistostegaceae"
"NON-VASCULAR PLANTS","family","Scorpidiaceae"
"NON-VASCULAR PLANTS","family","Scouleriaceae"
"NON-VASCULAR PLANTS","family","Seligeriaceae"
"NON-VASCULAR PLANTS","family","Sematophyllaceae"
"NON-VASCULAR PLANTS","family","Solenostomataceae"
"NON-VASCULAR PLANTS","family","Sphagnaceae"
"NON-VASCULAR PLANTS","family","Splachnaceae"
"NON-VASCULAR PLANTS","family","Stereodontaceae"
"NON-VASCULAR PLANTS","family","Tetraphidaceae"
"NON-VASCULAR PLANTS","family","Timmiaceae"
"REPTILES","order","Squamata"
"REPTILES","order","Testudines"
"SLIME MOLDS","family","Amaurochaetaceae"
"SLIME MOLDS","family","Arcyriaceae"
"SLIME MOLDS","family","Ceratiomyxaceae"
"SLIME MOLDS","family","Cribrariaceae"
"SLIME MOLDS","family","Dianemataceae"
"SLIME MOLDS","family","Didymiaceae"
"SLIME MOLDS","family","Hemitrichiaceae"
"SLIME MOLDS","family","Physaraceae"
"SLIME MOLDS","family","Reticulariaceae"
"SLIME MOLDS","family","Stemonitidaceae"
"SLIME MOLDS","family","Trichiaceae"
"TERRESTRIAL INVERTS","class","Arachnida"
"TERRESTRIAL INVERTS","class","Bivalvia"
"TERRESTRIAL INVERTS","class","Chilopoda"
"TERRESTRIAL INVERTS","class","Clitellata"
"TERRESTRIAL INVERTS","class","Diplopoda"
"TERRESTRIAL INVERTS","class","Entognatha"
"TERRESTRIAL INVERTS","class","Gastropoda"
"TERRESTRIAL INVERTS","class","Insecta"
"TERRESTRIAL INVERTS","class","Malacostraca"
"TERRESTRIAL INVERTS","order","Araneae"
"TERRESTRIAL INVERTS","order","Archaeognatha"
"TERRESTRIAL INVERTS","order","Blattodea"
"TERRESTRIAL INVERTS","order","Chordeumatida"
"TERRESTRIAL INVERTS","order","Coleoptera"
"TERRESTRIAL INVERTS","order","Crassiclitellata"
"TERRESTRIAL INVERTS","order","Dermaptera"
"TERRESTRIAL INVERTS","order","Diptera"
"TERRESTRIAL INVERTS","order","Ellobiida"
"TERRESTRIAL INVERTS","order","Entomobryomorpha"
"TERRESTRIAL INVERTS","order","Ephemeroptera"
"TERRESTRIAL INVERTS","order","Hemiptera"
"TERRESTRIAL INVERTS","order","Hymenoptera"
"TERRESTRIAL INVERTS","order","Isopoda"
"TERRESTRIAL INVERTS","order","Ixodida"
"TERRESTRIAL INVERTS","order","Julida"
"TERRESTRIAL INVERTS","order","Lepidoptera"
"TERRESTRIAL INVERTS","order","Mecoptera"
"TERRESTRIAL INVERTS","order","Megaloptera"
"TERRESTRIAL INVERTS","order","Mesostigmata"
"TERRESTRIAL INVERTS","order","Neuroptera"
"TERRESTRIAL INVERTS","order","Notoptera"
"TERRESTRIAL INVERTS","order","Odonata"
"TERRESTRIAL INVERTS","order","Opiliones"
"TERRESTRIAL INVERTS","order","Orthoptera"
"TERRESTRIAL INVERTS","order","Plecoptera"
"TERRESTRIAL INVERTS","order","Poduromorpha"
"TERRESTRIAL INVERTS","order","Polydesmida"
"TERRESTRIAL INVERTS","order","Psocodea"
"TERRESTRIAL INVERTS","order","Sarcoptiformes"
"TERRESTRIAL INVERTS","order","Scolopendromorpha"
"TERRESTRIAL INVERTS","order","Siphonaptera"
"TERRESTRIAL INVERTS","order","Sphaeriida"
"TERRESTRIAL INVERTS","order","Stylommatophora"
"TERRESTRIAL INVERTS","order","Symphypleona"
"TERRESTRIAL INVERTS","order","Trichoptera"
"TERRESTRIAL INVERTS","order","Trochida"
"TERRESTRIAL INVERTS","order","Trombidiformes"
"TERRESTRIAL INVERTS","order","Zygentoma"
"TERRESTRIAL MAMMALS","order","Artiodactyla"
"TERRESTRIAL MAMMALS","order","Carnivora"
"TERRESTRIAL MAMMALS","order","Chiroptera"
"TERRESTRIAL MAMMALS","order","Didelphimorphia"
"TERRESTRIAL MAMMALS","order","Eulipotyphla"
"TERRESTRIAL MAMMALS","order","Lagomorpha"
"TERRESTRIAL MAMMALS","order","Rodentia"
"VASCULAR PLANTS","family","Alismataceae"
"VASCULAR PLANTS","family","Amaranthaceae"
"VASCULAR PLANTS","family","Amaryllidaceae"
"VASCULAR PLANTS","family","Anacardiaceae"
"VASCULAR PLANTS","family","Apiaceae"
"VASCULAR PLANTS","family","Apocynaceae"
"VASCULAR PLANTS","family","Aquifoliaceae"
"VASCULAR PLANTS","family","Araceae"
"VASCULAR PLANTS","family","Araliaceae"
"VASCULAR PLANTS","family","Aristolochiaceae"
"VASCULAR PLANTS","family","Asparagaceae"
"VASCULAR PLANTS","family","Aspleniaceae"
"VASCULAR PLANTS","family","Asteraceae"
"VASCULAR PLANTS","family","Athyriaceae"
"VASCULAR PLANTS","family","Balsaminaceae"
"VASCULAR PLANTS","family","Berberidaceae"
"VASCULAR PLANTS","family","Betulaceae"
"VASCULAR PLANTS","family","Blechnaceae"
"VASCULAR PLANTS","family","Boraginaceae"
"VASCULAR PLANTS","family","Brassicaceae"
"VASCULAR PLANTS","family","Cabombaceae"
"VASCULAR PLANTS","family","Campanulaceae"
"VASCULAR PLANTS","family","Cannabaceae"
"VASCULAR PLANTS","family","Caprifoliaceae"
"VASCULAR PLANTS","family","Caryophyllaceae"
"VASCULAR PLANTS","family","Celastraceae"
"VASCULAR PLANTS","family","Convolvulaceae"
"VASCULAR PLANTS","family","Cornaceae"
"VASCULAR PLANTS","family","Crassulaceae"
"VASCULAR PLANTS","family","Cupressaceae"
"VASCULAR PLANTS","family","Cyperaceae"
"VASCULAR PLANTS","family","Cystopteridaceae"
"VASCULAR PLANTS","family","Dennstaedtiaceae"
"VASCULAR PLANTS","family","Droseraceae"
"VASCULAR PLANTS","family","Dryopteridaceae"
"VASCULAR PLANTS","family","Elaeagnaceae"
"VASCULAR PLANTS","family","Equisetaceae"
"VASCULAR PLANTS","family","Ericaceae"
"VASCULAR PLANTS","family","Euphorbiaceae"
"VASCULAR PLANTS","family","Fabaceae"
"VASCULAR PLANTS","family","Fagaceae"
"VASCULAR PLANTS","family","Gentianaceae"
"VASCULAR PLANTS","family","Geraniaceae"
"VASCULAR PLANTS","family","Grossulariaceae"
"VASCULAR PLANTS","family","Haloragaceae"
"VASCULAR PLANTS","family","Hydrangeaceae"
"VASCULAR PLANTS","family","Hypericaceae"
"VASCULAR PLANTS","family","Iridaceae"
"VASCULAR PLANTS","family","Isoetaceae"
"VASCULAR PLANTS","family","Juglandaceae"
"VASCULAR PLANTS","family","Juncaceae"
"VASCULAR PLANTS","family","Juncaginaceae"
"VASCULAR PLANTS","family","Lamiaceae"
"VASCULAR PLANTS","family","Lentibulariaceae"
"VASCULAR PLANTS","family","Liliaceae"
"VASCULAR PLANTS","family","Linaceae"
"VASCULAR PLANTS","family","Lycopodiaceae"
"VASCULAR PLANTS","family","Lythraceae"
"VASCULAR PLANTS","family","Malvaceae"
"VASCULAR PLANTS","family","Melanthiaceae"
"VASCULAR PLANTS","family","Menyanthaceae"
"VASCULAR PLANTS","family","Montiaceae"
"VASCULAR PLANTS","family","Myricaceae"
"VASCULAR PLANTS","family","Nymphaeaceae"
"VASCULAR PLANTS","family","Oleaceae"
"VASCULAR PLANTS","family","Onagraceae"
"VASCULAR PLANTS","family","Ophioglossaceae"
"VASCULAR PLANTS","family","Orchidaceae"
"VASCULAR PLANTS","family","Orobanchaceae"
"VASCULAR PLANTS","family","Oxalidaceae"
"VASCULAR PLANTS","family","Papaveraceae"
"VASCULAR PLANTS","family","Phrymaceae"
"VASCULAR PLANTS","family","Pinaceae"
"VASCULAR PLANTS","family","Plantaginaceae"
"VASCULAR PLANTS","family","Poaceae"
"VASCULAR PLANTS","family","Polemoniaceae"
"VASCULAR PLANTS","family","Polygonaceae"
"VASCULAR PLANTS","family","Polypodiaceae"
"VASCULAR PLANTS","family","Portulacaceae"
"VASCULAR PLANTS","family","Potamogetonaceae"
"VASCULAR PLANTS","family","Primulaceae"
"VASCULAR PLANTS","family","Pteridaceae"
"VASCULAR PLANTS","family","Ranunculaceae"
"VASCULAR PLANTS","family","Rhamnaceae"
"VASCULAR PLANTS","family","Rosaceae"
"VASCULAR PLANTS","family","Rubiaceae"
"VASCULAR PLANTS","family","Ruppiaceae"
"VASCULAR PLANTS","family","Salicaceae"
"VASCULAR PLANTS","family","Santalaceae"
"VASCULAR PLANTS","family","Sapindaceae"
"VASCULAR PLANTS","family","Saxifragaceae"
"VASCULAR PLANTS","family","Scheuchzeriaceae"
"VASCULAR PLANTS","family","Scrophulariaceae"
"VASCULAR PLANTS","family","Selaginellaceae"
"VASCULAR PLANTS","family","Simaroubaceae"
"VASCULAR PLANTS","family","Solanaceae"
"VASCULAR PLANTS","family","Taxaceae"
"VASCULAR PLANTS","family","Thelypteridaceae"
"VASCULAR PLANTS","family","Thymelaeaceae"
"VASCULAR PLANTS","family","Tofieldiaceae"
"VASCULAR PLANTS","family","Typhaceae"
"VASCULAR PLANTS","family","Urticaceae"
"VASCULAR PLANTS","family","Viburnaceae"
"VASCULAR PLANTS","family","Violaceae"
"VASCULAR PLANTS","family","Vitaceae"
"VASCULAR PLANTS","family","Woodsiaceae"
"VASCULAR PLANTS","family","Zosteraceae"
