"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Mallows (Malvales)","Malvales","Confirmed record","Malva moschata","Harvey Janszen","Andrew Simon","2001-08-26","2018-07-12",NA,"14300222","https://www.inaturalist.org/observations/14300222"
"Maple & citrus (Sapindales)","Sapindales","Confirmed record","Toxicodendron diversilobum","Harvey Janszen","Adam Huggins","2001-08-26","2018-09-02",NA,"16152487","https://www.inaturalist.org/observations/16152487"
"Mints (Lamiales)","Lamiales","Remaining historical report","Mentha suaveolens","Harvey Janszen",NA,"2001-08-26",NA,NA,"77993","https://www.inaturalist.org/observations/77993"
"Mints (Lamiales)","Lamiales","Confirmed record","Triphysaria pusilla","Gerald B. Straley","Sarah Tweedale","1983-05-01","2017-03-23",NA,"5437942","https://www.inaturalist.org/observations/5437942"
"Mustard (Brassicales)","Brassicales","Remaining historical report","Erysimum cheiranthoides","Harvey Janszen",NA,"1981-07-07",NA,NA,"77068","https://www.inaturalist.org/observations/77068"
"Mustard (Brassicales)","Brassicales","Confirmed record","Cardamine pensylvanica","Harvey Janszen","Andrew Simon","1975-05-07","2016-05-13",NA,"3318628","https://www.inaturalist.org/observations/3318628"
"Mustard (Brassicales)","Brassicales","New record","Aubrieta deltoidea",NA,"David Clements",NA,"2025-05-06",2025,"279370109","https://www.inaturalist.org/observations/279370109"
"Myrtles (Myrtales)","Myrtales","Confirmed record","Epilobium brachycarpum","Harvey Janszen","Adam Huggins","2001-08-26","2018-07-25",NA,"14770798","https://www.inaturalist.org/observations/14770798"
"Nightshades (Solanales)","Solanales","Remaining historical report","Solanum sarrachoides","Harvey Janszen",NA,"2001-08-26",NA,NA,"120519","https://www.inaturalist.org/observations/120519"
"Nightshades (Solanales)","Solanales","Confirmed record","Datura stramonium","Harvey Janszen","Colleen Doty","2001-08-26","2016-10-24",NA,"4430121","https://www.inaturalist.org/observations/4430121"
"Pines (Pinales)","Pinales","Confirmed record","Pinus ponderosa var. ponderosa","Harvey Janszen","Andrew Simon","2001-08-26","2016-06-27",NA,"3540246","https://www.inaturalist.org/observations/3540246"
"Pink & cactus (Caryophyllales)","Caryophyllales","Remaining historical report","Silene latifolia","Angela Wood",NA,"1975-06-28",NA,NA,"79109","https://www.inaturalist.org/observations/79109"
"Pink & cactus (Caryophyllales)","Caryophyllales","Confirmed record","Cerastium fontanum","Harvey Janszen","Lauren Magner","2001-08-26","2015-06-05",NA,"2563618","https://www.inaturalist.org/observations/2563618"
"Pink & cactus (Caryophyllales)","Caryophyllales","New record","Silene dioica",NA,"Madeline Hart",NA,"2025-05-19",2025,"284011807","https://www.inaturalist.org/observations/284011807"
"Roses (Rosales)","Rosales","Remaining historical report","Fragaria chiloensis","Harvey Janszen",NA,"1975-05-07",NA,NA,"55367","https://www.inaturalist.org/observations/55367"
"Roses (Rosales)","Rosales","Confirmed record","Rubus spectabilis","Gerald B. Straley","Andrew Simon","1989-04-23","2015-02-22",NA,"2561560","https://www.inaturalist.org/observations/2561560"
"Roses (Rosales)","Rosales","New record","Prunus lusitanica",NA,"Liam Ragan",NA,"2024-04-27",2024,"210511398","https://www.inaturalist.org/observations/210511398"
"Saxifrages (Saxifragales)","Saxifragales","Remaining historical report","Crassula connata","Harvey Janszen",NA,"1983-03-27",NA,NA,"57016","https://www.inaturalist.org/observations/57016"
"Saxifrages (Saxifragales)","Saxifragales","Confirmed record","Tiarella trifoliata var. trifoliata","Harvey Janszen","Lauren Magner","2001-08-26","2015-05-04",NA,"2569314","https://www.inaturalist.org/observations/2569314"
"Spikemosses (Selaginellales)","Selaginellales","Confirmed record","Selaginella wallacei","William J. Crins","Andrew Simon","1986-08-17","2015-03-04",NA,"2566424","https://www.inaturalist.org/observations/2566424"
"Spurge & violets (Malpighiales)","Malpighiales","Remaining historical report","Salix prolixa","Christopher Clement",NA,"1978-01-01",NA,NA,"78952","https://www.inaturalist.org/observations/78952"
"Spurge & violets (Malpighiales)","Malpighiales","Confirmed record","Hypericum perforatum","Harvey Janszen","Andrew Simon","2001-08-26","2015-05-17",NA,"2622495","https://www.inaturalist.org/observations/2622495"
"Sunflowers (Asterales)","Asterales","Remaining historical report","Campanula rotundifolia","Harvey Janszen",NA,"2001-08-26",NA,NA,"984576","https://www.inaturalist.org/observations/984576"
"Sunflowers (Asterales)","Asterales","Confirmed record","Artemisia suksdorfii","Harvey Janszen","Adam Huggins","2001-08-26","2016-07-31",NA,"3779806","https://www.inaturalist.org/observations/3779806"
"True ferns (Polypodiales)","Polypodiales","Confirmed record","Cystopteris fragilis","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon","1996-05-22","2017-03-30",NA,"5516498","https://www.inaturalist.org/observations/5516498"
"Water-lilies (Nymphaeales)","Nymphaeales","Confirmed record","Nuphar polysepala","Hans Roemer","Karolle Wall","2000-06-12","2015-08-20",NA,"97172676","https://www.inaturalist.org/observations/97172676"
"Water-lilies (Nymphaeales)","Nymphaeales","New record","Brasenia schreberi",NA,"Sofia Silverman",NA,"2025-08-13",2025,"306312377","https://www.inaturalist.org/observations/306312377"
"Water-plantains & allies (Alismatales)","Alismatales","Remaining historical report","Triglochin concinna var. concinna","Harvey Janszen",NA,"2001-08-26",NA,NA,"81439","https://www.inaturalist.org/observations/81439"
"Water-plantains & allies (Alismatales)","Alismatales","Confirmed record","Lemna trisulca","Hans Roemer","Andrew Simon","2000-06-12","2016-06-05",NA,"3414468","https://www.inaturalist.org/observations/3414468"
