Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Order_std,Taxon_std,Reporting_raw_std,Reporting_simple_std,Collector_std,Observer_std,Historical_date_std,First_observed_std,iNat_URL_raw_std,iNat_ID_raw_std,Collection_std,Accession_std,new_year_std,status_std,historical_year,observed_year,Order_label
Allium acuminatum,Hook.,,Hooker's onion,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,,,,native,S5,,confirmed,observed,1958-05-18,W. M. Bird,UBC,V80091,NA,2016-05-25,Adam Huggins,iNat:3318703,,59782,VAS,NA,confirmed,Asparagales,Allium acuminatum,confirmed,confirmed,W. M. Bird,Adam Huggins,1958-05-18,2016-05-25,iNat:3318703,59782,UBC,V80091,NA,confirmed,1958,2016,Asparagus & orchids (Asparagales)
Arctostaphylos columbiana,Piper,,hairy manzanita,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ericales,,NA,Ericaceae,Arbutoideae,,Arctostaphylos,columbiana,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V103511,NA,2006-09-30,Karolle Wall,iNat:97172666,,75505,VAS,NA,confirmed,Ericales,Arctostaphylos columbiana,confirmed,confirmed,J. A. Calder,Karolle Wall,1961-05-08,2006-09-30,iNat:97172666,75505,UBC,V103511,NA,confirmed,1961,2006,Heath & blueberries (Ericales)
Aphyllon purpureum,(A. Heller) Holub,,western one-flowered broomrape,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Orobanchaceae,,Orobancheae,Aphyllon,purpureum,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V224992,NA,2007-05-04,Karolle Wall,iNat:5672024,Reported as Orobanche uniflora,739040,VAS,NA,confirmed,Lamiales,Aphyllon purpureum,confirmed,confirmed,J. A. Calder,Karolle Wall,1961-05-08,2007-05-04,iNat:5672024,739040,UBC,V224992,NA,confirmed,1961,2007,Mints (Lamiales)
Camassia leichtlinii ssp. suksdorfii,(Baker) S.Watson,(Greenm.) Gould,Suksdorf's great camas,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Asparagaceae,Agavoideae,,Camassia,leichtlinii,,suksdorfii,,native,S4,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V103416,NA,2013-05-04,Felix Erhard,iNat:2604245,,79659,VAS,NA,confirmed,Asparagales,Camassia leichtlinii ssp. suksdorfii,confirmed,confirmed,J. A. Calder,Felix Erhard,1961-05-08,2013-05-04,iNat:2604245,79659,UBC,V103416,NA,confirmed,1961,2013,Asparagus & orchids (Asparagales)
Polypodium glycyrrhiza,D.C. Eaton,,licorice fern,Plantae,Tracheophyta,,NA,Polypodiopsida,Polypodiidae,NA,Polypodiales,Polypodiineae,NA,Polypodiaceae,Polypodioideae,,Polypodium,glycyrrhiza,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V103250,NA,2015-03-13,Lauren Magner,iNat:2589280,,55104,VAS,NA,confirmed,Polypodiales,Polypodium glycyrrhiza,confirmed,confirmed,J. A. Calder,Lauren Magner,1961-05-08,2015-03-13,iNat:2589280,55104,UBC,V103250,NA,confirmed,1961,2015,True ferns (Polypodiales)
Pentagramma triangularis ssp. triangularis,(Kaulf.) Yatsk.,,goldenback fern,Plantae,Tracheophyta,,NA,Polypodiopsida,Polypodiidae,NA,Polypodiales,Pteridineae,NA,Pteridaceae,Cheilanthoideae,,Pentagramma,triangularis,,triangularis,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V103246,NA,2015-03-13,Lauren Magner,iNat:2589088,,58767,VAS,NA,confirmed,Polypodiales,Pentagramma triangularis ssp. triangularis,confirmed,confirmed,J. A. Calder,Lauren Magner,1961-05-08,2015-03-13,iNat:2589088,58767,UBC,V103246,NA,confirmed,1961,2015,True ferns (Polypodiales)
Carex leporina,L.,,oval sedge,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Cyperaceae,Cyperoideae,Cariceae,Carex,leporina,,,,native,S5,,confirmed,observed,1966-08-24,B. Turner,BABY,131,NA,2023-05-27,Tyler Innes,iNat:164093668,"reported as C. tracyi; Retreat Cove; Shore drainage, swampy area with Juncus, grasses, Veronica, Ranuculus, open, flat. H.L. Roemer.",76067,VAS,NA,confirmed,Poales,Carex leporina,confirmed,confirmed,B. Turner,Tyler Innes,1966-08-24,2023-05-27,iNat:164093668,76067,BABY,131,NA,confirmed,1966,2023,Grasses (Poales)
Symphyotrichum subspicatum,(Nees) G.L. Nesom,,Douglas' Aster,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Asteroideae,Astereae,Symphyotrichum,subspicatum,,,,exotic,unlisted,,confirmed,observed,1966-08-25,Bruce Bennett,BABY,561,NA,2020-09-01,Adam Huggins,iNat:58311957,"Symphyotrichum douglasii (sensu Fennamen 2019 ined.) also reported: ""Symphyotrichum douglasii is restricted in British Columbia to the southwestern coast of the province (Figure 39), where it is primarily a species of lacustrine and fluvial shorelines at low elevations of the Georgia Depression. It occurs most frequently along the southeastern coast of Vancouver Island, where it is the most common narrow-leaved Symphyotrichum away from areas of marine or estuarine influence”; HJ (2001) also reports Symphyotrichum chilense × subspicatum",79303,VAS,NA,confirmed,Asterales,Symphyotrichum subspicatum,confirmed,confirmed,Bruce Bennett,Adam Huggins,1966-08-25,2020-09-01,iNat:58311957,79303,BABY,561,NA,confirmed,1966,2020,Sunflowers (Asterales)
Cerastium arvense ssp. strictum,L.,(L.) Reiche,matted field chickweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,,Alsineae,Cerastium,arvense,,strictum,,native,S5,,confirmed,observed,1972-05-02,B. Stephens,UBC,V138583,NA,2011-05-14,Emma Harrower,iNat:78657697,,50847,VAS,NA,confirmed,Caryophyllales,Cerastium arvense ssp. strictum,confirmed,confirmed,B. Stephens,Emma Harrower,1972-05-02,2011-05-14,iNat:78657697,50847,UBC,V138583,NA,confirmed,1972,2011,Pink & cactus (Caryophyllales)
Claytonia sibirica,L.,,Siberian miner's-lettuce,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Montiaceae,,,Claytonia,sibirica,,,,native,S5,,confirmed,observed,1972-05-02,B. Schwartz,UBC,V139277,NA,2015-05-04,Lauren Magner,iNat:2569360,,55767,VAS,NA,confirmed,Caryophyllales,Claytonia sibirica,confirmed,confirmed,B. Schwartz,Lauren Magner,1972-05-02,2015-05-04,iNat:2569360,55767,UBC,V139277,NA,confirmed,1972,2015,Pink & cactus (Caryophyllales)
Cardamine nuttallii,Greene,,slender toothwort,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,nuttallii,,,,native,S5,,confirmed,observed,1972-05-02,R. Biggs,UBC,V138586,NA,2017-04-04,Sarah Tweedale,iNat:5582977,,76002,VAS,NA,confirmed,Brassicales,Cardamine nuttallii,confirmed,confirmed,R. Biggs,Sarah Tweedale,1972-05-02,2017-04-04,iNat:5582977,76002,UBC,V138586,NA,confirmed,1972,2017,Mustard (Brassicales)
Lithophragma parviflorum,(Hook.) Nutt.,,small-flowered fringecup,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Saxifragales,,NA,Saxifragaceae,,Heuchereae,Lithophragma,parviflorum,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156684,NA,2011-05-14,Emma Harrower,iNat:78655943,,77791,VAS,NA,confirmed,Saxifragales,Lithophragma parviflorum,confirmed,confirmed,Wilfred B. Schofield,Emma Harrower,1974-04-21,2011-05-14,iNat:78655943,77791,UBC,V156684,NA,confirmed,1974,2011,Saxifrages (Saxifragales)
Claytonia perfoliata,Donn ex Willd.,,miner's-lettuce,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Montiaceae,,,Claytonia,perfoliata,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156682,NA,2013-04-08,Felix Erhard,iNat:2583372,,52994,VAS,NA,confirmed,Caryophyllales,Claytonia perfoliata,confirmed,confirmed,Wilfred B. Schofield,Felix Erhard,1974-04-21,2013-04-08,iNat:2583372,52994,UBC,V156682,NA,confirmed,1974,2013,Pink & cactus (Caryophyllales)
Calypso bulbosa var. occidentalis,(L.) Oakes,(Holz.) Cockerell,western fairy-slipper,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Orchidaceae,Epidendroideae,Epidendreae,Calypso,bulbosa,,,occidentalis,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156823,NA,2013-04-21,Felix Erhard,iNat:2588468,,57724,VAS,NA,confirmed,Asparagales,Calypso bulbosa var. occidentalis,confirmed,confirmed,Wilfred B. Schofield,Felix Erhard,1974-04-21,2013-04-21,iNat:2588468,57724,UBC,V156823,NA,confirmed,1974,2013,Asparagus & orchids (Asparagales)
Crocidium multicaule,Hook.,,gold star,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Asteroideae,Senecioneae,Crocidium,multicaule,,,,native,S4,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156690,NA,2014-03-22,Ryan Batten,iNat:9145124,,57524,VAS,NA,confirmed,Asterales,Crocidium multicaule,confirmed,confirmed,Wilfred B. Schofield,Ryan Batten,1974-04-21,2014-03-22,iNat:9145124,57524,UBC,V156690,NA,confirmed,1974,2014,Sunflowers (Asterales)
Montia fontana,L.,,blinks,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Montiaceae,,,Montia,fontana,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V230998,NA,2017-01-29,Tyrel Froese & Andrew Simon,iNat:5024437,,58990,VAS,NA,confirmed,Caryophyllales,Montia fontana,confirmed,confirmed,Wilfred B. Schofield,Tyrel Froese & Andrew Simon,1974-04-21,2017-01-29,iNat:5024437,58990,UBC,V230998,NA,confirmed,1974,2017,Pink & cactus (Caryophyllales)
Neottia cordata,(L.) Rich.,,heart-leaved twayblade,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Orchidaceae,Epidendroideae,Neottieae,Neottia,cordata,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156681,NA,2017-05-28,Andrew Simon,iNat:6409668,Neottia borealisshould also be sought on higher elevation north slopes (HJ),204364,VAS,NA,confirmed,Asparagales,Neottia cordata,confirmed,confirmed,Wilfred B. Schofield,Andrew Simon,1974-04-21,2017-05-28,iNat:6409668,204364,UBC,V156681,NA,confirmed,1974,2017,Asparagus & orchids (Asparagales)
Ribes lobbii,A. Gray,,gummy gooseberry,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Saxifragales,,NA,Grossulariaceae,,,Ribes,lobbii,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156689,NA,2021-07-26,Adam Huggins,iNat:88781542,cut-over area near Bluff Road; garden escape? QC; Harvey suggests it was dispersed by bird,78861,VAS,NA,confirmed,Saxifragales,Ribes lobbii,confirmed,confirmed,Wilfred B. Schofield,Adam Huggins,1974-04-21,2021-07-26,iNat:88781542,78861,UBC,V156689,NA,confirmed,1974,2021,Saxifrages (Saxifragales)
Argentina pacifica,(Howell) Rydb,(Howell) Rousi,Pacific silverweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Rosales,,NA,Rosaceae,Rosoideae,Potentilleae,Argentina,pacifica,,,,native,S5,,confirmed,observed,1974-07-14,S. Keene,RBCM,V104942,1949553646,2015-03-04,Andrew Simon,iNat:2566457,"reported as Argentina anserina (V104942); H. Janszen also reports P. egedii (RBCM V097827), a segregate of P.anserina that is not recognized by the FPNW2",524900,VAS,NA,confirmed,Rosales,Argentina pacifica,confirmed,confirmed,S. Keene,Andrew Simon,1974-07-14,2015-03-04,iNat:2566457,524900,RBCM,V104942,NA,confirmed,1974,2015,Roses (Rosales)
Bromus sterilis,L.,,barren brome,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Bromeae,Bromus,sterilis,,,,exotic,unlisted,,confirmed,observed,1974-07-14,S. Keene,RBCM,V104977,1949553741,2015-05-04,Andrew Simon,iNat:2567840,,57163,VAS,NA,confirmed,Poales,Bromus sterilis,confirmed,confirmed,S. Keene,Andrew Simon,1974-07-14,2015-05-04,iNat:2567840,57163,RBCM,V104977,NA,confirmed,1974,2015,Grasses (Poales)
Bromus hordeaceus,L.,,soft brome,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Bromeae,Bromus,hordeaceus,,,,exotic,unlisted,,confirmed,observed,1974-07-14,S. Keene,RBCM,V104976,1949553924,2015-05-17,Andrew Simon,iNat:2621691,,52703,VAS,NA,confirmed,Poales,Bromus hordeaceus,confirmed,confirmed,S. Keene,Andrew Simon,1974-07-14,2015-05-17,iNat:2621691,52703,RBCM,V104976,NA,confirmed,1974,2015,Grasses (Poales)
Arctium minus,(Hill.) Bernh.,,common burdock,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Carduoideae,Cardueae,Arctium,minus,,,,exotic,unlisted,,confirmed,observed,1975-01-01,Harvey Janszen,RBCM,?,NA,2015-07-08,Lauren Magner,iNat:2563307,,59570,VAS,NA,confirmed,Asterales,Arctium minus,confirmed,confirmed,Harvey Janszen,Lauren Magner,1975-01-01,2015-07-08,iNat:2563307,59570,RBCM,?,NA,confirmed,1975,2015,Sunflowers (Asterales)
Bromus tectorum,L.,,cheatgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Bromeae,Bromus,tectorum,,,,exotic,unlisted,,confirmed,observed,1975-05-07,Leon Pavlick,RBCM,V141103,1949589958,2016-05-09,Andrew Simon,iNat:3649878,,58369,VAS,NA,confirmed,Poales,Bromus tectorum,confirmed,confirmed,Leon Pavlick,Andrew Simon,1975-05-07,2016-05-09,iNat:3649878,58369,RBCM,V141103,NA,confirmed,1975,2016,Grasses (Poales)
Cardamine pensylvanica,Muhl. ex Willd.,,Pennsylvanian bittercress,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,pensylvanica,,,,native,S5,,confirmed,observed,1975-05-07,Harvey Janszen,RBCM,V083347,1949532327,2016-05-13,Andrew Simon,iNat:3318628,,76005,VAS,NA,confirmed,Brassicales,Cardamine pensylvanica,confirmed,confirmed,Harvey Janszen,Andrew Simon,1975-05-07,2016-05-13,iNat:3318628,76005,RBCM,V083347,NA,confirmed,1975,2016,Mustard (Brassicales)
Fragaria chiloensis,(L.) Duchesne,,coastal strawberry,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Rosales,,NA,Rosaceae,Rosoideae,Potentilleae,Fragaria,chiloensis,,,,native,S5,,reported,unobserved,1975-05-07,Harvey Janszen,RBCM,V083371,1949532094,NA,NA,,Dionisio Pt,55367,VAS,NA,reported,Rosales,Fragaria chiloensis,reported,reported,Harvey Janszen,NA,1975-05-07,NA,NA,55367,RBCM,V083371,NA,reported,1975,NA,Roses (Rosales)
Cardamine oligosperma,Nutt.,,little western bittercress,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Cardamineae,Cardamine,oligosperma,,,,native,S5,,confirmed,observed,1975-05-10,Angela Wood,RBCM,V097322,1949546308,2015-03-27,Lauren Magner,iNat:2575038,,52981,VAS,NA,confirmed,Brassicales,Cardamine oligosperma,confirmed,confirmed,Angela Wood,Lauren Magner,1975-05-10,2015-03-27,iNat:2575038,52981,RBCM,V097322,NA,confirmed,1975,2015,Mustard (Brassicales)
Erythranthe sookensis,"B.G. Benedict, Modlisz, Sweigart, N.H. Martin, Ganders & John H. Willis",,shy monkeyflower,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Phrymaceae,,,Erythranthe,sookensis,,,,native,S5,,confirmed,observed,1975-05-12,Angela Wood,RBCM,V097333,1949546303,2021-04-15,Andrew Simon,iNat:74104790,a hybrid between E. nasuta and E. microphyllum unrecognized in Nesom's treatment of Erythranthe; identification? –QC,865336,VAS,NA,confirmed,Lamiales,Erythranthe sookensis,confirmed,confirmed,Angela Wood,Andrew Simon,1975-05-12,2021-04-15,iNat:74104790,865336,RBCM,V097333,NA,confirmed,1975,2021,Mints (Lamiales)
Moehringia macrophylla,(Hook.) Fenzl,,big-leaved sandwort,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,,Arenarieae,Moehringia,macrophylla,,,,native,S5,,confirmed,observed,1975-05-13,Angela Wood,RBCM,V097335,1949546493,2015-03-21,Lauren Magner,iNat:2608744,,61884,VAS,NA,confirmed,Caryophyllales,Moehringia macrophylla,confirmed,confirmed,Angela Wood,Lauren Magner,1975-05-13,2015-03-21,iNat:2608744,61884,RBCM,V097335,NA,confirmed,1975,2015,Pink & cactus (Caryophyllales)
Erythranthe cf guttata,(Fisch. ex DC.) G.L. Nesom,,seep monkeyflower,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Phrymaceae,,,Erythranthe,guttata,,,,native,S5,,confirmed,observed,1975-05-13,Angela Wood,RBCM,V097336,1949546491,2017-05-19,Andrew Simon,iNat:6425142,Reported as Mimulus guttatus; acc. to Nesom's treatment this should be annotated Erythranthe cf guttata as the material represented isn't a rhizomatous perennial,470643,VAS,NA,confirmed,Lamiales,Erythranthe cf guttata,confirmed,confirmed,Angela Wood,Andrew Simon,1975-05-13,2017-05-19,iNat:6425142,470643,RBCM,V097336,NA,confirmed,1975,2017,Mints (Lamiales)
Ulex europaeus,L.,,gorse,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Genisteae,Ulex,europaeus,,,,exotic,unlisted,,confirmed,observed,1975-05-14,Angela Wood,RBCM,V097722,1949546879,2013-04-10,Felix Erhard,iNat:2583402,,51751,VAS,NA,confirmed,Fabales,Ulex europaeus,confirmed,confirmed,Angela Wood,Felix Erhard,1975-05-14,2013-04-10,iNat:2583402,51751,RBCM,V097722,NA,confirmed,1975,2013,Legumes (Fabales)
