from,to,person_name,person_class,edge_class,weight,entry_year
Andy Lamb,Golfingia vulgaris,Andy Lamb,historical,reported,1,2007
Andy Lamb,Gorgonocephalus eucnemis,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Grammaria sp.,Andy Lamb,historical,reported,1,2009
Andy Lamb,Halcampa decemtentaculata,Andy Lamb,historical,reported,1,2008
Andy Lamb,Halecium beanii,Andy Lamb,historical,reported,1,2010
Andy Lamb,Halecium densum,Andy Lamb,historical,reported,1,2006
Andy Lamb,Halichondria (Eumastia) sitiens,Andy Lamb,historical,reported,1,2007
Andy Lamb,Halichondria (Halichondria) bowerbanki,Andy Lamb,historical,reported,1,1973
Andy Lamb,Halichondria (Halichondria) panicea,Andy Lamb,historical,reported,1,1968
Andy Lamb,Haliclona (Haliclona) sp.1,Andy Lamb,historical,reported,1,2006
Andy Lamb,Haliclona (Haliclona) sp.2,Andy Lamb,historical,reported,1,1994
Andy Lamb,Haliotis kamtschatkana,Andy Lamb,historical,reported,1,1981
Andy Lamb,Halosydna brevisetosa,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Hamigera sp.,Andy Lamb,historical,reported,1,1985
Andy Lamb,Hapalogaster mertensii,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Harmothoe fragilis,Andy Lamb,historical,reported,1,2012
Andy Lamb,Hemilepidotus hemilepidotus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Henricia aspera aspera,Andy Lamb,historical,reported,1,1969
Andy Lamb,Henricia leviuscula complex,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Henricia sanguinolenta,Andy Lamb,historical,confirmed,1,2009
Andy Lamb,Heptacarpus stylus,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Heptacarpus tridens,Andy Lamb,historical,reported,1,1999
Andy Lamb,Hermissenda crassicornis,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Heteropora alaskensis,Andy Lamb,historical,reported,1,2008
Andy Lamb,Heteropora pacifica,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Hippasteria phrygiana,Andy Lamb,historical,reported,1,1971
Andy Lamb,Homaxinella amphispicula,Andy Lamb,historical,reported,1,1999
Andy Lamb,Hydractinia sp.,Andy Lamb,historical,reported,1,2008
Andy Lamb,Hydrallmania franciscana,Andy Lamb,historical,reported,1,2006
Andy Lamb,Hydrolagus colliei,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Icelinus tenuis,Andy Lamb,historical,reported,1,1971
Andy Lamb,Iophon lamella,Andy Lamb,historical,reported,1,1973
Andy Lamb,Jordania zonope,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Kaburakia excelsa,Andy Lamb,historical,confirmed,1,2016
Andy Lamb,Katharina tunicata,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Kellia suborbicularis,Andy Lamb,historical,reported,1,2006
Andy Lamb,Lacuna variegata,Andy Lamb,historical,reported,1,2009
Andy Lamb,Lafoea dumosa,Andy Lamb,historical,reported,1,1985
Andy Lamb,Lebbeus eludus,Andy Lamb,historical,reported,1,2009
Andy Lamb,Lebbeus mundus,Andy Lamb,historical,reported,1,2008
Andy Lamb,Lepeophtheirus sp.,Andy Lamb,historical,reported,1,2008
Andy Lamb,Lepeta concentrica,Andy Lamb,historical,reported,1,2007
Andy Lamb,Lepidopsetta bilineata,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Leptasterias hexactis,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Leptosynapta transgressor,Andy Lamb,historical,reported,1,2013
Andy Lamb,Leucandra heathi,Andy Lamb,historical,reported,1,1971
Andy Lamb,Leucilla nuttingi,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Leucosolenia eleanor,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Leucosolenia nautilia,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Leukoma staminea,Andy Lamb,historical,confirmed,1,2007
Andy Lamb,Limacia cockerelli,Andy Lamb,historical,reported,1,1985
Andy Lamb,Limacina helicina,Andy Lamb,historical,reported,1,2009
Andy Lamb,Liparis pulchellus,Andy Lamb,historical,confirmed,1,1995
Andy Lamb,Lirabuccinum dirum,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Lophopanopeus bellus,Andy Lamb,historical,confirmed,1,2007
Andy Lamb,Lottia scutum,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Macoma nasuta,Andy Lamb,historical,confirmed,1,2009
Andy Lamb,Margarites pupillus,Andy Lamb,historical,confirmed,1,2009
Andy Lamb,Marsenina rhombica,Andy Lamb,historical,reported,1,2016
Andy Lamb,Mediaster aequalis,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Melibe leonina,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Melicertum octocostatum,Andy Lamb,historical,reported,1,2009
Andy Lamb,Membranipora villosa,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Mesocentrotus franciscanus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Metandrocarpa taylori,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Metridium farcimen,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Metridium senile,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Micrura verrilli,Andy Lamb,historical,reported,1,2006
Andy Lamb,Modiolus modiolus,Andy Lamb,historical,reported,1,2005
Andy Lamb,Molgula pacifica,Andy Lamb,historical,reported,1,1993
Andy Lamb,Mopalia muscosa,Andy Lamb,historical,confirmed,1,2008
Andy Lamb,Mopalia phorminx,Andy Lamb,historical,reported,1,2019
Andy Lamb,Mopalia sinuata,Andy Lamb,historical,reported,1,2019
Andy Lamb,Mopalia spectabilis,Andy Lamb,historical,confirmed,1,1999
Andy Lamb,Muggiaea sp.,Andy Lamb,historical,reported,1,2009
Andy Lamb,Mya truncata,Andy Lamb,historical,reported,1,2008
Andy Lamb,Mytilimeria nuttalli,Andy Lamb,historical,reported,1,1985
Andy Lamb,Myxicola sp.A,Andy Lamb,historical,reported,1,2018
Andy Lamb,Myxilla (Myxilla) lacunosa,Andy Lamb,historical,reported,1,1973
Andy Lamb,Nassarius mendicus,Andy Lamb,historical,confirmed,1,2018
Andy Lamb,Nautichthys oculofasciatus,Andy Lamb,historical,confirmed,1,1995
Andy Lamb,Neoturris breviconis,Andy Lamb,historical,confirmed,1,2007
Andy Lamb,Nereis sp.,Andy Lamb,historical,reported,1,2008
Andy Lamb,Nereis vexillosa,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Nucella canaliculata,Andy Lamb,historical,reported,1,1994
Andy Lamb,Nucella ostrina,Andy Lamb,historical,confirmed,1,2008
Andy Lamb,Obelia sp.,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Odontopyxis trispinosa,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Oedignathus inermis,Andy Lamb,historical,confirmed,1,2008
Andy Lamb,Onchidoris bilamellata,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Oncorhynchus keta,Andy Lamb,historical,reported,1,2013
Andy Lamb,Ophiodon elongatus,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Ophiopholis kennerlyi,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Oregonia gracilis,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Orthasterias koehleri,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Orthopyxis sp.,Andy Lamb,historical,reported,1,1994
Andy Lamb,Oxydromus pugettensis,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Oxylebius pictus,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Pachycerianthus fimbriatus,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Pachychalina sp.,Andy Lamb,historical,reported,1,1985
Andy Lamb,Paciocinebrina interfossa,Andy Lamb,historical,reported,1,2009
Andy Lamb,Paciocinebrina lurida,Andy Lamb,historical,reported,1,1994
Andy Lamb,Pagurus armatus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pagurus caurinus,Andy Lamb,historical,confirmed,1,2005
Andy Lamb,Pagurus hirsutiusculus,Andy Lamb,historical,confirmed,1,2016
Andy Lamb,Pagurus kennerlyi,Andy Lamb,historical,reported,1,1999
Andy Lamb,Pagurus ochotensis,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Pagurus quaylei,Andy Lamb,historical,reported,1,2008
Andy Lamb,Pagurus samuelis,Andy Lamb,historical,reported,1,2009
Andy Lamb,Pagurus stevensae,Andy Lamb,historical,reported,1,2008
Andy Lamb,Pandalus danae,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Panopea generosa,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Paracyathus stearnsii,Andy Lamb,historical,reported,1,2006
Andy Lamb,Parasabella media,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Peachia quinquecapitata,Andy Lamb,historical,reported,1,2006
Andy Lamb,Peltodoris lentiginosa,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Peltodoris nobilis,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Pentamera sp.,Andy Lamb,historical,reported,1,2006
Andy Lamb,Perophora annectens,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Petaloconchus compactus,Andy Lamb,historical,reported,1,1985
Andy Lamb,Petrolisthes eriomerus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Phacellophora camtschatica,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Phanerodon vacca,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Phidolopora pacifica,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Phoca vitulina richardii,Andy Lamb,historical,confirmed,1,1995
Andy Lamb,Pholis clemensi,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Phoronis ijimai,Andy Lamb,historical,confirmed,1,2008
Andy Lamb,Phyllaplysia taylori,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Phyllochaetopterus prolifica,Andy Lamb,historical,reported,1,2006
Andy Lamb,Phyllochaetopterus sp.,Andy Lamb,historical,reported,1,2007
Andy Lamb,Phyllolithodes papillosus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pileolaria sp.,Andy Lamb,historical,reported,1,1994
Andy Lamb,Pisaster brevispinus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pisaster ochraceus,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pista elongata,Andy Lamb,historical,reported,1,1993
Andy Lamb,Placiphorella rufa,Andy Lamb,historical,reported,1,2006
Andy Lamb,Placiphorella velata,Andy Lamb,historical,reported,1,2011
Andy Lamb,Pleraplysilla sp.,Andy Lamb,historical,reported,1,2006
Andy Lamb,Pleurobrachia bachei,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Pleuronichthys coenosus,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Plumularia sp.,Andy Lamb,historical,reported,1,1985
Andy Lamb,Polymastia pachymastia,Andy Lamb,historical,confirmed,1,1994
Andy Lamb,Polyorchis penicillatus,Andy Lamb,historical,confirmed,1,2009
Andy Lamb,Porichthys notatus,Andy Lamb,historical,confirmed,1,1995
Andy Lamb,Portorchardia candela,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Protula pacifica,Andy Lamb,historical,reported,1,1981
Andy Lamb,Pseudochitinopoma occidentalis,Andy Lamb,historical,reported,1,2006
Andy Lamb,Psolus chitonoides,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Psolus squamatus,Andy Lamb,historical,reported,1,2008
Andy Lamb,Pteraster tesselatus,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Ptilichthys goodei,Andy Lamb,historical,reported,1,2006
Andy Lamb,Pugettia gracilis,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pugettia producta,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pycnoclavella stanleyi,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Pycnopodia helianthoides,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Pyura haustor,Andy Lamb,historical,reported,1,1969
Andy Lamb,Pyura mirabilis,Andy Lamb,historical,reported,1,2013
Andy Lamb,Rhamphocottus richardsonii,Andy Lamb,historical,confirmed,1,1981
Andy Lamb,Rhinogobiops nicholsii,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Rhinolithodes wosnessenskii,Andy Lamb,historical,reported,1,1994
Andy Lamb,Rhizocaulus verticillatus,Andy Lamb,historical,reported,1,2008
Andy Lamb,Ronquilus jordani,Andy Lamb,historical,reported,1,1971
Andy Lamb,Rostanga pulchra,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Salmacina tribranchiata,Andy Lamb,historical,reported,1,2006
Andy Lamb,Sarsia sp.,Andy Lamb,historical,reported,1,2009
Andy Lamb,Saxidomus gigantea,Andy Lamb,historical,confirmed,1,2006
Andy Lamb,Scabrotrophon maltzani,Andy Lamb,historical,reported,1,1985
Andy Lamb,Schizobranchia insignis,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Schizoporella japonica,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Schuchertinia allmanii,Andy Lamb,historical,reported,1,1985
Andy Lamb,Schuchertinia milleri,Andy Lamb,historical,reported,1,1985
Andy Lamb,Scorpaenichthys marmoratus,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Sebastes auriculatus,Andy Lamb,historical,reported,1,1973
Andy Lamb,Sebastes caurinus,Andy Lamb,historical,confirmed,1,1968
Andy Lamb,Sebastes diploproa,Andy Lamb,historical,reported,1,1971
Andy Lamb,Sebastes emphaeus,Andy Lamb,historical,confirmed,1,1993
Andy Lamb,Sebastes flavidus,Andy Lamb,historical,confirmed,1,1971
Andy Lamb,Sebastes melanops,Andy Lamb,historical,reported,1,1993
Andy Lamb,Sebastes nigrocinctus,Andy Lamb,historical,reported,1,1971
Andy Lamb,Selaginopsis sp.,Andy Lamb,historical,reported,1,1985
Andy Lamb,Semele rubropicta,Andy Lamb,historical,reported,1,1999
Andy Lamb,Semibalanus cariosus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Semisuberites cribrosa,Andy Lamb,historical,reported,1,1985
Andy Lamb,Sertularella sp.,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Similiclava nivea,Andy Lamb,historical,reported,1,1985
Andy Lamb,Solaster endeca,Andy Lamb,historical,reported,1,2006
Andy Lamb,Solaster stimpsoni,Andy Lamb,historical,confirmed,1,1969
Andy Lamb,Solen sicarius,Andy Lamb,historical,reported,1,2007
Andy Lamb,Solmissus sp.,Andy Lamb,historical,reported,1,2009
Andy Lamb,Solmundaegina nematophora,Andy Lamb,historical,confirmed,1,2009
Andy Lamb,Spiochaetopterus costarum pottsi,Andy Lamb,historical,reported,1,1985
Andy Lamb,Stomphia coccinea,Andy Lamb,historical,reported,1,2008
Andy Lamb,Stomphia didemon,Andy Lamb,historical,reported,1,1971
Andy Lamb,Styela gibbsii,Andy Lamb,historical,reported,1,1985
Andy Lamb,Stylantheca papillosa,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Stylasterias forreri,Andy Lamb,historical,reported,1,1973
Andy Lamb,Stylatula elongata,Andy Lamb,historical,confirmed,1,2016
Andy Lamb,Suberites concinnus,Andy Lamb,historical,reported,1,1985
Andy Lamb,Suberites latus,Andy Lamb,historical,reported,1,2007
Andy Lamb,Sycon sp.,Andy Lamb,historical,reported,1,1994
Andy Lamb,Synchirus gilli,Andy Lamb,historical,reported,1,1996
Andy Lamb,Syngnathus leptorhynchus,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Terebratalia transversa,Andy Lamb,historical,reported,1,1981
Andy Lamb,Tethya californiana,Andy Lamb,historical,reported,1,1981
Andy Lamb,Thelepus sp.,Andy Lamb,historical,confirmed,1,1985
Andy Lamb,Thrombophyton trachydermum,Andy Lamb,historical,confirmed,1,2009
Andy Lamb,Thuiaria sp.,Andy Lamb,historical,reported,1,2006
Andy Lamb,Thuiaria thuja,Andy Lamb,historical,reported,1,1985
Andy Lamb,Tochuina gigantea,Andy Lamb,historical,confirmed,1,1973
Andy Lamb,Tomopteris sp.,Andy Lamb,historical,confirmed,1,2010
