Taxon,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,PERIOD,Richness
Poa pratensis,confirmed,observed,1975-05-31,Angela Wood,1980,137
Quercus garryana var. garryana,confirmed,observed,1975-05-31,Angela Wood,1980,137
Myosotis discolor,confirmed,observed,1975-06-03,Angela Wood,1980,137
Capsella bursa-pastoris,confirmed,observed,1975-06-04,Angela Wood,1980,137
Lupinus polyphyllus var. polyphyllus,reported,unobserved,1975-06-04,Angela Wood,1980,137
Raphanus raphanistrum,confirmed,observed,1975-06-04,Angela Wood,1980,137
Grindelia stricta,confirmed,observed,1975-06-06,Angela Wood,1980,137
Anthoxanthum odoratum,confirmed,observed,1975-06-07,Angela Wood,1980,137
Ranunculus repens,confirmed,observed,1975-06-07,Angela Wood,1980,137
Ranunculus occidentalis var. occidentalis,confirmed,observed,1975-06-07,Harvey Janszen,1980,137
Stellaria crispa,confirmed,observed,1975-06-08,Angela Wood,1980,137
Myosotis scorpioides,confirmed,observed,1975-06-12,Angela Wood,1980,137
Hesperis matronalis,confirmed,observed,1975-06-14,Angela Wood,1980,137
Hordeum murinum ssp. murinum,confirmed,observed,1975-06-17,Angela Wood,1980,137
Juncus dudleyi,reported,unobserved,1975-06-17,Angela Wood,1980,137
Luzula multiflora ssp. multiflora,confirmed,observed,1975-06-17,Angela Wood,1980,137
Leucanthemum vulgare,confirmed,observed,1975-06-21,Angela Wood,1980,137
Silene latifolia,reported,unobserved,1975-06-28,Angela Wood,1980,137
Gaultheria shallon,confirmed,observed,1975-07-11,Angela Wood,1980,137
Lapsana communis,confirmed,observed,1975-07-14,Angela Wood,1980,137
Myosotis arvensis,confirmed,observed,1975-07-14,Angela Wood,1980,137
Bromus inermis,reported,unobserved,1975-07-18,Harvey Janszen,1980,137
Dianthus armeria,confirmed,observed,1975-07-18,Harvey Janszen,1980,137
Phalaris arundinacea,confirmed,observed,1975-07-18,Harvey Janszen,1980,137
Puccinellia nuttalliana,reported,unobserved,1975-07-18,T. C. Brayshaw,1980,137
Comarum palustre,confirmed,observed,1975-07-24,Angela Wood,1980,137
Phragmites australis ssp. americanus,reported,unobserved,1975-07-24,Angela Wood,1980,137
Carex lasiocarpa,confirmed,observed,1975-07-24,Harvey Janszen,1980,137
Platanthera elongata,confirmed,observed,1975-07-24,Harvey Janszen,1980,137
Acmispon americanus var. americanus,reported,unobserved,1975-08-04,Angela Wood,1980,137
Echium vulgare,confirmed,observed,1975-08-04,Angela Wood,1980,137
Juncus acuminatus,confirmed,observed,1975-08-04,Angela Wood,1980,137
Juncus bolanderi,confirmed,observed,1975-08-04,Angela Wood,1980,137
Polystichum munitum,confirmed,observed,1975-08-13,Angela Wood,1980,137
Spergularia rubra,confirmed,observed,1975-08-13,Angela Wood,1980,137
Alopecurus geniculatus,confirmed,observed,1975-08-15,Angela Wood,1980,137
Symphyotrichum chilense,confirmed,observed,1975-08-15,Angela Wood,1980,137
Torilis japonica,confirmed,observed,1976-07-13,Harvey Janszen,1980,137
Collomia heterophylla,confirmed,observed,1976-07-17,Harvey Janszen,1980,137
Juncus effusus ssp. pacificus,confirmed,observed,1978-01-01,Christopher Clement,1980,137
Salix prolixa,reported,unobserved,1978-01-01,Christopher Clement,1980,137
Athysanus pusillus,confirmed,observed,1978-03-27,Harvey Janszen,1980,137
Eleocharis palustris,confirmed,observed,1978-07-26,Christopher Clement,1980,137
Carex exsiccata,confirmed,observed,1978-07-26,,1980,137
Luzula macrantha,confirmed,observed,1979-03-31,Harvey Janszen,1980,137
Luzula subsessilis,confirmed,observed,1979-03-31,Harvey Janszen,1980,137
Aquilegia formosa,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Bromus vulgaris,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Dactylis glomerata,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Linnaea borealis ssp. longiflora,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Nasturtium officinale,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Ranunculus aquatilis,reported,unobserved,1979-06-08,Harvey Janszen,1980,137
Ranunculus flammula,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Ranunculus uncinatus,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Rosa rubiginosa,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Sceptridium multifidum,reported,unobserved,1979-06-08,Harvey Janszen,1980,137
Trisetum cernuum,confirmed,observed,1979-06-08,Harvey Janszen,1980,137
Arenaria serpyllifolia var. serpyllifolia,reported,unobserved,1979-06-28,Harvey Janszen,1980,137
Carex kelloggii var. limnophila,reported,unobserved,1979-06-28,Harvey Janszen,1980,137
Carex utriculata,reported,unobserved,1979-06-28,Harvey Janszen,1980,137
Juncus articulatus,confirmed,observed,1979-06-28,Harvey Janszen,1980,137
Juncus bufonius,confirmed,observed,1979-06-28,Harvey Janszen,1980,137
Monotropa uniflora,confirmed,observed,1979-06-28,Harvey Janszen,1980,137
Poa compressa,confirmed,observed,1979-06-28,Harvey Janszen,1980,137
Poa trivialis,confirmed,observed,1979-06-28,Harvey Janszen,1980,137
Thlaspi arvense,confirmed,observed,1979-06-28,Harvey Janszen,1980,137
Carex leptalea,confirmed,observed,1979-07-07,Harvey Janszen,1980,137
Juncus ensifolius,confirmed,observed,1979-07-07,Harvey Janszen,1980,137
Agrostis scabra,reported,unobserved,1979-07-09,Harvey Janszen,1980,137
Cotoneaster simonsii,confirmed,observed,1979-07-09,Harvey Janszen,1980,137
Glyceria borealis,reported,unobserved,1979-07-09,Harvey Janszen,1980,137
Juncus tenuis,confirmed,observed,1979-07-09,Harvey Janszen,1980,137
Sagina procumbens,confirmed,observed,1979-08-06,Harvey Janszen,1980,137
Myriophyllum spicatum,reported,unobserved,1979-08-15,Harvey Janszen,1980,137
Puccinellia pumila,reported,unobserved,1979-08-15,Harvey Janszen,1980,137
Spergularia canadensis var. occidentalis,confirmed,observed,1979-08-15,Harvey Janszen,1980,137
Amaranthus powellii,confirmed,observed,1980-01-01,Harvey Janszen,1980,137
Amelanchier alnifolia,confirmed,observed,1980-03-29,Hans Roemer,1980,137
Frangula purshiana,confirmed,observed,1980-03-29,Hans Roemer,1980,137
Erodium cicutarium ssp. cicutarium,confirmed,observed,1980-04-02,Harvey Janszen,1980,137
Equisetum telmateia ssp. braunii,confirmed,observed,1980-04-11,Harvey Janszen,1980,137
Meconella oregana,confirmed,observed,1980-04-11,Harvey Janszen,1980,137
Plagiobothrys tenellus,reported,unobserved,1980-04-11,Harvey Janszen,1980,137
Thysanocarpus curvipes,confirmed,observed,1980-04-11,Harvey Janszen,1980,137
Circaea alpina ssp. pacifica,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Juncus balticus,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Mentha canadensis,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Pteridium aquilinum ssp. pubescens,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Salix scouleriana,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Salix sitchensis,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Stachys chamissonis var. cooleyae,confirmed,observed,1980-04-12,Harvey Janszen,1980,137
Castilleja hispida,confirmed,observed,1980-05-04,V. J. Krajina,1980,137
Equisetum hyemale ssp. affine,confirmed,observed,1981-01-01,Harvey Janszen,1990,223
Aira praecox,confirmed,observed,1981-04-27,Harvey Janszen,1990,223
Poa secunda,confirmed,observed,1981-04-27,Harvey Janszen,1990,223
Delphinium menziesii,confirmed,observed,1981-05-07,Harvey Janszen,1990,223
Lepidium virginicum ssp. menziesii,confirmed,observed,1981-05-11,Harvey Janszen,1990,223
Trifolium dichotomum,confirmed,observed,1981-05-11,Harvey Janszen,1990,223
Trifolium subterraneum,confirmed,observed,1981-05-11,Harvey Janszen,1990,223
Lupinus arboreus,reported,unobserved,1981-05-21,Harvey Janszen,1990,223
Sagina decumbens ssp. occidentalis,confirmed,observed,1981-05-21,Harvey Janszen,1990,223
Anthoxanthum aristatum ssp. aristatum,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Barbarea orthoceras,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Brodiaea coronaria,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Bromus sitchensis,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Erysimum cheiranthoides,reported,unobserved,1981-07-07,Harvey Janszen,1990,223
Platanthera unalascensis,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Spergularia marina,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Trifolium campestre,confirmed,observed,1981-07-07,Harvey Janszen,1990,223
Actaea rubra,reported,unobserved,1981-07-16,Harvey Janszen,1990,223
Agrostis capillaris,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Agrostis exarata,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Alopecurus pratensis,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Arrhenatherum elatius ssp. elatius,reported,unobserved,1981-07-16,Harvey Janszen,1990,223
Avena sativa,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Carex cusickii,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Danthonia californica,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Hemitomes congestum,reported,unobserved,1981-07-16,Harvey Janszen,1990,223
Phragmites australis ssp. australis,reported,unobserved,1981-07-16,Harvey Janszen,1990,223
Symphytum officinale,confirmed,observed,1981-07-16,Harvey Janszen,1990,223
Hordeum jubatum,reported,unobserved,1981-07-28,Harvey Janszen,1990,223
Leptosiphon minimus,confirmed,observed,1982-05-10,Harvey Janszen,1990,223
Microsteris gracilis,confirmed,observed,1982-05-10,Harvey Janszen,1990,223
Allotropa virgata,confirmed,observed,1982-06-05,Harvey Janszen,1990,223
Ranunculus sardous,confirmed,observed,1982-06-05,Harvey Janszen,1990,223
Glyceria leptostachya,reported,unobserved,1982-07-20,Harvey Janszen,1990,223
Lomatium papilioniferum,confirmed,observed,1982-07-23,Harvey Janszen,1990,223
Rorippa palustris ssp. palustris,reported,unobserved,1982-08-14,Harvey Janszen,1990,223
Sisymbrium altissimum,reported,unobserved,1982-08-14,Harvey Janszen,1990,223
Crassula connata,reported,unobserved,1983-03-27,Harvey Janszen,1990,223
Aphanes occidentalis,confirmed,observed,1983-05-01,Gerald B. Straley,1990,223
Montia dichotoma,confirmed,observed,1983-05-01,Gerald B. Straley,1990,223
Stellaria nitens,confirmed,observed,1983-05-01,Gerald B. Straley,1990,223
Trifolium variegatum,confirmed,observed,1983-05-01,Gerald B. Straley,1990,223
Triphysaria pusilla,confirmed,observed,1983-05-01,Gerald B. Straley,1990,223
Amsinckia menziesii,confirmed,observed,1984-06-02,Harvey Janszen,1990,223
Apocynum androsaemifolium,reported,unobserved,1984-06-02,Harvey Janszen,1990,223
Poa nemoralis,reported,unobserved,1984-06-02,Harvey Janszen,1990,223
Primula pauciflora var. pauciflora,reported,unobserved,1984-06-02,Harvey Janszen,1990,223
Zostera marina,confirmed,observed,1985-12-08,Andy Lamb & Donna Gibbs,1990,223
Cynosurus echinatus,confirmed,observed,1986-08-03,Gerald B. Straley,1990,223
Gnaphalium palustre,confirmed,observed,1986-08-03,Gerald B. Straley,1990,223
Silene coronaria,confirmed,observed,1986-08-03,Gerald B. Straley,1990,223
Cirsium brevistylum,confirmed,observed,1986-08-16,William J. Crins,1990,223
Deschampsia elongata,confirmed,observed,1986-08-16,William J. Crins,1990,223
Epilobium ciliatum,confirmed,observed,1986-08-16,William J. Crins,1990,223
Epilobium minutum,confirmed,observed,1986-08-16,William J. Crins,1990,223
Erythranthe moschata,confirmed,observed,1986-08-16,William J. Crins,1990,223
Galium triflorum,confirmed,observed,1986-08-16,William J. Crins,1990,223
Holcus lanatus,confirmed,observed,1986-08-16,William J. Crins,1990,223
Luzula comosa var. laxa,confirmed,observed,1986-08-16,William J. Crins,1990,223
Melica smithii,reported,unobserved,1986-08-16,William J. Crins,1990,223
Melica subulata,confirmed,observed,1986-08-16,William J. Crins,1990,223
Melica smithii × subulata,reported,unobserved,1986-08-16,William J. Crins,1990,223
Osmorhiza berteroi,confirmed,observed,1986-08-16,William J. Crins,1990,223
Senecio sylvaticus,confirmed,observed,1986-08-16,William J. Crins,1990,223
Veronica americana,confirmed,observed,1986-08-16,William J. Crins,1990,223
Veronica arvensis,confirmed,observed,1986-08-16,William J. Crins,1990,223
Anisocarpus madioides,confirmed,observed,1986-08-17,William J. Crins,1990,223
Madia exigua,confirmed,observed,1986-08-17,William J. Crins,1990,223
Nemophila parviflora,confirmed,observed,1986-08-17,William J. Crins,1990,223
Selaginella wallacei,confirmed,observed,1986-08-17,William J. Crins,1990,223
Fumaria reuteri,confirmed,observed,1987-05-02,Gerald B. Straley,1990,223
Sherardia arvensis,confirmed,observed,1987-05-02,Gerald B. Straley,1990,223
Phacelia tanacetifolia,reported,unobserved,1987-07-08,Gerald B. Straley,1990,223
Agoseris heterophylla ssp. heterophylla,confirmed,observed,1988-04-23,Gerald B. Straley,1990,223
Montia linearis,confirmed,observed,1988-04-23,Gerald B. Straley,1990,223
Bellis perennis,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Draba verna,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Oemleria cerasiformis,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Prunus laurocerasus,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Rubus bifrons,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Rubus laciniatus,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Shepherdia canadensis,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Viola odorata,confirmed,observed,1989-04-06,Gerald B. Straley,1990,223
Daphne laureola,confirmed,observed,1989-04-06,Gerald Straley & K. Nichols,1990,223
Rubus spectabilis,confirmed,observed,1989-04-23,Gerald B. Straley,1990,223
Perideridia montana,confirmed,observed,1989-08-22,Gerald B. Straley,1990,223
Verbascum phlomoides,confirmed,observed,1992-07-23,T. M. Taylor,2000,562
Sanicula bipinnatifida,reported,unobserved,1993-04-26,Hans Roemer,2000,562
Erythranthe nasuta,confirmed,observed,1993-05-19,Bev Benedict,2000,562
Ceanothus sanguineus,reported,unobserved,1995-05-11,Hans Roemer,2000,562
Koeleria macrantha,confirmed,observed,1995-05-11,Hans Roemer,2000,562
Salix lasiandra var. lasiandra,confirmed,observed,1995-05-11,Hans Roemer,2000,562
Ceratophyllum echinatum,confirmed,observed,1996-05-01,"Harvey Janszen, Jenifer Penny & Charlotte Norris",2000,562
Allium cernuum,confirmed,observed,1996-05-21,"Jenifer Penny, Charlotte Norris, & Harvey Janszen",2000,562
Castilleja attenuata,confirmed,observed,1996-05-21,"Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen",2000,562
Cystopteris fragilis,confirmed,observed,1996-05-22,"Harvey Janszen, Jenifer Penny & Charlotte Norris",2000,562
Cardamine hirsuta,confirmed,observed,2000-01-01,Kent Brothers,2000,562
Claytonia parviflora,confirmed,observed,2000-01-01,Kent Brothers,2000,562
Goodyera oblongifolia,confirmed,observed,2000-01-01,Kent Brothers,2000,562
Poa bulbosa,confirmed,observed,2000-01-01,Kent Brothers,2000,562
Taxus brevifolia,confirmed,observed,2000-01-01,Kent Brothers,2000,562
Urtica dioica,confirmed,observed,2000-01-01,Kent Brothers,2000,562
Agrostis gigantea,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Alnus rubra,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Athyrium filix-femina ssp. cyclosorum,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Carex aquatilis var. dives,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Carex canescens ssp. canescens,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Carex echinata ssp. echinata,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Carex livida,reported,unobserved,2000-06-12,Hans Roemer,2000,562
Carex obnupta,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Cicuta douglasii,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Drosera rotundifolia,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Eriophorum chamissonis,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Galium trifidum,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Kalmia microphylla var. occidentalis,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Lemna minuta,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Lemna trisulca,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Ludwigia palustris,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Lycopus uniflorus,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Lysichiton americanus,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Lysimachia europaea ssp. arctica,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Lysimachia thyrsiflora,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Nuphar polysepala,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Oenanthe sarmentosa,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Persicaria amphibia,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Pinus monticola,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Potamogeton natans,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Potamogeton pusillus,reported,unobserved,2000-06-12,Hans Roemer,2000,562
Pseudotsuga menziesii var. menziesii,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Rhododendron groenlandicum,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Rhynchospora alba,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Rubus ursinus,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Scirpus microcarpus,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Sparganium emersum,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Sparganium natans,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Spiraea douglasii var. douglasii,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Thuja plicata,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Tsuga heterophylla,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Typha latifolia,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Vaccinium oxycoccos,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Veronica scutellata,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Viola macloskeyi,confirmed,observed,2000-06-12,Hans Roemer,2000,562
Abies grandis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Acer glabrum var. douglasii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Acer macrophyllum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Achillea millefolium complex,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Achlys triphylla,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Acmispon denticulatus,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Acmispon parviflorus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Adenocaulon bicolor,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Agoseris grandiflora var. leptophylla,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Alcea rosea,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Allium amplectens,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Anaphalis margaritacea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Andromeda polifolia var. polifolia,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Angelica genuflexa,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Anthemis cotula,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Anthriscus caucalis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Aphanes arvensis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Aphyllon californicum ssp. californicum,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Arbutus menziesii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Arctostaphylos × media,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Arctostaphylos uva-ursi,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Artemisia campestris ssp. pacifica,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Artemisia suksdorfii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Atriplex patula,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Bellardia viscosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Berberis aquifolium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Berberis nervosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Betula papyrifera,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Bolboschoenus maritimus ssp. paludosus,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Bromus diandrus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Buddleja davidii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Calandrinia ciliata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Callitriche heterophylla var. bolanderi,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Calystegia sepium ssp. sepium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Camassia quamash ssp. quamash,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Campanula rotundifolia,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Campanula scouleri,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Carex arcta,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Carex aurea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Carex echinata ssp. phyllomanica,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Carex flava,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Carex hendersonii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Carex inops ssp. inops,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Carex lyngbyei,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Carex pachystachya,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Carex viridula ssp. viridula,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Centaurium erythraea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cerastium fontanum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cerastium glomeratum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Chamaenerion angustifolium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Chenopodium album,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Chimaphila umbellata ssp. umbellata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cichorium intybus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cinna latifolia,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Circaea alpina,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cirsium arvense,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cirsium vulgare,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Claytonia perfoliata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Clinopodium douglasii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Collinsia grandiflora,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Collinsia parviflora,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Consolida ajacis,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Convolvulus arvensis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Corallorhiza maculata var. occidentalis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Corallorhiza striata var. striata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cornus nuttallii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cornus sericea ssp. occidentalis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Crataegus douglasii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Crataegus monogyna,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Crepis capillaris,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
