scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup,report_detail
Adiantum aleuticum var. aleuticum,(Rupr.) Paris,Western Maidenhair Fern,Plantae,Tracheophyta,NA,NA,Polypodiopsida,Polypodiidae,NA,Polypodiales,Pteridineae,NA,NA,Pteridaceae,Vittarioideae,NA,Adiantum,aleuticum,aleuticum,NA,NA,accepted,947668,Adiantum aleuticum aleuticum,Adiantum aleuticum aleuticum,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Adiantum aleuticum,western maiden-hair fern,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Adiantum aleuticum var. aleuticum,Adiantum aleuticum var. aleuticum,VASCULAR PLANTS,VASCULAR PLANTS,NA
Aegopodium podagraria,L.,Goutweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Apiales,NA,NA,NA,Apiaceae,Apioideae,Careae,Aegopodium,podagraria,NA,NA,NA,accepted,51741,Aegopodium podagraria,Aegopodium podagraria,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Aegopodium podagraria,goutweed,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aegopodium podagraria,Aegopodium podagraria,VASCULAR PLANTS,VASCULAR PLANTS,NA
Aesculus hippocastanum,L.,horse-chestnut,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Sapindales,NA,NA,NA,Sapindaceae,NA,NA,Aesculus,hippocastanum,NA,NA,NA,accepted,84298,Aesculus hippocastanum,Aesculus hippocastanum,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Aesculus hippocastanum,horse chestnut,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aesculus hippocastanum,Aesculus hippocastanum,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agoseris aurantiaca var. aurantiaca,(Hook.) Greene,Orange Agoseris,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Asterales,NA,NA,NA,Asteraceae,Cichorioideae,Cichorieae,Agoseris,aurantiaca,aurantiaca,NA,NA,accepted,80329,Agoseris aurantiaca aurantiaca,Agoseris aurantiaca aurantiaca,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agoseris aurantiaca,orange agoseris,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agoseris aurantiaca var. aurantiaca,Agoseris aurantiaca var. aurantiaca,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agoseris glauca,(Pursh) Raf.,Pale agoseris,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Asterales,NA,NA,NA,Asteraceae,Cichorioideae,Cichorieae,Agoseris,glauca,NA,NA,NA,accepted,75303,Agoseris glauca,Agoseris glauca,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agoseris glauca,NA,S5,2020,Yellow,NA,NA,NA,NA,NA,MANUAL,NA,NA,NA,NA,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agoseris grandiflora var. leptophylla,(Nutt.) Greene,Puget Sound agoseris,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Asterales,NA,NA,NA,Asteraceae,Cichorioideae,Cichorieae,Agoseris,grandiflora,leptophylla,NA,NA,accepted,80332,Agoseris grandiflora leptophylla,Agoseris grandiflora leptophylla,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agoseris grandiflora,large-flowered agoseris,S5,Feb 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agoseris grandiflora var. leptophylla,Agoseris grandiflora var. leptophylla,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis canina,L.,Velvet Bent,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,canina,NA,NA,NA,accepted,158132,Agrostis canina,Agrostis canina,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis canina,velvet bentgrass,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis canina,Agrostis canina,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis capillaris,L.,colonial bent,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,capillaris,NA,NA,NA,accepted,75312,Agrostis capillaris,Agrostis capillaris,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis capillaris,colonial bentgrass,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis capillaris,Agrostis capillaris,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis exarata,Trin.,Pacific bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,exarata,NA,NA,NA,accepted,59088,Agrostis exarata,Agrostis exarata,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis exarata,spike bentgrass,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis exarata,Agrostis exarata,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis gigantea,Roth,redtop,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,gigantea,NA,NA,NA,accepted,75314,Agrostis gigantea,Agrostis gigantea,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis gigantea,redtop,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis gigantea,Agrostis gigantea,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis mertensii,Trin.,Arctic Bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,mertensii,NA,NA,NA,accepted,158138,Agrostis mertensii,Agrostis mertensii,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis mertensii,northern bentgrass,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis mertensii,Agrostis mertensii,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis scabra,Willd.,Rough Bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,scabra,NA,NA,NA,accepted,75319,Agrostis scabra,Agrostis scabra,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis scabra,hair bentgrass,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis scabra,Agrostis scabra,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis stolonifera,L.,Creeping Bent,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,stolonifera,NA,NA,NA,accepted,69931,Agrostis stolonifera,Agrostis stolonifera,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis stolonifera,creeping bentgrass,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis stolonifera,Agrostis stolonifera,VASCULAR PLANTS,VASCULAR PLANTS,NA
Agrostis variabilis,Rydb.,mountain bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Agrostis,variabilis,NA,NA,NA,accepted,75320,Agrostis variabilis,Agrostis variabilis,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Agrostis variabilis,mountain bentgrass,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Agrostis variabilis,Agrostis variabilis,VASCULAR PLANTS,VASCULAR PLANTS,NA
Ailanthus altissima,(Mill.) Swingle,tree-of-heaven,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Sapindales,NA,NA,NA,Simaroubaceae,NA,NA,Ailanthus,altissima,NA,NA,NA,accepted,57278,Ailanthus altissima,Ailanthus altissima,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Ailanthus altissima,tree of heaven,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ailanthus altissima,Ailanthus altissima,VASCULAR PLANTS,VASCULAR PLANTS,NA
Aira caryophyllea,L.,Silver Hairgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Aira,caryophyllea,NA,NA,NA,accepted,52694,Aira caryophyllea,Aira caryophyllea,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Aira caryophyllea,silver hairgrass,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aira caryophyllea,Aira caryophyllea,VASCULAR PLANTS,VASCULAR PLANTS,NA
Aira praecox,L.,early hair grass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Poales,NA,NA,NA,Poaceae,Pooideae,Poeae,Aira,praecox,NA,NA,NA,accepted,61058,Aira praecox,Aira praecox,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Aira praecox,early hairgrass,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aira praecox,Aira praecox,VASCULAR PLANTS,VASCULAR PLANTS,NA
Ajuga reptans,L.,carpet bugle,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Lamiales,NA,NA,NA,Lamiaceae,Ajugoideae,NA,Ajuga,reptans,NA,NA,NA,accepted,56099,Ajuga reptans,Ajuga reptans,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Ajuga reptans,bugle-weed,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Ajuga reptans,Ajuga reptans,VASCULAR PLANTS,VASCULAR PLANTS,NA
Alchemilla mollis,(Buser) Rothm.,Garden Lady's-mantle,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Rosales,NA,NA,NA,Rosaceae,Rosoideae,Potentilleae,Alchemilla,mollis,NA,NA,NA,accepted,56022,Alchemilla mollis,Alchemilla mollis,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Alchemilla mollis,lady's mantle,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alchemilla mollis,Alchemilla mollis,VASCULAR PLANTS,VASCULAR PLANTS,NA
Alchemilla monticola,"Opiz, 1838",Velvet Lady's-mantle,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Rosales,NA,NA,NA,Rosaceae,Rosoideae,Potentilleae,Alchemilla,monticola,NA,NA,NA,accepted,158149,Alchemilla monticola,Alchemilla monticola,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Alchemilla monticola,hairy lady's mantle,SNA,Apr 2019,Exotic,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alchemilla monticola,Alchemilla monticola,VASCULAR PLANTS,VASCULAR PLANTS,NA
Allium amplectens,Torr.,narrowleaf onion,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Asparagales,NA,NA,NA,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,NA,NA,NA,accepted,60267,Allium amplectens,Allium amplectens,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Allium amplectens,slimleaf onion,S3,Apr 2019,Blue,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Allium amplectens,Allium amplectens,VASCULAR PLANTS,VASCULAR PLANTS,NA
Allium cernuum,Roth,nodding onion,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Asparagales,NA,NA,NA,Amaryllidaceae,Allioideae,Allieae,Allium,cernuum,NA,NA,NA,accepted,116364,Allium cernuum,Allium cernuum,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Allium cernuum,nodding onion,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Allium cernuum,Allium cernuum,VASCULAR PLANTS,VASCULAR PLANTS,NA
Allium schoenoprasum,L.,Chives,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,NA,NA,Asparagales,NA,NA,NA,Amaryllidaceae,Allioideae,Allieae,Allium,schoenoprasum,NA,NA,NA,accepted,59254,Allium schoenoprasum,Allium schoenoprasum,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Allium schoenoprasum,wild chives,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Allium schoenoprasum,Allium schoenoprasum,VASCULAR PLANTS,VASCULAR PLANTS,NA
Allotropa virgata,Torr. & A. Gray,sugarstick,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Ericales,NA,NA,NA,Ericaceae,Monotropoideae,NA,Allotropa,virgata,NA,NA,NA,accepted,62481,Allotropa virgata,Allotropa virgata,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Allotropa virgata,candystick,S4,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Allotropa virgata,Allotropa virgata,VASCULAR PLANTS,VASCULAR PLANTS,NA
Alnus alnobetula ssp. sinuata,(Ehrh.) K.Koch,Sitka Alder,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,NA,NA,Fagales,NA,NA,NA,Betulaceae,NA,NA,Alnus,alnobetula,NA,sinuata,NA,accepted,939032,Alnus alnobetula sinuata,Alnus alnobetula sinuata,NA,NA,Howe_Sound_vascular_plants_reviewed.csv,SRC_VASCULAR_PLANTS,NA,Alnus alnobetula,Sitka alder,S5,Dec 2000,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Alnus alnobetula ssp. sinuata,Alnus alnobetula ssp. sinuata,VASCULAR PLANTS,VASCULAR PLANTS,NA
