scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG,source_file,source_code,linkTaxonID,genus_species,commonName_rankings,provincial_status,Prov Status Review Date,bc_list,national_status,COSEWIC Date,SARA Schedule,SARA_status,SARA Date,match_pass,matched_on_source_field,matched_on_ranking_field,matched_value_source,matched_value_ranking,report_group,report_supergroup,report_detail
Aspicilia sp.,A. Massal.,Sunken Disk Lichens,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,Pertusariales,NA,NA,NA,Megasporaceae,NA,NA,Aspicilia,NA,NA,NA,NA,accepted,175944,Aspicilia,Aspicilia,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LICHENS,LICHENS,NA
Aspicilia verrucigera,Hue,NA,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,Pertusariales,NA,NA,NA,Megasporaceae,NA,NA,Aspicilia,verrucigera,NA,NA,NA,accepted,205524,Aspicilia verrucigera,Aspicilia verrucigera,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Aspicilia verrucigera,NA,SU,Feb 2020,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Aspicilia verrucigera,Aspicilia verrucigera,LICHENS,LICHENS,NA
Baeomyces rufus,(Hudson) Rebent.,Brown Beret Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,Baeomycetales,NA,NA,NA,Baeomycetaceae,NA,NA,Baeomyces,rufus,NA,NA,NA,accepted,180422,Baeomyces rufus,Baeomyces rufus,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Baeomyces rufus,crust beret,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Baeomyces rufus,Baeomyces rufus,LICHENS,LICHENS,NA
Blastenia ammiospila,(Wahlenb.) H. Olivier,Cinnamon Firedot Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Teloschistales,NA,NA,NA,Teloschistaceae,Caloplacoideae,NA,Blastenia,ammiospila,NA,NA,NA,accepted,508845,Blastenia ammiospila,Blastenia ammiospila,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Blastenia ammiospila,NA,SU,Feb 2020,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Blastenia ammiospila,Blastenia ammiospila,LICHENS,LICHENS,NA
Bryoria americana,(Motyka) Holien,Elegant Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Bryoria,americana,NA,NA,NA,accepted,532067,Bryoria americana,Bryoria americana,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Bryoria americana,elegant horsehair,S4S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Bryoria americana,Bryoria americana,LICHENS,LICHENS,NA
Bryoria fuscescens,(Gyel.) Brodo & D. Hawksw.,Pale-footed Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Bryoria,fuscescens,NA,NA,NA,accepted,117927,Bryoria fuscescens,Bryoria fuscescens,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Bryoria fuscescens,pale-footed horsehair,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Bryoria fuscescens,Bryoria fuscescens,LICHENS,LICHENS,NA
Bryoria glabra,(Motyka) Brodo & D. Hawksw.,Shiny Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Bryoria,glabra,NA,NA,NA,accepted,205668,Bryoria glabra,Bryoria glabra,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Bryoria glabra,wire horsehair,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Bryoria glabra,Bryoria glabra,LICHENS,LICHENS,NA
Bryoria pseudofuscescens,(Gyelnik) Brodo & D. Hawksw.,Mountain Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Bryoria,pseudofuscescens,NA,NA,NA,accepted,205673,Bryoria pseudofuscescens,Bryoria pseudofuscescens,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Bryoria pseudofuscescens,mountain horsehair,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Bryoria pseudofuscescens,Bryoria pseudofuscescens,LICHENS,LICHENS,NA
Bryoria trichodes,(Michx.) Brodo & D. Hawksw.,Horsehair Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Bryoria,trichodes,NA,NA,NA,accepted,182663,Bryoria trichodes,Bryoria trichodes,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Bryoria trichodes,inelegant horsehair lichen,SU,Apr 2025,Unknown,NA,NA,NA,NA,NA,PASS_4_GENUS_SPECIES_STRING,genus_species,genus_species,Bryoria trichodes,Bryoria trichodes,LICHENS,LICHENS,NA
Buellia erubescens,Arnold,Common Button Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Caliciales,NA,NA,NA,Caliciaceae,NA,NA,Buellia,erubescens,NA,NA,NA,accepted,205689,Buellia erubescens,Buellia erubescens,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Buellia erubescens,NA,S4S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Buellia erubescens,Buellia erubescens,LICHENS,LICHENS,NA
Buellia griseovirens,(Turner & Borrer ex Sm.) Almb.,NA,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Caliciales,NA,NA,NA,Caliciaceae,NA,NA,Buellia,griseovirens,NA,NA,NA,accepted,215538,Buellia griseovirens,Buellia griseovirens,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Buellia griseovirens,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Buellia griseovirens,Buellia griseovirens,LICHENS,LICHENS,NA
Buellia muriformis,(Ach.) Tuck.,NA,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Caliciales,NA,NA,NA,Caliciaceae,NA,NA,Buellia,muriformis,NA,NA,NA,accepted,215555,Buellia muriformis,Buellia muriformis,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Buellia muriformis,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Buellia muriformis,Buellia muriformis,LICHENS,LICHENS,NA
Calicium viride,Pers.,Green Stubble Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Caliciales,NA,NA,NA,Caliciaceae,NA,NA,Calicium,viride,NA,NA,NA,accepted,207863,Calicium viride,Calicium viride,NA,!!,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Calicium viride,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Calicium viride,Calicium viride,LICHENS,LICHENS,NA
Caloplaca atrosanguinea,(Turner) J.R. Laundon,NA,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Teloschistales,NA,NA,NA,Teloschistaceae,Caloplacoideae,NA,Caloplaca,atrosanguinea,NA,NA,NA,accepted,215787,Caloplaca atrosanguinea,Caloplaca atrosanguinea,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Caloplaca atrosanguinea,NA,SU,Feb 2020,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Caloplaca atrosanguinea,Caloplaca atrosanguinea,LICHENS,LICHENS,NA
Candelariella sp.,,Goldspeck Lichens,Fungi,Ascomycota,Pezizomycotina,NA,Lichinomycetes,NA,NA,Candelariales,NA,NA,NA,Candelariaceae,NA,NA,Candelariella,NA,NA,NA,NA,accepted,155094,Candelariella,Candelariella,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LICHENS,LICHENS,NA
Cetraria aculeata,(Schreber) Ach,Spiny Heath Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Cetraria,aculeata,NA,NA,NA,unaccepted,54351,Cetraria aculeata,Cetraria aculeata,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cetraria aculeata,spiny heath,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cetraria aculeata,Cetraria aculeata,LICHENS,LICHENS,NA
Cetraria ericetorum var. reticulata,(Räsänen) Kärnefelt,Net-forming Iceland Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Cetraria,ericetorum,reticulata,NA,NA,accepted,210373,Cetraria ericetorum reticulata,Cetraria ericetorum,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cetraria ericetorum,hyphenated icelandmoss,S5,Apr 2018,Yellow,NA,NA,NA,NA,NA,PASS_2_VARIETY_STRING,variety,variety,reticulata,Cetraria ericetorum reticulata,LICHENS,LICHENS,NA
Cetraria islandica,(L.) Ach.,Iceland Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Cetraria,islandica,NA,NA,NA,accepted,180450,Cetraria islandica,Cetraria islandica,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cetraria islandica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LICHENS,LICHENS,NA
Cetrelia cetrarioides,(Duby) Culb. & C. Culb.,Speckled Rag Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Parmeliaceae,Parmelioideae,NA,Cetrelia,cetrarioides,NA,NA,NA,accepted,154457,Cetrelia cetrarioides,Cetrelia cetrarioides,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cetrelia cetrarioides,downside seastorm,S5,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cetrelia cetrarioides,Cetrelia cetrarioides,LICHENS,LICHENS,NA
Chaenotheca furfuracea,(L.) Tibell,Sulphur Stubble Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lichinomycetes,NA,NA,Coniocybales,NA,NA,NA,Coniocybaceae,NA,NA,Chaenotheca,furfuracea,NA,NA,NA,accepted,117939,Chaenotheca furfuracea,Chaenotheca furfuracea,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Chaenotheca furfuracea,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Chaenotheca furfuracea,Chaenotheca furfuracea,LICHENS,LICHENS,NA
Circinaria contorta,(Hoffm.) A. Nordin,Chiseled Sunken Disk Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,Pertusariales,NA,NA,NA,Megasporaceae,NA,NA,Circinaria,contorta,NA,NA,NA,accepted,462706,Circinaria contorta,Circinaria contorta,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Circinaria contorta,NA,S5,Feb 2020,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Circinaria contorta,Circinaria contorta,LICHENS,LICHENS,NA
Circinaria leprosescens,(Anzi) A. Nordin,NA,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Ostropomycetidae,NA,Pertusariales,NA,NA,NA,Megasporaceae,NA,NA,Circinaria,leprosescens,NA,NA,NA,accepted,462710,Circinaria leprosescens,Circinaria leprosescens,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Circinaria leprosescens,NA,SU,Feb 2020,Unknown,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Circinaria leprosescens,Circinaria leprosescens,LICHENS,LICHENS,NA
Cladonia albonigra,Brodo & Ahti,Black-footed Pixie Cup,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,albonigra,NA,NA,NA,accepted,194699,Cladonia albonigra,Cladonia albonigra,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia albonigra,black-foot pixie-cup,S4,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia albonigra,Cladonia albonigra,LICHENS,LICHENS,NA
Cladonia arbuscula ssp. beringiana,(Wallr.) Hale & Culb.,Bering Reindeer Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,arbuscula,NA,beringiana,NA,accepted,340871,Cladonia arbuscula beringiana,Cladonia arbuscula beringiana,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia arbuscula,mesomorphic reindeer,S5,Apr 2018,Yellow,NA,NA,NA,NA,NA,PASS_3_SUBSPECIES_STRING,subspecies,subspecies,beringiana,Cladonia arbuscula beringiana,LICHENS,LICHENS,NA
Cladonia arbuscula ssp. mitis,Sandst.,Green Reindeer Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,arbuscula,NA,mitis,NA,accepted,462714,Cladonia arbuscula mitis,Cladonia arbuscula mitis,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia arbuscula,ectomorphic reindeer,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_3_SUBSPECIES_STRING,subspecies,subspecies,mitis,Cladonia arbuscula mitis,LICHENS,LICHENS,NA
Cladonia asahinae,J.W. Thomson,Western Pixie-cup,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,asahinae,NA,NA,NA,accepted,210582,Cladonia asahinae,Cladonia asahinae,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia asahinae,Asahina's pixie-cup,S4,Apr 2019,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia asahinae,Cladonia asahinae,LICHENS,LICHENS,NA
Cladonia bellidiflora,(Ach.) Schaer.,Toy Soldiers,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,bellidiflora,NA,NA,NA,accepted,123391,Cladonia bellidiflora,Cladonia bellidiflora,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia bellidiflora,floral pixie,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia bellidiflora,Cladonia bellidiflora,LICHENS,LICHENS,NA
Cladonia borealis,S. Stenroos,Boreal Cup Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,borealis,NA,NA,NA,accepted,217075,Cladonia borealis,Cladonia borealis,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia borealis,boreal pixie-cup,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia borealis,Cladonia borealis,LICHENS,LICHENS,NA
Cladonia cariosa,(Ach.) Sprengel,Split-peg Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,cariosa,NA,NA,NA,accepted,179750,Cladonia cariosa,Cladonia cariosa,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia cariosa,lesser ribbed pixie,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia cariosa,Cladonia cariosa,LICHENS,LICHENS,NA
Cladonia carneola,(Fr.) .Fr.,Crowned Pixie-cup,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,carneola,NA,NA,NA,accepted,194513,Cladonia carneola,Cladonia carneola,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia carneola,royal pixie-cup,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia carneola,Cladonia carneola,LICHENS,LICHENS,NA
Cladonia cenotea,(Ach.) Schaer.,Powdered Funnel Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,cenotea,NA,NA,NA,accepted,180456,Cladonia cenotea,Cladonia cenotea,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia cenotea,singing pixie,S5,Mar 2018,Yellow,NA,NA,NA,NA,NA,PASS_1_EXACT_SCIENTIFICNAME,scientificName,taxonName,Cladonia cenotea,Cladonia cenotea,LICHENS,LICHENS,NA
Cladonia cervicornis,(Ach.) Flot.,Browned Pixie-cup Lichen,Fungi,Ascomycota,Pezizomycotina,NA,Lecanoromycetes,Lecanoromycetidae,NA,Lecanorales,NA,NA,NA,Cladoniaceae,NA,NA,Cladonia,cervicornis,NA,NA,NA,accepted,54284,Cladonia cervicornis,Cladonia cervicornis,NA,NA,Howe_Sound_lichens_reviewed.csv,SRC_LICHENS,NA,Cladonia cervicornis,NA,S5,2019,Yellow,NA,NA,NA,NA,NA,MANUAL,NA,NA,NA,NA,LICHENS,LICHENS,NA
