"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"15","Agrostis capillaris","L.","","colonial bentgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Agrostis","capillaris","","","","exotic","unlisted","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113800","1949562802","2018-06-27","Andrew Simon","https://www.inaturalist.org/observations/13845807","","75312","VAS"
"16","Agrostis exarata","Trin.","","spike bentgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Agrostis","exarata","","","","native","S5","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113799","1949562759","2016-06-26","Andrew Simon","http://inaturalist.ca/observations/6677554","Reported asAgrostis exaratassp.minor (Hook.) C.L. Hitchc.(V113799)","59088","VAS"
"17","Agrostis gigantea","Roth","","redtop","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Agrostis","gigantea","","","","exotic","unlisted","","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","","","2020-07-10","Sylvie Hawkes","https://www.inaturalist.org/observations/52922478","","75314","VAS"
"18","Agrostis pallens","Trin.","","seashore bentgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Agrostis","pallens","","","","native","S4","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2022-06-12","Andrew Simon","https://www.inaturalist.org/observations/121538541","","52692","VAS"
"19","Agrostis scabra","Willd.","","hair bentgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Agrostis","scabra","","","","native","S5","","reported","unobserved","1979-07-09","Harvey Janszen","RBCM","V097864","1949546889","","","","","75319","VAS"
"20","Agrostis stolonifera","L.","","creeping bentgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Agrostis","stolonifera","","","","exotic","unlisted","","new 2021","observed","","","","","","2021-07-01","Andrew Simon","https://www.inaturalist.org/observations/85291237","","69931","VAS"
"21","Aira caryophyllea","L.","","silver hairgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Aira","caryophyllea","","","","exotic","unlisted","","confirmed","observed","1975-05-31","Angela Wood","RBCM","V097146","1949546264","2015-05-28","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2625010","","52694","VAS"
"22","Aira praecox","L.","","early hairgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Aira","praecox","","","","exotic","unlisted","","confirmed","observed","1981-04-27","Harvey Janszen","RBCM","V113537","1949562644","2016-07-10","Andrew Simon","http://www.inaturalist.org/observations/3664526","","61058","VAS"
"23","Ajuga reptans","L.","","bugle-weed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Lamiaceae","","","Ajuga","reptans","","","","exotic","unlisted","","new 2013","observed","","","","","","2013-04-21","Felix Erhard","http://www.inaturalist.org/observations/2588447","","56099","VAS"
"24","Alcea rosea","L.","","hollyhock","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Malvales","","","Malvaceae","","","Alcea","rosea","","","","exotic","unlisted","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","","62205","VAS"
"25","Allium acuminatum","Hook.","","Hooker's onion","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Amaryllidaceae","Allioideae","Allieae","Allium","acuminatum","","","","native","S5","","confirmed","observed","1958-05-18","W. M. Bird","UBC","V80091","","2016-05-25","Adam Huggins","http://www.inaturalist.org/observations/3318703","","59782","VAS"
"26","Allium amplectens","Torr.","","slimleaf onion","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Amaryllidaceae","Allioideae","Allieae","Allium","amplectens","","","","native","S3 (2019)","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2017-05-14","Sarah Tweedale","http://inaturalist.ca/observations/6249542","","60267","VAS"
"27","Allium cernuum","Roth","","nodding onion","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Amaryllidaceae","Allioideae","Allieae","Allium","cernuum","","","","native","S5","","confirmed","observed","1996-05-21","Jenifer Penny, Charlotte Norris, & Harvey Janszen","RBCM","V178592","1949627030","2016-05-25","Adam Huggins","http://www.inaturalist.org/observations/3318682","","116364","VAS"
"28","Allium vineale","L.","","field garlic","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Amaryllidaceae","Allioideae","Allieae","Allium","vineale","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-06-26","Adam Huggins","https://www.inaturalist.org/observations/27844109","","75371","VAS"
"29","Allotropa virgata","Torr. & A. Gray","","candystick","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Monotropoideae","","Allotropa","virgata","","","","native","S4","","confirmed","observed","1982-06-05","Harvey Janszen","RBCM","V119983","1949568884","2018-05-10","Andrew Simon","https://www.inaturalist.org/observations/12345119","matsutake associate","62481","VAS"
"30","Alnus rubra","Bong.","","red alder","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Fagales","","","Betulaceae","","","Alnus","rubra","","","","native","S5","","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","","","2012-02-05","Ian Guthrie","http://www.inaturalist.org/observations/4171727","","56034","VAS"
"31","Alopecurus geniculatus","L.","","water meadow-foxtail","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Alopecurus","geniculatus","","","","exotic","unlisted","","confirmed","observed","1975-08-15","Angela Wood","RBCM","V097685","1949546729","2022-06-12","Andrew Simon","https://www.inaturalist.org/observations/121538413","Wet farm field sec-L-57","71140","VAS"
"32","Alopecurus pratensis","L.","","meadow-foxtail","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Alopecurus","pratensis","","","","exotic","unlisted","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113802","1949562841","2022-07-07","Adam Huggins","https://www.inaturalist.org/observations/125219486","Meadow and farm fields","71141","VAS"
"33","Amaranthus powellii","S. Watson","","Powell's amaranth","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Amaranthaceae","Amaranthoideae","","Amaranthus","powellii","","","","exotic","unlisted","","confirmed","observed","1905-06-20","Harvey Janszen","RBCM","V113852","1949562824","2016-07-31","Andrew Simon","http://www.inaturalist.org/observations/3786981","","75398","VAS"
"34","Amaranthus retroflexus","L.","","rough pigweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Amaranthaceae","Amaranthoideae","","Amaranthus","retroflexus","","","","exotic","unlisted","","new 2018","observed","","","","","","2018-09-10","Christopher Heffley","https://www.inaturalist.org/observations/16400876","","58776","VAS"
"35","Ambrosia chamissonis","(Less.) Greene","","silver burweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Ambrosia","chamissonis","","","","native","S5","","new 2016","observed","","","","","","2016-06-05","Andrew Simon","http://www.inaturalist.org/observations/3404260","","71135","VAS"
"36","Amelanchier alnifolia","Lindl.","","saskatoon","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","","","Amelanchier","alnifolia","","","","native","S5","","confirmed","observed","1980-03-29","Hans Roemer","ER 128 Inventory","","","2015-03-13","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2580241","","80360","VAS"
"37","Amsinckia menziesii","(Lehm.) A. Nelson & J.F. Macbr.","","small-flowered fiddleneck","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Boraginales","","","Boraginaceae","Boraginoidea","","Amsinckia","menziesii","","","","native","S5","","confirmed","observed","1984-06-02","Harvey Janszen","RBCM","V129555","1949578498","2017-04-30","Andrew Simon","https://www.inaturalist.org/observations/6047543","Bellhouse; dry hayfield","55436","VAS"
"38","Anaphalis margaritacea","(L.) Benth. & Hook.f.","","pearly everlasting","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Anaphalis","margaritacea","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-06-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2564129","","52833","VAS"
"39","Andromeda polifolia var. polifolia","L.","","bog-rosemary","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Vaccinioideae","","Andromeda","polifolia","","","","native","S4","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","","119892","VAS"
"40","Angelica genuflexa","Nutt.","","kneeling angelica","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","","","Angelica","genuflexa","","","","native","S5","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","","75450","VAS"
"41","Anisocarpus madioides","Nutt.","","woodland tarweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Anisocarpus","madioides","","","","native","S5","","confirmed","observed","1986-08-17","William J. Crins","UBC","V190868","","2015-05-14","Andrew Simon","http://www.inaturalist.org/observations/2617714","reported as Madia madioides","53137","VAS"
"42","Anthemis cotula","L.","","stinking chamomile","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Anthemis","cotula","","","","exotic","unlisted","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","","52841","VAS"
"43","Anthoxanthum aristatum spp. aristatum","Boiss.","","annual vernalgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Anthoxanthum","aristatum","","aristatum","","exotic","unlisted","","confirmed","observed","1981-07-07","Harvey Janszen","RBCM","V113759","1949562820","2015-05-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2569330","","75472","VAS"
"44","Anthoxanthum odoratum","L.","","sweet vernalgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Anthoxanthum","odoratum","","","","exotic","unlisted","","confirmed","observed","1975-06-07","Angela Wood","RBCM","V097414","1949546363","2015-04-21","Andrew Simon","http://www.inaturalist.org/observations/2567283","","75475","VAS"
"45","Anthriscus caucalis","M. Bieb.","","bur chervil","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","Apioideae","","Anthriscus","caucalis","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-04-23","Andrew Simon","http://www.inaturalist.org/observations/3027391","","52846","VAS"
"46","Anthriscus sylvestris","(L.) Hoffm.","","wild chervil","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","Apioideae","","Anthriscus","sylvestris","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-04-29","Andrew Simon","https://www.inaturalist.org/observations/24768191","","124544","VAS"
"47","Antirrhinum majus","L.","","snapdragon","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Plantaginaceae","","Antirrhineae","Antirrhinum","majus","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-05-29","Larissa Marie","https://www.inaturalist.org/observations/26035340","","48969","VAS"
"48","Aphanes arvensis","L.","","field parsley-piert","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Rosoideae","","Aphanes","arvensis","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2017-02-25","Andrew Simon","https://www.inaturalist.org/observations/5178091","","158445","VAS"
"49","Aphanes occidentalis","(Nutt. ex Torr. & A. Gray) Rydb.","","western parsley-piert","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Rosoideae","","Aphanes","occidentalis","","","","native","S5","","confirmed","observed","1983-05-01","Gerald B. Straley","UBC","V178669","","2019-02-24","Andrew Simon","https://www.inaturalist.org/observations/20739000","Coon Bay; exposed, grassy rocky areas above sea","64548","VAS"
"50","Aphyllon californicum ssp. californicum","(Cham. & Schltdl.) A. Gray","","California broomrape","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Orobanchaceae","","","Aphyllon","californicum","","","","native","S4","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","Reported as Orobanche californica","802458","VAS"
"51","Aphyllon purpureum","(A. Heller) Holub","","western one-flowered broomrape","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Orobanchaceae","","","Aphyllon","purpureum","","","","native","S5","","confirmed","observed","1961-05-08","J. A. Calder","UBC","V224992","","2007-05-04","Karolle Wall","https://www.inaturalist.org/observations/5672024","Reported as Orobanche uniflora","739040","VAS"
"52","Apocynum androsaemifolium","L.","","spreading dogbane","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Gentianales","","","Apocynaceae","Apocynoideae","","Apocynum","androsaemifolium","","","","native","S5","","reported","unobserved","1984-06-02","Harvey Janszen","RBCM","V129556","","","","","Hydro cut line on Montague Harbour Road","47359","VAS"
"53","Aquilegia formosa var. formosa","Fisch. ex DC.","","western columbine","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales","","","Ranunculaceae","","","Aquilegia","formosa","","","","native","S5","","confirmed","observed","1979-06-08","Harvey Janszen","RBCM","V097819","","2020-04-24","Andrew Simon","http://www.inaturalist.org/observations/3028222","Gorge between Mt Galiano and Mt Sutil","48244","VAS"
"54","Arabis eschscholtziana","Andrz.","","Eschscholtz's rockcress","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Brassicales","","","Brassicaceae","","","Arabis","eschscholtziana","","","","native","S5","","confirmed","observed","1930-04-14","William Newcombe","RBCM","V025791","1949475366","2016-04-23","Andrew Simon","http://www.inaturalist.org/observations/3028222","","75494","VAS"
"55","Arbutus menziesii","Pursh","","arbutus","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Arbutoideae","","Arbutus","menziesii","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2011-07-25","lesfreck","https://www.inaturalist.org/observations/86518609","","51046","VAS"
"56","Arceuthobium douglasii","Engelm.","","Douglas' dwarf mistletoe","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Santalales","","","Viscaceae","","","Arceuthobium","douglasii","","","","native","S4S5","","new 2016","observed","","","","","","2016-03-20","Alison, Laura and Malcolm Colwell","http://www.inaturalist.org/observations/2809040","FL - doubtful; confirm","75500","VAS"
"57","Arctium lappa","L.","","greater burdock","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Carduoideae","Cardueae","Arctium","lappa","","","","exotic","unlisted","","new 2020","observed","","","","","","2020-08-10","Sylvie Hawkes","https://www.inaturalist.org/observations/62565821","","75501","VAS"
"58","Arctium minus","(Hill.) Bernh.","","common burdock","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Carduoideae","Cardueae","Arctium","minus","","","","exotic","unlisted","","confirmed","observed","1975-01-01","Harvey Janszen","RBCM","?","","2015-07-08","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563307","","59570","VAS"
"59","Arctostaphylos columbiana","Piper","","hairy manzanita","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Arbutoideae","","Arctostaphylos","columbiana","","","","native","S5","","confirmed","observed","1961-05-08","J. A. Calder","UBC","V103511","","2006-09-30","Karolle Wall","https://www.inaturalist.org/observations/97172666","","75505","VAS"
"60","Arctostaphylos uva-ursi","(L.) Spreng.","","kinnikinnick","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Arbutoideae","","Arctostaphylos","uva-ursi","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-08-14","Adam Huggins","http://www.inaturalist.org/observations/3889075","","68049","VAS"
"61","Arctostaphylos x media","Greene","","northwestern manzanita","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Arbutoideae","","Arctostaphylos","","Arctostaphylos x media","","","native","S4","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","Stockade Hill","712206","VAS"
"62","Arenaria serpyllifolia var. serpyllifolia","L.","","thyme-leaved sandwort","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Caryophyllaceae","","","Arenaria","serpyllifolia","","","","exotic","unlisted","","reported","unobserved","1979-06-28","Harvey Janszen","RBCM","V097814","1949546763","","","","reported as Arenaria serpyllifoliavar. serpyllifolia(V097814)","75553","VAS"
"63","Argentina anserina","L.","(Howell) Rousi","Pacific silverweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","","","Argentina","anserina","","","","native","S5","","confirmed","observed","1974-07-14","S. Keene","RBCM","V104942","1949553646","2015-03-04","Andrew Simon","https://www.inaturalist.org/observations/2566457","reported as Argentina anserina (V104942); H. Janszen also reports P. egedii (RBCM V097827), a segregate of P.anserina that is not recognized by the FPNW2","61097","VAS"
"64","Armeria maritima","(Mill.) Willd.","","thrift","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Plumbaginaceae","","","Armeria","maritima","","","","exotic","S4","","new 2017","observed","","","","","","2017-04-14","Kris Krüg","http://inaturalist.ca/observations/5705865","","60476","VAS"
"65","Arrhenatherum elatius ssp. elatius","(L.) P. Beauv. ex J. Presl & C. Presl","","tall oatgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","Poeae","Arrhenatherum","elatius","","","","exotic","unlisted","","reported","unobserved","1981-07-16","Harvey Janszen","RBCM","V113797","1949562858","","","","reported as Arrhenatherum elatiusvar. elatius (V113797);Retreat Cove; meadow","75583","VAS"
"66","Artemisia campestris ssp. pacifica","L.","(Nutt.) H.M. Hall & Clem.","northern wormwood","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Artemisia","campestris","","pacifica","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2021-05-01","Andrew Simon","https://www.inaturalist.org/observations/79112170","Rocks immediately along shore. Look on headlands just seaward of Juniperus maritima forests.","361656","VAS"
"67","Artemisia suksdorfii","Piper","","Suksdorf's mugwort","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Artemisia","suksdorfii","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-07-31","Adam Huggins","http://www.inaturalist.org/observations/3779806","","75597","VAS"
"68","Asplenium trichomanes ssp. trichomanes","L.","","maidenhair spleenwort","Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","","","Aspleniaceae","","","Asplenium","trichomanes","","","","native","S5","","new 2016","observed","","","","","","2016-06-27","Adam Huggins","http://www.inaturalist.org/observations/3536017","","75609","VAS"
