"scientificName","source_file","report_group"
"Metzgeria consanguinea","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Paraleucobryum sauteri","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Plagiochila satoi","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Plagiomnium affine","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Plagiothecium latebricola","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Pohlia tundrae","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Racomitrium fasciculare","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Scapania diplophylloides","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Schistochilopsis opacifolia","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Sciuro-hypnum starkei","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Sphagnum fallax","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Sphagnum pulchrum","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Sphagnum recurvum","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Syntrichia montana","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Ulota reptans","Howe_Sound_mosses_liverworts_and_hornworts_reviewed.csv","NON-VASCULAR PLANTS"
"Nerodia sipedon","Howe_Sound_herptiles-assigned.csv","REPTILES"
"Sceloporus occidentalis","Howe_Sound_herptiles-assigned.csv","REPTILES"
"Pseudemys concinna","Howe_Sound_herptiles-assigned.csv","REPTILES"
"Helicina sp.","Howe_Sound_terrestrial_molluscs_reviewed.csv","TERRESTRIAL INVERTS"
"Microtus drummondii","Howe_Sound_terrestrial_mammals-assigned.csv","TERRESTRIAL MAMMALS"
"Myocastor coypus","Howe_Sound_terrestrial_mammals-assigned.csv","TERRESTRIAL MAMMALS"
"Sciurus griseus","Howe_Sound_terrestrial_mammals-assigned.csv","TERRESTRIAL MAMMALS"
"Sorex monticolus","Howe_Sound_terrestrial_mammals-assigned.csv","TERRESTRIAL MAMMALS"
"× Elyhordeum stebbinsianum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Acer palmatum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Anthoxanthum nitens","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Arbutus unedo","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Aruncus sylvester","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Aucuba sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Berberis × hortensis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Berberis darwinii","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Botrychium lunaria","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Botrychium sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Callicarpa sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Campanula alaskana","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Carex lenticularis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Carex plectocarpa","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Carex pyrenaica","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Castanea sativa","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Castanea sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Consolida sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Convallaria majalis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Cotoneaster integrifolius","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Crocosmia × crocosmiiflora","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Dichanthelium sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Diphasiastrum alpinum × sitchense","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Elymus trachycaulus","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Euphorbia characias","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Euphrasia officinalis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Fagus sylvatica","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Fargesia murielae","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Festuca rubra s. lat.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Forsythia × intermedia","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Fragaria × ananassa ssp. cuneifolia","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Gentiana septemfida","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Geranium macrorrhizum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Geranium phaeum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Geranium pratense","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Geranium rotundifolium","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Hedera canariensis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Hieracium atratum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Jasminum nudiflorum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Kerria japonica","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Leucanthemum × superbum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Limnanthes douglasii","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Liriodendron tulipifera","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Luzula glabrata","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Luzula wahlenbergii","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Micranthes punctata","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Miscanthus sinensis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Muscari botryoides","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Nemophila menziesii","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Nymphaea sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Oreomecon nudicaulis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Phyllodoce × intermedia","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Phyllostachys aurea","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Pinus resinosa","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Platanthera hyperborea var. huronensis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Podagrostis thurberiana","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Polypodium vulgare","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Polystichum braunii × munitum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Potentilla uniflora","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Pseudofumaria lutea","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Pseudosasa humilis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Pulmonaria affinis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Pulmonaria officinalis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Pyracantha crenulata","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Quercus rubra","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Ranunculus aquatilis complex","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Reynoutria × bohemica","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Rubus fruticosus complex","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Rubus plicatus","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Rubus procerus","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Rubus ulmifolius","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Salvia rosmarinus","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Sedum sexangulare","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Sequoia sempervirens","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Sequoiadendron giganteum","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Silene × hampeana","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Silene flos-cuculi","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Spiraea × hitchcockii","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Spiraea × pyramidata","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Thalictrum sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Thymus sp.","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Tropaeolum majus","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Typha × glauca","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
"Viola affinis","Howe_Sound_vascular_plants_reviewed.csv","VASCULAR PLANTS"
