Taxon,Referred iNaturalist Name,Referred iNaturalist Id,Indexed iNaturalist Name,ID,Corrected.ID,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Adiantum aleuticum var. aleuticum,Adiantum aleuticum aleuticum,947668,Adiantum aleuticum,52667,947668,(Rupr.) Paris,,western maidenhair fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Vittarioideae,,Adiantum,aleuticum,,,,native,S5,,new 2017,observed,,,,,,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/6425140,,52667,VAS,accepted,947668,Adiantum aleuticum aleuticum,Adiantum aleuticum
Aesculus hippocastanum,Aesculus hippocastanum,84298,Aesculus hippocastanum,84298,84298,L.,,horse chestnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Sapindales,,,Sapindaceae,,,Aesculus,hippocastanum,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3329680,,84298,VAS,accepted,84298,Aesculus hippocastanum,Aesculus hippocastanum
Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla,80332,Agoseris grandiflora,52828,80332,(Nutt.) Greene,G. I. Baird,large-flowered agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Agoseris,grandiflora,,,leptophylla,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-04-23,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3040898,,52828,VAS,accepted,80332,Agoseris grandiflora leptophylla,Agoseris grandiflora
Agoseris heterophylla ssp. heterophylla,Agoseris heterophylla heterophylla,56859,Agoseris heterophylla,56856,56859,Kuntze,,annual agoseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Agoseris,heterophylla,,,,native,S5,,confirmed,observed,1988-04-23,Gerald B. Straley,UBC,V194354,,2022-04-30,Andrew Simon,https://www.inaturalist.org/observations/114122184,"Bluff Park record. Still there? –QC; I think this voucher should be checked; A. grandiflora,a very different species, is known from Bluffs Park (see photo above)",56856,VAS,accepted,56859,Agoseris heterophylla heterophylla,Agoseris heterophylla
Agrostis capillaris,Agrostis capillaris,75312,Agrostis capillaris,75312,75312,L.,,colonial bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,capillaris,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113800,1949562802,2018-06-27,Andrew Simon,https://www.inaturalist.org/observations/13845807,,75312,VAS,accepted,75312,Agrostis capillaris,Agrostis capillaris
Agrostis exarata,Agrostis exarata,59088,Agrostis exarata,59088,59088,Trin.,,spike bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,exarata,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113799,1949562759,2016-06-26,Andrew Simon,http://inaturalist.ca/observations/6677554,Reported asAgrostis exaratassp.minor (Hook.) C.L. Hitchc.(V113799),59088,VAS,accepted,59088,Agrostis exarata,Agrostis exarata
Agrostis gigantea,Agrostis gigantea,75314,Agrostis gigantea,75314,75314,Roth,,redtop,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,gigantea,,,,exotic,unlisted,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2020-07-10,Sylvie Hawkes,https://www.inaturalist.org/observations/52922478,,75314,VAS,accepted,75314,Agrostis gigantea,Agrostis gigantea
Agrostis pallens,Agrostis pallens,52692,Agrostis pallens,52692,52692,Trin.,,seashore bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,pallens,,,,native,S4,,confirmed,observed,2022-06-12,Frank Lomer,UBC,13028,,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538541,,52692,VAS,accepted,52692,Agrostis pallens,Agrostis pallens
Agrostis scabra,Agrostis scabra,75319,Agrostis scabra,75319,75319,Willd.,,hair bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,scabra,,,,native,S5,,reported,unobserved,1979-07-09,Harvey Janszen,RBCM,V097864,1949546889,,,,,75319,VAS,accepted,75319,Agrostis scabra,Agrostis scabra
Agrostis stolonifera,Agrostis stolonifera,69931,Agrostis stolonifera,69931,69931,L.,,creeping bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,stolonifera,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-07-01,Andrew Simon,https://www.inaturalist.org/observations/85291237,,69931,VAS,accepted,69931,Agrostis stolonifera,Agrostis stolonifera
Aira caryophyllea,Aira caryophyllea,52694,Aira caryophyllea,52694,52694,L.,,silver hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Aira,caryophyllea,,,,exotic,unlisted,,confirmed,observed,1975-05-31,Angela Wood,RBCM,V097146,1949546264,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625010,,52694,VAS,accepted,52694,Aira caryophyllea,Aira caryophyllea
Aira praecox,Aira praecox,61058,Aira praecox,61058,61058,L.,,early hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Aira,praecox,,,,exotic,unlisted,,confirmed,observed,1981-04-27,Harvey Janszen,RBCM,V113537,1949562644,2016-07-10,Andrew Simon,http://www.inaturalist.org/observations/3664526,,61058,VAS,accepted,61058,Aira praecox,Aira praecox
Ajuga reptans,Ajuga reptans,56099,Ajuga reptans,56099,56099,L.,,bugle-weed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Ajuga,reptans,,,,exotic,unlisted,,new 2013,observed,2022-06-15,Frank Lomer,UBC,13055,,2013-04-21,Felix Erhard,http://www.inaturalist.org/observations/2588447,,56099,VAS,accepted,56099,Ajuga reptans,Ajuga reptans
Alcea rosea,Alcea rosea,62205,Alcea rosea,62205,62205,L.,,hollyhock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malvales,,,Malvaceae,,,Alcea,rosea,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,62205,VAS,accepted,62205,Alcea rosea,Alcea rosea
Allium acuminatum,Allium acuminatum,59782,Allium acuminatum,59782,59782,Hook.,,Hooker's onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,,,,native,S5,,confirmed,observed,1958-05-18,W. M. Bird,UBC,V80091,,2016-05-25,Adam Huggins,http://www.inaturalist.org/observations/3318703,,59782,VAS,accepted,59782,Allium acuminatum,Allium acuminatum
Allium amplectens,Allium amplectens,60267,Allium amplectens,60267,60267,Torr.,,slimleaf onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,,,,native,S3 (2019),,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-05-14,Sarah Tweedale,http://inaturalist.ca/observations/6249542,,60267,VAS,accepted,60267,Allium amplectens,Allium amplectens
Allium cernuum,Allium cernuum,116364,Allium cernuum,116364,116364,Roth,,nodding onion,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,cernuum,,,,native,S5,,confirmed,observed,1996-05-21,"Jenifer Penny, Charlotte Norris, & Harvey Janszen",RBCM,V178592,1949627030,2016-05-25,Adam Huggins,http://www.inaturalist.org/observations/3318682,,116364,VAS,accepted,116364,Allium cernuum,Allium cernuum
Allium vineale,Allium vineale,75371,Allium vineale,75371,75371,L.,,field garlic,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,vineale,,,,exotic,unlisted,,new 2019,observed,2022-06-09,Frank Lomer,UBC,19224,,2019-06-26,Adam Huggins,https://www.inaturalist.org/observations/27844109,,75371,VAS,accepted,75371,Allium vineale,Allium vineale
Allotropa virgata,Allotropa virgata,62481,Allotropa virgata,62481,62481,Torr. & A. Gray,,candystick,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Allotropa,virgata,,,,native,S4,,confirmed,observed,1982-06-05,Harvey Janszen,RBCM,V119983,1949568884,2018-05-10,Andrew Simon,https://www.inaturalist.org/observations/12345119,matsutake associate,62481,VAS,accepted,62481,Allotropa virgata,Allotropa virgata
Alnus rubra,Alnus rubra,56034,Alnus rubra,56034,56034,Bong.,,red alder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fagales,,,Betulaceae,,,Alnus,rubra,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2012-02-05,Ian Guthrie,http://www.inaturalist.org/observations/4171727,,56034,VAS,accepted,56034,Alnus rubra,Alnus rubra
Alopecurus geniculatus,Alopecurus geniculatus,71140,Alopecurus geniculatus,71140,71140,L.,,water meadow-foxtail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Alopecurus,geniculatus,,,,exotic,unlisted,,confirmed,observed,1975-08-15,Angela Wood,RBCM,V097685,1949546729,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538413,Wet farm field sec-L-57,71140,VAS,accepted,71140,Alopecurus geniculatus,Alopecurus geniculatus
Alopecurus pratensis,Alopecurus pratensis,71141,Alopecurus pratensis,71141,71141,L.,,meadow-foxtail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Alopecurus,pratensis,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113802,1949562841,2022-07-07,Adam Huggins,https://www.inaturalist.org/observations/125219486,Meadow and farm fields,71141,VAS,accepted,71141,Alopecurus pratensis,Alopecurus pratensis
Amaranthus powellii,Amaranthus powellii,75398,Amaranthus powellii,75398,75398,S. Watson,,Powell's amaranth,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,powellii,,,,exotic,unlisted,,confirmed,observed,1905-06-20,Harvey Janszen,RBCM,V113852,1949562824,2016-07-31,Andrew Simon,http://www.inaturalist.org/observations/3786981,,75398,VAS,accepted,75398,Amaranthus powellii,Amaranthus powellii
Amaranthus retroflexus,Amaranthus retroflexus,58776,Amaranthus retroflexus,58776,58776,L.,,rough pigweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,retroflexus,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-09-10,Christopher Heffley,https://www.inaturalist.org/observations/16400876,,58776,VAS,accepted,58776,Amaranthus retroflexus,Amaranthus retroflexus
Ambrosia chamissonis,Ambrosia chamissonis,71135,Ambrosia chamissonis,71135,71135,(Less.) Greene,,silver burweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Ambrosia,chamissonis,,,,native,S5,,new 2016,observed,,,,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3404260,,71135,VAS,accepted,71135,Ambrosia chamissonis,Ambrosia chamissonis
Amelanchier alnifolia,Amelanchier alnifolia,75415,Amelanchier alnifolia semiintegrifolia,80360,75415,Lindl.,,saskatoon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Amelanchier,alnifolia,,,,native,S5,,confirmed,observed,1980-03-29,Hans Roemer,ER 128 Inventory,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2580241,,80360,VAS,accepted,75415,Amelanchier alnifolia,Amelanchier alnifolia semiintegrifolia
Amsinckia menziesii,Amsinckia menziesii,55436,Amsinckia menziesii,55436,55436,(Lehm.) A. Nelson & J.F. Macbr.,,small-flowered fiddleneck,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Boraginoidea,,Amsinckia,menziesii,,,,native,S5,,confirmed,observed,1984-06-02,Harvey Janszen,RBCM,V129555,1949578498,2017-04-30,Andrew Simon,https://www.inaturalist.org/observations/6047543,Bellhouse; dry hayfield,55436,VAS,accepted,55436,Amsinckia menziesii,Amsinckia menziesii
Anaphalis margaritacea,Anaphalis margaritacea,52833,Anaphalis margaritacea,52833,52833,(L.) Benth. & Hook.f.,,pearly everlasting,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Anaphalis,margaritacea,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564129,,52833,VAS,accepted,52833,Anaphalis margaritacea,Anaphalis margaritacea
Andromeda polifolia var. polifolia,Andromeda polifolia polifolia,239202,Andromeda polifolia,119892,239202,L.,,bog-rosemary,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Vaccinioideae,,Andromeda,polifolia,,,,native,S4,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,119892,VAS,accepted,239202,Andromeda polifolia polifolia,Andromeda polifolia
Angelica genuflexa,Angelica genuflexa,75450,Angelica genuflexa,75450,75450,Nutt.,,kneeling angelica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Angelica,genuflexa,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,75450,VAS,accepted,75450,Angelica genuflexa,Angelica genuflexa
Anisocarpus madioides,Anisocarpus madioides,53137,Anisocarpus madioides,53137,53137,Nutt.,,woodland tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Anisocarpus,madioides,,,,native,S5,,confirmed,observed,1986-08-17,William J. Crins,UBC,V190868,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617714,reported as Madia madioides,53137,VAS,accepted,53137,Anisocarpus madioides,Anisocarpus madioides
Anthemis cotula,Anthemis cotula,52841,Anthemis cotula,52841,52841,L.,,stinking chamomile,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Anthemis,cotula,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,52841,VAS,accepted,52841,Anthemis cotula,Anthemis cotula
Anthoxanthum aristatum ssp. aristatum,Anthoxanthum aristatum aristatum,79576,Anthoxanthum aristatum,75472,79576,Boiss.,,annual vernalgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Anthoxanthum,aristatum,,,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113759,1949562820,2015-05-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569330,,75472,VAS,accepted,79576,Anthoxanthum aristatum aristatum,Anthoxanthum aristatum
Anthoxanthum odoratum,Anthoxanthum odoratum,75475,Anthoxanthum odoratum,75475,75475,L.,,sweet vernalgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Anthoxanthum,odoratum,,,,exotic,unlisted,,confirmed,observed,1975-06-07,Angela Wood,RBCM,V097414,1949546363,2015-04-21,Andrew Simon,http://www.inaturalist.org/observations/2567283,,75475,VAS,accepted,75475,Anthoxanthum odoratum,Anthoxanthum odoratum
Anthriscus caucalis,Anthriscus caucalis,52846,Anthriscus caucalis,52846,52846,M. Bieb.,,bur chervil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Apioideae,,Anthriscus,caucalis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-04-23,Andrew Simon,http://www.inaturalist.org/observations/3027391,,52846,VAS,accepted,52846,Anthriscus caucalis,Anthriscus caucalis
Anthriscus sylvestris,Anthriscus sylvestris,124544,Anthriscus sylvestris,124544,124544,(L.) Hoffm.,,wild chervil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Apioideae,,Anthriscus,sylvestris,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-04-29,Andrew Simon,https://www.inaturalist.org/observations/24768191,,124544,VAS,accepted,124544,Anthriscus sylvestris,Anthriscus sylvestris
Antirrhinum majus,Antirrhinum majus,1229777,Antirrhinum majus,48969,1229777,L.,,snapdragon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,Antirrhineae,Antirrhinum,majus,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-05-29,Larissa Marie,https://www.inaturalist.org/observations/26035340,,48969,VAS,accepted,1229777,Antirrhinum majus,Antirrhinum majus
Aphanes arvensis,Alchemilla arvensis,866483,Aphanes arvensis,158445,866483,L.,,field parsley-piert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Rosoideae,,Aphanes,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-02-25,Andrew Simon,https://www.inaturalist.org/observations/5178091,Aphanes arvensis and A. occidentalis syn. as Alchemilla arvensis,158445,VAS,unaccepted,866483,Alchemilla arvensis,Aphanes arvensis
Aphanes occidentalis,Alchemilla arvensis,866483,Aphanes occidentalis,64548,866483,(Nutt. ex Torr. & A. Gray) Rydb.,,western parsley-piert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Rosoideae,,Aphanes,occidentalis,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178669,,2019-02-24,Andrew Simon,https://www.inaturalist.org/observations/20739000,"Coon Bay; exposed, grassy rocky areas above sea; Aphanes arvensis and A. occidentalis syn. as Alchemilla arvensis",64548,VAS,unaccepted,866483,Alchemilla arvensis,Aphanes occidentalis
Aphyllon californicum ssp. californicum,Aphyllon californicum californicum,802465,Aphyllon californicum,802458,802465,(Cham. & Schltdl.) A. Gray,,California broomrape,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,,Aphyllon,californicum,,,,native,S4,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,Reported as Orobanche californica,802458,VAS,accepted,802465,Aphyllon californicum californicum,Aphyllon californicum
Aphyllon purpureum,Aphyllon purpureum,739040,Aphyllon purpureum,739040,739040,(A. Heller) Holub,,western one-flowered broomrape,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,,Aphyllon,purpureum,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V224992,,2007-05-04,Karolle Wall,https://www.inaturalist.org/observations/5672024,Reported as Orobanche uniflora,739040,VAS,accepted,739040,Aphyllon purpureum,Aphyllon purpureum
Apocynum androsaemifolium,Apocynum androsaemifolium,47359,Apocynum androsaemifolium,47359,47359,L.,,spreading dogbane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Apocynaceae,Apocynoideae,,Apocynum,androsaemifolium,,,,native,S5,,reported,unobserved,1984-06-02,Harvey Janszen,RBCM,V129556,,,,,Hydro cut line on Montague Harbour Road,47359,VAS,accepted,47359,Apocynum androsaemifolium,Apocynum androsaemifolium
