"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"spiders (Araneae)","Eris militaris","Bronze Jumping Spider","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Evarcha sp.","","","","",""
"spiders (Araneae)","Habronattus americanus","","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Habronattus hirsutus","Hirsute Paradise Spider","S4 (2018)","Not Reviewed","",""
"spiders (Araneae)","Habronattus ophrys","","S4 (2018)","Not Reviewed","",""
"spiders (Araneae)","Habronattus oregonensis","Oregon Paradise Spider","SU (2018)","Not Reviewed","",""
"spiders (Araneae)","Larinioides sclopetarius","Grey Cross Spider","SNA","Exotic","",""
"spiders (Araneae)","Lathys humilis","Palaearctic Backspined Meshweaver","SNA","Exotic","",""
"spiders (Araneae)","Maevia inclemens","Dimorphic Jumping Spider","","","",""
"spiders (Araneae)","Metaphidippus manni","","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Metellina mimetoides","","SU (2018)","Not Reviewed","",""
"spiders (Araneae)","Metellina sp.","","","","",""
"spiders (Araneae)","Microlinyphia dana","Dana Sheet-web Micro-weaver","S4 (2018)","Not Reviewed","",""
"spiders (Araneae)","Misumena vatia","Goldenrod Crab Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Neriene digna","","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Neriene litigiosa","Sierra Dome Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Neriene radiata","Filmy Dome Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Oxyopes scalaris","Western Lynx Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Parasteatoda tepidariorum","Common House Spider","SNA","Exotic","",""
"spiders (Araneae)","Pardosa lowriei","Lowrie's Thin-legged Wolf Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Pardosa sp.","Thin-legged Wolf Spiders","","","",""
"spiders (Araneae)","Pelegrina aeneola","","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Phanias albeolus","","S4 (2018)","Not Reviewed","",""
"spiders (Araneae)","Phidippus johnsoni","Johnson's Jumping Spider","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Philodromus dispar","Eurasian Running Crab Spider","SNA","Exotic","",""
"spiders (Araneae)","Philodromus rufus","White-striped Running Crab Spider","SU (2018)","Not Reviewed","",""
"spiders (Araneae)","Pholcus opilionoides","Opilion-like Cellar Spider","SNA (2022)","Exotic","",""
"spiders (Araneae)","Pholcus phalangioides","Long-bodied Cellar Spider","SNA","Exotic","",""
"spiders (Araneae)","Pimoa altioculata","","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Platnickina tincta","False Pirate Spider","SNA","Exotic","",""
"spiders (Araneae)","Platycryptus californicus","California Flattened Jumping Spider","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Salticus scenicus","Zebra Jumping Spider","SNA","Exotic","",""
"spiders (Araneae)","Segestria pacifica","","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Steatoda grossa","False Black Widow","SNA","Exotic","",""
"spiders (Araneae)","Tegenaria domestica","Barn Funnel Weaver","SNA","Exotic","",""
"spiders (Araneae)","Tenuiphantes zibus","","S4S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Tetragnatha sp.","Stretch Spiders","","","",""
"spiders (Araneae)","Tetragnatha versicolor","","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Theridion californicum","","S4 (2018)","Not Reviewed","",""
"spiders (Araneae)","Trochosa ruricola","Rustic Wolf Spider","SNA","Exotic","",""
"spiders (Araneae)","Trochosa terricola","","S5 (2018)","Not Reviewed","",""
"spiders (Araneae)","Xysticus cristatus","Common Crab Spider","SNA","Exotic","",""
"spiders (Araneae)","Xysticus sp.","Ground Crab Spiders","","","",""
"ticks (Ixodida)","Ixodes angustus","","S5 (2019)","Not Reviewed","",""
"ticks (Ixodida)","Ixodes auritulus","","S4 (2019)","Not Reviewed","",""
"ticks (Ixodida)","Ixodes pacificus","Western Black-legged Tick","S4 (2019)","Not Reviewed","",""
"ticks (Ixodida)","Ixodes spinipalpis","","S4 (2019)","Not Reviewed","",""
"pea clams (Sphaeriida)","Euglesa casertana","Ubiquitous Peaclam","S5 (2024)","Yellow","",""
"large centipedes (Scolopendromorpha)","Scolopocryptops spinicaudus","Thorn-tailed Bark Centipede","S5 (2020)","Not Reviewed","",""
"earthworms and allies (Crassiclitellata)","Lumbricus terrestris","Nightcrawler","SNA (2019)","Exotic","",""
"earthworms and allies (Crassiclitellata)","Octolasion cyaneum","Blue-grey Worm","SNA (2024)","Exotic","",""
"alderflies, dobsonflies, and fishflies (Megaloptera)","Dysmicohermes disjunctus","","","","",""
"alderflies, dobsonflies, and fishflies (Megaloptera)","Protochauliodes spenceri","","","","",""
"barklice, booklice, and parasitic lice (Psocodea)","Graphopsocus cruciatus","F-winged Barklouse","","","",""
"barklice, booklice, and parasitic lice (Psocodea)","Pteroxanium kelloggi","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Ancistrocerus albophaleratus","White-banded Potter Wasp","S4 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Andrena astragali","Death Camas Mining Bee","S4S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Andrena columbiana","British Columbia Miner Bee","S3S4 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Andrena frigida","Frigid Mining Bee","S3S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Andrena miserabilis","Miserable Mining Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Andrena prunorum","Prunus Miner Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Anthidium manicatum","European Woolcarder Bee","SNA (2016)","Exotic","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Anthophora terminalis","Orange-tipped Wood-digger","S4 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Aphaereta pallipes","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Aphidius sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Apis mellifera","Western Honey Bee","SNA (2016)","Exotic","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus bifarius","Colorado Black-notched Bumble Bee","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus flavidus","Yellowish Cuckoo Bumble bee","S3S4 (2016)","Blue","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus flavifrons","Yellow-fronted Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus impatiens","Common Eastern Bumble Bee","SNA (2016)","Exotic","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus insularis","Indiscriminate Cuckoo Bumble Bee","S4? (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus melanopygus","Black-tailed Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus mixtus","Fuzzy-Horned Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus nevadensis","Nevada Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus occidentalis","Western Bumble Bee","S4 (2023)","Yellow","Threatened (2014)","S1: Threatened (2023)"
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus rufocinctus","Red-belted Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus sitkensis","Sitka Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus suckleyi","Suckley's Cuckoo Bumble Bee","S3S4 (2016)","Blue","Threatened (2019)",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus sylvicola","Forest Bumble Bee","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus vancouverensis nearcticus","Nearctic Bumble Bee","S5 (2016)","Yellow","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Bombus vancouverensis vancouverensis","Vancouver Bumble Bee","S3S4 (2023)","Blue","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Camponotus herculeanus","Hercules Carpenter Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Camponotus laevigatus","Hairless Smooth Carpenter Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Camponotus maccooki","MacCook's Carpenter Ant","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Camponotus modoc","Western Black Carpenter Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Camponotus pennsylvanicus","Eastern Black Carpenter Ant","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Camponotus vicinus","Bicolored Carpenter Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Cimbex americanus","North American Elm Sawfly","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Coelioxys rufitarsis","Red-footed Cuckoo Leafcutter","S3S4 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Crossocerus annulipes","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Dialictus sp.","Metallic Sweat Bees","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Diastrophus kincaidii","Thimbleberry Gall Wasp","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Diplolepis polita","Spiny Leaf Gall Wasp","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Dolichovespula albida","Arctic Yellowjacket","S3S4 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Dolichovespula arenaria","Common Aerial Yellowjacket","S5? (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Dolichovespula maculata","Bald-faced Hornet","S5? (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Dolichovespula norvegicoides","Northern Aerial Yellowjacket","S5? (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Elampus marginatus","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Epeolus olympiellus","Olympia Cellophane-cuckoo Bee","SNR","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Eriocampa ovata","Alder Sawfly","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Eumenes sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Eumenes verticalis","Vertical potter wasp","S3 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Euura californica","Willow Apple Gall Sawfly","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Euura proxima","Willow Redgall Sawfly","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Formica aserva","","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Formica fusca","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Formica neorufibarbis","New World Red Bearded Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Formica obscuripes","Western Thatching Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Formica ravida","Isabelline Mound Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Halictus confusus","Confusing Furrow Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Halictus rubicundus","Orange-legged Furrow Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Heriades carinata","Carinate Armored-Resin bee","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Heterarthrus vagans","Alder Disc-miner","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Idiasta maritima","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasioglossum knereri","Knerer's Sweat Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasioglossum laevissimum","Very Smooth Sweat Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasioglossum sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasioglossum versans","Friendless Sweat Bee","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasius pallitarsis","Pale-legged Fuzzy Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasius sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Lasius umbratus","Yellow Shadow Ant","S4? (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Leptothorax calderoni","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Leptothorax muscorum","","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Megachile angelarum","","S3 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Megachile fidelis","Horn-faced Leafcutter Bee","S3 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Megachile melanophaea","Black-and-gray Leafcutter Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Megachile perihirta","Western Leafcutter Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Megachile relativa","Golden-tailed Leafcutter Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Megachile rotundata","Alfalfa Leafcutter Bee","SNA (2016)","Exotic","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Melandrena sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Mimesa pauper","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Mimesa sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Mischocyttarus flavitarsis","Western Paper Wasp","S4 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Myrmica incompleta","Incomplete Furrowed Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Netelia sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Nomada sp.","Nomad Bees","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Odontocolon polymorphum","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Ophion sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Osmia lignaria propinqua","Western Blue Orchard Bee","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Passaloecus cuspidatus","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Pemphredon inornata","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Philanthus gibbosus","Hump-backed Beewolf","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Pleroneura californica","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Polistes aurifer","Golden Paper Wasp","S4 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Polistes dominula","European Paper Wasp","SNA (2017)","Exotic","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Pristiphora geniculata","Mountain Ash Sawfly","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Pseudomasaris marginalis","","S3 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Pyrobombus sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Rhopalum sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Rhyssa sp.","","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Sceliphron caementarium","Yellow-legged Mud-dauber Wasp","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Stigmatomma oregonense","Western Dracula Ant","S4? (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Tapinoma sessile","Odorous House Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Temnothorax nevadensis","Nevada Acorn Ant","S5 (2016)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Urocerus albicornis","White-horned Horntail","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Urocerus californicus","California Horntail","","","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Vespula acadica","Forest Yellowjacket","S5? (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Vespula alascensis","American Yellowjacket","S5? (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Vespula consobrina","Blackjacket","S5? (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Vespula pensylvanica","Western Yellowjacket","S4S5 (2017)","Not Reviewed","",""
"bees, wasps, ants, and sawflies (Hymenoptera)","Xanthosarus sp.","","","","",""
"beetles (Coleoptera)","Acanthocinus obliquus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Acilius abbreviatus","Abbreviated Predaceous Diving Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Adalia bipunctata","Two-spotted Lady Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Agabus sp.","","","","",""
"beetles (Coleoptera)","Agoliinus canadensis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Agoliinus congregatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Agoliinus guttatus","Spotted Small Dung Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Agoliinus hatchi","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Agriotes criddlei","Criddle's Click Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Agriotes lineatus","Lined Click Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Airora aequalis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Alosterna rubida","","","","",""
"beetles (Coleoptera)","Altica ambiens","Alder Flea Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Amara aenea","Common Sun Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Ampedus rhodopus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Anaspis rufa","False Flower Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Anatis rathvoni","Flying Saucer Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Anelastes drurii","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Anthrenus verbasci","Varied Carpet Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Aphorista laeta","Black-backed Handsome Fungus Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Apristus constrictus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Apteroloma caraboides","","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Araeopidius monachus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Arhopalus asperatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Asemum nitidum","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Athous sp.","","","","",""
"beetles (Coleoptera)","Athous vittiger","Black-banded Click Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Atimia confusa","Small Cedar Borer","","","",""
"beetles (Coleoptera)","Aulonothroscus validus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bembidion nigripes","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bembidion petrosum","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bembidion planatum","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bembidion platynoides","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bembidion sp.","","","","",""
"beetles (Coleoptera)","Bolitocharina sp.","","","","",""
"beetles (Coleoptera)","Boreonectes griseostriatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bromius obscurus","Western Grape Rootworm","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Bruchidius villosus","Broom Seed Beetle","","","",""
"beetles (Coleoptera)","Buprestis adjecta","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Buprestis aurulenta","Golden Buprestid Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Buprestis lyrata","Pink-faced jewel beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Byturus unicolor","Raspberry Fruitworm Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Calathus fuscipes","","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Caligodorus opacus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Calligrapha californica","Coreopsis Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Calvia quatuordecimguttata","Cream-spotted Ladybird","S5? (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Cantharis oregona","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Carabus granulatus","Granulated Ground Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Carabus nemoralis","Bronze Ground Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Carphoborus vandykei","","S2S4 (2023)","Blue","",""
"beetles (Coleoptera)","Cassida rubiginosa","Thistle Tortoise Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Catoptrichus frankenhaeuseri","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ceruchus punctatus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ceruchus striatus","","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Chalcophora angulicollis","Western Sculptured Pine Borer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Chilocorus tricyclus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Chrysolina hyperici","Saint John's Wort Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Cicindela depressula","Dispirited Tiger Beetle","S5 (2023)","Yellow","",""
"beetles (Coleoptera)","Cicindela oregona","Western Tiger Beetle","S5 (2023)","Yellow","",""
"beetles (Coleoptera)","Coccidophilus marginatus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Coccinella californica johnsoni","Johnson's Lady Beetle","","","",""
"beetles (Coleoptera)","Coccinella monticola","Mountain Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Coccinella septempunctata","Seven-spotted Lady Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Coccinella trifasciata","Three-banded Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Coccinella undecimpunctata","Eleven-spotted Ladybird Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Corymbitodes sp.","","","","",""
"beetles (Coleoptera)","Crenitis morata","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Cryptorhynchus lapathi","Poplar-and-Willow Borer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Cucujus clavipes","Red Flat Bark Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Cychrus tuberculatus","","S3S4 (2023)","Blue","",""
"beetles (Coleoptera)","Cycloneda polita","Western Polished Lady Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Dalopius sp.","","","","",""
"beetles (Coleoptera)","Dendroides ephemeroides","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Dichelonyx sp.","","","","",""
"beetles (Coleoptera)","Dichelotarsus puberulus","","","","",""
"beetles (Coleoptera)","Dichelotarsus sp.","","","","",""
"beetles (Coleoptera)","Dictyoptera simplicipes","Red Net-winged Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Dineutus assimilis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Dinomus pernitens","","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Diplotaxis brevicollis","","S4S5 (2023)","Not Reviewed","",""
