"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Crepidotus mollis","(Schaeff.) Staude","Peeling Oysterling","S4 (2021)","Yellow","",""
"Crepidotus variabilis","(Pers.) P. Kumm.","Variable Oysterling","SU (2021)","Unknown","",""
"Cudonia circinans","(Pers.) Fr.","redleg jellybelly","S4 (2021)","Yellow","",""
"Cudonia monticola","Peck","","S4 (2021)","Yellow","",""
"Spathularia flavida","Pers.","Yellow Fan","S4 (2021)","Yellow","",""
"Baeospora myosura","(Fr.) Singer","Conifercone Cap","S3S4 (2021)","Yellow","",""
"Chondrostereum purpureum","(Pers.) Pouzar","Silverleaf Fungus","S3S4 (2021)","Yellow","",""
"Calocera cornea","(Batsch) Fr.","club-like tuning fork","S4 (2021)","Yellow","",""
"Calocera viscosa","(Pers.) Fr.","Jelly-antler","S3S5 (2021)","Yellow","",""
"Dacrymyces chrysospermus","(Bull.) Tul.","Orange Jelly Spot","SU (2021)","Unknown","",""
"Dacrymyces punctiformis","Neuhoff","","SU (2021)","Unknown","",""
"Dacrymyces spathularia","(Schwein.) G. W. Martin","Fan-shaped Jelly Fungus","SU (2021)","Unknown","",""
"Dacrymyces stillatus","Nees: Fr.","Jelly Spot Fungus","S4S5 (2021)","Yellow","",""
"Guepiniopsis alpina","(Tracy & Earle) Brasf.","alpine jelly cone","S3S4 (2021)","Yellow","",""
"Guepiniopsis buccina","(Pers.) L.L. Kenn.","Trumpet Jelly Cup","SU (2021)","Unknown","",""
"Dictyosporium pelagicum","(Linder) G.C. Hughes","","","","",""
"Curreya pithyophila","(J.C. Schmidt & Kunze) Arx & E. Müll.","Nymph Leech","","","",""
"Gyromitra esculenta","(Pers.) Fr.","False Morel","S4? (2021)","Yellow","",""
"Paragyromitra infula","(Schaff.) Quélet","Saddle-shaped False Morel","S4? (2021)","Yellow","",""
"Pseudorhizina californica","(Harkn.) Dissing","","S3S4 (2021)","Yellow","",""
"Echinodontium tinctorium","(Ellis & Everh.) Ellis & Everh.","Indian paint fungus","S3S4 (2021)","Yellow","",""
"Elaphomyces granulatus","Fr.","","S4? (2021)","Yellow","",""
"Elaphomyces muricatus","Fr.","marbled false truffle","S2S4 (2021)","Blue","",""
"Clitopilus prunulus","(Scop.) P. Kumm.","Sweetbread Mushroom","S3S5 (2021)","Yellow","",""
"Entoloma cetratum","(Fr.) M.M. Moser","honey pinkgill","SU (2021)","Unknown","",""
"Entoloma holoconiotum","(Largent & Thiers) Noordel. & Co-David","Little Cone Bell","S3S4 (2021)","Yellow","",""
"Entoloma largentii","Noordel. & Largent","","SU (2021)","Unknown","",""
"Entoloma lividoalbum","(Kühner & Romagn.) Kubička","","SU (2021)","Unknown","",""
"Entoloma prunuloides","(Fr.) P. Kumm.","mealy pinkgill","SU (2021)","Unknown","",""
"Entoloma sericeum","Quél.","Silky Pinkgill","S3S4 (2021)","Yellow","",""
"Entoloma serrulatum","(Fr.) Hesler","Blue Edge Pinkgill","S3 (2021)","Blue","",""
"Erysiphe penicillata","Schltdl.","","SU (2021)","Unknown","",""
"Exobasidium burtii","Zeller","","S3S4 (2021)","Yellow","",""
"Exobasidium cassiopes","Peck","","","","",""
"Exobasidium cordilleranum","Savile","","S4? (2021)","Yellow","",""
"Exobasidium phyllodoces","Syd.","","SU (2021)","Unknown","",""
"Exobasidium vaccinii","(Fuckel) Woronin","Lingonberry Gall","S3S5 (2021)","Yellow","",""
"Fomitopsis betulina","(Bull.) B.K.Cui, M.L.Han & Y.C.Dai","birch polypore","S4S5 (2021)","Yellow","",""
"Fomitopsis cajanderi","(P. Karst.) B.K. Cui, M.L. Han & Y.C. Dai","Rosy Conk","S4S5 (2021)","Yellow","",""
"Fomitopsis mounceae","Haight & Nakasone","Northern Red Belt","SU (2021)","Unknown","",""
"Fomitopsis ochracea","Ryvarden & Stokland","Ochre-banded Conk","SU (2021)","Unknown","",""
"Geastrum saccatum","Fr.","rounded earthstar","S3 (2021)","Blue","",""
"Geastrum triplex","Jungh.","Collared Earthstar","S3S4 (2021)","Yellow","",""
"Sphaerobolus stellatus","Tode","cannonball fungus","S4 (2021)","Yellow","",""
"Ascocoryne sarcoides","(Jacq.) J. W. Groves & D. E. Wilson","Purple Jellydisc","SU (2021)","Unknown","",""
"Chloroscypha flavida","(Kanouse & A.H. Sm.) Baral","","S2? (2021)","Red","",""
"Geoglossum nigritum","(Fr.) Cooke","","SU (2025)","Unknown","",""
"Geoglossum umbratile","Sacc.","plain earthtongue","S2S4 (2021)","Blue","",""
"Trichoglossum hirsutum","(Pers.) Boud.","Hairy Earthtongue","S2S3 (2021)","Blue","",""
"Gloeophyllum sepiarium","(Wulfen) P. Karst","Conifer Mazegill","S3S5 (2021)","Yellow","",""
"Gomphus clavatus","(Pers.) Gray","pig's ears","S3 (2021)","Blue","",""
"Phaeoclavulina myceliosa","(Corner) Giachini","","S4 (2021)","Yellow","",""
"Ramaria formosa","(Pers.) Quél.","","S4 (2021)","Yellow","",""
"Ramaria gelatinosa","(Scop.) Quél.","","S4 (2021)","","",""
"Ramaria leptoformosa","Marr & D.E. Stuntz","","SU (2021)","Unknown","",""
"Ramaria rasilispora","Marr & D.E. Stuntz","","S4 (2021)","Yellow","",""
"Ramaria rubella","(Schaeff.) R.H. Petersen","","S3S4 (2021)","Yellow","",""
"Ramaria stricta","(Pers. per Fr.) Quel.","Upright Coral Fungus","S4 (2021)","Yellow","",""
"Turbinellus floccosus","(Schwein) Earle ex Giachini & Castellano","Scaly Chanterelle","S3 (2021)","Blue","",""
"Turbinellus kauffmanii","(A.H. Sm.) Giachini","","S2S3 (2021)","Blue","",""
"Chroogomphus tomentosus","(Murrill) O.K. Mill.","Woolly Pine Spike","S3S5 (2021)","Yellow","",""
"Gomphidius glutinosus","(Schaeff.) Fr.","Slimy Spike","S4? (2021)","Yellow","",""
"Gomphidius oregonensis","M.A. Curtis","Blackening Slime Spike","S3S4 (2021)","Yellow","",""
"Gomphidius subroseus","Kauffman","Rosy Slime Spike","S4? (2021)","Yellow","",""
"Cirrenalia macrocephala","(Kohlm.) Meyers & Kohlm.","","","","",""
"Haligena elaterophora","Kohlm.","","","","",""
"Lignincola laevis","Höhnk.","","","","",""
"Remispora maritima","Linder","","","","",""
"Remispora stellata","Kohlm.","","","","",""
"Euopsis granatina","(Sommerf.) Nyl.","Lesser Rockbud Lichen","S4 (2019)","Yellow","",""
"Helminthosphaeria clavariarum","(Desm.) Fuckel","","SU (2021)","Unknown","",""
"Hymenoscyphus fraternus","(Pers.) Dennis","","SU (2025)","Unknown","",""
"Helvella acetabulum","(L.) Quél.","Vinegar Cup","SU (2021)","Unknown","",""
"Helvella compressa","(Snyder) N.S. Weber","","S4 (2021)","Yellow","",""
"Helvella elastica","Bull.","Elastic Saddle","S4 (2021)","Yellow","",""
"Helvella lacunosa","Afzel.","Elfin Saddle","S4S5 (2021)","Yellow","",""
"Helvella vespertina","Afzelius","Western Black Elfin Saddle","SU (2021)","Unknown","",""
"Hericium abietis","(Weir ex Hubert) K.A. Harrison","Bear's head","S4 (2021)","Yellow","",""
"Hericium coralloides","(Scop.) Pers.","Coral tooth fungus","S4 (2021)","Yellow","",""
"Hericium erinaceus","(Bull.) Persoon","lion's-mane mushroom","S3S4 (2021)","Yellow","",""
"Melampsoridium hiratsukanum","S. Ito ex Hirats. f.","","","","",""
"Myxarium nucleatum","Wallr.","Crystal Brain Fungus","S3 (2021)","Blue","",""
"Cantharellus formosus","Corner","Pacific Golden Chanterelle","S4? (2021)","Yellow","",""
"Cantharellus roseocanus","(Redhead, Norvell & Danell) Redhead, Norvell & Moncalvo","Rainbow Chanterelle","S2S3 (2021)","Blue","",""
"Cantharellus subalbidus","A.H. Sm. & Morse","White Chanterelle","S3 (2021)","Blue","",""
"Clavulina coralloides","(L.) J. Schröt.","White Coral Fungus","S3S5 (2021)","Yellow","",""
"Clavulina rugosa","(Bull.) J. Schröt.","wrinkled club fungus","S3S4 (2021)","Yellow","",""
"Craterellus tubaeformis","(F. ) L Quélet","Yellowfoot","S4S5 (2021)","Yellow","",""
"Hydnum repandum","L.","Wood Hedgehog","S4S5 (2021)","Yellow","",""
"Hydnum umbilicatum","Peck","depressed hedgehog","S5 (2021)","Yellow","",""
"Laccaria amethysteo-occidentalis","G.M. Muell.","Western Amethyst Laccaria","S4S5 (2021)","Yellow","",""
"Laccaria bicolor","(Maire) P.D. Orton","Bicoloured Deceiver","S4 (2021)","Yellow","",""
"Laccaria laccata","(Scop.) Cooke","deceiver","S4S5 (2021)","Yellow","",""
"Laccaria montana","Singer","mountain deceiver","SU (2021)","Unknown","",""
"Laccaria proxima","(Boud.) Pat.","Scurfy Deceiver","S3S4 (2021)","Yellow","",""
"Ampulloclitocybe avellaneialba","(Murrill) Harmaja","smoky brown funnel","S3S4 (2021)","Yellow","",""
"Ampulloclitocybe clavipes","(Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys","Club Foot","S3S4 (2021)","Yellow","",""
"Arrhenia chlorocyanea","(Pat.) Redhead, Lutzoni, Moncalvo & Vilgalys","Verdigris Navel","SU (2021)","Unknown","",""
"Cantharellula umbonata","(J.F. Gmel.) Singer","The Humpback","S3S4 (2021)","Yellow","",""
"Chrysomphalina aurantiaca","(Wulfen) Maire","Orange Chrysomphalina","S3S4 (2021)","Yellow","",""
"Gliophorus laetus","(Pers.) Herink","Heath Waxcap","S4 (2021)","Yellow","",""
"Gliophorus psittacinus","(Schaeff.) Herink","Parrot Mushroom","S3 (2021)","Blue","",""
"Hygrocybe ceracea","(Sowerby) P. Kumm.","Butter Waxcap","SU (2021)","Unknown","",""
"Hygrocybe coccinea","(Schaeff.) P. Kumm.","Scarlet Waxy Cap","SU (2021)","Unknown","",""
"Hygrocybe miniata","(Fr.) P. Kumm","Vermilion Waxcap","S4 (2021)","Yellow","",""
"Hygrocybe singeri","A.H. Sm. & Hesler","Western Witch's Hat","SU (2021)","Unknown","",""
"Hygrophorus camarophyllus","(Alb. & Schwein.) Dumée, Grandjean & Maire","arched woodwax","S4 (2021)","Yellow","",""
"Hygrophorus piceae","Kuehner & Romagn","Snowy Woodwax","S4 (2021)","Yellow","",""
"Pseudoarmillariella ectypoides","(Peck) Singer","streaked clitocybe","S4 (2021)","Yellow","",""
"Hygrophoropsis aurantiaca","(Wulfen) Maire","False Chanterelle","S4S5 (2021)","Yellow","",""
"Fomitiporia punctata","(P. Karst.) Murrill","Elbowpatch Crust","SU (2021)","Unknown","",""
"Onnia tomentosa","(Fr.) P. Karst.","Woolly Velvet Polypore","S4S5 (2021)","Yellow","",""
"Phellinus igniarius","(L.) Quél.","Willow Bracket","S4S5 (2021)","Yellow","",""
"Porodaedalea pini","(Brot.) Murrill","Pine Bracket","S4S5 (2021)","Yellow","",""
"Pseudoinonotus dryadeus","(Pers.) T. Wagner & M. Fisch.","oak bracket","SU (2021)","Unknown","",""
"Trichaptum abietinum","(Dicks.) Ryvarden","Purplepore Bracket","S4 (2021)","Yellow","",""
"Trichaptum biforme","(Fr.) Ryvarden","violet-toothed polypore","SU (2021)","","",""
"Agrocybe acericola","(Peck) Singer","","SU (2021)","Unknown","",""
"Agrocybe pediades","(Fr.)","Common Fieldcap","SU (2021)","Unknown","",""
"Agrocybe praecox","(Pers.) Fayod","Spring Fieldcap","S4 (2021)","Yellow","",""
"Deconica horizontalis","(Bull.) Noordel.","wood oysterling","S2S4 (2021)","Blue","",""
"Deconica montana","(Pers.) P.D. Orton","mountain moss deconica","S4 (2021)","Yellow","",""
"Deconica phyllogena","(Peck) Noordel.","","SU (2021)","Unknown","",""
"Galerina marginata","(Batsch) Kühner","Funeral Bell","SU (2021)","Unknown","",""
"Galerina semilanceata","Peck","","S3S4 (2021)","Yellow","",""
"Galerina venenata","A.H. Sm.","","SU (2021)","Unknown","",""
"Gymnopilus aeruginosus","(Peck) Singer","Magic blue gym","SU (2021)","Unknown","",""
"Gymnopilus luteofolius","(Peck) Singer","Yellow-gilled Gymnopilus","S3S4 (2021)","Yellow","",""
"Gymnopilus punctifolius","(Peck) Singer","Blue-green Gym","S4? (2021)","Yellow","",""
"Gymnopilus sapineus","(Fr.) Murrill","Scaly Rustgill","S3S4 (2021)","Yellow","",""
"Gymnopilus ventricosus","(Peck) Singer","Western Jumbo Gym","SU (2021)","Unknown","",""
"Hemipholiota populnea","(Pers.) Bon","Destructive Pholiota","SU (2021)","Unknown","",""
"Kuehneromyces lignicola","(Peck) Redhead","False Funeral Bell","S4 (2021)","","",""
"Kuehneromyces mutabilis","(Schaeff.) Singer & A.H. Sm.","Sheathed Woodtuft","S4 (2021)","Yellow","",""
"Psilocybe baeocystis","Singer & A.H. Sm.","","SU (2021)","Unknown","",""
"Psilocybe cyanescens","Wakef.","Wavy Cap","S4S5 (2021)","Yellow","",""
"Psilocybe pelliculosa","(A.H. Sm.) Singer & A.H. Sm.","","S4 (2021)","Yellow","",""
"Psilocybe stuntzii","Guzmán & J.W. Allen","","S4 (2021)","Yellow","",""
"Hypomyces aurantius","(Pers.) Tul. & C. Tul.","orange polypore mould","S4S5 (2021)","Yellow","",""
"Hypomyces cervinigenus","Rogerson & Simms","","S4 (2021)","","",""
"Hypomyces cervinus","Rogerson & Samuels","saddle's child","S4 (2021)","Yellow","",""
"Hypomyces lactifluorum","(Schwein.) Tul. & C. Tul","lobster mushroom","S4 (2021)","Yellow","",""
"Jackrogersella multiformis","(Fr.) L. Wendt, Kuhnert & M. Stadler","Birch Woodwart","SU (2021)","Unknown","",""
"Inocybe lacera","(Fr.) P. Kumm.","torn fibrecap","S5 (2021)","Yellow","",""
"Inosperma calamistratum","(Fr.) Matheny & Esteve-Rav.","greenfoot fibrecap","S4 (2021)","Yellow","",""
"Inosperma maximum","(Kühner) Matheny & Esteve-Rav.","Blueing Fishy Fiberhead","SU (2025)","Unknown","",""
"Byssomerulius corium","(Pers.) Parmasto","Netted Crust","SU (2021)","Unknown","",""
"Gloeoporus dichrous","(Fr.) Bres.","bicoloured bracket","S3S5 (2021)","Yellow","",""
"Irpex lacteus","(Fr.) Fr.","Milk-white Toothed Polypore","SU (2021)","Unknown","",""
"Leptoporus mollis","(Pers.) Quél.","Pink Sherbet Polypore","S4 (2021)","","",""
"Belonidium pruinosum","(Jerdon ex Berk. & Broome) Rehm","","SU (2025)","Unknown","",""
"Capitotricha bicolor","(Bull.) Baral","","S4 (2025)","Yellow","",""
"Lachnellula calyciformis","(Batsch) Dharne","","SU (2021)","Unknown","",""
"Lachnum virgineum","(Batsch) P. Karst.","stalked hairy fairy cup","SU (2021)","Unknown","",""
"Laetiporus conifericola","Burds. & Banik","Conifer Chicken of the Woods","S4 (2021)","Yellow","",""
"Laricifomes officinalis","(Batsch) Kotl. & Pouzar","Quinine Conk","S2S4 (2021)","Blue","",""
"Apioperdon pyriforme","(Schaeffer) Vizzini","Pear-shaped Puffball","S4 (2021)","Yellow","",""
"Bovista plumbea","Pers.","Lead-grey Puffball","S3S4 (2021)","Yellow","",""
"Calvatia booniana","A.H. Smith","Western Giant Puffball","","","",""
"Lycoperdon nigrescens","Pers.","Dusky Puffball","","","",""
"Lycoperdon perlatum","Pers.","common puffball","S4S5 (2021)","Yellow","",""
"Lycoperdon umbrinum","Per.","Umber-brown Puffball","S3S4 (2021)","","",""
"Hypsizygus tessulatus","(Bull.) Singer","Beech Mushroom","S4 (2021)","Yellow","",""
"Leucocybe candicans","(Pers.) Vizzini, P. Alvarado, G. Moreno & Consiglio","","","","",""
"Leucocybe connata","(Schumach.) Vizzini, P. Alvarado, G. Moreno & Consiglio","White Domecap","SU (2021)","Unknown","",""
"Macrocystidia cucumis","(Pers.) Joss.","Cucumber Cap","SNA (2021)","Exotic","",""
"Crinipellis zonata","(Peck) Pat.","zoned hairy parachute","SU (2021)","Unknown","",""
"Marasmius calhouniae","Singer","Calhoun's pinwheel","","","",""
"Marasmius oreades","(Bolton) Fr.","fairy ring marasmius","S4S5 (2021)","Yellow","",""
"Marasmius rotula","(Scop.) Fr.","collared parachute","SU (2025)","Unknown","",""
"Melanoleuca melaleuca","(Pers.) Murrill","bald knight","S4 (2021)","Yellow","",""
"Merulius tremellosus","Schrad.","Trembling Crust","S4 (2021)","Yellow","",""
"Mycoacia nothofagi","(G. Cunn.) J. Erikss. & Ryvarden","","SU (2021)","Unknown","",""
"Phlebia ludoviciana","(Berk.) Nakasone & Burds.","","","","",""
"Phlebia radiata","Fr.","Wrinkled Crust","S4 (2021)","Yellow","",""
"Naohidemyces vacciniorum","(J. Schröt.) Spooner","Blueberry Leaf Rust","","","",""
"Mitrula elegans","(Berk.) Fr.","swamp beacon","S4 (2021)","Yellow","",""
"Costantinella micheneri","(Berk. & M.A. Curtis) Sacc.","","","","",""
"Leucangium carthusianum","(Tul. & C. Tul.) Paol.","","S3 (2021)","Blue","",""
"Morchella importuna","M.Kuo, O'Donnell & T.J.Volk","Landscaping Black Morel","SU (2021)","Unknown","",""
"Verpa bohemica","(Krombh.) J. Schröt","wrinkled thimble morel","S3S5 (2021)","Yellow","",""
"Verpa conica","(O.F. Müll.) Sw.","conic morel","S3S4 (2021)","Yellow","",""
"Hemimycena lactea","(Pers.) Singer","Milky Bonnet","SU (2021)","Unknown","",""
"Mycena amicta","(Fr.) Quél.","Bluefoot Bonnet","S4 (2021)","Yellow","",""
"Mycena epipterygia","(Scop.) Gray","Yellowleg Bonnet","S4S5 (2021)","Yellow","",""
"Mycena galericulata","(Scop.) Gray","common bonnet","S4S5 (2021)","Yellow","",""
"Mycena haematopus","(Pers.: Fr.) P. Kumm","Bleeding Fairy Helmet","S4 (2021)","Yellow","",""
"Mycena oregonensis","A. H. Sm.","Western Yellow Mycena","S4 (2021)","","",""
"Mycena overholtsii","A.H. Sm. & Hesler","","S3S4 (2021)","Yellow","",""
"Mycena pura","(Pers.: Fr.) P. Kumm","Lilac Bonnet","S4 (2021)","Yellow","",""
"Mycena purpureofusca","(Peck) Sacc.","purple-edge bonnet","S4 (2021)","Yellow","",""
