"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Galanthus nivalis","L.","common snowdrop","SNA (2019)","Exotic","",""
"Triglochin maritima","L.","common arrowgrass","S5 (2019)","Yellow","",""
"Arum italicum","Mill.","Italian arum","SNA (2019)","Exotic","",""
"Lemna minor","L,","Common Duckweed","S5 (2019)","Yellow","",""
"Lysichiton americanus","Hultén & H.St.John","western skunk cabbage","S5 (2019)","Yellow","",""
"Spirodela polyrhiza","(L.) Schleid.","greater duckweed","S5 (2019)","Yellow","",""
"Asparagus officinalis","L.","wild asparagus","SNA (2019)","Exotic","",""
"Brodiaea coronaria","(Salisb.) Engl","crown brodiaea","S5 (2019)","Yellow","",""
"Camassia leichtlinii ssp. suksdorfii","(Baker) S. Wats.","Suksdorf's Large Camas","S4 (2019)","Yellow","",""
"Camassia quamash","(Pursh) Greene","small camas","S4 (2020)","Yellow","",""
"Hyacinthoides hispanica","(Mill.) Chouard ex Rothm.","Spanish Bluebell","SNA (2019)","Exotic","",""
"Hyacinthoides non-scripta","(L.) Chouard ex Rothm.","bluebell","SNA (2019)","Exotic","",""
"Maianthemum dilatatum","(Alph. Wood) A. Nelson & J.F. Macbr.","Western Lily of the Valley","S5 (2019)","Yellow","",""
"Maianthemum racemosum ssp. amplexicaule","(L.) Link","western Solomon's plume","S5 (2019)","Yellow","",""
"Maianthemum stellatum","(L.) Link.","star-flowered lily-of-the-valley","S5 (2019)","Yellow","",""
"Muscari armeniacum","Leichtlin","Garden Grape-hyacinth","SNA (2019)","Exotic","",""
"Muscari neglectum","Guss. ex Ten.","Grape hyacinth","SNA (2019)","Exotic","",""
"Ornithogalum umbellatum","L.","common star-of-Bethlehem","SNA (2019)","Exotic","",""
"Triteleia grandiflora var. grandiflora","Lindl.","large-flowered triteleia","S4S5 (2025)","Yellow","",""
"Triteleia hyacinthina","(Lindl.) Greene","white brodiaea","S5 (2019)","Yellow","",""
"Achillea filipendulina","Lam.","Fern-leaf Yarrow","SNA (2019)","Exotic","",""
"Achillea millefolium","L.","common yarrow","SNA (2019)","Exotic","",""
"Adenocaulon bicolor","Hook.","American trailplant","S5 (2019)","Yellow","",""
"Agoseris aurantiaca var. aurantiaca","(Hook.) Greene","Orange Agoseris","S5 (2019)","Yellow","",""
"Agoseris glauca","(Pursh) Raf.","Pale agoseris","S5 (2020)","Yellow","",""
"Agoseris grandiflora var. leptophylla","(Nutt.) Greene","Puget Sound agoseris","S5 (2019)","Yellow","",""
"Ambrosia artemisiifolia","L.","common ragweed","SNA (2019)","Exotic","",""
"Ambrosia chamissonis","(Less.) Greene","silver beachweed","S5 (2019)","Yellow","",""
"Anaphalis margaritacea","(L.) Benth. & Hook.","pearly everlasting","S5 (2019)","Yellow","",""
"Anisocarpus madioides","Nutt.","woodland madia","S5 (2019)","Yellow","",""
"Antennaria alpina","Greene","Alpine Pussytoes","S5 (2019)","Yellow","",""
"Antennaria howellii","Greeene","Small Pussytoes","S5 (2020)","Yellow","",""
"Antennaria media","Greene","Rocky Mountain pussytoes","S5 (2019)","Yellow","",""
"Antennaria neglecta","Greene","Field Pussytoes","S4 (2019)","Yellow","",""
"Antennaria parvifolia","Nutt.","small-leaf pussytoes","S5 (2019)","Yellow","",""
"Antennaria rosea ssp. pulvinata","Greene ; Greene","Pulvinate Pussytoes","S5 (2019)","Yellow","",""
"Antennaria umbrinella","Rydb.","umber pussytoes","S5 (2019)","Yellow","",""
"Anthemis cotula","L.","Stinking chamomile","SNA (2019)","Exotic","",""
"Arctium lappa","L.","greater burdock","SNA (2019)","Exotic","",""
"Arctium minus","(Hill) Bernh.","lesser burdock","SNA (2019)","Exotic","",""
"Arnica angustifolia ssp. angustifolia","(Vahl.) Maguire","narrowleaf arnica","S5 (2020)","Yellow","",""
"Arnica cordifolia","Hook.","heartleaf arnica","S5 (2019)","Yellow","",""
"Arnica gracilis","Rydb.","Slender Leopardbane","S5 (2019)","Yellow","",""
"Arnica lanceolata ssp. prima","Nutt.","clasping arnica","S5 (2019)","Yellow","",""
"Arnica latifolia","Bong.","broadleaf arnica","S5 (2019)","Yellow","",""
"Arnica mollis","Hook.","hairy arnica","S5 (2019)","Yellow","",""
"Arnica ovata","Greene","sticky leaf arnica","S5 (2019)","Yellow","",""
"Arnica parryi","A. Gray","nodding arnica","S5 (2019)","Yellow","",""
"Arnica rydbergii","Greene","Subalpine Arnica","S5 (2019)","Yellow","",""
"Artemisia norvegica ssp. saxatilis","Fr.","boreal sagewort","S5 (2019)","Yellow","",""
"Artemisia vulgaris","L.","common mugwort","SNA (2019)","Exotic","",""
"Askellia pygmaea","(Ledeb.) W.A.Weber","Dwarf Alpine Hawk's-beard","S5 (2019)","Yellow","",""
"Bellis perennis","L.","Lawn daisy","SNA (2019)","Exotic","",""
"Bidens amplissima","Greene","Vancouver Island beggarticks","S3 (2019)","Blue","Special Concern (2001)","S1: Special Concern (2003)"
"Bidens cernua","L.","Nodding Beggarticks","S5 (2019)","Yellow","",""
"Bidens frondosa","L.","Devil's Beggarticks","SNA (2019)","Exotic","",""
"Bidens tripartita","L.","Three-parted Beggarticks","SNA (2019)","Exotic","",""
"Canadanthus modestus","(Lindl.) G.L.Nesom","Great Northern Aster","S5 (2019)","Yellow","",""
"Centaurea cyanus","L.","Cornflower","SNA (2019)","Exotic","",""
"Centaurea diffusa","Lam.","diffuse knapweed","SNA (2019)","Exotic","",""
"Centaurea montana","L.","Perennial Cornflower","SNA (2019)","Exotic","",""
"Centaurea stoebe ssp. australis","Lam.","Spotted Starthistle","SNA (2019)","Exotic","",""
"Cichorium intybus","L.","chicory","SNA (2019)","Exotic","",""
"Cirsium arvense","(L.) Scop.","creeping thistle","SNA (2019)","Exotic","",""
"Cirsium brevistylum","Cronquist","Short-styled Thistle","S5 (2019)","Yellow","",""
"Cirsium edule var. macounii","Nutt.","edible thistle","S5 (2019)","Yellow","",""
"Cirsium vulgare","(Savi) Ten.","Bull Thistle","SNA (2019)","Exotic","",""
"Coreopsis lanceolata","L.","Lance-leaved Coreopsis","SNA (2019)","Exotic","",""
"Coreopsis tinctoria","Nutt.","plains coreopsis","SU (2019)","Unknown","",""
"Cotula coronopifolia","L.","Brass Buttons","SNA (2019)","Exotic","",""
"Crepis capillaris","(L.) Wallr.","Smooth hawksbeard","SNA (2019)","Exotic","",""
"Crepis tectorum","L.","narrow-leaved hawksbeard","SNA (2019)","Exotic","",""
"Doellingeria engelmannii","(D.C.Eaton) G.L.Nesom","Engelmann's aster","S5 (2019)","Yellow","",""
"Doronicum pardalianches","L.","Leopard's-bane","SNA (2019)","Exotic","",""
"Erigeron acris var. kamtschaticus","L.","Kamchatka Fleabane","S5 (2019)","Yellow","",""
"Erigeron annuus","(L.) Pers.","annual fleabane","SNA (2019)","Exotic","",""
"Erigeron aureus","Greene","Alpine Yellow Fleabane","S5 (2025)","Yellow","",""
"Erigeron canadensis","L.","horseweed","S5 (2019)","Yellow","",""
"Erigeron compositus","Pursh","cut-leaf fleabane","S5 (2019)","Yellow","",""
"Erigeron glabellus var. pubescens","(Banks ex Pursh) Greene","quantum fleabane","S5 (2019)","Yellow","",""
"Erigeron glacialis var. glacialis","(Nutt.) A. Nelson; (Nutt.) A.Nelson","Subalpine Fleabane","S5 (2019)","Yellow","",""
"Erigeron nivalis","Nutt.","snow fleabane","S5 (2019)","Yellow","",""
"Erigeron peregrinus var. peregrinus","(Banks ex Pursh) Greene","subalpine fleabane","S5 (2019)","Yellow","",""
"Eriophyllum lanatum var. leucophyllum","(Pursh) Forbes","woolly sunflower","S5 (2019)","Yellow","",""
"Eupatorium cannabinum","L.","hemp agrimony","SNA (2019)","Exotic","",""
"Euthamia graminifolia","(L.) Nutt.","flat-topped goldenrod","S5? (2019)","Yellow","",""
"Eutrochium maculatum var. bruneri","(L.) E.E.Lamont","spotted Joe-pye weed","SU (2019)","Unknown","",""
"Galinsoga quadriradiata","Ruiz. & Pav.","shaggy soldier","SNA (2019)","Exotic","",""
"Gamochaeta ustulata","(Nutt.) Holub","featherweed","SU (2019)","Unknown","",""
"Gnaphalium uliginosum","L.","marsh cudweed","SNA (2019)","Exotic","",""
"Grindelia hirsutula","Hook. & Arn.","Hairy Gumweed","S3S4 (2021)","Yellow","",""
"Grindelia stricta","DC.","Oregon Gumplant","S5 (2015)","Yellow","",""
"Helianthus annuus","L.","Common Sunflower","SNA (2019)","Exotic","",""
"Hieracium albiflorum","Hook.","white hawkweed","S5 (2019)","Yellow","",""
"Hieracium lachenalii","Suter","common hawkweed","SNA (2019)","Exotic","",""
"Hieracium maculatum","Sm.","Spotted Hawkweed","SNA (2000)","Exotic","",""
"Hieracium murorum","L.","Wall hawkweed","SNA (2019)","Exotic","",""
"Hieracium triste var. gracile","Willd. ex Spreng.","hawkweed","S5 (2019)","Yellow","",""
"Hieracium umbellatum","L.","Canada hawkweed","S5 (2019)","Yellow","",""
"Hypochaeris glabra","L.","Smooth Cat's Ear","SNA (2019)","Exotic","",""
"Hypochaeris radicata","L.","Common Cat's-ear","SNA (2019)","Exotic","",""
"Inula helenium","L.","Elecampane","SNA (2019)","Exotic","",""
"Jacobaea vulgaris","Gaertn.","ragwort","SNA (2019)","Exotic","",""
"Lactuca biennis","(Moench) Fernald","tall blue lettuce","S5 (2019)","Yellow","",""
"Lactuca canadensis","L.","Canada wild lettuce","SNA (2019)","Exotic","",""
"Lactuca serriola","L.","prickly lettuce","SNA (2019)","Exotic","",""
"Lapsana communis","L.","nipplewort","SNA (2019)","Exotic","",""
"Leontodon saxatilis ssp. saxatilis","Lam.","Lesser Hawkbit","SNA (2019)","Exotic","",""
"Leucanthemum maximum","(Ramond) DC.","max chrysanthemum","SNA (2012)","Exotic","",""
"Leucanthemum vulgare","Lam.","oxeye daisy","SNA (2019)","Exotic","",""
"Luina hypoleuca","Benth.","Littleleaf Silverback","S5 (2019)","Yellow","",""
"Madia glomerata","Hook.","mountain tarweed","S5 (2019)","Yellow","",""
"Madia gracilis","(Sm.) D.D. Keck","grassy tarweed","S5 (2019)","Yellow","",""
"Madia sativa","Molina","coast tarweed","SNA (2019)","Exotic","",""
"Matricaria discoidea","DC.","pineapple-weed","SNA (2021)","Exotic","",""
"Mycelis muralis","(L.) Dumort.","Wall Lettuce","SNA (2019)","Exotic","",""
"Nabalus hastatus","(L.) Hook.","western rattlesnake root","S5 (2019)","Yellow","",""
"Packera pauciflora","(Pursh) Á. Löve & D. Löve","alpine groundsel","S5 (2019)","Yellow","",""
"Petasites frigidus var. frigidus","(Greene) Cronquist","arctic sweet coltsfoot","S5 (2020)","Yellow","",""
"Petasites frigidus var. palmatus","(L.) Fr. (Aiton) Cronquist","Western Sweet Coltsfoot","S5 (2020)","Yellow","",""
"Petasites japonicus","(Siebold & Zucc.) Maxim.","Giant Butterbur","SNA (2019)","Exotic","",""
"Pilosella aurantiaca","(L.) F.W. Schultz & Sch. Bip.","orange hawkweed","SNA (2019)","Exotic","",""
"Pilosella caespitosa","(Dumort) P.D.Sell & C.West","meadow hawkweed","SNA (2019)","Exotic","",""
"Pilosella officinarum","F.W.Schultz & Sch.Bip.","mouse-eared hawkweed","SNA (2019)","Exotic","",""
"Pilosella piloselloides ssp. praealta","Vill.","Tall Mouse-ear-hawkweed","SNA (2001)","Exotic","",""
"Pseudognaphalium stramineum","(Kunth) Anderb.","cottonbatting plant","SU (2019)","Unknown","",""
"Pseudognaphalium thermale","(E. E. Nelson) G. L. Nesom","Northwestern rabbit-tobacco","S4S5 (2019)","Yellow","",""
"Rudbeckia hirta var. pulcherrima","L.","eastern black-eyed susan","SNA (2019)","Exotic","",""
"Scorzoneroides autumnalis","(L.) Moench.","Autumn Hawkbit","SNA (2019)","Exotic","",""
"Senecio fremontii var. fremontii","Torr. & A. Gray","dwarf mountain ragwort","S5 (2019)","Yellow","",""
"Senecio lugens","Richardson","Black-tip Groundsel","S5 (2019)","Yellow","",""
"Senecio sylvaticus","L.","Heath Groundsel","SNA (2019)","Exotic","",""
"Senecio triangularis","Hooker","Arrowleaf Senecio","S5 (2019)","Yellow","",""
"Senecio viscosus","L.","Sticky Groundsel","SNA (2019)","Exotic","",""
"Senecio vulgaris","L.","common groundsel","SNA (2019)","Exotic","",""
"Silybum marianum","(L.) Gaertn.","milk thistle","SNA (2019)","Exotic","",""
"Solidago canadensis","L.","Canada goldenrod","SNA (2019)","Exotic","",""
"Solidago elongata","Nutt.","west coast Canada goldenrod","S5 (2019)","Yellow","",""
"Solidago lepida","DC.","Elegant Goldenrod","S5 (2000)","Yellow","",""
"Solidago multiradiata","Aiton","northern goldenrod","S5 (2019)","Yellow","",""
"Solidago rugosa var. rugosa","Mill.","wrinkleleaf goldenrod","SNA (2019)","Exotic","",""
"Solidago simplex var. nana","(A.Gray) G.S.Ringius","alpine goldenrod","SU (2019)","Unknown","",""
"Solidago simplex var. simplex","Kunth","sticky goldenrod","SU (2019)","Unknown","",""
"Sonchus arvensis ssp. arvensis","L.","glandular field sowthistle","SNA (2000)","Exotic","",""
"Sonchus asper","(L.) Hill.","prickly sowthistle","SNA (2019)","Exotic","",""
"Sonchus oleraceus","L.","Common Sow-thistle","SNA (2019)","Exotic","",""
"Symphyotrichum chilense","(Nees) G.L. Nesom","Pacific Aster","S5 (2019)","Yellow","",""
"Symphyotrichum ciliolatum","(Lindl.) A.Löve & D. Löve","Lindley's Aster","S5 (2019)","Yellow","",""
"Symphyotrichum novi-belgii var. novi-belgii","G.L. Nesom","New York Aster","SNA (2019)","Exotic","",""
"Symphyotrichum subspicatum","(Nees) G.L. Nesom","Douglas' Aster","S5 (2019)","Yellow","",""
"Tanacetum parthenium","(L.) Sch. Bip.","feverfew","SNA (2019)","Exotic","",""
"Taraxacum alaskanum","Rydb.","Alaska Dandelion","S5 (2019)","Yellow","",""
"Taraxacum erythrospermum agg.","","red-seeded dandelion","SNA (2018)","Exotic","",""
"Taraxacum officinale agg.","","common dandelions","SNA (2018)","Exotic","",""
"Tonestus lyallii","(A. Gray) A. Nelson","lyall's tonestus","S5 (2019)","Yellow","",""
"Tragopogon dubius","Scop.","Yellow Salsify","SNA (2019)","Exotic","",""
"Tripleurospermum inodorum","(L.) Sch.Bip.","scentless mayweed","SNA (2019)","Exotic","",""
"Achlys triphylla","(Sm.) DC.","vanilla leaf","S5 (2019)","Yellow","",""
"Berberis aquifolium","Pursh","Oregon grape","S5 (2019)","Yellow","",""
"Berberis nervosa","Pursh","Cascade Oregon-grape","S5 (2019)","Yellow","",""
"Berberis thunbergii","DC.","Japanese barberry","SNA (2019)","Exotic","",""
"Myrica gale","L.","bog myrtle","S5 (2019)","Yellow","",""
"Quercus garryana var. garryana","Dougl. Ex Hook.","Oregon white oak","S5 (2019)","Yellow","",""
"Quercus robur","L.","English oak","SNA (2019)","Exotic","",""
"Campanula persicifolia","L.","Peach-leaved Bellflower","SNA (2019)","Exotic","",""
"Campanula rapunculoides","L.","Creeping Bellflower","SNA (2019)","Exotic","",""
"Campanula rotundifolia complex","","Common Harebell","S5 (2019)","Yellow","",""
"Heterocodon rariflorus","Nutt.","western pearlflower","S4 (2019)","Yellow","",""
"Alnus alnobetula ssp. sinuata","(Ehrh.) K.Koch","Sitka Alder","S5 (2000)","Yellow","",""
"Alnus incana ssp. tenuifolia","(L.) Moench (Nutt.) Breitung","Thinleaf Alder","S5 (2019)","Yellow","",""
"Alnus rubra","Bong.","Red Alder","S5 (2019)","Yellow","",""
"Betula glandulosa","Michx.","dwarf resin birch","S5 (2019)","Yellow","",""
"Betula occidentalis","Hook.","water birch","S5 (2019)","Yellow","",""
"Betula papyrifera","Marshall","paper birch","S5 (2019)","Yellow","",""
"Betula pendula","Roth","silver birch","SNA (2019)","Exotic","",""
"Corylus avellana","L.","common hazel","SNA (2019)","Exotic","",""
"Corylus cornuta","Marshall","beaked hazelnut","SU (2020)","Unknown","",""
"Asarum caudatum","Lindl.","Western Wild Ginger","S5 (2019)","Yellow","",""
"Cystopteris fragilis","(L.) Bernh.","brittle bladderfern","S5 (2019)","Yellow","",""
"Gymnocarpium disjunctum","(Rupr.) Ching","Pacific oak fern","S5 (2019)","Yellow","",""
"Gymnocarpium dryopteris","(L.) Newman","northern oak fern","S5 (2019)","Yellow","",""
"Pinguicula macroceras","Pall. ex Link","horned butterwort","S5 (2020)","Yellow","",""
"Pinguicula vulgaris ssp. vulgaris","L.","common butterwort","S4 (2001)","Yellow","",""
"Utricularia gibba","L.","humped bladderwort","S4 (2019)","Yellow","",""
"Utricularia macrorhiza","Leconte","common bladderwort","S5 (2019)","Yellow","",""
"Utricularia minor","L.","Lesser Bladderwort","S5 (2019)","Yellow","",""
"Menyanthes trifoliata","L.","Bogbean","S5 (2019)","Yellow","",""
"Nephrophyllidium crista-galli","(Menzies ex Hook.) Gilg","Deer-cabbage","S5 (2019)","Yellow","",""
"Borago officinalis","L.","Borage","SNA (2019)","Exotic","",""
"Echium vulgare","L.","viper's-bugloss","SNA (2019)","Exotic","",""
"Lappula occidentalis","(Hooker) Abrams","Flatspine Stickseed","S5 (2000)","Yellow","",""
"Myosotis arvensis","(L.) Hill","field forget-me-not","SNA (2019)","Exotic","",""
"Myosotis discolor","Pers.","Changing Forget-me-not","SNA (2019)","Exotic","",""
"Myosotis laxa","Lehm.","bay forget-me-not","S5 (2019)","Yellow","",""
"Myosotis scorpioides","L.","water forget-me-not","SNA (2019)","Exotic","",""
"Myosotis sylvatica","Ehrh.","Wood Forget-me-not","SNA (2019)","Exotic","",""
"Nemophila parviflora var. parviflora","Douglas ex Benth","Small-flower Nemophila","S5 (2019)","Yellow","",""
"Pentaglottis sempervirens","(L.) Tausch ex L.H.Bailey","Green Alkanet","SNA (2019)","Exotic","",""
"Phacelia hastata ssp. hastata","Douglas ex Lehm.","Silverleaf Scorpionweed","S5 (2019)","Yellow","",""
"Phacelia sericea var. sericea","(Graham) A. Gray","Silky Scorpionweed","S5 (2020)","Yellow","",""
"Romanzoffia sitchensis","Bong.","Sitka Mistmaiden","S5 (2019)","Yellow","",""
"Symphytum officinale","L.","common comfrey","SNA (2019)","Exotic","",""
"Pteridium aquilinum var. pubescens","(Underw.) J.A. Thomson, Mickel & Mehlt.","Hairy brackenfern","S5 (2000)","Yellow","",""
"Adiantum aleuticum var. aleuticum","(Rupr.) Paris","Western Maidenhair Fern","S5 (2020)","Yellow","",""
"Aspidotis densa","(Brack.) Lellinger","serpentine fern","S5 (2019)","Yellow","",""
"Cryptogramma acrostichoides","R. Br.","American parsley fern","S5 (2019)","Yellow","",""
"Cryptogramma cascadensis","A.R. Alverson","Cascade parsley fern","S3S4 (2019)","Yellow","",""
"Pentagramma triangularis ssp. triangularis","(Kaulf.) Yatskievych,Windham & Wollenweber","goldback fern","S5 (2019)","Yellow","",""
"Aphyllon californicum ssp. californicum","(Cham. & Schltdl.) A.Gray","California Broomrape","S4 (2019)","Yellow","",""
"Castilleja elmeri","Fernald","Elmer's Paintbrush","S4 (2019)","Yellow","",""
"Castilleja hispida var. hispida","Benth. ; Benth.","Harsh Paintbrush","S5 (2019)","Yellow","",""
"Castilleja miniata","Douglas ex Hook.","giant red paintbrush","S5 (2020)","Yellow","",""
"Castilleja parviflora var. albida","Bong.","white small-flowered paintbrush","S5 (2020)","Yellow","",""
"Castilleja parviflora var. parviflora","Bong.","small-flowered paintbrush","S5 (2020)","Yellow","",""
"Castilleja rhexiifolia","Rydb.","Rhexia-leaved paintbrush","S5 (2019)","Yellow","",""
"Euphrasia nemorosa","(Pers.) Wallr.","Common Eyebright","SNA (2019)","Exotic","",""
"Kopsiopsis hookeri","(Walp.) Govaerts","small ground-cone","S4S5 (2019)","Yellow","",""
"Melampyrum lineare","Lam.","narrowleaf cow wheat","S5 (2019)","Yellow","",""
"Pedicularis bracteosa","Benth.","Bracted Lousewort","S5 (2020)","Yellow","",""
"Pedicularis racemosa","Douglas ex Benth.","Sickletop Lousewort","S5 (2019)","Yellow","",""
"Rhinanthus minor ssp. minor","L.","yellow rattle","S4 (2019)","Yellow","",""
"Triphysaria pusilla","(Benth.) T.I.Chuang & Heckard","dwarf owl's-clover","S5 (2019)","Yellow","",""
"Ceanothus sanguineus","Pursh","redstem ceanothus","S5 (2019)","Yellow","",""
"Ceanothus velutinus","Douglas ex Hook.","Snowbrush Ceanothus","S5 (2020)","Yellow","",""
"Ceanothus velutinus var. laevigatus","(Hook.) Torr. & A.Gray","snowbrush ceanothus","SU (2020)","Unknown","",""
"Ceanothus velutinus var. velutinus","Douglas ex Hook.","snowbrush ceanothus","S5 (2020)","Yellow","",""
"Frangula purshiana ssp. purshiana","(D.C.) Cooper","cascara","S5 (2019)","Yellow","",""
"Toxicoscordion venenosum var. venenosum","(S. Watson) Rydb.","death camas","S5 (2000)","Yellow","",""
"Trillium ovatum var. ovatum","Pursh","Western Trillium","S5 (2019)","Yellow","",""
"Veratrum viride var. eschscholzianum","(Schult. & Schult.f.) Breitung","western green false hellebore","S5 (2019)","Yellow","",""
"Actaea rubra","(Alton) Willd.","red baneberry","S5 (2019)","Yellow","",""
"Anemone parviflora","Michx.","Small-flower Anemone","S5 (2019)","Yellow","",""
"Anemonoides grayi","(Behr & Kellogg) Starod.","Gray's anemone","S4S5 (2019)","Yellow","",""
"Anemonoides nemorosa","(L.) Holub","wood anemone","SNA (2019)","Exotic","",""
"Aquilegia formosa var. formosa","Fisch. ex DC.","crimson columbine","S5 (2019)","Yellow","",""
"Aquilegia vulgaris","L.","common columbine","SNA (2019)","Exotic","",""
"Caltha biflora","DC.","elkslip marsh-marigold","S5 (2000)","Yellow","",""
"Caltha leptosepala","DC.","white marsh marigold","S5 (2019)","Yellow","",""
"Clematis vitalba","L.","Old man's beard","SNA (2019)","Exotic","",""
"Coptis aspleniifolia","Salisb.","Spleenwortleaf Goldthread","S5 (2019)","Yellow","",""
"Coptis trifolia","(L.) Salisb.","threeleaf goldthread","S5 (2019)","Yellow","",""
"Delphinium menziesii ssp. menziesii","DC.","Puget Sound Larkspur","S5 (2019)","Yellow","",""
"Ficaria verna","Huds.","lesser celandine","SNA (2019)","Exotic","",""
"Halerpestes cymbalaria","(Pursh) Greene","Alkali Buttercup","S5 (2019)","Yellow","",""
"Pulsatilla occidentalis","(S. Watson) Freyn","white pasqueflower","S5 (2019)","Yellow","",""
"Ranunculus acris","L.","meadow buttercup","SNA (2019)","Exotic","",""
"Ranunculus eschscholtzii var. eschscholtzii","Schltdl.","Eschscholtz's Buttercup","S5 (2000)","Yellow","",""
"Ranunculus flammula","L.","Lesser Spearwort","SU (2022)","Yellow","",""
"Ranunculus occidentalis","Nutt.","Western Buttercup","S5 (2000)","Yellow","",""
"Ranunculus repens","L.","Creeping buttercup","SNA (2019)","Exotic","",""
"Ranunculus uncinatus","D. Don ex G. Don","woodland buttercup","S5 (2019)","Yellow","",""
"Trautvetteria caroliniensis","(Walter) Vail","Carolina bugbane","S5 (2019)","Yellow","",""
"Trollius albiflorus","A.Gray","White Globeflower","S5 (2019)","Yellow","",""
"Aegopodium podagraria","L.","Goutweed","SNA (2019)","Exotic","",""
"Angelica genuflexa","Nutt.","Kneeling Angelica","S5 (2019)","Yellow","",""
"Angelica lucida","L.","sea-watch","S5 (2019)","Yellow","",""
"Anthriscus caucalis","M.Bieb.","Bur Parsley","SNA (2019)","Exotic","",""
"Anthriscus sylvestris","(L.) Hoffm.","Cow Parsley","SNA (2019)","Exotic","",""
"Cicuta douglasii","(DC.) J.M. Coult. & Rose","Western Water Hemlock","S5 (2019)","Yellow","",""
"Daucus carota","L.","wild carrot","SNA (2019)","Exotic","",""
"Daucus pusillus","Michx.","American wild carrot","S5 (2019)","Yellow","",""
"Foeniculum vulgare","Mill.","fennel","SNA (2019)","Exotic","",""
"Glehnia littoralis ssp. leiocarpa","(Mathias) Hult.","american glehnia","S3 (2019)","Blue","",""
"Heracleum mantegazzianum","Sommier & Levier","Giant Hogweed","SNA (2019)","Exotic","",""
"Heracleum maximum","W. Bartram","common cowparsnip","S5 (2019)","Yellow","",""
"Heracleum sphondylium","L.","hogweed","SNA (2019)","Exotic","",""
"Lilaeopsis occidentalis","J.M. Coult. & Rose","western grasswort","S5 (2019)","Yellow","",""
"Lomatium nudicaule","(Nutt.) J.M.Coult. & Rose","Barestem Biscuitroot","S4S5 (2019)","Yellow","",""
"Myrrhis odorata","(L.) Scop.","sweet cicely","SNA (2019)","Exotic","",""
"Oenanthe sarmentosa","C. Presl ex DC.","water parsley","S5 (2019)","Yellow","",""
"Osmorhiza berteroi","DC.","mountain sweet cicely","S5 (2019)","Yellow","",""
"Osmorhiza depauperata","Phil.","blunt-fruited sweet-cicely","S5 (2019)","Yellow","",""
"Osmorhiza occidentalis","(Nutt. ex Torr.& A.Gray). Torr.","Western Sweet-cicely","S4? (2019)","Yellow","",""
"Osmorhiza purpurea","(J.M. Coult. & Rose) Suksd.","Purple Sweet-cicely","S5 (2019)","Yellow","",""
"Pastinaca sativa","L.","wild parsnip","SNA (2019)","Exotic","",""
"Perideridia gairdneri","(Hook. & Arn.) Mathias","Gairdner's Yampah","S5 (2019)","Yellow","",""
"Petroselinum crispum","Mill.","garden parsley","SNA (2019)","Exotic","",""
"Sanicula crassicaulis","Poepp ex DC","Pacific Sanicle","S5 (2019)","Yellow","",""
"Sium suave","Walter","water parsnip","S5 (2019)","Yellow","",""
"Torilis arvensis ssp. arvensis","(Huds.) Link","Field Hedge-parsley","SNA (2019)","Exotic","",""
"Sparganium angustifolium","Michx.","Narrow-leaved Bur-reed","S5 (2019)","Yellow","",""
