"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Cladonia subfurcata","(Nyl.) Arnold","Rosegarden Pixie Lichen","S3S4 (2019)","Yellow","",""
"Cladonia subsquamosa","Krempelh.","","","","",""
"Cladonia subulata","(L.) Weber ex F. H. Wigg.","Antlered Powderhorn","S5 (2018)","Yellow","",""
"Cladonia sulphurina","(Michaux) Fr.","Greater Sulphur-cup Lichen","S5 (2018)","Yellow","",""
"Cladonia symphycarpa","(Flörke) Fr. ; (Flörke) Fr.","Split-peg Lichen","S5 (2019)","Yellow","",""
"Cladonia transcendens","(Vain.) Vain.","graduated pixie","S4 (2019)","Yellow","",""
"Cladonia umbricola","Tønsberg & Ahti.","Shaded Cladonia","S5 (2018)","Yellow","",""
"Cladonia uncialis","(l.) F. H. Wigg.","Thorn Lichen","S5 (2018)","Yellow","",""
"Cladonia verruculosa","(Vain.) Ahti","Western Wand Lichen","S5 (2019)","Yellow","",""
"Pilophorus acicularis","(Ach.) Th. Fr.","Devil's matchstick","S5 (2018)","Yellow","",""
"Pilophorus nigricaulis","(Ach.) Th. Fr.","charred matchstick lichen","S3S4 (2019)","Yellow","",""
"Scytinium californicum","Tuck.","midlife vinyl","S3S4 (2025)","Yellow","",""
"Scytinium gelatinosum","(With.) J.R. Laundon","Rose-petalled Jellyskin Lichen","S5 (2018)","Yellow","",""
"Scytinium lichenoides","(L.) Otálora","Tattered Jellyskin Lichen","S5 (2018)","Yellow","",""
"Scytinium palmatum","(Huds.) Mont.","Antlered Jellyskin Lichen","S5 (2018)","Yellow","",""
"Scytinium polycarpum","(Hoffm.) Otálora","Peacock Vinyl Lichen","S4 (2018)","Yellow","Special Concern (2011)","S1: Special Concern"
"Chaenotheca furfuracea","(L.) Tibell","Sulphur Stubble Lichen","S5 (2020)","Yellow","",""
"Sclerophora peronella","(Ach.) Tibell","Frosted Glass-whiskers Lichen","S1 (2002)","Red","Data Deficient (2014)",""
"Gyalideopsis piceicola","W.J. Noble & V?zda","","S4 (2020)","Yellow","",""
"Diploschistes scruposus","(Schreber) Norman","Crater Lichen","S5 (2020)","Yellow","",""
"Graphis scripta","(L.) Ach.","Common Script Lichen","S5 (2020)","Yellow","",""
"Thelotrema lepadinum","(Ach.) Ach.","Bark Barnacles","S5 (2020)","Yellow","",""
"Multiclavula mucida","(Fr.) R. Petersen","White green-algae coral","SU (2021)","Unknown","",""
"Lichenomphalia ericetorum","(L.) Redhead, Lutzoni, Moncalvo & Vilgalys","Lichen Agaric","S5 (2021)","Yellow","",""
"Ionaspis sp.","","","","","",""
"Icmadophila ericetorum","(L.) Zahlbr.","Candy Lichen","S5 (2020)","Yellow","",""
"Thamnolia vermicularis","(Sw.) Ach. ex Schaerer","Whiteworm Lichen","S5 (2018)","Yellow","",""
"Tingiopsidium isidiatum","(Degel.) E. Dahl","Peppered Brownette Lichen","S4 (2019)","Yellow","",""
"Glaucomaria carpinea","(L.) Vain.","Rim lichen","S5 (2020)","Yellow","",""
"Lecanora farinaria","Borrer","","S4S5 (2023)","Yellow","",""
"Lecanora pulicaris","(Pers.) Ach.","Common Rim Lichen","S5 (2020)","Yellow","",""
"Lecanora stanislai","Guzow-Krzem., Łubek, Malíček & Kukwa","","SU (2025)","Unknown","",""
"Lecanora xylophila","(Ach.) Nyl.","Driftwood Rim-lichen","S5 (2020)","Yellow","",""
"Lecidella euphorea","(Flörke) Hertel","Bark Disk Lichen","S5 (2020)","Yellow","",""
"Protoparmeliopsis muralis","(Schreb.) M. Choisy","Stonewall Rim Lichen","S5 (2020)","Yellow","",""
"Cyclohymenia epilithica","Henssen","","","","",""
"Lecidea atrobrunnea","(Ramond ex Lam. & DC.) Schaer.","Brown Tile Lichen","S5 (2020)","Yellow","",""
"Mycobilimbia berengeriana","(A. Massal.) Nyl.","Berenger's mycobilimbia lichen","S5 (2020)","Yellow","",""
"Porpidia crustulata","(Ach.) Hertel & Knoph","concentric boulder lichen","S5 (2020)","Yellow","",""
"Porpidia flavicunda","(Ach.) Gowan","Orange Boulder Lichen","SU (2020)","Unknown","",""
"Porpidia macrocarpa","(DC.) Hertel & A.J. Schwab","Big-disk pebble lichen","SU (2020)","Unknown","",""
"Lobaria anomala","Brodo & Ahti","Netted Specklebelly","S5 (2019)","Yellow","",""
"Lobaria linita","(Ach.) Rabenh.","Cabbage Lung Lichen","S5 (2018)","Yellow","",""
"Lobaria oregana","(Tuck.) Müll.Arg.","Lettuce Lichen","S3S4 (2018)","Yellow","",""
"Lobaria pulmonaria","(L.) Hoffm.","Tree Lungwort","S5 (2018)","Yellow","",""
"Sticta limbata","(Sm.) Ach.","Powdered Moon Lichen","S5 (2019)","Yellow","",""
"Lopadium pezizoideum","(Ach.) Körb.","Moss Urn Lichen","S5 (2020)","Yellow","",""
"Massalongia carnosa","(Dickson) Körb.","Rockmoss Rosette Lichen","S5 (2019)","Yellow","",""
"Aspicilia cinerea","(L.) Körb.","cinder lichen","S5 (2020)","Yellow","",""
"Aspicilia sp.","A. Massal.","Sunken Disk Lichens","","","",""
"Aspicilia verrucigera","Hue","","SU (2020)","Unknown","",""
"Circinaria contorta","(Hoffm.) A. Nordin","Chiseled Sunken Disk Lichen","S5 (2020)","Yellow","",""
"Circinaria leprosescens","(Anzi) A. Nordin","","SU (2020)","Unknown","",""
"Microthyrium macrosporum","Speg.","","","","",""
"Piricauda pelagica","Kohlm.","","","","",""
"Ramularia rubella","(Bonord.) Nannf.","","","","",""
"Sphaerulina populicola","(Desm.) Verkley","","","","",""
"Halokirschsteiniothelia maritima","(Linder) Boonmee & K. D. Hyde","","","","",""
"Nephroma arcticum","(l.) torss.","Arctic Kidney Lichen","S5 (2018)","Yellow","",""
"Nephroma laevigatum","Ach.","Mustard Kidney Lichen","S4S5 (2019)","Yellow","",""
"Nephroma parile","(Ach.) Ach.","Powdery Kidney Lichen","S5 (2018)","Yellow","",""
"Nephroma resupinatum","(L.) Ach.","Pimpled Kidney Lichen","S4 (2018)","Yellow","",""
"Ochrolechia androgyna","(Hoffm.) Arnold","Powdery Saucer Lichen","S5 (2020)","Yellow","",""
"Ochrolechia farinacea","Howard","","S5 (2020)","Yellow","",""
"Ochrolechia laevigata","(Räsänen) Verseghy ex Kukwa","Smooth Saucer Lichen","S5 (2020)","Yellow","",""
"Ochrolechia oregonensis","H. Magn.","Double-Rimmed Saucer Lichen","S5 (2020)","Yellow","",""
"Ochrolechia pallescens","(L.) Körb.","","","","",""
"Ochrolechia subpallescens","Vers.","","S5 (2020)","Yellow","",""
"Varicellaria rhodocarpa","(Körb.) Th. Fr.","","S5 (2020)","Yellow","",""
"Varicellaria velata","(Turner) Schmitt & Lumbsch","Rimmed Wart Lichen","","","",""
"Fuscopannaria cyanolepra","(Tuck.) P.M. Jörg.","disintegrating crackers","S3S4 (2019)","Yellow","",""
"Fuscopannaria leucostictoides","(Ohlsson) P.M. Jörg.","Petaled Shingle Lichen","S4? (2019)","Yellow","",""
"Pannaria sp.","Del. ex Bory","Shingle Lichens","","","",""
"Parmeliella thriptophylla","(Ach.) Müll. Arg.","black-bordered shingle lichen","S4 (2019)","Yellow","",""
"Protopannaria pezizoides","(Weber) P. M Jörg. & S. Ekman","Brown-gray Moss-shingle Lichen","S5 (2019)","Yellow","",""
"Psoroma hypnorum","(Vahl) Gray","Green Moss-shingle Lichen","S5 (2019)","Yellow","",""
"Psoroma tenue var. boreale","Henssen","Tundra Moss-shingle Lichen","S4S5 (2019)","Yellow","",""
"Alectoria imshaugii","Brodo & D. Hawksw.","Spiny Witch's Hair","S3? (2019)","Blue","",""
"Alectoria sarmentosa ssp. sarmentosa","(Ach.) Ach.","Common Witch's Hair Lichen","S5 (2018)","Yellow","",""
"Alectoria vancouverensis","(Gyelnik) Gyelnik ex Brodo & D. Hawksw","Vancouver Witch's Hair Lichen","S4 (2018)","Yellow","",""
"Arctoparmelia centrifuga","(L.) Hale","Concentric Ring Lichen","S5 (2018)","Yellow","",""
"Bryoria americana","(Motyka) Holien","Elegant Horsehair Lichen","S4S5 (2018)","Yellow","",""
"Bryoria fuscescens","(Gyel.) Brodo & D. Hawksw.","Pale-footed Horsehair Lichen","S5 (2018)","Yellow","",""
"Bryoria glabra","(Motyka) Brodo & D. Hawksw.","Shiny Horsehair Lichen","S5 (2018)","Yellow","",""
"Bryoria pseudofuscescens","(Gyelnik) Brodo & D. Hawksw.","Mountain Horsehair Lichen","S5 (2018)","Yellow","",""
"Bryoria trichodes","(Michx.) Brodo & D. Hawksw.","Horsehair Lichen","SU (2025)","Unknown","",""
"Cetraria aculeata","(Schreber) Ach","Spiny Heath Lichen","S5 (2018)","Yellow","",""
"Cetraria ericetorum var. reticulata","(Räsänen) Kärnefelt","Net-forming Iceland Lichen","S5 (2018)","Yellow","",""
"Cetraria islandica","(L.) Ach.","Iceland Lichen","","","",""
"Cetrelia cetrarioides","(Duby) Culb. & C. Culb.","Speckled Rag Lichen","S5 (2019)","Yellow","",""
"Evernia prunastri","(L.) Ach.","Oakmoss","S5 (2018)","Yellow","",""
"Gowardia nigricans","(Ach.) P. Halonen, L. Myllys, S. Velmala, & H. Hyvarinen","Gray Witch's Hair","S5 (2019)","Yellow","",""
"Hypogymnia apinnata","Goward & McCune","Beaded Tube Lichen","S5 (2018)","Yellow","",""
"Hypogymnia duplicata","(Ach.) Rass.","Ticker-tape Lichen","S5 (2019)","Yellow","",""
"Hypogymnia enteromorpha","(Ach.) Nyl.","Budding Tube Lichen","S5 (2018)","Yellow","",""
"Hypogymnia imshaugii","krog","Imshaug's Tube Lichen","S5 (2018)","Yellow","",""
"Hypogymnia inactiva","(Krog) Ohlsson","Mottled Tube Lichen","S5 (2019)","Yellow","",""
"Hypogymnia metaphysodes","(Asah.) Rass.","","","","",""
"Hypogymnia occidentalis","L. Pike","Lattice Tube Lichen","S5 (2018)","Yellow","",""
"Hypogymnia physodes","(l.) Nyl.","Hooded Tube Lichen","S5 (2018)","Yellow","",""
"Hypogymnia rugosa","(G. Merr.) L. Pike","Wrinkled Tube Lichen","S5 (2018)","Yellow","",""
"Hypogymnia tubulosa","(Schaer.) Hav.","Powder-headed Tube Lichen","S5 (2018)","Yellow","",""
"Hypotrachyna sinuosa","(Sm.) Hale","Green Loop Lichen","S5 (2019)","Yellow","",""
"Imshaugia aleurites","(Ach.) S.L.F. Meyer","Salted Starburst Lichen","S5 (2019)","Yellow","",""
"Kaernefeltia merrillii","(Du Rietz) Thell & Goward","Flattened thornbush lichen","S5 (2018)","Yellow","",""
"Letharia columbiana","(Nutt.) J.W. Thomson","Brown-eyed Wolf Lichen","S4 (2018)","Yellow","",""
"Letharia lupina","Altermann, Leavitt & Goward","mountain wolf","S5 (2019)","Yellow","",""
"Letharia vulpina","(L.) Hue","wolf lichen","S5 (2018)","Yellow","",""
"Melanelia hepatizon","(Ach.) Thell","Rimmed Camouflage Lichen","S5 (2018)","Yellow","",""
"Melanelixia fuliginosa","(Fr. ex Duby) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw.","Shiny Camouflage Lichen","","","",""
"Melanelixia subaurifera","(Nyl.) O. Blanco et al.","Abraded Camouflage Lichen","S5 (2018)","Yellow","",""
"Melanohalea exasperatula","(Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch.","Lustrous Camouflage Lichen","S5 (2018)","Yellow","",""
"Melanohalea multispora","(A. Schneider) Essl.","Many-spored Camouflage Lichen","S5 (2018)","Yellow","",""
"Menegazzia subsimilis","(H. Magn.) R. Sant.","Tree Flute Lichen","S4 (2010)","Yellow","",""
"Menegazzia terebrata","(Hoffm.) A. Massal.","Port-hole Lichen","S4 (2010)","Yellow","",""
"Montanelia disjuncta","(Erichsen) Essl.","Mealy Camouflage Lichen","S4S5 (2019)","Yellow","",""
"Montanelia panniformis","(Nyl.) Essl.","Shingled Camouflage Lichen","S5 (2018)","Yellow","",""
"Nodobryoria abbreviata","(Müll. Arg.)","Tufted Foxtail Lichen","S5 (2019)","Yellow","",""
"Nodobryoria oregana","(Tuck. ex Willey) Brodo & D. Hawksw.","mountain readhead","S5 (2019)","Yellow","",""
"Notoparmelia kerguelensis","(Nyl.) Hale","","","","",""
"Parmelia hygrophila","Goward & Ahti","Western Shield Lichen","S5 (2018)","Yellow","",""
"Parmelia pseudosulcata","Gyelnik","cutting-edge crottle","S3S4 (2010)","Yellow","",""
"Parmelia saxatilis","(l.) Ach.","Salted Shield Lichen","S5 (2018)","Yellow","",""
"Parmelia sulcata","Taylor","Netted shield lichen","S5 (2018)","Yellow","",""
"Parmeliopsis ambigua","(Wulfen) Nyl.","Green Starburst Lichen","S5 (2018)","Yellow","",""
"Parmeliopsis hyperopta","(ach.) arnold","Gray Starburst Lichen","S5 (2018)","Yellow","",""
"Parmotrema arnoldii","(du rietz) hale","Arnold's Parmotrema Lichen","S5 (2019)","Yellow","",""
"Platismatia glauca","Schwäbisch-Fränkische Waldberge","Varied Rag Lichen","S5 (2018)","Yellow","",""
"Platismatia herrei","(Imshaug) W.L. Culb. & C.F. Culb.","Herre's Ragged Lichen","S5 (2018)","Yellow","",""
"Platismatia norvegica","(Lynge) Culb. & C.F. Culb.","Oldgrowth Rag Lichen","S5 (2019)","Yellow","",""
"Platismatia stenophylla","(Tuck.) Culb. & C. Culb.","Ribbon Rag Lichen","S4 (2019)","Yellow","",""
"Pseudephebe minuscula","(Nyl. ex Arnold) Brodo & D. Hawksw.","coarse rockwool","S5 (2019)","Yellow","",""
"Pseudephebe pubescens","(L.) Choisy","Fine Rockwool Lichen","S5 (2018)","Yellow","",""
"Punctelia stictica","(Duby) Krog","blue-shift speckleback","S4 (2018)","Yellow","",""
"Tuckermanopsis chlorophylla","(Willd.) Hale","Powdered Wrinkle Lichen","S5 (2018)","Yellow","",""
"Tuckermanopsis orbata","(Nyl.) M.J. Lai","variable wrinkle-lichen","S5 (2018)","Yellow","",""
"Tuckermanopsis platyphylla","(Tuck.) Gyeln","Broad Wrinkle Lichen","S5 (2018)","Yellow","",""
"Tuckermanopsis subalpina","(Gyeln.) Hale","Arboreal Wrinkle Lichen","","","",""
"Usnea articulata","(L.) Hoffm.","string-of-sausage lichen","","","",""
"Usnea dasopoga","Stirton","Fishbone Beard Lichen","S5 (2019)","Yellow","",""
"Usnea glabrescens","(Nyl. ex Vain.) Vain.","Spotted Beard Lichen","S4 (2018)","Yellow","",""
"Usnea hirta","(L.) Weber ex F.H. Wigg.","Bristly Beard Lichen","S4 (2019)","Yellow","",""
"Usnea longissima","Ach.","Methuselah's Beard Lichen","S5 (2019)","Yellow","",""
"Usnea quasirigida","(Ach.) Motyka","eyed beard","SU","Unknown","",""
"Usnea scabrata","Nyl.","Straw Beard Lichen","S5 (2019)","Yellow","",""
"Usnea silesiaca","Motyka","Neptune's beard","S4 (2018)","Yellow","",""
"Usnea subfloridana","Stirt.","Boreal Beard Lichen","S4 (2018)","Yellow","",""
"Xanthoparmelia cf. cumberlandia","(Gyelnik) Hale.","Cumberland Rock Shield","","","",""
"Xanthoparmelia mougeotii","(Schaer. ex D. Dietr.) Hale","Mougeot's Rock-shield","S3S4 (2018)","Yellow","",""
"Xanthoparmelia sp.","(Gyelnik) Hale.","rock shield lichens","","","",""
"Xanthoparmelia taractica","(Kremp.) Hale","","","","",""
"Peltigera aphthosa","(L.) Willd.","freckled pelt lichen","S5 (2018)","Yellow","",""
"Peltigera britannica","Gyelnik) Holt.-Hartw. & Tonsb","flaky freckle pelt lichen","S5 (2018)","Yellow","",""
"Peltigera canina","(L.) Willd.","dog pelt lichen","S5 (2018)","Yellow","",""
"Peltigera chionophila","Goward & Goffinet.","snow pelt","S5 (2019)","Yellow","",""
"Peltigera collina","(Ach.) Schrader","tree pelt lichen","S5 (2018)","Yellow","",""
"Peltigera gowardii","Lendemer & H. O'Brien","Northwest Waterfan","S2 (2019)","Red","Special Concern","S1: Special Concern (2018)"
"Peltigera leucophlebia","(nyl.) gyelnik","ruffled freckled pelt lichen","S5 (2018)","Yellow","",""
"Peltigera membranacea","(Ach.) Nyl.","membranous pelt lichen","S5 (2018)","Yellow","",""
"Peltigera neopolydactyla","(Gyelnik) Gyelnik.","carpet pelt lichen","S5 (2019)","Yellow","",""
"Peltigera pacifica","Vitik.","fringed pelt","S4 (2019)","Yellow","",""
"Peltigera polydactylon","(Necker) Hoffm.","many-fruited pelt lichen","S5 (2018)","Yellow","",""
"Peltigera ponojensis","Gyelnik","pale-bellied pelt lichen","S5 (2018)","Yellow","",""
"Peltigera praetextata","(Flörke ex Sommerf.) Zopf","scaly pelt lichen","S5 (2018)","Yellow","",""
"Peltigera rufescens","(Weiss) Humb.","field dog lichen","S5 (2018)","Yellow","",""
"Peltigera venosa","(l.) hoffm.","fan pelt lichen","S5 (2018)","Yellow","",""
"Pseudosolorina saccata","(L.) ach.","","S4 (2019)","Yellow","",""
"Pseudosolorina spongiosa","(Ach.) Anzi","Fringed Chocolate Chip Lichen","S4 (2018)","Yellow","",""
"Solorina crocea","(L.) Ach.","Chocolate Chip Lichen","S5 (2018)","Yellow","",""
"Lepra amara","(Ach.) Hafellner","bitter wart lichen","S5 (2020)","Yellow","",""
"Lepra ophthalmiza","(Nyl.) Nyl.","Ragged Wart Lichen","S5 (2020)","Yellow","",""
"Pertusaria mccroryae","C. R. Björk, Goward & T. Sprib.","","S5 (2020)","Yellow","",""
"Pertusaria pupillaris","(Nyl.) Th. Fr.","","S4S5 (2020)","Yellow","",""
"Pertusaria subambigens","Dibben","Frosted Wart Lichen","S5 (2020)","Yellow","",""
"Phlyctis argena","(Sprengel) Flotow","Whitewash Lichen","S5 (2020)","Yellow","",""
"Physcia adscendens","(Th.Fr.) H.Olivier","Hooded Rosette Lichen","S5 (2018)","Yellow","",""
"Physcia caesia","(Hoffm.) Fürnr.","Blue-gray Rosette Lichen","S5 (2019)","Yellow","",""
"Physcia dubia","(Hoffm.) Lettau","Powder-tipped Rosette Lichen","S4S5 (2018)","Yellow","",""
"Physcia tenella","(Scop.) DC.","Fringed Rosette Lichen","S5 (2018)","Yellow","",""
"Rinodina disjuncta","Sheard & Tønsberg","","S5 (2020)","Yellow","",""
"Rinodina efflorescens","Malme","Greenish-brown Pepper-spore Lichen","S5 (2020)","Yellow","",""
"Rinodina laevigata","(Ach.) Malme","","S5 (2020)","Yellow","",""
"Rinodina stictica","Sheard & Tønsberg","","S5 (2020)","Yellow","",""
"Rinodina subpariata","(Nyl.) Zahlbr.","","S5 (2020)","Yellow","",""
"Pseudosagedia chlorotica","(Ach.) Hafellner & Kalb","","SU (2020)","Unknown","",""
"Japewia subaurifera","Muhr & Tønsberg","","S5 (2020)","Yellow","",""
"Japewia tornoensis","(Nyl.) Tønsberg","Hidden Dot Lichen","S5 (2020)","Yellow","",""
"Ramalina farinacea","(L.) Ach.","Farinose Cartilage Lichen","S5 (2018)","Yellow","",""
"Rehmia cinereovirens","(Rehm) Höhn.","","SU (2025)","Unknown","",""
"Rehmia reducta","Rehm","","","","",""
"Rhizocarpon badioatrum","(Flörke ex Spreng.) Th. Fr.","","S5 (2023)","Yellow","",""
"Rhizocarpon geographicum","(L.) DC.","yellow map lichen","S5 (2020)","Yellow","",""
"Rhizocarpon lecanorinum","Anders","Crescent Map Lichen","S5 (2020)","Yellow","",""
"Rhizocarpon macrosporum","Räsänen","lemon map lichen","S5 (2020)","Yellow","",""
"Rhizocarpon riparium","Räsänen","","SU (2020)","Unknown","",""
"Schaereria corticola","Muhr & Tønsberg","","S5 (2020)","Yellow","",""
"Scoliciosporum chlorococcum","(Stenh.) V?zda","City Dot Lichen","S5 (2023)","Yellow","",""
"Sphaerophorus globosus","(Hudson) Vain.","Globe Ball Lichen","S4 (2019)","Yellow","",""
"Sphaerophorus tuckermanii","Räsänen","Tuckerman's Coral Lichen","S4S5 (2018)","Yellow","",""
"Sphaerophorus venerabilis","Wedin, Högnabba & Goward","Ancient Coral Lichen","S4 (2019)","Yellow","",""
"Mycocalicium subtile","(Pers.) Szatala","Snag Pin","S5 (2020)","Yellow","",""
"Stenocybe clavata","Tibell","","S5 (2020)","Yellow","",""
"Lepraria albicans","Th. Fr.","White Dust Lichen","SU (2020)","Unknown","",""
"Lepraria caesioalba","(B. de Lesd.) J.R. Laundon","","","","",""
"Lepraria finkii","(B. de Lesd.) R.C. Harris","Fluffy Dust Lichen","SU (2020)","Unknown","",""
"Lepraria jackii","Tønsberg","","S5 (2020)","Yellow","",""
"Lepraria lobificans","Nyl.","","","","",""
"Lepraria membranacea","(Dicks.) Vain.","","S5 (2020)","Yellow","",""
"Lepraria neglecta","(B. de Lesd.) Tretiach & Baruffo","Zoned Dust Lichen","S5 (2023)","Yellow","",""
"Lepraria pacifica","Lendemer","Pacific Dust Lichen","S5 (2023)","Yellow","",""
"Lepraria torii","Pérez-Ort. & T. Sprib.","","S5 (2020)","Yellow","",""
"Stereocaulon alpinum","Laurer ex Funck","Alpine Foam Lichen","S5 (2019)","Yellow","",""
"Stereocaulon dactylophyllum","Flörke","Finger-scale Foam","","","",""
"Stereocaulon glareosum","(Savicz) H. Magn.","Alpine Soil Foam Lichen","S4 (2019)","Yellow","",""
"Stereocaulon intermedium","(Savicz) H. Magn.","Pacific Foam Lichen","S5 (2019)","Yellow","",""
"Stereocaulon myriocarpum","Th. Fr.","","S3S4 (2019)","Yellow","",""
"Stereocaulon paschale","(L.) Hoffm.","Easter Foam","S5 (2018)","Yellow","",""
"Stereocaulon rivulorum","H. Magn.","Snow Foam Lichen","S4S5 (2019)","Yellow","",""
"Stereocaulon sasakii","Zahlbr.","Sasak's Foam Lichen","S4S5 (2019)","Yellow","",""
"Stereocaulon spathuliferum","Vain.","Chalk Foam Lichen","S4 (2019)","Yellow","",""
"Stereocaulon tomentosum","Fr.","Woolly Foam","S5 (2018)","Yellow","",""
"Stereocaulon vesuvianum","Pers.","Variegated Foam Lichen","S4 (2019)","Yellow","",""
"Blastenia ammiospila","(Wahlenb.) H. Olivier","Cinnamon Firedot Lichen","SU (2020)","Unknown","",""
"Caloplaca atrosanguinea","(Turner) J.R. Laundon","","SU (2020)","Unknown","",""
"Flavoplaca marina","(Wedd.) Arup","","S5 (2020)","Yellow","",""
"Polycauliona candelaria","(L.) Th. Fr.","Shrubby Sunburst Lichen","S5 (2018)","Yellow","",""
"Polycauliona flavogranulosa","(Körb.) Arup","Grainy Seaside Firedot Lichen","S5 (2020)","Yellow","",""
"Polycauliona luteominia","(Tomin) Arup","Red Firedot Lichen","S4S5 (2020)","Yellow","",""
"Polycauliona polycarpa","(Hoffm.) Rieber","","","","",""
