"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Dama dama","Fallow Deer","SNA (2024)","Exotic","",""
"Odocoileus hemionus columbianus","Mule Deer","S5 (2024)","Yellow","",""
"Odocoileus virginianus","White-tailed Deer","S5 (2024)","Yellow","",""
"Oreamnos americanus","Mountain Goat","S3 (2024)","Blue","",""
"Ovis canadensis","Bighorn Sheep","S3? (2015)","Blue","",""
"Sus scrofa","Wild Boar","SNA (2024)","Exotic","",""
"Lepus americanus","Snowshoe Hare","S5 (2024)","Yellow","",""
"Lepus americanus washingtonii","Snowshoe Hare, washingtonii subspecies","S1S2 (2024)","Red","",""
"Ochotona princeps","American Pika","S5? (2024)","Yellow","",""
"Oryctolagus cuniculus","European Rabbit","SNA (2024)","Exotic","",""
"Sylvilagus floridanus","Eastern Cottontail","SNA (2024)","Exotic","",""
"Didelphis virginiana","Virginia Opossum","SNA (2024)","Exotic","",""
"Aplodontia rufa","Mountain Beaver","S3 (2024)","Blue","Special Concern (2022)","S1: Special Concern (2003)"
"Callospermophilus lateralis","Golden-mantled Ground Squirrel","S5 (2024)","Yellow","",""
"Castor canadensis","American Beaver","S5 (2024)","Yellow","",""
"Clethrionomys gapperi","Southern Red-backed Vole","S5 (2024)","Yellow","",""
"Erethizon dorsatum","North American Porcupine","S4S5 (2023)","Yellow","",""
"Glaucomys sabrinus","Northern Flying Squirrel","S5 (2024)","Yellow","",""
"Marmota caligata","Hoary Marmot","S5 (2024)","Yellow","",""
"Marmota flaviventris","Yellow-bellied Marmot","S5 (2024)","Yellow","",""
"Marmota monax","Woodchuck","S5 (2024)","Yellow","",""
"Marmota vancouverensis","Vancouver Island Marmot","S1 (2024)","Red","Endangered (2019)","S1: Endangered (2003)"
"Microtus longicaudus","Long-tailed Vole","S5 (2024)","Yellow","",""
"Microtus montanus","Montane Vole","S4 (2024)","Yellow","",""
"Microtus oregoni","Creeping Vole","S4 (2024)","Yellow","",""
"Microtus richardsoni","North American Water Vole","S4S5 (2024)","Yellow","",""
"Microtus townsendii","Townsend's Vole","S5? (2024)","Yellow","",""
"Mictomys borealis","Northern Bog Lemming","S4 (2024)","Yellow","",""
"Mus musculus","House Mouse","SNA (2024)","Exotic","",""
"Neotamias amoenus","Yellow-Pine Chipmunk","S5 (2024)","Yellow","",""
"Neotamias minimus","Least Chipmunk","S5 (2024)","Yellow","",""
"Neotamias townsendii","Townsend's Chipmunk","S4S5 (2024)","Yellow","",""
"Neotoma cinerea","Bushy-tailed Woodrat","S5 (2024)","Yellow","",""
"Ondatra zibethicus","Common Muskrat","S5 (2024)","Yellow","",""
"Peromyscus keeni","Northwestern Deermouse","S5 (2024)","Yellow","",""
"Peromyscus maniculatus","Deer Mouse","S5 (2024)","","",""
"Peromyscus sonoriensis","North American Deermouse","S5 (2024)","Yellow","",""
"Phenacomys intermedius","Western Heather Vole","S5 (2024)","Yellow","",""
"Rattus norvegicus","Brown Rat","SNA (2024)","Exotic","",""
"Rattus rattus","Roof Rat","SNA (2024)","Exotic","",""
"Sciurus carolinensis","Eastern Grey Squirrel","SNA (2024)","Exotic","",""
"Sciurus niger","Eastern Fox Squirrel","SNA (2024)","Exotic","",""
"Tamiasciurus douglasii","Douglas's Squirrel","S4S5 (2024)","Yellow","",""
"Tamiasciurus hudsonicus","Red Squirrel","S5 (2024)","Yellow","",""
"Urocitellus columbianus","Columbian Ground Squirrel","S5 (2024)","Yellow","",""
"Zapus hudsonius","Meadow Jumping Mouse","S5 (2024)","Yellow","",""
"Zapus princeps","Western Jumping Mouse","S5 (2024)","Yellow","",""
"Zapus trinotatus","Pacific Jumping Mouse","S4 (2024)","Yellow","",""
"Neurotrichus gibbsii","American Shrew Mole","S4 (2024)","Yellow","",""
"Scapanus orarius","Coast Mole","S4? (2024)","Yellow","",""
"Scapanus townsendii","Townsend's Mole","S1 (2024)","Red","Endangered (2014)","S1: Endangered (2005)"
"Sorex bendirii","Pacific Water Shrew","S2 (2024)","Red","Endangered (2016)","S1: Endangered (2003)"
"Sorex cinereus","Cinereus Shrew","S5 (2024)","Yellow","",""
"Sorex navigator","Western Water Shrew","S5 (2024)","Yellow","",""
"Sorex palustris","American Water Shrew","SU (2024)","Unknown","",""
"Sorex rohweri","Olympic Shrew","S2 (2024)","Red","",""
"Sorex trowbridgii","Trowbridge's Shrew","S3 (2024)","Blue","",""
"Sorex vagrans","Vagrant Shrew","S5 (2024)","Yellow","",""
