scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Aythya affinis,Eyton,Lesser Scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,affinis,,,,accepted,7054,Aythya affinis,Aythya affinis,winter,
Aythya americana,Eyton,Redhead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,americana,,,,accepted,7056,Aythya americana,Aythya americana,winter (rare),
Aythya collaris,Donovan,Ring-necked Duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,collaris,,,,accepted,7044,Aythya collaris,Aythya collaris,permanent,
Aythya fuligula,L.,Tufted Duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,fuligula,,,,accepted,7046,Aythya fuligula,Aythya fuligula,accidental,
Aythya marila,L.,Greater Scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,marila,,,,accepted,7047,Aythya marila,Aythya marila,winter,
Aythya valisineria,Wilson,Canvasback,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aythya,valisineria,,,,accepted,7057,Aythya valisineria,Aythya valisineria,winter,
Bartramia longicauda,Bechstein,Upland Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Bartramia,longicauda,,,,accepted,3962,Bartramia longicauda,Bartramia longicauda,accidental,
Bombycilla cedrorum,Viellot,Cedar Waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Bombycillidae,,,Bombycilla,cedrorum,,,,accepted,7428,Bombycilla cedrorum,Bombycilla cedrorum,"breeding, winter (rare)",
Bombycilla garrulus,L.,Bohemian Waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Bombycillidae,,,Bombycilla,garrulus,,,,accepted,7429,Bombycilla garrulus,Bombycilla garrulus,winter,
Bonasa umbellus,Stephens,Ruffed Grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Bonasa,umbellus,,,,accepted,890,Bonasa umbellus,Bonasa umbellus,permanent,
