scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,linkName,linkTaxonID,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Lithobates pipiens,"(Schreber, 1782)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,66003,66003,Lithobates pipiens,,Lithobates,pipiens,,accepted
Lithobates sylvaticus,"(LeConte, 1825)",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,66012,66012,Lithobates sylvaticus,,Lithobates,sylvaticus,,accepted
Rana aurora,"Baird and Girard, 1852",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,25545,25545,Rana aurora,,Rana,aurora,,accepted
Rana luteiventris,"Thompson, 1913",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,25588,25588,Rana luteiventris,,Rana,luteiventris,,accepted
Rana pretiosa,"Baird & Girard, 1853",Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,NA,,NA,25542,25542,Rana pretiosa,,Rana,pretiosa,,accepted
Ambystoma gracile,"(Baird, 1859)",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,NA,,NA,26747,26747,Ambystoma gracile,,Ambystoma,gracile,,accepted
Ambystoma macrodactylum,"Baird, 1950",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,NA,,NA,26754,26754,Ambystoma macrodactylum,,Ambystoma,macrodactylum,,accepted
Dicamptodon tenebrosus,"(Baird and Girard, 1852)",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,NA,,NA,26822,26822,Dicamptodon tenebrosus,,Dicamptodon,tenebrosus,,accepted
Aneides vagrans,"Wake & Jackman, 1998",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Plethodontinae,,NA,,NA,248672,27423,Aneides vagrans,,Aneides,vagrans,,accepted
Ensatina eschscholtzii,"Gray, 1850",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Plethodontinae,,NA,,NA,27250,27250,Ensatina eschscholtzii,,Ensatina,eschscholtzii,,accepted
Plethodon vehiculum,"(Cooper, 1860)",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,Plethodontinae,,NA,,NA,27194,27194,Plethodon vehiculum,,Plethodon,vehiculum,,accepted
Taricha granulosa,"(Skilton, 1849)",Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae,,NA,,NA,27826,27826,Taricha granulosa,,Taricha,granulosa,,accepted
Elgaria coerulea,"(Wiegmann, 1828)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Gerrhonotinae,,NA,,NA,32064,32064,Elgaria coerulea,Anguimorpha,Elgaria,coerulea,,accepted
Podarcis muralis,"(Laurenti, 1768)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Lacertidae,Lacertinae,,NA,,NA,55990,55990,Podarcis muralis,Lacertoidea,Podarcis,muralis,,accepted
Sceloporus occidentalis,"Baird and Girard, 1852",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Phrynosomatidae,Sceloporinae,,NA,,NA,36204,36204,Sceloporus occidentalis,Iguania,Sceloporus,occidentalis,,accepted
Plestiodon skiltonianus,"Baird & Girard, 1852",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Scincinae,,NA,,NA,37769,37769,Plestiodon skiltonianus,Scincomorpha,Plestiodon,skiltonianus,,accepted
Charina bottae,"(Blainville, 1835)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Boidae,Charinainae,,NA,,NA,243962,243962,Charina bottae,,Charina,bottae,,accepted
Coluber constrictor,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,NA,,NA,27137,27137,Coluber constrictor,,Coluber,constrictor,,accepted
Contia tenuis,"(Baird & Girard,1852)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Dipsadinae,,NA,,NA,26916,26916,Contia tenuis,,Contia,tenuis,,accepted
Pituophis catenifer deserticola,"(Blainville, 1835)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,NA,,NA,29049,29049,Pituophis catenifer deserticola,,Pituophis,catenifer,Pituophis catenifer deserticola,accepted
Thamnophis elegans,"(Baird & Girard, 1853",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28403,28398,Thamnophis elegans,,Thamnophis,elegans,,accepted
Thamnophis ordinoides,"(Baird & Girard, 1852)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28389,28389,Thamnophis ordinoides,,Thamnophis,ordinoides,,accepted
Thamnophis sirtalis fitchi,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28371,28371,Thamnophis sirtalis fitchi,,Thamnophis,sirtalis,Thamnophis sirtalis fitchi,accepted
Thamnophis sirtalis pickeringii,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,NA,,NA,28363,28363,Thamnophis sirtalis pickeringii,,Thamnophis,sirtalis,Thamnophis sirtalis pickeringii,accepted
Crotalus oreganus,"Holbrook, 1840",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Viperidae,Crotalinae,,NA,,NA,48268,48268,Crotalus oreganus,,Crotalus,oreganus,,accepted
Lepidochelys olivacea,"(Eschscholtz, 1829)",Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,Chelonioidea,Cheloniidae,Carettinae,,NA,,NA,39670,39670,Lepidochelys olivacea,,Lepidochelys,olivacea,,accepted
Actinemys marmorata,"(Baird and Girard, 1852)",Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Emydinae,,NA,,NA,73592,73592,Actinemys marmorata,,Actinemys,marmorata,,accepted
Chrysemys picta,"(Schneider, 1783)",Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,NA,,NA,39771,39771,Chrysemys picta,,Chrysemys,picta,,accepted
Trachemys scripta,"(Thunberg In Schoepff, 1792)",Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,NA,,NA,39782,39782,Trachemys scripta,,Trachemys,scripta,,accepted
