scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,linkName,linkTaxonID,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Zapus trinotatus,Rhoads,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,NA,,NA,43844,43844,Zapus trinotatus,,Zapus,trinotatus,,accepted
Corynorhinus townsendii,Cooper,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,NA,,NA,74205,74205,Corynorhinus townsendii,,Corynorhinus,townsendii,,accepted
Eptesicus fuscus,Beauvois,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,NA,,NA,40509,40509,Eptesicus fuscus,,Eptesicus,fuscus,,accepted
Lasionycteris noctivagans,LeConte,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,NA,,NA,40629,40629,Lasionycteris noctivagans,,Lasionycteris,noctivagans,,accepted
Lasiurus cinereus,Beauvois,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,NA,,NA,40523,40523,Lasiurus cinereus,,Lasiurus,cinereus,,accepted
Myotis californicus,Audubon & Bachman,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40342,40342,Myotis californicus,,Myotis,californicus,,accepted
Myotis evotis,H. Allen,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40354,40354,Myotis evotis,,Myotis,evotis,,accepted
Myotis lucifugus,LeConte,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40346,40346,Myotis lucifugus,,Myotis,lucifugus,,accepted
Myotis volans,H. Allen,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40344,40344,Myotis volans,,Myotis,volans,,accepted
Myotis yumanensis,H. Allen,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40325,40325,Myotis yumanensis,,Myotis,yumanensis,,accepted
Oreamnos americanus,"de Blainville, 1816",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,NA,,NA,42414,42414,Oreamnos americanus,,Oreamnos,americanus,,accepted
Ovis canadensis,"Shaw, 1804",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,NA,,NA,42391,42391,Ovis canadensis,,Ovis,canadensis,,accepted
Alces alces,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Alceini,NA,,NA,522193,522193,Alces alces,,Alces,alces,,accepted
Cervus canadensis canadensis,"(Erxleben, 1777)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,NA,,NA,564777,564777,Cervus canadensis canadensis,,Cervus,canadensis,Cervus canadensis canadensis,accepted
Cervus canadensis roosevelti,"(Erxleben, 1777)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,NA,,NA,566550,566550,Cervus canadensis roosevelti,,Cervus,canadensis,Cervus canadensis roosevelti,accepted
Dama dama,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,NA,,NA,42161,42161,Dama dama,,Dama,dama,,accepted
Odocoileus hemionus columbianus,"Rafinesque, 1817",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,NA,,NA,42221,42221,Odocoileus hemionus columbianus,,Odocoileus,hemionus,Odocoileus hemionus columbianus,accepted
Odocoileus virginianus,"Zimmermann, 1780",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,NA,,NA,42223,42223,Odocoileus virginianus,,Odocoileus,virginianus,,accepted
Sus scrofa,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Suina,,Suidae,Suinae,Suini,NA,,NA,42134,42134,Sus scrofa,,Sus,scrofa,,accepted
Canis latrans,"Say, 1823",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,NA,,NA,42051,42051,Canis latrans,,Canis,latrans,,accepted
Canis lupus,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,NA,,NA,42048,42048,Canis lupus,,Canis,lupus,,accepted
Vulpes vulpes,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,NA,,NA,42069,42069,Vulpes vulpes,,Vulpes,vulpes,,accepted
Lynx canadensis,"Kerr, 1792",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,NA,,NA,41974,41974,Lynx canadensis,,Lynx,canadensis,,accepted
Lynx rufus,"Schreber, 1777",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,NA,,NA,41976,41976,Lynx rufus,,Lynx,rufus,,accepted
Puma concolor,"Linnaeus, 1771",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,NA,,NA,42007,42007,Puma concolor,,Puma,concolor,,accepted
Mephitis mephitis,"Schreber, 1776",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,NA,,NA,41880,41880,Mephitis mephitis,,Mephitis,mephitis,,accepted
Spilogale gracilis,"Merriam, 1890",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,NA,,NA,58393,58393,Spilogale gracilis,,Spilogale,gracilis,,accepted
Gulo gulo luscus,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,NA,,NA,41852,236285,Gulo gulo luscus,,Gulo,gulo,Gulo gulo luscus,accepted
Martes caurina,"(Merriam, 1890)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,NA,,NA,453111,453111,Martes caurina,,Martes,caurina,,accepted
Mustela erminea,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,NA,,NA,41808,41808,Mustela erminea,,Mustela,erminea,,accepted
Mustela richardsonii,"Bonaparte, 1838",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,NA,,NA,1264427,1264427,Mustela richardsonii,,Mustela,richardsonii,,accepted
Neogale frenata,"(Lichtenstein, 1831)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,NA,,NA,1264431,1264431,Neogale frenata,,Neogale,frenata,,accepted
Neogale frenata altifrontalis,"(Lichtenstein, 1831)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Mustelinae,,NA,,NA,1265170,1265170,Neogale frenata altifrontalis,,Neogale,frenata,Neogale frenata altifrontalis,accepted
Pekania pennanti,"(Erxleben, 1777)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,NA,,NA,453109,453109,Pekania pennanti,,Pekania,pennanti,,accepted
Procyon lotor,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Procyonidae,,,NA,,NA,41663,41663,Procyon lotor,,Procyon,lotor,,accepted
Ursus americanus,"Pallas, 1780",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,NA,,NA,41638,41638,Ursus americanus,,Ursus,americanus,,accepted
Ursus arctos,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,NA,,NA,41641,41641,Ursus arctos,,Ursus,arctos,,accepted
Corynorhinus townsendii,"Cooper, 1837",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,NA,,NA,74205,74205,Corynorhinus townsendii,,Corynorhinus,townsendii,,accepted
Eptesicus fuscus,"Beauvois, 1796",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,NA,,NA,40509,40509,Eptesicus fuscus,,Eptesicus,fuscus,,accepted
Euderma maculatum,"J. A. Allen, 1891",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,NA,,NA,40631,40631,Euderma maculatum,,Euderma,maculatum,,accepted
Lasionycteris noctivagans,"Le Conte, 1831",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,NA,,NA,40629,40629,Lasionycteris noctivagans,,Lasionycteris,noctivagans,,accepted
Lasiurus cinereus,"Palisot de Beauvois, 1796",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,NA,,NA,40523,40523,Lasiurus cinereus,,Lasiurus,cinereus,,accepted
Myotis californicus,"Audubon and Bachman, 1842",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40342,40342,Myotis californicus,,Myotis,californicus,,accepted
Myotis evotis,"H. Allen, 1864",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40354,40354,Myotis evotis,,Myotis,evotis,,accepted
Myotis keenii,"Merriam, 1895",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40345,40345,Myotis keenii,,Myotis,keenii,,accepted
Myotis lucifugus,"Le Conte, 1831",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40346,40346,Myotis lucifugus,,Myotis,lucifugus,,accepted
Myotis thysanodes,"Miller, 1897",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40347,40347,Myotis thysanodes,,Myotis,thysanodes,,accepted
Myotis volans,"H. Allen, 1866",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40344,40344,Myotis volans,,Myotis,volans,,accepted
Myotis yumanensis,"H. Allen, 1864",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,NA,,NA,40325,40325,Myotis yumanensis,,Myotis,yumanensis,,accepted
Didelphis virginiana,"Kerr, 1792",Animalia,Chordata,Vertebrata,,Mammalia,Theria,,Didelphimorphia,,,Didelphidae,Didelphinae,Didelphini,NA,,NA,42652,42652,Didelphis virginiana,,Didelphis,virginiana,,accepted
Sorex bendirii,"Merriam, 1884",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,46446,46446,Sorex bendirii,,Sorex,bendirii,,accepted
Sorex cinereus,"Kerr, 1792",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,59815,59815,Sorex cinereus,,Sorex,cinereus,,accepted
Sorex monticola,"Merriam, 1890",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,46456,46456,Sorex monticolus,,Sorex,monticolus,,unaccepted
Sorex navigator,"(Baird, 1858)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,1370755,1370755,Sorex navigator,,Sorex,navigator,,accepted
Sorex palustris,"Richardson, 1828",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,46355,46355,Sorex palustris,,Sorex,palustris,,accepted
Sorex rohweri,"Rausch, Feagin, & Rausch, 2007",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,75088,75088,Sorex rohweri,,Sorex,rohweri,,accepted
Sorex trowbridgii,"Baird, 1857",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,46503,46503,Sorex trowbridgii,,Sorex,trowbridgii,,accepted
Sorex vagrans,"Baird, 1857",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,NA,,NA,345876,46348,Sorex vagrans,,Sorex,vagrans,,accepted
Neurotrichus gibbsii,"Baird, 1858",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Talpinae,Neurotrichini,NA,,NA,47051,47051,Neurotrichus gibbsii,,Neurotrichus,gibbsii,,accepted
Scapanus orarius,"True, 1896",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,NA,,NA,47007,47007,Scapanus orarius,,Scapanus,orarius,,accepted
Scapanus townsendii,"Bachman, 1839",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,NA,,NA,47010,47010,Scapanus townsendii,,Scapanus,townsendii,,accepted
Lepus americanus,"Erxleben, 1777",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,NA,,NA,43132,43132,Lepus americanus,,Lepus,americanus,,accepted
Lepus americanus washingtonii,"Erxleben, 1777",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,NA,,NA,236660,236660,Lepus americanus washingtonii,,Lepus,americanus,Lepus americanus washingtonii,accepted
Oryctolagus cuniculus,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,NA,,NA,43151,43151,Oryctolagus cuniculus,,Oryctolagus,cuniculus,,accepted
Sylvilagus floridanus,"J. A. Allen, 1890",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,NA,,NA,43111,43111,Sylvilagus floridanus,,Sylvilagus,floridanus,,accepted
Ochotona princeps,"Richardson, 1828",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Ochotonidae,,,NA,,NA,43188,43188,Ochotona princeps,,Ochotona,princeps,,accepted
Aplodontia rufa,"Rafinesque, 1817",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Aplodontiidae,,,NA,,NA,43736,43736,Aplodontia rufa,,Aplodontia,rufa,,accepted
Castor canadensis,"Kuhl, 1820",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,NA,,NA,43794,43794,Castor canadensis,,Castor,canadensis,,accepted
Clethrionomys gapperi,"(Vigors, 1830)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,NA,,NA,1431274,1431274,Clethrionomys gapperi,,Clethrionomys,gapperi,,accepted
Clethrionomys gapperi occidentalis,"(Vigors, 1830)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,NA,,NA,1431805,1431805,Clethrionomys gapperi occidentalis,,Clethrionomys,gapperi,Clethrionomys gapperi occidentalis,accepted
Microtus drummondii,"(Audubon & Bachman, 1854)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,1431621,1431621,Microtus drummondii,,Microtus,drummondii,,accepted
Microtus longicaudus,"Merriam, 1888",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44307,44307,Microtus longicaudus,,Microtus,longicaudus,,accepted
Microtus montanus,"Peale, 1848",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44315,44315,Microtus montanus,,Microtus,montanus,,accepted
Microtus oregoni,"Bachman, 1839",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44318,44318,Microtus oregoni,,Microtus,oregoni,,accepted
Microtus richardsoni,"DeKay, 1842",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44323,44323,Microtus richardsoni,,Microtus,richardsoni,,accepted
Microtus townsendii,"Bachman, 1839",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,NA,,NA,44298,44298,Microtus townsendii,,Microtus,townsendii,,accepted
Neotoma cinerea,"Ord, 1815",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotomini,NA,,NA,44761,44761,Neotoma cinerea,,Neotoma,cinerea,,accepted
Ondatra zibethicus,"Linnaeus, 1766",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatrini,NA,,NA,45763,45763,Ondatra zibethicus,,Ondatra,zibethicus,,accepted
Peromyscus keeni,"Rhoads, 1894",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscini,NA,,NA,44387,44387,Peromyscus keeni,,Peromyscus,keeni,,accepted
Peromyscus maniculatus,"Wagner, 1845",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscini,NA,,NA,44396,44396,Peromyscus maniculatus,,Peromyscus,maniculatus,,accepted
Peromyscus sonoriensis,"(J. A. Wagner, 1845)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscini,NA,,NA,1431239,1431239,Peromyscus sonoriensis,,Peromyscus,sonoriensis,,accepted
Phenacomys intermedius,"Merriam, 1889",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Pliophenacomyini,NA,,NA,45714,45714,Phenacomys intermedius,,Phenacomys,intermedius,,accepted
Synaptomys borealis,"Richardson, 1828",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Lemmini,NA,,NA,45760,1596227,Mictomys borealis,,Mictomys,borealis,,unaccepted
Myocastor coypus,"Molina, 1782",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Octodontoidea,Echimyidae,Echimyinae,Myocastorini,NA,,NA,43997,43997,Myocastor coypus,Hystricognathi,Myocastor,coypus,,accepted
Erethizon dorsatum,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Erethizontoidea,Erethizontidae,Erethizontinae,,NA,,NA,44026,44026,Erethizon dorsatum,Hystricognathi,Erethizon,dorsatum,,accepted
Mus musculus,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Murini,NA,,NA,44705,44705,Mus musculus,,Mus,musculus,,accepted
Rattus norvegicus,"Berkenhout, 1769",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,NA,,NA,44576,44576,Rattus norvegicus,,Rattus,norvegicus,,accepted
Rattus rattus,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,NA,,NA,44575,44575,Rattus rattus,,Rattus,rattus,,accepted
Callospermophilus lateralis,"(Say, 1823)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,NA,,NA,180010,180010,Callospermophilus lateralis,,Callospermophilus,lateralis,,accepted
Glaucomys sabrinus,"Shaw, 1801",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Pteromyini,NA,,NA,46266,46266,Glaucomys sabrinus,,Glaucomys,sabrinus,,accepted
Marmota caligata,"Eschscholtz, 1829",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,NA,,NA,46087,46087,Marmota caligata,,Marmota,caligata,,accepted
Marmota flaviventris,"Audubon and Bachman, 1841",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,NA,,NA,46086,46086,Marmota flaviventris,,Marmota,flaviventris,,accepted
