Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Rinodina efflorescens,Malme,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Physciaceae,,,Rinodina,efflorescens,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12935,,,,,,230227,LIC
Rinodina laevigata,(Ach.) Malme,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Physciaceae,,,Rinodina,laevigata,,,,,,,reported,unobserved,1966-06-09,I.M. Brodo,WIS,8159,,,,,,123456,LIC
Rinodina stictica,Sheard & T�nsberg,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Physciaceae,,,Rinodina,stictica,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12914,,,,,,230277,LIC
Rinodina subpariata,(Nyl.) Zahlbr.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Physciaceae,,,Rinodina,subparieta,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12934,,,,,,1039737,LIC
Schaereria corticola,Muhr & T�nsberg,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Sarrameanales,,,Schaereriaceae,,,Schaereria,corticola,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12929,,,,,,174999,LIC
Sclerophora peronella,(Ach.) Tibell,,frosted glass-whiskers,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,,Sclerophora,peronella,,,,native,S1 (2002),,reported,unobserved,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,,,,,,,230637,LIC
Scoliciosporum chlorococcum,(Stenh.) V?zda,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Scoliciosporaceae,,,Scoliciosporum,chlorococcum,,,,,,,reported,unobserved,1986-04-16,Trevor Goward,UBC,86-98,,,,,,230642,LIC
Scytinium californicum,Tuck.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,Scytinium,californicum,,,,,,,reported,unobserved,1960-12-14,W.B. Scofield,WIS,12865,,,,,,532297,LIC
Scytinium gelatinosum,(With.) J.R. Laundon,,rose-petalled vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,gelatinosum,,,,native,S5 (2018),,reported,unobserved,1960-12-14,W.B. Schofield,UBC,12865,,,,,,526716,LIC
Scytinium palmatum,(Huds.) Gray,,antlered vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,Scytinium,palmatum,,,,native,S5 (2018),,reported,unobserved,1960-12-14,W.B. Schofield,WIS,12864,,,,,reported as Leptogium palmatum,532308,LIC
Solorina crocea,(L.) Ach.,,chocolate chip lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Solorina,crocea,,,,native,S5 (2018),,confirmed,observed,1952-09,B. Dickens,UBC,s.n.,,2013-09-08,judithofsquamish,https://www.inaturalist.org/observations/6157588,,231135,LIC
Solorina saccata,(L.) ach.,,woodland owl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Solorina,saccata,,,,native,S4 (2019),,reported,unobserved,1974-08-10,W. B. Schofield,LSU,56991,,,,,,231137,LIC
