Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Phylum_std,status_std,historical_year,observed_year,new_year_std,contribution_year,Observer_std,Collector_std,iNat_link,iNat_ID,Historical_metadata,Phylum_label
Cymatogaster aggregata,"Gibbons, 1854",,shiner perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Cymatogaster,aggregata,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.1,NA,2018-08-29,Tom Appleby,iNat:16014197,,98855,FIS,NA,confirmed,Cymatogaster aggregata,Chordata,confirmed,1982,2018,NA,2018,Tom Appleby,K.D. Genereux,https://www.inaturalist.org/observations/16014197,16014197," (CMN, CMNFI 1985-0087.1)",Chordates (Chordata)
Embiotoca lateralis,"Agassiz, 1854",,striped seaperch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Embiotoca,lateralis,NA,,NA,native,SNR,,confirmed,observed,1982-06-08,Claudia E. Kasserra,CMN,CMNFI 1985-0086.1,NA,2020-05-07,Penelope Bridge,iNat:45278748,,117555,FIS,NA,confirmed,Embiotoca lateralis,Chordata,confirmed,1982,2020,NA,2020,Penelope Bridge,Claudia E. Kasserra,https://www.inaturalist.org/observations/45278748,45278748," (CMN, CMNFI 1985-0086.1)",Chordates (Chordata)
Phanerodon vacca,"(Girard, 1855)",,pile perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Phanerodon,vacca,NA,,NA,native,SNR,,confirmed,observed,1973-09-20,Andy Lamb,PMLS,NA,NA,2020-08-13,Andrew Simon,iNat:56373907,reported as Damalichthys vacca,111616,FIS,NA,confirmed,Phanerodon vacca,Chordata,confirmed,1973,2020,NA,2020,Andrew Simon,Andy Lamb,https://www.inaturalist.org/observations/56373907,56373907, (PMLS),Chordates (Chordata)
Clevelandia ios,"(Jordan & Gilbert, 1882)",,arrow goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobionellinae,,Clevelandia,ios,NA,,NA,native,SNR,,new 2017,observed,NA,NA,NA,NA,NA,2017-05-26,Karolle Wall,iNat:7648112,,117564,FIS,2017,new,Clevelandia ios,Chordata,new,NA,2017,2017,2017,Karolle Wall,NA,https://www.inaturalist.org/observations/7648112,7648112,,Chordates (Chordata)
Rhinogobiops nicholsii,"(Bean, 1882)",,blackeye goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobiinae,,Rhinogobiops,nicholsii,NA,,NA,native,SNR,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976016,,132521,FIS,NA,confirmed,Rhinogobiops nicholsii,Chordata,confirmed,1968,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976016,2976016, (PMLS),Chordates (Chordata)
Apodichthys flavidus,"Girard, 1854",,penpoint gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Apodichthys,flavidus,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.5,NA,2013-06-22,Karolle Wall,iNat:4015148,,67408,FIS,NA,confirmed,Apodichthys flavidus,Chordata,confirmed,1982,2013,NA,2013,Karolle Wall,K.D. Genereux,https://www.inaturalist.org/observations/4015148,4015148," (CMN, CMNFI 1985-0087.5)",Chordates (Chordata)
Pholis clemensi,"Rosenblatt, 1964",,longfin gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,clemensi,NA,,NA,native,SNR,,confirmed,observed,1994-10-07,Andy Lamb,PMLS,NA,NA,2023-09-10,"Dave ""Zeuss"" Cochrane",iNat:182740581,,67405,FIS,NA,confirmed,Pholis clemensi,Chordata,confirmed,1994,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/182740581,182740581, (PMLS),Chordates (Chordata)
Pholis laeta,"(Cope, 1873)",,crescent gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,laeta,NA,,NA,native,SNR,,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.6,NA,2013-07-07,Karolle Wall,iNat:4032541,,67362,FIS,NA,confirmed,Pholis laeta,Chordata,confirmed,1982,2013,NA,2013,Karolle Wall,K.D. Genereux,https://www.inaturalist.org/observations/4032541,4032541," (CMN, CMNFI 1985-0087.6)",Chordates (Chordata)
Pholis ornata,"(Girard, 1854)",,saddleback gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,ornata,NA,,NA,native,SNR,,new 2022,observed,NA,NA,NA,NA,NA,2022-05-16,Andrew Simon,iNat:117406386,,62605,FIS,2022,new,Pholis ornata,Chordata,new,NA,2022,2022,2022,Andrew Simon,NA,https://www.inaturalist.org/observations/117406386,117406386,,Chordates (Chordata)
Clinocottus acuticeps,"(Gilbert, 1896)",,sharpnose sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Clinocottus,acuticeps,NA,,NA,,,,new 2022,observed,NA,NA,NA,NA,NA,2022-05-16,Andrew Simon,iNat:117396307,,117532,FIS,2022,new,Clinocottus acuticeps,Chordata,new,NA,2022,2022,2022,Andrew Simon,NA,https://www.inaturalist.org/observations/117396307,117396307,,Chordates (Chordata)
Oligocottus maculosus,"Girard, 1856",,tidepool sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Oligocottus,maculosus,NA,,NA,native,SNR,,confirmed,observed,1960-12-22,Donald E. McAllister & M. O. Yesaki,CMN,CMNFI 1960-0499C.1,NA,2015-08-28,Lauren Magner,iNat:3735095,,67629,FIS,NA,confirmed,Oligocottus maculosus,Chordata,confirmed,1960,2015,NA,2015,Lauren Magner,Donald E. McAllister & M. O. Yesaki,https://www.inaturalist.org/observations/3735095,3735095," (CMN, CMNFI 1960-0499C.1)",Chordates (Chordata)
Oligocottus rimensis,"(Greeley, 1899)",,saddleback sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Oligocottus,rimensis,NA,,NA,,,,new 2024,observed,NA,NA,NA,NA,NA,2024-09-01,Andrew Simon,iNat:239279509,,69856,FIS,2024,new,Oligocottus rimensis,Chordata,new,NA,2024,2024,2024,Andrew Simon,NA,https://www.inaturalist.org/observations/239279509,239279509,,Chordates (Chordata)
Oligocottus snyderi,"Greeley, 1898",,fluffy sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Oligocottus,snyderi,NA,,NA,,,,new 2023,observed,NA,NA,NA,NA,NA,2023-02-08,Rebecca Reader-Lee,iNat:148479199,,117538,FIS,2023,new,Oligocottus snyderi,Chordata,new,NA,2023,2023,2023,Rebecca Reader-Lee,NA,https://www.inaturalist.org/observations/148479199,148479199,,Chordates (Chordata)
Psychrolutes paradoxus,"Günther, 1861",,tadpole sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Psychrolutidae,,,Psychrolutes,paradoxus,NA,,NA,,,,new 2024,observed,NA,NA,NA,NA,NA,2024-04-21,Sofia Silverman,iNat:223010863,,154704,FIS,2024,new,Psychrolutes paradoxus,Chordata,new,NA,2024,2024,2024,Sofia Silverman,NA,https://www.inaturalist.org/observations/223010863,223010863,,Chordates (Chordata)
Ptilichthys goodei,"Bean, 1881",,quillfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ptilichthyidae,,,Ptilichthys,goodei,NA,,NA,native,SNR,,reported,unobserved,2006-06-23,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,229394,FIS,NA,reported,Ptilichthys goodei,Chordata,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Chordates (Chordata)
Anoplarchus purpurescens,"Gill, 1861",,high cockscomb,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Anoplarchus,purpurescens,NA,,NA,native,SNR,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,NA,NA,2015-08-28,Andrew Simon,iNat:2580652,,67316,FIS,NA,confirmed,Anoplarchus purpurescens,Chordata,confirmed,1969,2015,NA,2015,Andrew Simon,Andy Lamb,https://www.inaturalist.org/observations/2580652,2580652, (PMLS),Chordates (Chordata)
Chirolophis decoratus,"(Jordan & Snyder, 1902)",,decorated warbonnet,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,,Chirolophis,decoratus,NA,,NA,native,SNR,,confirmed,observed,1993-08-16,Andy Lamb,PMLS,NA,NA,2023-08-09,"Dave ""Zeuss"" Cochrane",iNat:177622908,,216742,FIS,NA,confirmed,Chirolophis decoratus,Chordata,confirmed,1993,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/177622908,177622908, (PMLS),Chordates (Chordata)
Chirolophis nugator,"(Jordan & Williams, 1895)",,mosshead warbonnet,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,,Chirolophis,nugator,NA,,NA,native,SNR,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,NA,NA,2019-05-04,Isabelle M. Côté,iNat:24798244,,216743,FIS,NA,confirmed,Chirolophis nugator,Chordata,confirmed,1981,2019,NA,2019,Isabelle M. Côté,Andy Lamb,https://www.inaturalist.org/observations/24798244,24798244, (PMLS),Chordates (Chordata)
Lumpenus sagitta,"Wilimovsky, 1956",,snake prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Lumpeninae,,Lumpenus,sagitta,NA,,NA,native,SNR,,new 2017,observed,NA,NA,NA,NA,NA,2017-05-29,Karolle Wall,iNat:7647298,,224164,FIS,2017,new,Lumpenus sagitta,Chordata,new,NA,2017,2017,2017,Karolle Wall,NA,https://www.inaturalist.org/observations/7647298,7647298,,Chordates (Chordata)
Phytichthys chirus,"(Jordan & Gilbert, 1880)",,ribbon prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Phytichthys,chirus,NA,,NA,native,SNR,,reported,unobserved,1960-12-22,Donald E. McAllister & M. O. Yesaki,CMN,CMNFI 1960-0499C.2,NA,NA,NA,NA,,228101,FIS,NA,reported,Phytichthys chirus,Chordata,reported,1960,NA,NA,NA,NA,Donald E. McAllister & M. O. Yesaki,NA,NA," (CMN, CMNFI 1960-0499C.2)",Chordates (Chordata)
Xiphister atropurpureus,"(Kittlitz, 1858)",,rock prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Xiphister,atropurpureus,NA,,NA,native,SNR,,new 2021,observed,NA,NA,NA,NA,NA,2021-05-26,ridingbio,iNat:83262535,,67360,FIS,2021,new,Xiphister atropurpureus,Chordata,new,NA,2021,2021,2021,ridingbio,NA,https://www.inaturalist.org/observations/83262535,83262535,,Chordates (Chordata)
Xiphister mucosus,"(Girard, 1858)",,rock eel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Xiphister,mucosus,NA,,NA,native,SNR,,new 2020,observed,NA,NA,NA,NA,NA,2020-08-15,Andrew Simon,iNat:57099177,,67628,FIS,2020,new,Xiphister mucosus,Chordata,new,NA,2020,2020,2020,Andrew Simon,NA,https://www.inaturalist.org/observations/57099177,57099177,,Chordates (Chordata)
