Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Phylum_std,status_std,historical_year,observed_year,new_year_std,contribution_year,Observer_std,Collector_std,iNat_link,iNat_ID,Historical_metadata,Phylum_label
Dendronotus iris,"J.G. Cooper, 1863",,giant nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,iris,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2011-09-12,Karolle Wall,iNat:3706371,,47706,MOL,NA,confirmed,Dendronotus iris,Mollusca,confirmed,1969,2011,NA,2011,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/3706371,3706371, (PMLS),Molluscs (Mollusca)
Dendronotus rufus,"O'Donoghue, 1921",,red dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,rufus,NA,,NA,native,unlisted,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,NA,NA,2009-07-19,Karolle Wall,iNat:97178764,,50393,MOL,NA,confirmed,Dendronotus rufus,Mollusca,confirmed,1985,2009,NA,2009,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/97178764,97178764, (PMLS),Molluscs (Mollusca)
Dirona albolineata,"MacFarland in Cockerell & Elliot, 1905",,frosted nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,albolineata,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2009-08-30,Karolle Wall,iNat:97178779,,47477,MOL,NA,confirmed,Dirona albolineata,Mollusca,confirmed,1969,2009,NA,2009,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/97178779,97178779, (PMLS),Molluscs (Mollusca)
Dirona pellucida,"Volodchenko, 1941",,golden dirona,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,pellucida,NA,,NA,native,unlisted,,confirmed,observed,1973-09-21,Andy Lamb,PMLS,NA,NA,2009-11-14,Karin Fletcher,iNat:68751130,,50447,MOL,NA,confirmed,Dirona pellucida,Mollusca,confirmed,1973,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751130,68751130, (PMLS),Molluscs (Mollusca)
Diaulula odonoghuei,"(Steinberg, 1963)",,spotted leopard dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Diaulula,odonoghuei,NA,,NA,native,unlisted,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,NA,NA,2014-04-08,Karin Fletcher,iNat:68751812,,508237,MOL,NA,confirmed,Diaulula odonoghuei,Mollusca,confirmed,1969,2014,NA,2014,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751812,68751812, (PMLS),Molluscs (Mollusca)
Geitodoris heathi,"(MacFarland, 1905)",,Heath's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Geitodoris,heathi,NA,,NA,native,unlisted,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,NA,NA,2009-11-14,Karin Fletcher,iNat:68751132,,47505,MOL,NA,confirmed,Geitodoris heathi,Mollusca,confirmed,1981,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751132,68751132, (PMLS),Molluscs (Mollusca)
Peltodoris lentiginosa,"(Millen, 1982)",,freckled pale sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Peltodoris,lentiginosa,NA,,NA,native,unlisted,,confirmed,observed,2006-03-05,Andy Lamb,PMLS,NA,NA,2009-10-03,Jackson W.F. Chu,iNat:8624729,,513834,MOL,NA,confirmed,Peltodoris lentiginosa,Mollusca,confirmed,2006,2009,NA,2009,Jackson W.F. Chu,Andy Lamb,https://www.inaturalist.org/observations/8624729,8624729, (PMLS),Molluscs (Mollusca)
Peltodoris nobilis,"(MacFarland, 1905)",,noble sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Peltodoris,nobilis,NA,,NA,native,unlisted,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2009-11-14,Karin Fletcher,iNat:68751134,,48450,MOL,NA,confirmed,Peltodoris nobilis,Mollusca,confirmed,1968,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751134,68751134, (PMLS),Molluscs (Mollusca)
Rostanga pulchra,"MacFarland, 1905",,red sponge nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Rostanga,pulchra,NA,,NA,native,unlisted,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,NA,NA,2014-04-08,Karin Fletcher,iNat:68751957,,47473,MOL,NA,confirmed,Rostanga pulchra,Mollusca,confirmed,1985,2014,NA,2014,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751957,68751957, (PMLS),Molluscs (Mollusca)
Doris montereyensis,"J.G. Cooper, 1863",,Monterey sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,montereyensis,NA,,NA,native,unlisted,,confirmed,observed,1968-08-02,Andy Lamb,PMLS,NA,NA,2014-04-08,Karin Fletcher,iNat:68751948,,47469,MOL,NA,confirmed,Doris montereyensis,Mollusca,confirmed,1968,2014,NA,2014,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751948,68751948, (PMLS),Molluscs (Mollusca)
Doris odhneri,"(MacFarland, 1966)",,white nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,odhneri,NA,,NA,native,unlisted,,confirmed,observed,1973-09-20,Andy Lamb,PMLS,NA,NA,2009-11-14,Karin Fletcher,iNat:68751131,,124210,MOL,NA,confirmed,Doris odhneri,Mollusca,confirmed,1973,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751131,68751131, (PMLS),Molluscs (Mollusca)
Eubranchus rupium,"(Møller, 1842)",,olive aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,rupium,NA,,NA,native,unlisted,,reported,unobserved,2012-10-06,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,533047,MOL,NA,reported,Eubranchus rupium,Mollusca,reported,2012,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Antiopella fusca,"(O'Donoghue, 1924)",,white-and-orange-tipped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Janolidae,,,Antiopella,fusca,NA,,NA,native,unlisted,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,NA,NA,2009-11-15,Karin Fletcher,iNat:68751511,reported as Janolus fuscus,886884,MOL,NA,confirmed,Antiopella fusca,Mollusca,confirmed,1985,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751511,68751511, (PMLS),Molluscs (Mollusca)
Hermissenda crassicornis,"(Eschscholtz, 1831)",,thick-horned nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Myrrhinidae,,,Hermissenda,crassicornis,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2009-07-24,Tyson Ehlers,iNat:8849417,,495552,MOL,NA,confirmed,Hermissenda crassicornis,Mollusca,confirmed,1969,2009,NA,2009,Tyson Ehlers,Andy Lamb,https://www.inaturalist.org/observations/8849417,8849417, (PMLS),Molluscs (Mollusca)
Acanthodoris atrogriseata,"O'Donoghue, 1927",,gray pilose dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,atrogriseata,NA,,NA,native,unlisted,,reported,unobserved,2008-06-15,Andy Lamb,PMLS,NA,NA,NA,NA,NA,"reported as Acanthodoris pilosa (Abildgaard in Müller, 1789)",1080211,MOL,NA,reported,Acanthodoris atrogriseata,Mollusca,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Acanthodoris hudsoni,"MacFarland, 1905",,Hudson's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,hudsoni,NA,,NA,native,unlisted,,confirmed,observed,1994-10-23,Andy Lamb,PMLS,NA,NA,2009-11-15,Karin Fletcher,iNat:68751502,,48447,MOL,NA,confirmed,Acanthodoris hudsoni,Mollusca,confirmed,1994,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751502,68751502, (PMLS),Molluscs (Mollusca)
Acanthodoris nanaimoensis,"O'Donoghue, 1921",,Nanaimo nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,nanaimoensis,NA,,NA,native,unlisted,,confirmed,observed,1994-10-07,Andy Lamb,PMLS,NA,NA,2009-11-14,Karin Fletcher,iNat:68751127,,47476,MOL,NA,confirmed,Acanthodoris nanaimoensis,Mollusca,confirmed,1994,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751127,68751127, (PMLS),Molluscs (Mollusca)
Atalodoris jannae,"(Millen, 1987)",,Janna's adalaria,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Atalodoris,jannae,NA,,NA,native,unlisted,,confirmed,observed,2018-06-19,Andy Lamb,PMLS,NA,NA,2009-11-15,Karin Fletcher,iNat:68751512,reported as Knoutsodonta jannae,508447,MOL,NA,confirmed,Atalodoris jannae,Mollusca,confirmed,2018,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751512,68751512, (PMLS),Molluscs (Mollusca)
Onchidoris bilamellata,"(Linnaeus, 1767)",,barnacle-eating nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Onchidoris,bilamellata,NA,,NA,native,unlisted,,confirmed,observed,2006-06-23,Andy Lamb,PMLS,NA,NA,2009-06-26,Karolle Wall,iNat:97178772,,47480,MOL,NA,confirmed,Onchidoris bilamellata,Mollusca,confirmed,2006,2009,NA,2009,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/97178772,97178772, (PMLS),Molluscs (Mollusca)
Ziminella japonica,"(Volodchenko, 1941)",,pearly nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Paracoryphellidae,,,Ziminella,japonica,NA,,NA,native,unlisted,,reported,unobserved,2009-02-08,Andy Lamb,PMLS,NA,NA,NA,NA,NA,"reported as Flabellina japonica (Volodchenko, 1941)",877359,MOL,NA,reported,Ziminella japonica,Mollusca,reported,2009,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Limacia cockerelli,"(MacFarland, 1905)",,Cockerell's nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Triophinae,,Limacia,cockerelli,NA,,NA,native,unlisted,,reported,unobserved,1985-12-07,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,538830,MOL,NA,reported,Limacia cockerelli,Mollusca,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Triopha catalinae,"(Cooper, 1863)",,clown dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Triophinae,,Triopha,catalinae,NA,,NA,,,,new 2016,observed,NA,NA,NA,NA,NA,2016-05-09,Karolle Wall,iNat:3705553,,47454,MOL,2016,new,Triopha catalinae,Mollusca,new,NA,2016,2016,2016,Karolle Wall,NA,https://www.inaturalist.org/observations/3705553,3705553,,Molluscs (Mollusca)
Triopha modesta,"Bergh, 1880",,modest clown nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Triophinae,,Triopha,modesta,NA,,NA,native,unlisted,,confirmed,observed,1985-08-02,Andy Lamb,PMLS,NA,NA,2009-11-14,Karin Fletcher,iNat:68751136,,1133369,MOL,NA,confirmed,Triopha modesta,Mollusca,confirmed,1985,2009,NA,2009,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751136,68751136, (PMLS),Molluscs (Mollusca)
Melibe leonina,"(Gould, 1852)",,hooded nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Tethydidae,,,Melibe,leonina,NA,,NA,native,unlisted,,confirmed,observed,1994-10-07,Andy Lamb,PMLS,NA,NA,2006-10-06,jroderick,iNat:19274280,,48455,MOL,NA,confirmed,Melibe leonina,Mollusca,confirmed,1994,2006,NA,2006,jroderick,Andy Lamb,https://www.inaturalist.org/observations/19274280,19274280, (PMLS),Molluscs (Mollusca)
Tenellia nepunicea,"(Korshunova, Fletcher, Lundin, Picton & Martynov, 2018)",,pimpled aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Trinchesiidae,,,Tenellia,nepunicea,NA,,NA,native,unlisted,,confirmed,observed,1982-05-21,Sandra Millen-Crane,RBCM,983-00026-001,1898308265,2014-04-08,Karin Fletcher,iNat:68751823,,1624602,MOL,NA,confirmed,Tenellia nepunicea,Mollusca,confirmed,1982,2014,NA,2014,Karin Fletcher,Sandra Millen-Crane,https://www.inaturalist.org/observations/68751823,68751823," (RBCM, 983-00026-001)",Molluscs (Mollusca)
Tochuina gigantea,"(Bergh, 1904)",,orange-peel nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Tritonioidea,Tritoniidae,,,Tochuina,gigantea,NA,,NA,native,unlisted,,confirmed,observed,1973-09-20,Andy Lamb,PMLS,NA,NA,2009-10-03,Jackson W.F. Chu,iNat:59920054,,873733,MOL,NA,confirmed,Tochuina gigantea,Mollusca,confirmed,1973,2009,NA,2009,Jackson W.F. Chu,Andy Lamb,https://www.inaturalist.org/observations/59920054,59920054, (PMLS),Molluscs (Mollusca)
Tritonia exsulans,"Bergh, 1894",,pink tritonia,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Tritonioidea,Tritoniidae,,,Tritonia,exsulans,NA,,NA,native,unlisted,,confirmed,observed,2006-12-02,Charlie Gibbs,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2975951,,253510,MOL,NA,confirmed,Tritonia exsulans,Mollusca,confirmed,2006,2013,NA,2013,Peter Luckham,Charlie Gibbs,https://www.inaturalist.org/observations/2975951,2975951, (PMLS),Molluscs (Mollusca)
Tritonia festiva,"(Stearns, 1873)",,diamondback tritonia,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Tritonioidea,Tritoniidae,,,Tritonia,festiva,NA,,NA,native,unlisted,,confirmed,observed,1985-12-07,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2976292,,48827,MOL,NA,confirmed,Tritonia festiva,Mollusca,confirmed,1985,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2976292,2976292, (PMLS),Molluscs (Mollusca)
Boreoberthella chacei,"(J.Q. Burch, 1944)",,white berthella,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Pleurobranchida,,Pleurobranchoidea,Pleurobranchidae,,,Boreoberthella,chacei,NA,,NA,native,unlisted,,confirmed,observed,2005-12-10,Andy Lamb,PMLS,NA,NA,2014-04-08,Karin Fletcher,iNat:68751809,,1532046,MOL,NA,confirmed,Boreoberthella chacei,Mollusca,confirmed,2005,2014,NA,2014,Karin Fletcher,Andy Lamb,https://www.inaturalist.org/observations/68751809,68751809, (PMLS),Molluscs (Mollusca)
Clione limacina,"(Phipps, 1774)",,common clione,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Pteropoda,Gymnosomata,Clionoidea,Clionidae,,,Clione,limacina,NA,,NA,native,unlisted,,new 2020,observed,NA,NA,NA,NA,NA,2020-01-05,Lillian Rose Crossman,iNat:37294883,,55297,MOL,2020,new,Clione limacina,Mollusca,new,NA,2020,2020,2020,Lillian Rose Crossman,NA,https://www.inaturalist.org/observations/37294883,37294883,,Molluscs (Mollusca)
Limacina helicina,"(Phipps, 1774)",,helicid pteropod,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Pteropoda,Euthecosomata,Limacinoidea,Limacinidae,,,Limacina,helicina,NA,,NA,native,unlisted,,reported,unobserved,2009-04-04,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,345356,MOL,NA,reported,Limacina helicina,Mollusca,reported,2009,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Calliostoma annulatum,"(Lightfoot, 1786)",,purple-ringed topsnail,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,annulatum,NA,,NA,native,unlisted,,reported,unobserved,1986-09-30,NA,RBCM,986-00197-040,NA,NA,NA,NA,,121181,MOL,NA,reported,Calliostoma annulatum,Mollusca,reported,1986,NA,NA,NA,NA,NA,NA,NA," (RBCM, 986-00197-040)",Molluscs (Mollusca)
Calliostoma canaliculatum,"(Lightfoot, 1786)",,channeled topsnail,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,canaliculatum,NA,,NA,,,,new 2021,observed,NA,NA,NA,NA,NA,2021-04-20,Andrew Simon,iNat:74711605,,131198,MOL,2021,new,Calliostoma canaliculatum,Mollusca,new,NA,2021,2021,2021,Andrew Simon,NA,https://www.inaturalist.org/observations/74711605,74711605,,Molluscs (Mollusca)
Calliostoma ligatum,"(Gould, 1849)",,blue topsnail,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,ligatum,NA,,NA,native,unlisted,,confirmed,observed,1986-04-08,NA,RBCM,986-00191-008,NA,2016-02-07,Peter Luckham,iNat:2763492,,129920,MOL,NA,confirmed,Calliostoma ligatum,Mollusca,confirmed,1986,2016,NA,2016,Peter Luckham,NA,https://www.inaturalist.org/observations/2763492,2763492," (RBCM, 986-00191-008)",Molluscs (Mollusca)
Margarites pupillus,"(Gould, 1849)",,puppet margarite,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Margaritidae,,,Margarites,pupillus,NA,,NA,native,unlisted,,confirmed,observed,2009-02-08,Andy Lamb,PMLS,NA,NA,2017-05-14,Scott Gilmore,iNat:6223678,,129922,MOL,NA,confirmed,Margarites pupillus,Mollusca,confirmed,2009,2017,NA,2017,Scott Gilmore,Andy Lamb,https://www.inaturalist.org/observations/6223678,6223678, (PMLS),Molluscs (Mollusca)
Tegula funebralis,"(A. Adams, 1855)",,black tegula,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Tegulidae,,,Tegula,funebralis,NA,,NA,native,unlisted,,new 2019,observed,NA,NA,NA,NA,NA,2019-05-05,John D Reynolds,iNat:25595362,,460365,MOL,2019,new,Tegula funebralis,Mollusca,new,NA,2019,2019,2019,John D Reynolds,NA,https://www.inaturalist.org/observations/25595362,25595362,,Molluscs (Mollusca)
Acmaea mitra,"Rathke, 1833",,whitecap limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Acmaeidae,,,Acmaea,mitra,NA,,NA,native,unlisted,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,NA,NA,2019-05-04,Isabelle M. Côté,iNat:129284370,,47676,MOL,NA,confirmed,Acmaea mitra,Mollusca,confirmed,1981,2019,NA,2019,Isabelle M. Côté,Andy Lamb,https://www.inaturalist.org/observations/129284370,129284370, (PMLS),Molluscs (Mollusca)
Rictaxis punctocaelatus,"(Carpenter, 1864)",,bubble snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,,,Acteonoidea,Acteonidae,,,Rictaxis,punctocaelatus,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03322,1898323409,NA,NA,NA,,49779,MOL,NA,reported,Rictaxis punctocaelatus,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03322)",Molluscs (Mollusca)
Batillaria attramentaria,"(G.B. Sowerby II, 1855)",,Japanese false cerith,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Cerithioidea,Batillariidae,,,Batillaria,attramentaria,NA,,NA,non-native,unlisted,,new 2019,observed,NA,NA,NA,NA,NA,2019-05-05,John D Reynolds,iNat:25655199,,68783,MOL,2019,new,Batillaria attramentaria,Mollusca,new,NA,2019,2019,2019,John D Reynolds,NA,https://www.inaturalist.org/observations/25655199,25655199,,Molluscs (Mollusca)
Epitonium hindsii,"(Carpenter, 1856)",,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,Epitonium,hindsii,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-019,1898294275,NA,NA,NA,,893102,MOL,NA,reported,Epitonium hindsii,Mollusca,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-019)",Molluscs (Mollusca)
Epitonium indianorum,"(Carpenter, 1865)",,money wentletrap,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,Epitonium,indianorum,NA,,NA,native,unlisted,,reported,unobserved,2008-07-19,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,129921,MOL,NA,reported,Epitonium indianorum,Mollusca,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Cryptobranchia concentrica,"(Middendorff, 1851)",,ringed blind limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lepetidae,,,Cryptobranchia,concentrica,NA,,NA,native,unlisted,,reported,unobserved,2007-10-14,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,541593,MOL,NA,reported,Cryptobranchia concentrica,Mollusca,reported,2007,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Lepeta concentrica,"(Middendorff, 1848)",,ringed blind limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lepetidae,,,Cryptobranchia,concentrica,NA,,NA,native,unlisted,,reported,unobserved,2007-10-14,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,1240081,MOL,NA,reported,Lepeta concentrica,Mollusca,reported,2007,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Lottia digitalis,"(Rathke, 1833)",,fingered limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lottiidae,Lottiinae,,Lottia,digitalis,NA,,NA,native,unlisted,,new 2016,observed,NA,NA,NA,NA,NA,2016-09-01,Andrew Simon,iNat:4017022,,64287,MOL,2016,new,Lottia digitalis,Mollusca,new,NA,2016,2016,2016,Andrew Simon,NA,https://www.inaturalist.org/observations/4017022,4017022,,Molluscs (Mollusca)
Lottia pelta,"(Rathke, 1833)",,shield limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lottiidae,Lottiinae,,Lottia,pelta,NA,,NA,native,unlisted,,new 2017,observed,NA,NA,NA,NA,NA,2017-04-10,Andrew Simon,iNat:5646967,,63243,MOL,2017,new,Lottia pelta,Mollusca,new,NA,2017,2017,2017,Andrew Simon,NA,https://www.inaturalist.org/observations/5646967,5646967,,Molluscs (Mollusca)
Lottia scutum,"(Rathke, 1833)",,plate limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lottiidae,Lottiinae,,Lottia,scutum,NA,,NA,native,unlisted,,confirmed,observed,2006-06-30,Andy Lamb,PMLS,NA,NA,2016-08-21,Tyrel Froese,iNat:4004998,,129962,MOL,NA,confirmed,Lottia scutum,Mollusca,confirmed,2006,2016,NA,2016,Tyrel Froese,Andy Lamb,https://www.inaturalist.org/observations/4004998,4004998, (PMLS),Molluscs (Mollusca)
Stagnicola sp.,,,pond snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,Lymnaeoidea,Lymnaeidae,Lymnaeinae,,Stagnicola,,NA,,NA,,,,new 2016,observed,NA,NA,NA,NA,NA,2016-07-13,Andrew Simon,iNat:3680865,,92192,MOL,2016,new,Stagnicola sp.,Mollusca,new,NA,2016,2016,2016,Andrew Simon,NA,https://www.inaturalist.org/observations/3680865,3680865,,Molluscs (Mollusca)
Planorbella trivolvis,"(Say, 1817)",,marsh ramshorn,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,Lymnaeoidea,Planorbidae,Planorbinae,Helisomatini,Planorbella,trivolvis,NA,,NA,native,SU (2015),,new 2016,observed,NA,NA,NA,NA,NA,2016-08-14,Andrew Simon,iNat:3890687,,150985,MOL,2016,new,Planorbella trivolvis,Mollusca,new,NA,2016,2016,2016,Andrew Simon,NA,https://www.inaturalist.org/observations/3890687,3890687,,Molluscs (Mollusca)
Odostomia sp.,,,sea snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Pylopulmonata,,,Pyramidelloidea,Pyramidellidae,,,Odostomia,,NA,,NA,,,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03329,1898323195,NA,NA,NA,,129939,MOL,NA,reported,Odostomia sp.,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03329)",Molluscs (Mollusca)
