"scientificName","ID","Curator.Decision","Curator.Notes"
"Podoplea","774779","DELETE","higher"
"Poecilosclerida","63667","DELETE","higher"
"Polychaeta","47490","DELETE","higher"
"Polycitoridae","131211","DELETE","higher"
"Polycladida","52318","DELETE","higher"
"Polynoidae","53607","DELETE","higher"
"Polyplacophora","47429","DELETE","higher"
"Pontogeneiidae","607600","DELETE","higher"
"Porcellanidae","47805","DELETE","higher"
"Porifera","48824","DELETE","higher"
"Psychrolutidae","86030","DELETE","higher"
"Pugettia","49725","DELETE","genus"
"Pyuridae","118723","DELETE","higher"
"Rajiformes","47272","DELETE","higher"
"Rossellidae","424718","DELETE","higher"
"Sabellida","152937","DELETE","higher"
"Sabellidae","49282","DELETE","higher"
"Salmoniformes","47521","DELETE","higher"
"Salmoninae","342904","DELETE","higher"
"Saxidomus","117613","DELETE","genus"
"Schizobranchia","339562","DELETE","genus"
"Schizoporella","196034","DELETE","genus"
"Scyphozoa","48332","DELETE","higher"
"Sebastes","47762","DELETE","genus"
"Sedentaria","551647","DELETE","higher"
"Semaeostomeae","48331","DELETE","higher"
"Serpula","117578","DELETE","genus"
"Serpulidae","49518","DELETE","higher"
"Solaster","117699","DELETE","genus"
"Solenoidea","372888","DELETE","higher"
"Spirorbinae","417219","DELETE","higher"
"Stomphia","459982","DELETE","genus"
"Strongylocentrotidae","48037","DELETE","higher"
"Strongylocentrotus","48036","DELETE","genus"
"Talitridae","63288","DELETE","higher"
"Tellinidae","71253","DELETE","higher"
"Tentaculata","117708","DELETE","higher"
"Terebellidae","47492","DELETE","higher"
"Terebratulida","122160","DELETE","higher"
"Teredinidae","196239","DELETE","higher"
"Tetillidae","131739","DELETE","higher"
"Thecostraca","144117","DELETE","higher"
"Thoracica","464038","DELETE","higher"
"Thoracicalcarea","1040842","DELETE","higher"
"Thoridae","849029","DELETE","higher"
"Tomopteridae","195012","DELETE","higher"
"Tomopteris","194976","DELETE","genus"
"Tonicella","47426","DELETE","genus"
"Tonicellidae","533539","DELETE","higher"
"Tonicellinae","1067212","DELETE","higher"
"Tresus","117624","DELETE","genus"
"Triopha","47111","DELETE","genus"
"Trochoidea","474466","DELETE","higher"
"Tubulariidae","48920","DELETE","higher"
"Tubuliporidae","195960","DELETE","higher"
"Tunicata","130868","DELETE","higher"
"Urticina","47795","DELETE","genus"
"Venerida","50586","DELETE","higher"
"Veneridae","50588","DELETE","higher"
"Vermetoidea","551425","DELETE","higher"
"Vertebrata","355675","DELETE","higher"
"Virgulariidae","52537","DELETE","higher"
"Xiphister","67361","DELETE","genus"
