name,node_class,taxon_status,taxon_year,color,size,label
Empidonax traillii,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Eremophila alpestris,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Euphagus cyanocephalus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Falco columbarius,taxon,reported,NA,gray60,1,NA
Falco peregrinus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Falco sparverius,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Gallinago delicata,taxon,reported,NA,gray60,1,NA
Gavia immer,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Gavia pacifica,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Gavia stellata,taxon,reported,NA,gray60,1,NA
Geothlypis tolmiei,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Geothlypis trichas,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Haematopus bachmani,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Haemorhous mexicanus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Haemorhous purpureus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Haliaeetus leucocephalus washingtoniensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Hesperiphona vespertina,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Hirundo rustica erythrogaster,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Histrionicus histrionicus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Ixoreus naevius,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Junco hyemalis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Lanius borealis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Larus argentatus,taxon,reported,NA,gray60,1,NA
Larus brachyrhynchus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Larus californicus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Larus delawarensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Larus glaucescens,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Larus glaucoides thayeri,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Larus heermanni,taxon,reported,NA,gray60,1,NA
Larus occidentalis,taxon,reported,NA,gray60,1,NA
