Area,Confirmed?,Kingdom,Phyllum. or Group,Subphyllum or Group,Class or Group,Order or Group,Family,Subfamily or Group,locality,eventDate,scientificName,Ssp. or Var.,?,Synonym,Common Name,Original Record,recordedBy,Conf. By,Compiler/Editor,datasetName,1st Record,Entered,CDC-sent,Photo,Easting,Northing,Acc.,Elev.,Intro?,CDC/Rareness,COSEWIC,SARA,IDWildlife,No.,Gender,Life Stage,Method,Coll.?,Habitat,Notes/Comments,Signifance,Rareness,Questions,Acc. No.,Cat./Ref. No.,Authority,Site Code,Water Temp,System,Detected?,In System?,Breeding in Whistler?,Does SAR apply? (Breeding only?),BC Rank,Global Rank,Does IDW apply? (Breeding only?),"Common Name, alpha sort",Code,Sibley pg# sort,Sibley + alph sort,WBL sort,Last Record,Mar- May ,Jun- Aug ,Sep- Nov ,Dec- Feb ,Subfamily or Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Dytiscidae (predaceous diving beetles),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Rhantus suturellus,,,,predaceous diving beetle,Rhantus suturellus,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Elateridae (click beetles),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Ctenicera angularis,,,,click beetle,Ctenicera angularis,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Elateridae (click beetles),,Sea-to-Sky Gondola (Wonderland L.),2016-05-28,Liotrichus umbricola,,,,click beetle,Liotrichus umbricola,UBC/SEC - K. Needham & team,UBC/SEC - K. Needham & team,Bob Brett (WBP),BioBlitz/WBP,2016,2016,,,,,,,,,,,,1,,,,,,,,,,,,(Escholtz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Gyrinidae (whirligig beetles),,Sea-to-Sky Gondola (Wonderland L.),2016-05-28,Gyrinus picipes,,,,whirligig beetle,Gyrinus picipes,UBC/SEC - K. Needham & team,UBC/SEC - K. Needham & team,Bob Brett (WBP),BioBlitz/WBP,2007,2016,,,,,,,,,,,,3,,adults,,,,,,,,,,Aube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Gyrinidae (whirligig beetles),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Gyrinus picipes,,,,whirligig beetle,Gyrinus picipes,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2007,2017,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Haliplidae (crawling water beetles),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Peltodytes sp.,,,,crawling water beetle,Peltodytes sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Staphylinidae (rove beetles),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Omaliinae sp.,,,,rove beetle,Omaliinae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2016,2017,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Coleoptera (beetles),Staphylinidae (rove beetles),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Omaliinae sp.,,,,rove beetle,Omaliinae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2016,2017,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Bibionidae (march flies & love bugs),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Bibio xanthopus,,,,march fly or love bug,Bibio xanthopus,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Chironomidae (non-biting midges),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Chironimidae sp.,,,,non-biting midge,Chironomidae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2007,2017,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Chironomidae (non-biting midges),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Chironimidae sp.,,,,non-biting midge,Chironomidae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2007,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Culicidae (mosquitoes),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Aedes hexodontus,,,,mosquito,Aedes hexodontus,Dan Peach,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Culicidae (mosquitoes),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Culicidae sp.,,,,mosquito,Culicidae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2004,2017,,,,,,,,,,,,4,,,,,,to Dan Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Culicidae (mosquitoes),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Culiseta impatiens,,,,Impatient Mosquito,Culiseta impatiens,Dan Peach,,Bob Brett (WBP) ,BioBlitz/WBP,2005,2017,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Culicidae (mosquitoes),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Culiseta inornata,,,,Winter Marsh Mosquito,Culiseta inornata,Dan Peach,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Empididae (dagger flies),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Empididae sp.,,,,dagger fly,Empididae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2011,2017,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Empididae (dagger flies),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Empididae sp.,,,,dagger fly,Empididae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2011,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Limoniidae (Limoniid crane flies),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Erioptera sp.,,,,Limoniid crane fly,Erioptera sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Mycetophilidae (fungus gnats),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Mycetophilidae sp.,,,,fungus gnat,Mycetophilidae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2011,2017,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Scathophagidae (dung flies),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Scatophaga sp.,,,,dung fly,Scatophaga sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Sciaridae (dark-winged fungus gnats),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Sciara sp.,,,,dark-winged fungus gnat,Sciara sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Sciomyzidae (marsh flies),,"Sea-to-Sky Gondola, Wonderland Lake",2017-06-03,Dictya sp.,,,,marsh fly,Dictya sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2017,2017,,,,,,,,,,,,1,,larva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squamish,,Animalia,Invertebrate,Arthropoda - insects,Insecta,Diptera (true flies),Simuliidae (black flies),,"Sea-to-Sky Gondola, Alpine Alley Lake",2017-06-03,Simuliidae sp.,,,,black fly,Simuliidae sp.,K.Needham & SEM team,,Bob Brett (WBP) ,BioBlitz/WBP,2008,2017,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
