occurrenceID,GUID,institutionCode,Collection,Dataset,catalogNumber,Catalog,Barcode,Other Catalog Numbers,Information Withheld,basisOfRecord,Family,Accepted Name,scientificName,Notho Genus,Genus,Notho Species,Specific Epithet,Specific Authors,Infraspecific Rank,Notho Infraspecies,Infraspecific Epithet,Infraspecific Authors,Hybrid Symbol,2nd Notho Genus,2nd Genus,2nd Notho Species,2nd Specific Epithet,2nd Specific Authors,2nd Infraspecific Rank,2nd Notho Infraspecies,2nd Infraspecific Epithet,2nd Infraspecific Authors,Cultivar,Name Qualifier,Qualifier Position,Type Specimen?,Type Status,Specimen Notes,Phenology,Origin,Cultivated?,Imaged?,Site Number,recordedBy,fieldNumber,Other Collectors,Day Collected,Month Collected,Year Collected,Verbatim Collection Date,eventDate,country,stateProvince,County,locality,habitat,Verbatim Elevation,Minimum Elevation in Meters,Maximum Elevation in Meters,Verbatim Coordinates,decimalLatitude,decimalLongitude,Valid LatLng,Geodetic Datum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceRemarks
1248388,,UBC,Algae,,A57493,,,,,PreservedSpecimen,,Nitophyllum nottii,Nitophyllum nottii,,Nitophyllum,,nottii,,,,,,,,,,,,,,,,,,,N,,,Tetrasporic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1248389,,UBC,Algae,,A57494,,,,,PreservedSpecimen,,Nitophyllum nottii,Nitophyllum nottii,,Nitophyllum,,nottii,,,,,,,,,,,,,,,,,,,N,,,Tetrasporic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1251748,,UBC,Algae,,A57491,,,,,PreservedSpecimen,,Pleonosporium vancouverianum,Pleonosporium vancouverianum,,Pleonosporium,,vancouverianum,,,,,,,,,,,,,,,,,,,N,,,Spermatangial,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1251911,,UBC,Algae,,A57495,,,,,PreservedSpecimen,Delesseriaceae,Polyneura latissima,Polyneura latissima,,Polyneura,,latissima,,,,,,,,,,,,,,,,,,,N,,,Tetrasporic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1251912,,UBC,Algae,,A57496,,,,,PreservedSpecimen,Delesseriaceae,Polyneura latissima,Polyneura latissima,,Polyneura,,latissima,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1253642,,UBC,Algae,,A57505,,,,,PreservedSpecimen,Bangiaceae,Porphyra nereocystis,Porphyra nereocystis,,Porphyra,,nereocystis,,,,,,,,,,,,,,,,,,,N,,,Fertile,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1258478,,UBC,Algae,,A57503,,,,,PreservedSpecimen,Ulvaceae,Ulva fenestrata,Ulva fenestrata,,Ulva,,fenestrata,,,,,,,,,,,,,,,,,,,N,,,Fertile,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1265905,,UBC,Algae,,A57500,,,,,PreservedSpecimen,Dasyaceae,Rhodoptilum plumosum,Rhodoptilum plumosum,,Rhodoptilum,,plumosum,,,,,,,,,,,,,,,,,,,N,,,Cystocarpic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1267124,,UBC,Algae,,A57487,,,,,PreservedSpecimen,Ceramiaceae,Scagelia corallina var. occidentale,Scagelia corallina var. occidentale,,Scagelia,,corallina,,var.,,occidentale,,,,,,,,,,,,,,,N,,,"Spermatangial, tetrasporic",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1274046,,UBC,Algae,,A57502,,,,,PreservedSpecimen,Rhodymeniaceae,Fryeella gardneri,Fryeella gardneri,,Fryeella,,gardneri,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1274047,,UBC,Algae,,A57499,,,,,PreservedSpecimen,Rhodymeniaceae,Fryeella gardneri,Fryeella gardneri,,Fryeella,,gardneri,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1283736,,UBC,Algae,,A57506,,,,,PreservedSpecimen,,Sargassum muticum,Sargassum muticum,,Sargassum,,muticum,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285897,,UBC,Algae,,A57488,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica var. pacifica,Antithamnionella pacifica var. pacifica,,Antithamnionella,,pacifica,,var.,,pacifica,,,,,,,,,,,,,,,N,,,"Spermatangial, cystocarpic, tetrasporic",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285898,,UBC,Algae,,A57489,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica var. pacifica,Antithamnionella pacifica var. pacifica,,Antithamnionella,,pacifica,,var.,,pacifica,,,,,,,,,,,,,,,N,,,"Spermatangial, cystocarpic, tetrasporic",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285899,,UBC,Algae,,A57490,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica var. pacifica,Antithamnionella pacifica var. pacifica,,Antithamnionella,,pacifica,,var.,,pacifica,,,,,,,,,,,,,,,N,,,"Tetrasporic, spermatangial",,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
1285900,,UBC,Algae,,A57501,,,,,PreservedSpecimen,Ceramiaceae,Antithamnionella pacifica,Antithamnionella pacifica,,Antithamnionella,,pacifica,,,,,,,,,,,,,,,,,,,N,,,Cystocarpic,,N,N,,Michael W. Hawkes,MWH 77-19,,27,11,1977,1977 Nov 27,1977-11-27,Canada,British Columbia,,"S. Gulf Islands, Porlier Pass, Galiano Island.",,,,,,,,,,,,,
3558166,,UBC,Algae,,A84175,,,,,PreservedSpecimen,,Desmarestia aculeata,Desmarestia aculeata,,Desmarestia,,aculeata,,,,,,,,,,,,,,,,,,,N,,,,,N,N,,Sandra C. Lindstrom,s.n.,,3,10,1973,1973 Oct 03,1973-10-03,Canada,British Columbia,,Northeast Galiano Island.,Subtidal rock.,,,,,49.014722,-123.571667,Y,Unknown,,Amelia Choy,Verbatim from Collector/Sheet,
