vernacularName,scientificName,idQualifier,datasetName,eventDate,recordedBy,locality,decimalLatitude,decimalLongitude,eventRemarks
Menzie's tree fern,Leucolepis acanthoneuron,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
sword fern,Polystichum munitum,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Big leaf maple,Acer macrophyllum,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Red alder,Alnus rubra,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Arbutus,Arbutus menzieseii,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Crab Apple,Malus fusca,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Bitter Cherry,Prunus emarginata,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Garry Oak,Quercus garryana,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Scouler's willow,Salix scouleriana,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Sitka Mountain Ash,Sorbus sitchensis,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Douglas fir,Pseudotsuga menzieseii,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Western Yew,Taxus brevifolia,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Western red cedar,Thuja plicata,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
