Intended disposition,institutionCode,catalogNumber,scientificName,occurrenceRemarks,habitat,locality,Lat,Long,eventDate,recordedBy,identifiedBy,Date identified,Notes,Image,Checked morphology,,,,,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result
,,,Pleonosporium vancouverianum,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
UBC,SCL,17857,Polyneura latissima,,"bedrock, 14'",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 018,,Morphologically correct,,,,,,,,,,,,,,,,
UBC,SCL,17868,Polysiphonia cf. villum,sterile,"5.5 m @ 1452, on rock scallop shell",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 005,,or a small P. pacifica,,,,,,,,,,,,,,,,
,,,Polysiphonia pacifica,,11.2 m @ 10:45,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,,,,,,,,,,,,,,,,,,
,,,Polysiphonia pacifica,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
UBC,SCL,17871,Pterothamnion pectinatum,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,Micrograph; scan,Keys to P. pectinatum,,,,,,,,,,,,,,,,
,,,Pterothamnion pectinatum,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
UBC,SCL,17861,Pterothamnion villosum,immature tetrasporangia,"bedrock, 4.2 m @ 1437",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 012,Micrograph,Keys to P. villosum,,,,,,,,,,,,,,,,
UBC,SCL,17869,Pterothamnion villosum,tetrasporic,6.5 m @ 10:56,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 034,Micrograph; scan,Keys to P. villosum,,,,,,,,,,,,,,,,
,,,Pterothamnion villosum,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
