scientificName,polygon,recordedBy,eventDate,datasetName,locality,
Pseudotsuga menziesii,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Cornus nuttalli,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Goodyera oblongifolia,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Dicranum scoparium,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rhytidiadelphus triquetrus,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Timmia austiaca,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Racomitrium,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Alnus rubra,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Salix scouleriana,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Arbutus menziesii,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pteridium aquilinum,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Abies grandis,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Achlys triphylla,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Cornus nuttallii,2,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Mahonia nervosa,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera hispidula,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera ciliosa,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rhamnus purshiana,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rosa gymnocarpa,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Linnaea borealis,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Taxus brevifolia,3,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,4,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata ,4,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Arbutus menziesii,4,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,4,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Mahonia nervosa,4,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,4,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Arbutus menziesii,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Mahonia nervosa,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rosa gymnocarpa,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pteridium aquilinum,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Vaccinium ovatum,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Cytisus scoparius,5,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,along old road
Pseudotsuga menziesii,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Alnus rubra,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon ,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pteridium aquilinum,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Hylocomnium splendens,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindvergia oregano,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rhytidiadelphus loreus,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera hispidula,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Trientalis latifolia,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Vaccinium ovatum,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Linnaea borealis,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Achlys triphylla,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera ciliosa,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Cytisus scoparius,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On landing – poly 6a
Circium spp.,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On landing – poly 6a
Senecio jacobeae,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On landing – poly 6a
Grass spp.,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On landing – poly 6a
Juncus effusus,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On landing – poly 6a
Carex spp.,6,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On landing – poly 6a
Salix lucida spp laciandra,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Salix scouleriana,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Equisitum arvense,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Carex obnupta,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus ursinus,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Elymus hirsutus,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rosa nootkensis,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Alnus rubra,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus discolor,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kinbergia praelonga,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Menthe arvensis,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rosa gymnocarpa,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus spectabilis,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shalon,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,7,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On raised micro-sites
Prunus emarginata,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On raised micro-sites
Alnus rubra,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Salix scouleriana,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pteridium aquilinum,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus discolor,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus parviflorus,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Elymus glaucus,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Urtica dioica,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus ursinus,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lactuca muralis,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kinderbergia oregana,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Abies grandis,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera ciliosa,8,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Arbutus menziesii,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Salix scouleriana,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Abies grandis,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,8% on northeast side of ridge
Mahonia nervosa ,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera hispidula,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Amelanchier alnifolia,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
