Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Polyneura latissima,(Harvey) Kylin,,network red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Polyneura,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57496,,,,,syn. Nitophyllum nottii; species distribution includes Salish Sea,339014,ALG
Polysiphonia sp.,,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Polysiphonia,unlisted,unlisted,new 2021,observed,,,,,,2021-03-07,Siobhan Schenk,https://www.inaturalist.org/observations/70916544,,,ALG
Prionitis lanceolata,(Harvey) Harvey,,red alga,Plantae,Rhodophyta,,,Florideophyceae,,,Halymeniales,,,Halymeniaceae,,,Prionitis,unlisted,unlisted,new 2016,observed,,,,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017216,reported as Grateloupia americana,117820,ALG
Prionitis sternbergii,(C.Agardh) J.Agardh,,,Plantae,Rhodophyta,,,Florideophyceae,,,Halymeniales,,,Halymeniaceae,,,Prionitis,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861017,,347988,ALG
Pseudolithophyllum sp.,,,encrusting coralline algae,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Pseudolithophyllum,unlisted,unlisted,new 2021,observed,,,,,,2021-02-19,Dave “Zeuss” Cochrane,https://www.inaturalist.org/observations/69845928,,345846,ALG
Pterochondria woodii,(Harvey) Hollenberg,,cartilage-wing seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Pterochondria,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",339016,ALG
Pterothamnion pectinatum,(Kylin) Athanasiadis & Kraft,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Pterothamnion,unlisted,unlisted,new 2019,observed,,,,,,2019-05-25,Bridgette Clarkston,https://www.inaturalist.org/observations/25861436,,345150,ALG
Pterothamnion sp.,,,red alga,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Pterothamnion,unlisted,unlisted,reported,unobserved,1986-02-09,B. E. Lippert,HPSU,?,,,,,,345788,ALG
Pterothamnion villosum,(Kylin) Athanasiadis & Kraft,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Pterothamnion,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027455,,,,,Barcoded,,ALG
Ptilota serrata,Kützing,,northern sea fern,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Wrangeliaceae,,,Ptilota,unlisted,unlisted,new 2019,observed,,,,,,2019-05-25,Bridgette Clarkston,https://www.inaturalist.org/observations/25861438,,473839,ALG
Pugetia fragilissima,Kylin,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Pugetia,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027444,,,,,Barcoded,1292330,ALG
Pyropia gardneri,(G.M.Smith & Hollenberg) S.C.Lindstrom,,,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Pyropia,unlisted,unlisted,reported,unobserved,2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,"name updated, No UBC accession or iNat record to check, but species distribution includes one record on Strawberry Island, WA, USA. Possibly incorrect identification, but if found growing on Laminaria blade, that's pretty distinctive; authority added",,ALG
Pyropia nereocystis,(C.L.Anderson) S.C.Lindstrom,,red laver,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Pyropia,unlisted,unlisted,reported,unobserved,1986-02-09,M.W. Hawkes,UBC,A57505,,,,,reported as Porphyra nereocystis; species distribution includes Galiano,542165,ALG
Pyropia perforata,(J.Agardh) S.C.Lindstrom,,red laver,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Pyropia,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859054,,370273,ALG
Rhodoptilum plumosum,(Harvey & Bailey) Kylin,,plumose red braid,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Dasyaceae,,,Rhodoptilum,unlisted,unlisted,confirmed,observed,1977-11-27,Michael W. Hawkes,UBC,A57500,,2017-04-08,Tyrel Froese,https://www.inaturalist.org/observations/5620532,,446890,ALG
Rhodymenia californica,Kylin,,California rose seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Rhodymeniaceae,,,Rhodymenia,unlisted,unlisted,reported,unobserved,2007-08-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",133214,ALG
Rhodymenia pacifica,Kylin,,Pacific rose seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Rhodymeniaceae,,,Rhodymenia,unlisted,unlisted,reported,unobserved,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",359801,ALG
Sarcodiotheca furcata,(Setchell & N.L.Gardner) Kylin,,furcated fleshy red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Solieriaceae,,,Sarcodiotheca,unlisted,unlisted,confirmed,observed,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25861008,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",327100,ALG
Sarcodiotheca gaudichaudii,(Montagne) P.W. Gabrielson,,succulent seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Solieriaceae,,,Sarcodiotheca,unlisted,unlisted,confirmed,observed,1996-02-24,Andy Lamb & Donna Gibbs,PMLS,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7659463,,327099,ALG
Scagelia occidentalis,(Kylin) E.M. Wollaston,,red alga,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Scagelia,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57487,,,,,reported as Scagelia corallina var. occidentale,957344,ALG
Schizymenia pacifica,(Kylin) Kylin,,slimy leaf,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Schizymeniaceae,,,Schizymenia,unlisted,unlisted,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,in BioBlitz; Barcoded http://bins.boldsystems.org/index.php/Public_RecordView?processid=ABMMC15146-11,339050,ALG
Schizymenia sp.,(J.Agardh) Kylin,,ruffled red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Schizymeniaceae,,,Schizymenia,unlisted,unlisted,confirmed,observed,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Joan Septembre,https://www.inaturalist.org/observations/24711788,,180618,ALG
Smithora naiadum,(C.L.Anderson) Hollenberg,,red fringe,Plantae,Rhodophyta,,,Compsopogonophyceae,,,Erythropeltidales,,,Erythrotrichiaceae,,,Smithora,unlisted,unlisted,reported,unobserved,2007-12-15,Andy Lamb & Donna Gibbs,PMLS,,,,,,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",339024,ALG
Sparlingia pertusa,(Postels & Ruprecht) Kuntze,,red eyelet silk,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Rhodymeniaceae,,,Sparlingia,unlisted,unlisted,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2017-04-08,Tyrel Froese,https://www.inaturalist.org/observations/5620553,,429855,ALG
Stenogramma californicum,Harvey,,midrib seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Phyllophoraceae,,,Stenogramma,unlisted,unlisted,reported,unobserved,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,reported as Stenogramma interruptum,497325,ALG
Symphyocladiella gracilis,"(Kylin) D.Bustamante, B.Y.Won, S.C.Lindstrom & T.O.Cho",,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Symphyocladiella,unlisted,unlisted,reported,unobserved,2011,G.W. Saunders & K. Hind,BOLD,KU564386,,,,,"""Symphyocladiella gracilis"" Barcoded; name updated from Pterosiphonia gracilis; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",,ALG
Vertebrata woodii,(Harvey) Kuntze,,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Rhodomelaceae,,,Vertebrata,unlisted,unlisted,reported,unobserved,2011-05-04,"G.W. Saunders, K. Hind & B. Clarkston",BOLD,GWS027452,,,,,Barcoded; Need to update authorities from algaebase,,ALG
Wildemania occidentalis,(Setchell & Hus)S.C.Lindstrom,,,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Wildemania,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25859910,,895197,ALG
