Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Entosthodon fascicularis,(Hedw.) Müll.Hal.,,banded cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Entosthodon,fascicularis,,,,native,S2S3 (2015),1-SC (2006),new 2022,observed,,,,,,2022-05-11,Andrew Simon,iNat:116636215,,162342,BRY,accepted,162342,Entosthodon fascicularis,Entosthodon fascicularis,Entosthodon fascicularis
Entosthodon muhlenbergii,(Turner) Fife,,Muhlenberg’s cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Entosthodon,muhlenbergii,,,,native,S3? (2011),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2013-03-22,Ryan Batten,iNat:9142562,,917753,BRY,accepted,917753,Entosthodon muhlenbergii,Entosthodon muhlenbergii,Entosthodon muhlenbergii
Funaria hygrometrica,Hedw.,,common cord-moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Funaria,hygrometrica,,,,native,S4S5 (2015),,new 2018,observed,,,,,,2018-03-09,Andrew Simon,iNat:10169600,,120000,BRY,accepted,120000,Funaria hygrometrica,Funaria hygrometrica,Funaria hygrometrica
Tetraplodon mnioides,(Sw. ex Hedw.) Bruch & Schimp,,slender cruet-moss,Plantae,Bryophyta,,,Bryopsida,,,Splachnales,,,Splachnaceae,,,Tetraplodon,mnioides,,,,native,S4 (2015),,new 2013,observed,,,,,,2013-03-22,Ryan Batten,iNat:9142637,,133496,BRY,accepted,133496,Tetraplodon mnioides,Tetraplodon mnioides,Tetraplodon mnioides
Grimmia cf montana,Bruch & Schimp.,,montane dry rock moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,montana,,,,native,S3S4 (2011),,reported,unobserved,2010-04-17,Kent Brothers,VMS,,,,,,,154180,BRY,accepted,154180,Grimmia montana,Grimmia montana,
Grimmia leibergii,Paris,,Leiberg’s Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,leibergii,,,,native,S2S3 (2015),,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2605709,,163390,BRY,accepted,163390,Grimmia leibergii,Grimmia leibergii,error
Grimmia lisae,De Not.,,rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,lisae,,,,native,SU (2015),,new 2015,observed,,,,,,2015-08-28,Lauren Magner & Andrew Simon,iNat:3734915,,163391,BRY,accepted,163391,Grimmia lisae,Grimmia lisae,Grimmia lisae
Grimmia ovalis,(Hedw.) Lindb. ,,flat-rock Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,ovalis,,,,native,S4? (2015),,new 2022,observed,,,,,,2022-04-30,Andrew Simon,iNat:114122128,,163397,BRY,accepted,163397,Grimmia ovalis,Grimmia ovalis,Grimmia ovalis
Grimmia pulvinata,(Hedw.) Sm.,,grey-cushioned Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,pulvinata,,,,native,S4S5 (2015),,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B113701,,2016-12-22,Andrew Simon,iNat:4837303,,56117,BRY,accepted,56117,Grimmia pulvinata,Grimmia pulvinata,Grimmia pulvinata
Grimmia ramondii,(Lam. & DC.) Margad.,,spreading-leaved Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,ramondii,,,,native,S4S5 (2011),,new 2021,observed,,,,,,2021-06-12,Dan Tucker & Andrew Simon,iNat:82929629,,338191,BRY,accepted,338191,Grimmia ramondii,Grimmia ramondii,Grimmia ramondii
Grimmia trichophylla,Grev.,,hair-pointed Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,trichophylla,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-04-02,Andrew Simon,iNat:5551251,,163406,BRY,accepted,163406,Grimmia trichophylla,Grimmia trichophylla,Grimmia trichophylla
Racomitrium aciculare,Bridel,,yellow fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,aciculare,,,,native,S4S5 (2015),,new 2018,observed,,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat:13879692,,129655,BRY,accepted,129655,Racomitrium aciculare,Racomitrium aciculare,Racomitrium aciculare
Racomitrium affine,Lindberg,,lesser fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,affine,,,,native,S2S3 (2015),,confirmed,observed,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-036060,,2022-04-10,Andrew Simon,iNat:111053090,,167675,BRY,accepted,167675,Racomitrium affine,Racomitrium affine,Racomitrium affine
Racomitrium elongatum,Ehrhart ex Frisvoll,,long fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,elongatum,,,,native,S4S5,,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2608522,,167681,BRY,accepted,167681,Racomitrium elongatum,Racomitrium elongatum,Racomitrium elongatum
Racomitrium heterostichum,(Hedw.) Brid.,,yellow-green rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,heterostichum,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-05-14,Lauren Magner & Andrew Simon,iNat:3181042,,167683,BRY,accepted,167683,Racomitrium heterostichum,Racomitrium heterostichum,Racomitrium heterostichum
Racomitrium lanuginosum,(Hedw.) Brid.,,woolly fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,lanuginosum,,,,native,S3S5 (2015),,confirmed,observed,2014,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-28,Lauren Magner & Andrew Simon,iNat:2663632,,167684,BRY,accepted,167684,Racomitrium lanuginosum,Racomitrium lanuginosum,Racomitrium lanuginosum
Racomitrium occidentale,Renauld & Cardot,,western rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,occidentale,,,,native,S4S5 (2015),,reported,unobserved,1974-04-21,Wilfred B. Schofield,UBC,B45921,,,,,check this specimen,167690,BRY,accepted,167690,Racomitrium occidentale,Racomitrium occidentale,
Racomitrium pacificum, Ireland & Spence,,Pacific rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,pacificum,,,,native,S3 (2015),,confirmed,observed,,,,,,2022-05-29,Andrew Simon,iNat:119369428,,167691,BRY,accepted,167691,Racomitrium pacificum,Racomitrium pacificum,Racomitrium pacificum
Racomitrium varium,Jaeger,,rockmoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,varium,,,,native,S4S5 (2015),,new 2016,observed,,,,,,2016-12-22,Andrew Simon,iNat:4841453,,167696,BRY,accepted,167696,Racomitrium varium,Racomitrium varium,Racomitrium varium
Schistidium maritimum,(Turner ex Robt. Scott) Bruch & Schimp,,seaside Grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Schistidium,maritimum,,,,native,S4S5 (2015),,confirmed,observed,2015,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2015-03-21,Lauren Magner & Andrew Simon,iNat:2608657,,168578,BRY,accepted,168578,Schistidium maritimum,Schistidium maritimum,Schistidium maritimum
Schistidium pulchrum,H.H. Blom,,showy bloom moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Schistidium,pulchrum,,,,native,S3 (2015),,reported,unobserved,2012-06-09,Terry McIntosh,UBC,B229138,,,,,,168582,BRY,accepted,168582,Schistidium pulchrum,Schistidium pulchrum,
Ptychomitrium gardneri,Lesq.,,Gardner’s Ptychomitrium moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Ptychomitriaceae,,,Ptychomitrium,gardneri,,,,native,S3S4 (2015),,reported,unobserved,1974-04-21,Wilfred B. Schofield,UBC,B149847,,,,,north of Cook Rd.,167566,BRY,accepted,167566,Ptychomitrium gardneri,Ptychomitrium gardneri,
Calliergonella cuspidata,(Hedw.) Loeske,,pointed spear-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Pylaisiaceae,,,Calliergonella,cuspidata,,,,native,S4S5 (2015),,new 2016,observed,,,,,,2016-03-03,Andrew Simon,iNat:2763242,,159669,BRY,accepted,159669,Calliergonella cuspidata,Calliergonella cuspidata,Calliergonella cuspidata
Brachytheciastrum velutinum,(Hedw.) Ignatov & Huttunen,,velvet feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachytheciastrum,velutinum,,,,native,S4S5 (2011),,new 2018,observed,,,,,,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",iNat:10999575,,917745,BRY,accepted,917745,Brachytheciastrum velutinum,Brachytheciastrum velutinum,Brachytheciastrum velutinum
Brachythecium albicans,(Hedw.) Schimp.,,whitish feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,albicans,,,,native,S4S5 (2015),,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-19,Sarah Tweedale & Andrew Simon,iNat:5411692,,123771,BRY,accepted,123771,Brachythecium albicans,Brachythecium albicans,Brachythecium albicans
Brachythecium frigidum,(Müll. Hal.) Besch.,,cold brachythecium moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,frigidum,,,,native,S5? (2015),,new 2017,observed,,,,,,2017-04-27,Andrew Simon,iNat:6189981,,123270,BRY,accepted,123270,Brachythecium frigidum,Brachythecium frigidum,Brachythecium frigidum
Brachythecium sp.,,,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,Brachythecium,,,,,,,,new 2018,observed,,,,,,2018-02-14,Andrew Simon,iNat:14547001,temporarily reported as Brachythecium erythrorrhizon var. erythrorrhizon,239648,BRY,accepted,67860,Brachythecium,Brachythecium erythrorrhizon erythrorrhizon,Brachythecium erythrorrhizon erythrorrhizon
