scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReportedBy,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode
Planothidium lanceolatum,(Brébisson ex Kützing) Lange-Bertalot,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Achnanthales,,,Achnanthidiaceae,,,Planothidium,lanceolatum,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,345151,ALG
Arachnoidiscus schmidtii,Hajós,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Arachnoidiscales,,,Arachnoidiscaceae,,,Arachnoidiscus,schmidtii,,,,unlisted,unlisted,,,,,,,2005-01-31,Mark Webber,,,,,new 2005,observed,,521732,ALG
Asteromphalus heptactis,(Brébisson) Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Asterolamprales,,,Asterolampraceae,,,Asteromphalus,heptactis,,,,unlisted,unlisted,,,,,,,2007-07-13,Mark Webber,,,,,new 2007,observed,,521735,ALG
Bacillaria paxiillifer,(O.F.Müller) T.Marsson,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Bacillaria,paxiillifer,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1268470,ALG
Cylindrotheca closterium,(Ehrenberg) Reimann & J.C.Lewin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Cylindrotheca,closterium,,,,unlisted,unlisted,,,,,,,2006-07-21,Mark Webber,,,,,new 2006,observed,,203739,ALG
Fragilariopsis cf oceanica,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,oceanica,,,,unlisted,unlisted,,,,,,,2006-01-24,Mark Webber,,,,,new 2006,observed,,534459,ALG
Fragilariopsis kerguelensis,(O'Meara) Hustedt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,kerguelensis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424562,ALG
Nitzschia dubiiformis,Hustedt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,dubiiformis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424970,ALG
Nitzschia amabilis,H.Suzuki,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,laevis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1137256,ALG
Nitzschia microcephala,Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,microcephala,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,492477,ALG
Nitzschia promare,Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,promare,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465262,ALG
Nitzschia pumila,Hustedt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,pumila,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1450878,ALG
Nitzschia recta,Hantzsch ex Rabenhorst,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,recta,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,492481,ALG
Nitzschia reversa,W.Smith,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,reversa,,,,unlisted,unlisted,,,,,,,2006-01-11,Mark Webber,,,,,new 2006,observed,,479914,ALG
Nitzschia sigmoidea,(Nitzsch) W.Smith,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,sigmoidea,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,494455,ALG
Nitzschia spathulata,Brébisson ex W.Smith,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,spathulata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,971238,ALG
Nitzschia volvendirostrata,"Ashworth, Dabek & Witkowski",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,volvendirostrata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465263,ALG
Psammodictyon sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Psammodictyon,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,544196,ALG
Pseudo-nitzschia cf fraudulenta,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Pseudo-nitzschia,fraudulenta,,,,unlisted,unlisted,,,,,,,2006-01-20,Mark Webber,,,,,new 2006,observed,,521710,ALG
Tryblionella apiculata,W.Gregory,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Tryblionella,apiculata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,895314,ALG
Tryblionella gaoana,Tryblionella gaoana Witkowski & Chunlian Li,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Tryblionella,gaoana,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465264,ALG
Biddulphia antediluviana,(Ehrenberg) Van Heurck,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Biddulphia,antediluviana,,,,unlisted,unlisted,,,,,,,2011-01-05,Mark Webber,,,,,new 2011,observed,,521743,ALG
Biddulphia biddulphiana,(J.E. Smith) Boyer,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Biddulphia,biddulphiana,,,,unlisted,unlisted,,,,,,,2008-07-19,Mark Webber,,,,,new 2008,observed,,372546,ALG
Isthmia nervosa,Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Biddulphiales,,,Biddulphiaceae,,,Isthmia,nervosa,,,,unlisted,unlisted,,,,,,,2008-07-20,Mark Webber,,,,,new 2008,observed,,348140,ALG
Attheya decora,T.West,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Attheyaceae,,,Attheya,decora,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,969995,ALG
Attheya longicornis,(Gardner & Crawford),,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Attheyaceae,,,Attheya,longicornis,,,,unlisted,unlisted,,,,,,,2009-07-12,Mark Webber,,,,,new 2009,observed,,988154,ALG
Attheya septentrionalis,(Østrup) R.M.Crawford,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Attheyaceae,,,Attheya,septentrionalis,,,,unlisted,unlisted,,,,,,,2009-12-16,Mark Webber,,,,,new 2009,observed,,623138,ALG
Chaetoceros affinis,Lauder,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,affinis,,,,unlisted,unlisted,,,,,,,2004-07-28,Mark Webber,,,,,new 2004,observed,,423795,ALG
Chaetoceros concavicornis,L.A. Mangin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,concavicornis,,,,unlisted,unlisted,,,,,,,2006-01-13,Mark Webber,,,,,new 2006,observed,,521748,ALG
Chaetoceros curvisetus,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,curvisetus,,,,unlisted,unlisted,,,,,,,2006-01-02,Mark Webber,,,,,new 2006,observed,,504135,ALG
Chaetoceros decipiens,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,decipiens,,,,unlisted,unlisted,,,,,,,2008-11-09,Mark Webber,,,,,new 2008,observed,,446735,ALG
Chaetoceros diadema,(Ehrenberg) Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,diadema,,,,,,,,,,,,,,,,,,,,,411115,ALG
Chaetoceros didymus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,didymus,,,,unlisted,unlisted,,,,,,,2006-01-01,Mark Webber,,,,,new 2006,observed,,448287,ALG
Chaetoceros laciniosus,F. Schütt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,laciniosus,,,,unlisted,unlisted,,,,,,,2009-08-11,Mark Webber,,,,,new 2009,observed,,521745,ALG
Chaetoceros lorenzianus,Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,lorenzianus,,,,unlisted,unlisted,,,,,,,2008-11-15,Mark Webber,,,,,new 2008,observed,,521747,ALG
Chaetoceros radicans,F. Schütt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,radicans,,,,unlisted,unlisted,,,,,,,2006-01-21,Mark Webber,,,,,new 2006,observed,,521749,ALG
Chaetoceros socialis,H.S. Lauder,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,socialis,,,,unlisted,unlisted,,,,,,,2008-11-15,Mark Webber,,,,,new 2008,observed,,411126,ALG
Chaetoceros wighamii,Brightwell,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,Chaetoceros,wighamii,,,,,,,,,,,,,,,,,,,,,970007,ALG
Leptocylindrus danicus,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Leptocylindraceae,,,Leptocylindrus,danicus,,,,unlisted,unlisted,,,,,,,2012-08-05,Mark Webber,,,,,new 2012,observed,,521678,ALG
Leptocylindrus minimus,Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Chaetocerotales,,,Leptocylindraceae,,,Leptocylindrus,minimus,,,,unlisted,unlisted,,,,,,,2012-07-30,Mark Webber,,,,,new 2012,observed,,469827,ALG
Cocconeis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cocconeidales,,,Cocconeidaceae,,,Cocconeis,,,,,unlisted,unlisted,,,,,,,2005-07-19,Mark Webber,,,,,new 2005,observed,,339306,ALG
Corethron hystrix,Hensen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Corethrales,,,Corethraceae,,,Corethron,hystrix,,,,unlisted,unlisted,,,,,,,2006-01-06,Mark Webber,,,,,new 2006,observed,,484134,ALG
Aulacodiscus sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Aulacodiscaceae,,,Aulacodiscus,,,,,unlisted,unlisted,,,,,,,2010-12-29,Mark Webber,,,,,new 2010,observed,,521736,ALG
Coscinodiscus granii,L.F. Gough,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,granii,,,,unlisted,unlisted,,,,,,,2009-08-02,Mark Webber,,,,,new 2009,observed,,570485,ALG
Coscinodiscus radiatus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,radiatus,,,,unlisted,unlisted,,,,,,,2009-12-15,Mark Webber,,,,,new 2009,observed,,424382,ALG
Coscinodiscus wailesii,Gran & Angst,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,wailesii,,,,unlisted,unlisted,,,,,,,2019-09-18,Mark Webber,,,,,new 2019,observed,,549788,ALG
Actinoptychus senarius,(Ehrenberg) Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Hemipeltaceae,,,Actinoptychus,senarius,,,,unlisted,unlisted,,,,,,,2010-09-12,Mark Webber,,,,,new 2010,observed,,475747,ALG
Pauliella taeniata,(Grunow) Round & Basson ,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Anomoeoneidaceae,,,Pauliella,taeniata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1005053,ALG
Cymbella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Cymbellaceae,,,Cymbella,,,,,unlisted,unlisted,,,,,,,2006-01-10,Mark Webber,,,,,new 2006,observed,,123878,ALG
Encyonema sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Encyonema,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,345803,ALG
Gomphoneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphoneis,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,345404,ALG
Gomphonema acuminatum,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,acuminatum,,,,unlisted,unlisted,,,,,,,2004-07-21,Mark Webber,,,,,new 2004,observed,,333685,ALG
Gomphonemopsis pseudexigua,Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Rhoicospheniaceae,,,Gomphonemopsis,pseudexigua,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,992202,ALG
Asterionellopsis glacialis,(Castracane) Round,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Asterionellopsis,glacialis,,,,unlisted,unlisted,,,,,,,2004-07-25,Mark Webber,,,,,new 2004,observed,,428503,ALG
Fragilaria capucina,Desmazières,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Fragilaria,capucina,,,,unlisted,unlisted,,,,,,,2004-07-20,Mark Webber,,,,,new 2004,observed,,345512,ALG
Gedaniella mutabilis,"Chunlian Li & Witkowski, nom. illeg.",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Gedaniella,mutabilis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424563,ALG
Gedaniella panicellus,"Chunlian Li, S.X.Yu & Witkowski",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Gedaniella,panicellus,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,944705,ALG
Pseudostaurosira andersonii,"Chunlian Li, Dabek & Wachnicka",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Pseudostaurosira,andersonii,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,944656,ALG
Nanofrustulum wachnickianum,"Chunlian Li, A.Witkowski & M.P.Ashworth",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Staurosiraceae,,,Nanofrustulum,wachnickianum,,,,,,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465265,ALG
Stauroforma rinceana,"Méléder, A.Witkowski & C.L.Li",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Staurosiraceae,,,Stauroforma, rinceana,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465266,ALG
Cerataulina pelagica,(Cleve) Hendey,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Cerataulina,pelagica,,,,unlisted,unlisted,,,,,,,2008-07-11,Mark Webber,,,,,new 2008,observed,,448296,ALG
Eucampia zodiacus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Eucampia,zodiacus,,,,unlisted,unlisted,,,,,,,2004-07-23,Mark Webber,,,,,new 2004,observed,,468045,ALG
Hobaniella longicruris,(Greville) P.A.Sims & D.M.Williams,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,incertae sedis,,,incertae sedis,,,Hobaniella,longicruris,,,,unlisted,unlisted,,,,,,,2005-07-14,Mark Webber,,,,,new 2005,observed,,1269705,ALG
Licmophora ehrenbergii,(Kützing) Grunow ,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Licmophorales,,,Licmophoraceae,,,Licmophora,ehrenbergii,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1404857,ALG
Licmophora flabellata,(Greville) C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Licmophorales,,,Licmophoraceae,,,Licmophora,flabellata,,,,unlisted,unlisted,,,,,,,2011-11-19,Mark Webber,,,,,new 2011,observed,,474014,ALG
Licmophora paradoxa,(Lyngbye) C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Licmophorales,,,Licmophoraceae,,,Licmophora,paradoxa,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424567,ALG
Tabularia tabulata,(C.Agardh) Snoeijs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Licmophorales,,,Ulnariaceae,,,Tabularia,tabulata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,996151,ALG
Ditylum brightwellii,(T. West) Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Lithodesmidales,,,Lithodesmiaceae,,,Ditylum,brightwellii,,,,unlisted,unlisted,,,,,,,2011-11-19,Mark Webber,,,,,new 2011,observed,,424387,ALG
Achnanthes subconstricta,(F.Meister) K.Toyoda,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Mastogloiales,,,Achnanthaceae,,,Achnanthes,subconstricta,,,,unlisted,unlisted,,,,,,,2010-07-26,Mark Webber,,,,,new 2010,observed,,1100778,ALG
Hyalodiscus scoticus,(Kützing) Grunow ,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Hyalodiscaceae,,,Hyalodiscus,scoticus,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424566,ALG
Podosira baldjickiana,Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Hyalodiscaceae,,,Podosira,baldjickiana,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465267,ALG
