Sample ID,Process ID,Collection Code,Institution Storing,Project Code,Morphological ID,Genetic ID,scientificName,Genetic Notes,COI-5P Seq. Length,recordedBy,eventDate,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Depth,Sampling Protocol,Collection Event ID,Tissue Descriptor,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species
BHAK-12448,BHAK7976-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Apohyale cf. pugettensis,Apohyale cf. pugettensis,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12451,BHAK7973-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Polychaeta,,Polychaeta,No match to published records,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Annelida,Polychaeta,,,,,,
BHAK-12452,BHAK7974-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Diosaccus spinatus,Diosaccus spinatus,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12453,BHAK7948-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Diosaccus spinatus,Diosaccus spinatus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12454,BHAK7949-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Caprellidae,Caprella laeviuscula,Caprella laeviuscula,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,,
BHAK-12455,BHAK7950-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Caprellidae,Caprella laeviuscula,Caprella laeviuscula,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,,
BHAK-12456,BHAK7951-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Apohyale cf. pugettensis,Apohyale cf. pugettensis,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12457,BHAK7952-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Paracalliopiella pratti,Paracalliopiella pratti,,657[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12480,BHAK7997-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Polychaeta,Proceraea,Proceraea,No species level ID,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Annelida,Polychaeta,,,,,,
BHAK-12492,BHAK7955-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Thecostraca,Balanus crenatus,Balanus crenatus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Thecostraca,,,,,,
BHAK-12493,BHAK7956-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Thecostraca,Pentidotea wosnesenskii,Pentidotea wosnesenskii,Malacostraca,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Thecostraca,,,,,,
BHAK-13141,BHAK7939-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Isopoda,,Isopoda,,660[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,antenna,Arthropoda,Malacostraca,Isopoda,,,,,
BHAK-13142,BHAK7940-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Isopoda,Pentidotea resecata,Pentidotea resecata,,637[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,antenna,Arthropoda,Malacostraca,Isopoda,,,,,
BHAK-13143,BHAK7941-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pectinida,Pentidotea resecata,Pentidotea resecata,,662[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Montague Harbour,48.901,-123.408,6,SCUBA Hand Collection,GBP06,foot,Mollusca,Bivalvia,Pectinida,,,,,
BHAK-13144,BHAK7942-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Decapoda,Scyra acutifrons,Scyra acutifrons,,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Montague Harbour,48.901,-123.408,6,SCUBA Hand Collection,GBP06,claw,Arthropoda,Malacostraca,Decapoda,,,,,
BHAK-13145,BHAK7943-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Glebocarcinus oregonensis,Glebocarcinus oregonensis,Glebocarcinus oregonensis,,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Montague Harbour,48.901,-123.408,6,SCUBA Hand Collection,GBP06,claw,Arthropoda,Malacostraca,Decapoda,Cancridae,,,Glebocarcinus,Glebocarcinus oregonensis
BHAK-13146,BHAK7944-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Polychaeta,Platynereis sp. CMC2,Platynereis sp. CMC2,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,head,Annelida,Polychaeta,,,,,,
BHAK-13147,BHAK7945-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Polychaeta,Diosaccus spinatus,Diosaccus spinatus,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,head,Annelida,Polychaeta,,,,,,
BHAK-13148,BHAK7946-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Polychaeta,Platynereis sp. CMC2,Platynereis sp. CMC2,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,head,Annelida,Polychaeta,,,,,,
BHAK-13149,BHAK7982-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Cancridae,Metacarcinus magister,Metacarcinus magister,,657[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Decapoda,Cancridae,,,,
BHAK-13150,BHAK7983-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Porcellanidae,Petrolisthes eriomerus,Petrolisthes eriomerus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,,,
BHAK-13151,BHAK7984-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,,Amphipoda,No match to published records,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
