Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Anas clypeata,"(Linnaeus, 1758)",NA,northern shoveler,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Spatula,clypeata,NA,,NA,native,"S5B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,unaccepted,558438,Spatula clypeata,,
Anas crecca,"Linnaeus, 1758",NA,Eurasian green-winged teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,crecca,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-12-27,Andrew Simon,iNat:37084654,rare winter species,6937,BIR,accepted,6937,Anas crecca,Anas crecca,Anas crecca
Anas platyrhynchos,"Linnaeus, 1758",NA,mallard,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anas,platyrhynchos,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-02-04,Kris Krüg,iNat:2644712,,6930,BIR,accepted,6930,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anser albifrons,"(Scopoli, 1769)",NA,greater white-fronted goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anser,albifrons,NA,,NA,native,S4M (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-09-27,Michael Hoebel,iNat:4046931,,7019,BIR,accepted,7019,Anser albifrons,Anser albifrons,Anser albifrons
Anthus rubescens,"(Tunstall, 1771)",NA,American pipit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Motacillidae,,,Anthus,rubescens,NA,,NA,native,"S5B,SNRN (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,13732,Anthus rubescens,,
Antigone canadensis,"(Linnaeus, 1758)",NA,sandhill crane,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Gruidae,,,Antigone,canadensis,NA,,NA,native,S4B (2018),NA,new 2021,observed,,,,,NA,2013-11-05,Michael Hoebel,iNat:102504413,,508048,BIR,accepted,508048,Antigone canadensis,Antigone canadensis,Antigone canadensis
Aquila chrysaetos,"Linnaeus, 1758",NA,golden eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Aquila,chrysaetos,NA,,NA,native,S4S5 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,5074,Aquila chrysaetos,,
Ardea herodias fannini,"Chapman, 1901",NA,great blue heron,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,Ardeidae,Ardeinae,,Ardea,herodias,NA,fannini,NA,native,"S2S3B,S4N (2009)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-05-03,Shera Street,iNat:2635593,,236943,BIR,accepted,236943,Ardea herodias fannini,Ardea herodias fannini,Ardea herodias
Arenaria interpres,"(Linnaeus, 1758)",NA,ruddy turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Arenaria,interpres,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,3938,Arenaria interpres,,
Arenaria melanocephala,"(Vigors, 1829)",NA,black turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Arenaria,melanocephala,NA,,NA,native,"S4N,S5M (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-08-08,Chessi Miltner,iNat:3840469,,3941,BIR,accepted,3941,Arenaria melanocephala,Arenaria melanocephala,Arenaria melanocephala
Asio flammeus,"(Pontoppidan, 1763)",NA,short-eared owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,Asio,flammeus,NA,,NA,native,"S3B,S2N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,20315,Asio flammeus,,
Aythya affinis,"(Eyton, 1838)",NA,lesser scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aythya,affinis,NA,,NA,native,"S5B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,7054,Aythya affinis,,
Aythya collaris,"(Donovan, 1809)",NA,ring-necked duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aythya,collaris,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-05-10,Michael Hoebel,iNat:4046933,,7044,BIR,accepted,7044,Aythya collaris,Aythya collaris,Aythya collaris
Aythya marila,"(Linnaeus, 1761)",NA,greater scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Aythya,marila,NA,,NA,native,S4N (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,7047,Aythya marila,,
Bombycilla cedrorum,"Vieillot, 1808",NA,cedar waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Bombycillidae,,,Bombycilla,cedrorum,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-05-30,Michael Hoebel,iNat:4046864,,7428,BIR,accepted,7428,Bombycilla cedrorum,Bombycilla cedrorum,Bombycilla cedrorum
Bonasa umbellus brunnescens,"(Linnaeus, 1766)",NA,ruffed grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,,Bonasa,umbellus,NA,brunnescens,NA,native,S5 (2015),NA,reported,unobserved,1991-04-25,R. Smith,UBC,B015112,NA,,,,,NA,BIR,accepted,567035,Bonasa umbellus brunnescens,,
Brachyramphus marmoratus,"(Gmelin, 1789)",NA,marbled murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Brachyramphus,marmoratus,NA,,NA,native,"S3B,S3N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-12-20,Andrew Simon,iNat:2562765,,4531,BIR,accepted,4531,Brachyramphus marmoratus,Brachyramphus marmoratus,Brachyramphus marmoratus
Branta canadensis,"(Linnaeus, 1758)",NA,Canada goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Branta,canadensis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2007-01-10,Shera Street,iNat:2635233,,7089,BIR,accepted,7089,Branta canadensis,Branta canadensis,Branta canadensis
Branta hutchinsii,"(Richardson, 1832)",NA,cackling goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Branta,hutchinsii,NA,,NA,native,S4S5M (2015),NA,reported,unobserved,2017-05-07,Nancy Tamblyn,eBird,,NA,,,,,NA,BIR,accepted,59220,Branta hutchinsii,,
Bubo virginianus,"(Gmelin, 1788)",NA,great horned owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,Bubo,virginianus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-06-28,Kevin Toomer,iNat:13864466,,20044,BIR,accepted,20044,Bubo virginianus,Bubo virginianus,Bubo virginianus
Bucephala albeola,"(Linnaeus, 1758)",NA,bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Bucephala,albeola,NA,,NA,native,"S5B, SNRN (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-02-19,Michael Hoebel,iNat:4046948,,6993,BIR,accepted,6993,Bucephala albeola,Bucephala albeola,Bucephala albeola
Bucephala clangula,"(Linnaeus, 1758)",NA,common goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Bucephala,clangula,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-04-19,B. J. Stacey,iNat:167229,,6990,BIR,accepted,6990,Bucephala clangula,Bucephala clangula,Bucephala clangula
Bucephala islandica,"(Gmelin, 1789)",NA,barrow's goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Bucephala,islandica,NA,,NA,native,S4S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-02-04,Kris Krüg,iNat:2644709,,6994,BIR,accepted,6994,Bucephala islandica,Bucephala islandica,Bucephala islandica
Buteo jamaicensis,"(Gmelin, 1788)",NA,red-tailed hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Buteo,jamaicensis,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-07-27,Cameron Deckert,iNat:19139396,,5212,BIR,accepted,5212,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis
Calidris alpina,"(Linnaeus, 1758)",NA,Dunlin,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Calidris,alpina,NA,,NA,native,S4N (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-05-04,Joan Septembre,iNat:24714336,,3857,BIR,accepted,3857,Calidris alpina,Calidris alpina,Calidris alpina
Calidris mauri,"Cabanis, 1857",NA,western sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Calidris,mauri,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,3855,Calidris mauri,,
Calidris virgata,"(Gmelin, 1789)",NA,surfbird,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,Calidris,virgata,NA,,NA,native,S4M (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-10-19,Michael Hoebel,iNat:4054037,,339592,BIR,accepted,339592,Calidris virgata,Calidris virgata,Calidris virgata
Calypte anna,"(Lesson, 1829)",NA,Anna's hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Trochilidae,,,Calypte,anna,NA,,NA,native,S4S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-03-14,Michael Hoebel,iNat:4046916,,6317,BIR,accepted,6317,Calypte anna,Calypte anna,Calypte anna
Cardellina pusilla,"(Wilson, 1811)",NA,Wilson’s warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Cardellina,pusilla,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-07-15,Michael Hoebel,iNat:4053962,,145276,BIR,accepted,145276,Cardellina pusilla,Cardellina pusilla,Cardellina pusilla
Cathartes aura,"(Linnaeus, 1758)",NA,turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,,,Cathartes,aura,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2006-08-14,Karolle Wall,iNat:97172668,,4756,BIR,accepted,4756,Cathartes aura,Cathartes aura,Cathartes aura
Catharus guttatus,"(Pallas, 1811)",NA,hermit thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,Catharus,guttatus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2013-04-28,Michael Hoebel,iNat:4046977,,12890,BIR,accepted,12890,Catharus guttatus,Catharus guttatus,Catharus guttatus
Catharus ustulatus,"(Nuttall, 1840)",NA,Swainson's thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,Catharus,ustulatus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-07-07,Andrew Simon,iNat:3641204,,12878,BIR,accepted,12878,Catharus ustulatus,Catharus ustulatus,Catharus ustulatus
Cepphus columba,"Pallas, 1811",NA,pigeon guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Cepphus,columba,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-05-23,Steve Murray,iNat:149950925,,4415,BIR,accepted,4415,Cepphus columba,Cepphus columba,Cepphus columba
Cerorhinca monocerata,"Pallas, 1811",NA,rhinoceros auklet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,Cerorhinca,monocerata,NA,,NA,native,S4 (2016),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-04-22,Michael Hoebel,iNat:19548007,,4553,BIR,accepted,4553,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata
Certhia americana,"Bonaparte, 1838",NA,brown creeper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Certhiidae,,,Certhia,americana,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-07-25,lesfreck,iNat:86518607,,7458,BIR,accepted,7458,Certhia americana,Certhia americana,Certhia americana
Chaetura vauxi,"(Townsend, 1839)",NA,Vaux’s swift,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Apodidae,,,Chaetura,vauxi,NA,,NA,native,S5B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,6557,Chaetura vauxi,,
Charadrius semipalmatus,"(Bonaparte, 1825)",NA,semi-palmated plover,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,Charadrius,semipalmatus,NA,,NA,native,S4S5B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,4817,Charadrius semipalmatus,,
Charadrius vociferus,"Linnaeus, 1758",NA,killdeer,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,Charadrius,vociferus,NA,,NA,native,S4S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-10-16,Sarah Tweedale,iNat:2929529,,4793,BIR,accepted,4793,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus
Chen caerulescens,"(Linnaeus, 1758)",NA,snow goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Anser,caerulescens,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,unaccepted,558426,Anser caerulescens,,
Chordeiles minor,"(J.R. Foster, 1771)",NA,common nighthawk,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Caprimulgidae,,,Chordeiles,minor,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-07-28,Andrew Simon,iNat:3767319,,19577,BIR,accepted,19577,Chordeiles minor,Chordeiles minor,Chordeiles minor
Chroicocephalus philadelphia,"(Ord, 1815)",NA,Bonaparte's gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Chroicocephalus,philadelphia,NA,,NA,native,S5? (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-04-19,B. J. Stacey,iNat:167227,,144502,BIR,accepted,144502,Chroicocephalus philadelphia,Chroicocephalus philadelphia,Chroicocephalus philadelphia
Cinclus mexicanus,"Swainson, 1827",NA,American dipper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Cinclidae,,,Cinclus,mexicanus,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-02-01,Christopher King,iNat:5815600,,7643,BIR,accepted,7643,Cinclus mexicanus,Cinclus mexicanus,Cinclus mexicanus
Circus hudsonius,"(Linnaeus, 1766)",NA,northern harrier,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,Circus,hudsonius,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-07-16,Kevin Toomer,iNat:14433258,,558446,BIR,accepted,558446,Circus hudsonius,Circus hudsonius,Circus hudsonius
Cistothorus palustris,"(Wilson, A, 1810)",NA,marsh wren,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Troglodytidae,,,Cistothorus,palustris,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-01-24,Lauren Magner & Andrew Simon,iNat:2616528,,7601,BIR,accepted,7601,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris
Clangula hyemalis,"(Linnaeus, 1758)",NA,long-tailed duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Clangula,hyemalis,NA,,NA,native,"S2S3B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2022-02-19,Ellyne Geurts,iNat:110922024,,7170,BIR,accepted,7170,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis
Coccothraustes vespertinus,"(W. Cooper, 1825)",NA,evening grosbeak,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,Coccothraustes,vespertinus,NA,,NA,native,S5 (2015); SC (2016),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-05-21,Sarah Tweedale,iNat:4039972,,9800,BIR,accepted,9800,Coccothraustes vespertinus,Coccothraustes vespertinus,Coccothraustes vespertinus
Colaptes auratus,"(Linnaeus, 1758)",NA,northern flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,Colaptes,auratus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565721,,18236,BIR,accepted,18236,Colaptes auratus,Colaptes auratus,Colaptes auratus
Columba livia domestica,"Gmelin, 1789",NA,rock pigeon,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,Columba,livia,NA,domestica,NA,exotic,unlisted,NA,confirmed,observed,2012-05-12,,VMS,,NA,2017-02-10,Christian Adler,iNat:5179014,,122767,BIR,accepted,122767,Columba livia domestica,Columba livia domestica,Columba livia domestica
Contopus cooperi,"(Swainson, 1832)",NA,olive-sided flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,Contopus,cooperi,NA,,NA,native,S3S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-05-20,Michael Hoebel,iNat:4046887,,16110,BIR,accepted,16110,Contopus cooperi,Contopus cooperi,Contopus cooperi
Contopus sordidulus,"(Sclater, 1859)",NA,western wood-pewee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,,Contopus,sordidulus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2020-08-02,Liam Steele,iNat:70325775,,16079,BIR,accepted,16079,Contopus sordidulus,Contopus sordidulus,Contopus sordidulus
Corthylio calendula,"(Linnaeus, 1766)",NA,ruby-crowned kinglet,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Regulidae,,,Corthylio,calendula,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-26,Kristian Sigvardsen,iNat:2926950,,1289388,BIR,accepted,1289388,Corthylio calendula,Corthylio calendula,Corthylio calendula
Corvus brachyrhynchos,"Baird, 1858",NA,northwestern crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,Corvus,brachyrhynchos,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-07-23,lesfreck,iNat:86523788,,8021,BIR,accepted,8021,Corvus brachyrhynchos,Corvus brachyrhynchos,Corvus brachyrhynchos caurinus
Corvus corax,"Linnaeus, 1758",NA,common raven,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,Corvus,corax,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565259,,8010,BIR,accepted,8010,Corvus corax,Corvus corax,Corvus corax
Cyanocitta stelleri,"(Gmelin, 1788)",NA,Steller's jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,,Cyanocitta,stelleri,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-03-29,Michael Hoebel,iNat:4046909,,8234,BIR,accepted,8234,Cyanocitta stelleri,Cyanocitta stelleri,Cyanocitta stelleri
Cygnus buccinator,"Richardson, 1832",NA,trumpeter swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Cygnus,buccinator,NA,,NA,native,"S4B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-01-25,Jen Kovach,iNat:9616415,,6915,BIR,accepted,6915,Cygnus buccinator,Cygnus buccinator,Cygnus buccinator
Cygnus olor,"(Gmelin, 1789)",NA,mute swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,Cygnus,olor,NA,,NA,exotic,unlisted,NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,6921,Cygnus olor,,
Cypseloides niger,"(Gmelin, 1789)",NA,black swift,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Apodidae,,,Cypseloides,niger,NA,,NA,native,S2S3B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,NA,BIR,accepted,6667,Cypseloides niger,,
