Date,Source,Species,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily
20170506,,Thamnophis sirtalis,,Common garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,Colubroidea,Colubridae,
20120512,VMS,Thamnophis sp,,Garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,Colubroidea,Colubridae,
20110514,,Pisaster ochraceus,,Ochre sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Forcipulatida,,,Asteriidae,
20120512,VMS,Pisaster ochraceus,,Ochre sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Forcipulatida,,,Asteriidae,
20130504,,Pisaster ochraceus,,Ochre sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Forcipulatida,,,Asteriidae,
20120512,VMS,Asterina miniata,Brandt,Bat star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Valvatida,,,Asterinidae,
20130504,,Mytilus trossulus,Gould,Blue mussel,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Mytilida,,,Mytilidae,
20110514,,Geitodoris cf heathi,,Heath's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Discodorididae,
20110514,,Ariolimax columbianus,,(Pacific) Banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20120512,VMS,Ariolimax columbianus,,(Pacific) Banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20130504,,Ariolimax columbianus,,(Pacific) Banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20150502,,Ariolimax columbianus,,(Pacific) Banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20160521,,Ariolimax columbianus,,(Pacific) Banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20110514,,Arion rufus,,Chocolate slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20120512,VMS,Arion rufus,,Chocolate slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20170520,,Prophysaon andersoni,,Reticulate taildropper,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,
20100417,,Monadenia fidelis,,Faithful monadenia snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,
20110514,,Monadenia fidelis,,Faithful monadenia snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,
20120512,VMS,Monadenia fidelis,,Faithful monadenia snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,
20150502,,Monadenia fidelis,,Faithful monadenia snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,
20130504,,Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,Flat acid kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,
20110514,,Fucus distichus ssp. evanescens,,Rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,
20120512,VMS,Fucus distichus ssp. evanescens,,Rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,
20130504,,Fucus distichus ssp. evanescens,,Rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,
20150502,,Fucus distichus ssp. evanescens,,Rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,
20110514,,Sargassum muticum,(Yendo) Fensholt,Japanese seaweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,
20130504,,Sargassum muticum,(Yendo) Fensholt,Japanese seaweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,
20110514,,Nereocystis luetkeana,(K.Mertens) Postels & Ruprecht,Bull/bladder kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,
20130504,,Nereocystis luetkeana,(K.Mertens) Postels & Ruprecht,Bull/bladder kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,
,ubc,Arthothelium spectabile,(Flot.) A. Massal.,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,?,
,ubc,Chrysothrix candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
20100417,,Chrysothrix cf candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
20120512,D.Thompson,Chrysothrix candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
20130504,,Chrysothrix candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
20150502,,Chrysothrix candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
20160521,,Chrysothrix candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
,ubc,Pyrenocollema halodytes,(Nyl.) R.C. Harris,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Xanthopyreniaceae,
20110514,,Dermatocarpon miniatum,(L.) W. Mann,Common stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,
20110514,,Dermatocarpon reticulatum,H. Magn.,Sandpaper/Northwest stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,
20100417,,Geoglossum fallax,E.J. Durand,,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,
20120512,VMS,Geoglossum cf sp,,,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,
20170506,VMS,Geoglossum cf sp,,,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,
20170506,,Geoglossum umbratile,Sacc.,,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,
20170506,J.Holkko,Trichoglossum sp,,,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,
20110514,,Candelaria pacifica,Westberg,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,?,,Candelariales,,,Candelariaceae,
,ubc,Chaenotheca ferruginea,(Turner ex Sm.) Mig.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,?,,,Coniocybaceae,
20100417,,Cladonia fimbriata,,Trumpet lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20110514,,Cladonia macilenta,,Lipstick lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20130504,,Cladonia macilenta,,Lipstick lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20150502,,Cladonia macilenta,,Lipstick lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20100417,,Cladonia portentosa,(Dufour) Coem.,Yellow reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20090516,,Cladonia sp,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20100417,,Cladonia sp,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,
20100417,,Lecanora sp,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,
20110514,,Lecanora sp,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,
,ubc,Alectoria vancouverensis,(Gyeln.) Brodo & D. Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,ubc,Bryoria friabilis,Brodo & D. Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,ubc,Bryoria tortuosa,(G. Merr.) Brodo & D. Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20090516,,Cetrelia cetrarioides,,Downside sea-storm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20150502,D.Thompson,Cetrelia cetrarioides,,Downside sea-storm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20090516,,Evernia prunastri,,Antlered perfume lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20100417,,Evernia prunastri,,Antlered perfume lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20110514,,Evernia prunastri,,Antlered perfume lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20120512,VMS,Evernia prunastri,,Antlered perfume lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20130504,,Evernia prunastri,,Antlered perfume lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20160521,,Evernia prunastri,,Antlered perfume lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20110514,,Flavopunctelia cf soredica,(Nyl.) Hale,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20070428,,Hypogymnia enteromorpha,,Beaded/budding tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20100417,,Hypogymnia enteromorpha,,Beaded/budding tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20100417,,Hypogymnia imshaugii,Krog,Forked tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20110514,,Hypogymnia imshaugii,Krog,Forked tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20120512,VMS,Hypogymnia imshaugii,Krog,Forked tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20090516,,Hypogymnia physodes,(L.) Nyl.,Hooded tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20100417,,Hypogymnia physodes,(L.) Nyl.,Hooded tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20110514,,Hypogymnia physodes,(L.) Nyl.,Hooded tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20120512,VMS,Hypogymnia physodes,(L.) Nyl.,Hooded tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20100417,,Hypogymnia tubulosa,(Schaer.) Hav.,Powder-headed tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20110514,,Hypogymnia tubulosa,(Schaer.) Hav.,Powder-headed tube/bone lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
