"","cell","mean_turnover","mean_nestedness","mean_beta"
"50","229",0.721880410053511,0.136862710604699,0.85874312065821
"51","230",0.877020202020202,0.0882827909071357,0.965302992927338
"52","245",0.671594956556085,0.133191579246919,0.804786535803004
"53","246",0.717145412457912,0.155895970292822,0.873041382750735
"54","247",0.408660297268912,0.333441189899872,0.742101487168784
"55","248",0.473580431228429,0.288282044453591,0.76186247568202
"56","250",0.650694444444444,0.258026461649147,0.908720906093592
"57","263",0.63841303911087,0.160322175022112,0.798735214132982
"58","264",0.537338232012775,0.20833371090313,0.745671942915904
"59","265",0.79937018999519,0.141891795179139,0.941261985174329
"60","266",0.765837216205431,0.0936531198000901,0.859490336005521
"61","267",0.720849867724868,0.206545419133825,0.927395286858692
"62","268",0.632895462539898,0.154047461888759,0.786942924428657
"63","269",0.773745568987378,0.106986918111506,0.880732487098884
"64","282",0.653926182381687,0.150184102483581,0.804110284865268
"65","283",0.83125,0.14210041902337,0.97335041902337
"66","284",0.64442094731385,0.145542150342294,0.789963097656144
"67","285",0.654364798680898,0.13040884397957,0.784773642660468
"68","286",0.542475596672037,0.215588309709272,0.75806390638131
"69","287",0.528042345978687,0.27195524028611,0.799997586264797
"70","288",0.72114498268843,0.130377109336995,0.851522092025425
"71","300",0.723006854256854,0.17854010170583,0.901546955962684
"72","301",0.470619400849889,0.246205177237233,0.716824578087123
"73","302",0.627886845148611,0.130085940043447,0.757972785192058
"74","303",0.745902180615821,0.106339686712261,0.852241867328082
"75","304",0.75659224400916,0.0940498772482052,0.850642121257365
"76","305",0.596119631916884,0.215013178306304,0.811132810223188
"77","306",0.742202996015445,0.122830050207395,0.86503304622284
"78","319",0.584785173325584,0.168675560342064,0.753460733667648
"79","320",0.712585200468286,0.104027802818991,0.816613003287277
"80","321",0.767967219431483,0.0848381180655337,0.852805337497017
"81","322",0.728462266497486,0.104968235203371,0.833430501700856
"82","323",0.482633116949217,0.276479021645579,0.759112138594796
"83","324",0.706354409696098,0.139991975724162,0.84634638542026
"84","337",0.732808790395105,0.109137671656098,0.841946462051203
"85","338",0.739305580202117,0.100138269912902,0.839443850115019
"86","339",0.606391194820527,0.151041430430812,0.757432625251338
"87","340",0.600548700565667,0.15066132401028,0.751210024575947
"88","341",0.401616945103415,0.344781139930132,0.746398085033547
"89","342",0.958333333333333,0.037496164721045,0.995829498054378
"90","356",0.839371980676328,0.12224927412711,0.961621254803438
"91","357",0.74496166109888,0.104087548724434,0.849049209823314
"92","358",0.519849088583546,0.262720963282227,0.782570051865773
"93","359",0.549981892227623,0.244397497635444,0.794379389863067
"94","360",0.730088725599123,0.147775929392268,0.87786465499139
"95","376",0.548704100382849,0.230749690950069,0.779453791332918
"96","377",0.71289378620713,0.147025790883434,0.859919577090563
"97","378",0.586206896551724,0.386632240989235,0.972839137540959
